+ Add Milestone,+ মাইলস্টোন যোগ করুন
Save Preferences,পছন্দসমূহ সংরক্ষণ করুন
Save Template,টেমপ্লেট সংরক্ষণ করুন
Saving...,সংরক্ষণ করা হচ্ছে...
Schedule,সময়সূচি
Schedule type is required for scheduled triggers,নির্ধারিত ট্রিগারের জন্য সময়সূচির ধরন প্রয়োজন
Scheduled,নির্ধারিত
Search,অনুসন্ধান
"Search by name, email, or skill...","নাম, ইমেইল, বা দক্ষতা দিয়ে অনুসন্ধান করুন..."
Search for a project...,একটি প্রকল্প অনুসন্ধান করুন...
Search for a task...,একটি টাস্ক অনুসন্ধান করুন...
Search for an event...,একটি ইভেন্ট অনুসন্ধান করুন...
Search for people to invite...,আমন্ত্রণ করার জন্য মানুষ অনুসন্ধান করুন...
Search tasks to link...,সংযুক্ত করার জন্য টাস্ক অনুসন্ধান করুন...
Search tasks...,টাস্ক অনুসন্ধান করুন...
Search...,অনুসন্ধান করুন...
Searching...,অনুসন্ধান করা হচ্ছে...
Seen,দেখা হয়েছে
Select a project if your request is related to a specific project.,আপনার অনুরোধ কোনো নির্দিষ্ট প্রকল্পের সাথে সম্পর্কিত হলে একটি প্রকল্প নির্বাচন করুন।
Select a project...,একটি প্রকল্প নির্বাচন করুন...
Select a task from the Gantt chart to view and manage its details.,বিস্তারিত দেখতে ও পরিচালনা করতে গ্যান্ট চার্ট থেকে একটি টাস্ক নির্বাচন করুন।
Select a task from the list or Kanban board to view and manage its details.,বিস্তারিত দেখতে ও পরিচালনা করতে তালিকা বা কানবান বোর্ড থেকে একটি টাস্ক নির্বাচন করুন।
Select a template...,একটি টেমপ্লেট নির্বাচন করুন...
Select priority...,অগ্রাধিকার নির্বাচন করুন...
Select status...,স্ট্যাটাস নির্বাচন করুন...
Select task...,টাস্ক নির্বাচন করুন...
Select type...,ধরন নির্বাচন করুন...
Selection,নির্বাচন
Send,পাঠান
Send comment,মন্তব্য পাঠান
Send email invitations to attendees,অংশগ্রহণকারীদের ইমেইল আমন্ত্রণ পাঠান
Send Invitations,আমন্ত্রণ পাঠান
Send notification when a task is assigned to a user,ব্যবহারকারীকে টাস্ক অ্যাসাইন করা হলে বিজ্ঞপ্তি পাঠান
Send notification when task status changes,টাস্কের স্ট্যাটাস পরিবর্তন হলে বিজ্ঞপ্তি পাঠান
Send reminder before task due date,টাস্কের শেষ তারিখের আগে রিমাইন্ডার পাঠান
sent,পাঠানো হয়েছে
Set rate,হার সেট করুন
Settings,সেটিংস
Settings saved successfully,সেটিংস সফলভাবে সংরক্ষিত
Severity,তীব্রতা
SF (Start-Finish),SF (শুরু-সমাপ্তি)
SF - Start-to-Finish,SF – শুরু-থেকে-সমাপ্তি
Show,দেখান
Show all,সব দেখান
Show all changes,সব পরিবর্তন দেখান
Show Archived,আর্কাইভকৃত দেখান
Show full diff,পূর্ণ পার্থক্য দেখান
Show less,কম দেখান
Show more,আরও দেখান
Skill added,দক্ষতা যোগ হয়েছে
Skill is required,দক্ষতা প্রয়োজন
Skill Name,দক্ষতার নাম
Skill removed,দক্ষতা সরানো হয়েছে
Skill {0} already exists for this resource,দক্ষতা {0} এই রিসোর্সের জন্য ইতিমধ্যে বিদ্যমান
Skills,দক্ষতাসমূহ
Skills & Competencies,দক্ষতা ও যোগ্যতা
Skip already migrated projects,ইতিমধ্যে মাইগ্রেটকৃত প্রকল্প বাদ দিন
Sort by,সাজান
Sort: Due Date,সাজানো: শেষ তারিখ
Sort: Priority,সাজানো: অগ্রাধিকার
Sort: Project,সাজানো: প্রকল্প
Sort: Status,সাজানো: স্ট্যাটাস
Sort: Task,সাজানো: টাস্ক
Source Code,সোর্স কোড
Spent,ব্যয়িত
Spent:,ব্যয়িত:
SS (Start-Start),SS (শুরু-শুরু)
SS - Start-to-Start,SS – শুরু-থেকে-শুরু
Standalone,স্বতন্ত্র
Start,শুরু
Start a discussion below,নিচে একটি আলোচনা শুরু করুন
Start Date,শুরুর তারিখ
Start date,শুরুর তারিখ
Start Date (Earliest),শুরুর তারিখ (প্রথমতম)
Start date updated,শুরুর তারিখ আপডেট হয়েছে
Start date/time is required,শুরুর তারিখ/সময় প্রয়োজন
Start Migration,মাইগ্রেশন শুরু করুন
Start the conversation below.,নিচে কথোপকথন শুরু করুন।
Start Timer,টাইমার শুরু করুন
Start typing to search...,অনুসন্ধান করতে টাইপ শুরু করুন...
Start-to-Finish,শুরু-থেকে-সমাপ্তি
Start-to-Start,শুরু-থেকে-শুরু
Start:,শুরু:
Statistics reset,পরিসংখ্যান রিসেট হয়েছে
Status,স্ট্যাটাস
Status assigned to new projects,নতুন প্রকল্পে অ্যাসাইনকৃত স্ট্যাটাস
Status assigned to new tasks,নতুন টাস্কে অ্যাসাইনকৃত স্ট্যাটাস
Status Changes,স্ট্যাটাস পরিবর্তন
Status updated,স্ট্যাটাস আপডেট হয়েছে
Status:,স্ট্যাটাস:
Stop,থামুন
Stop & Save,থামুন ও সংরক্ষণ করুন
Stop Timer,টাইমার থামান
Stops current timer and starts for this event,বর্তমান টাইমার থামিয়ে এই ইভেন্টের জন্য শুরু করে
Stops current timer and starts for this task,বর্তমান টাইমার থামিয়ে এই টাস্কের জন্য শুরু করে
Subject,বিষয়
Subject cannot exceed 255 characters,বিষয় ২৫৫ অক্ষরের বেশি হতে পারে না
Subject is required,বিষয় প্রয়োজন
Submit,জমা দিন
Submit Another Request,আরেকটি অনুরোধ জমা দিন
Submit Request,অনুরোধ জমা দিন
Submitting...,জমা দেওয়া হচ্ছে...
Successfully saved,সফলভাবে সংরক্ষিত
Successors (Blocking),উত্তরসূরি (ব্লকিং)
Sun,রবি
Supplier,সরবরাহকারী
Support,সাপোর্ট
Switch to this event,এই ইভেন্টে যান
Switch to this task,এই টাস্কে যান
Sync direction is set to Frappe to Orga only,সিঙ্কের দিক শুধুমাত্র Frappe থেকে Orga-তে সেট করা আছে
Sync direction is set to Orga to Frappe only,সিঙ্কের দিক শুধুমাত্র Orga থেকে Frappe-এ সেট করা আছে
Sync not enabled for this project,এই প্রকল্পের জন্য সিঙ্ক সক্রিয় নয়
System,সিস্টেম
Table,টেবিল
Take ownership of this task,এই টাস্কের মালিকানা নিন
Target Date,লক্ষ্য তারিখ
Target End,লক্ষ্য শেষ
Target Project,লক্ষ্য প্রকল্প
Target user is required for '{0}' action,'{0}' অ্যাকশনের জন্য লক্ষ্য ব্যবহারকারী প্রয়োজন
task,টাস্ক
Task,টাস্ক
Task '{0}' is due on {1}.,টাস্ক '{0}' {1}-এ শেষ হবে।
Task and resource are required,টাস্ক এবং রিসোর্স প্রয়োজন
Task Assignment,টাস্ক অ্যাসাইনমেন্ট
Task cannot be its own parent,টাস্ক নিজের প্যারেন্ট হতে পারে না
Task cannot depend on itself,টাস্ক নিজের উপর নির্ভর করতে পারে না
Task cannot depend on the group it belongs to,টাস্ক যে গ্রুপের অন্তর্ভুক্ত তার উপর নির্ভর করতে পারে না
Task created,টাস্ক তৈরি হয়েছে
Task deleted,টাস্ক মুছে ফেলা হয়েছে
Task description has been saved.,টাস্কের বিবরণ সংরক্ষিত হয়েছে।
Task Details,টাস্কের বিস্তারিত
Task due in {0} days: {1},টাস্ক {0} দিনে শেষ হবে: {1}
Task due today: {0},আজ শেষ হবে টাস্ক: {0}
Task due tomorrow: {0},আগামীকাল শেষ হবে টাস্ক: {0}
Task duplicated,টাস্ক ডুপ্লিকেট হয়েছে
Task Group,টাস্ক গ্রুপ
Task ID is required,টাস্ক ID প্রয়োজন
Task is blocked by incomplete dependencies,অসম্পূর্ণ নির্ভরতা দ্বারা টাস্ক ব্লকড
Task is cancelled,টাস্ক বাতিল হয়েছে
Task is completed,টাস্ক সম্পন্ন হয়েছে
Task is no longer blocked by a group,টাস্ক আর কোনো গ্রুপ দ্বারা ব্লকড নয়
Task is required for task context,টাস্ক প্রসঙ্গের জন্য টাস্ক প্রয়োজন
Task is required when tracking context is 'task',ট্র্যাকিং প্রসঙ্গ 'task' হলে টাস্ক প্রয়োজন
Task linked,টাস্ক সংযুক্ত হয়েছে
Task moved,টাস্ক সরানো হয়েছে
Task name,টাস্কের নাম
Task name is required,টাস্কের নাম প্রয়োজন
Task removed from group,গ্রুপ থেকে টাস্ক সরানো হয়েছে
Task Subject,টাস্কের বিষয়
Task subject is required,টাস্কের বিষয় প্রয়োজন
Task Type,টাস্কের ধরন
Task unblocked: {0},টাস্ক আনব্লক হয়েছে: {0}
Task unlinked,টাস্ক বিচ্ছিন্ন হয়েছে
Task updated,টাস্ক আপডেট হয়েছে
Task {0} not found,টাস্ক {0} পাওয়া যায়নি
Task {0} not in project {1},টাস্ক {0} প্রকল্প {1}-এ নেই
Task {0} to Frappe,টাস্ক {0} Frappe-এ
Tasks,টাস্কসমূহ
tasks,টাস্ক
Tasks and milestones will be created with dates relative to the project start date.,টাস্ক ও মাইলস্টোন প্রকল্পের শুরুর তারিখের সাপেক্ষে তারিখ সহ তৈরি হবে।
Tasks assigned to you across all projects.,সব প্রকল্প জুড়ে আপনাকে অ্যাসাইনকৃত টাস্ক।
Tasks created:,তৈরি টাস্ক:
Tasks from projects you manage.,আপনি যে প্রকল্প পরিচালনা করেন সেগুলোর টাস্ক।
Tasks updated:,আপডেটকৃত টাস্ক:
"Tasks, milestones, and dependencies have been created.","টাস্ক, মাইলস্টোন এবং নির্ভরতা তৈরি হয়েছে।"
Tasks:,টাস্ক:
TBD,পরে নির্ধারিত হবে
Team,দল
Team Members,দলের সদস্য
Template,টেমপ্লেট
Template applied,টেমপ্লেট প্রয়োগ হয়েছে
Template data is required in import data,ইমপোর্ট ডেটায় টেমপ্লেট ডেটা প্রয়োজন
Template has no data,টেমপ্লেটে কোনো ডেটা নেই
Template Name,টেমপ্লেটের নাম
Template name,টেমপ্লেটের নাম
Template name is required,টেমপ্লেটের নাম প্রয়োজন
Template name is required in import data,ইমপোর্ট ডেটায় টেমপ্লেটের নাম প্রয়োজন
Template saved,টেমপ্লেট সংরক্ষিত
Template updated successfully.,টেমপ্লেট সফলভাবে আপডেট হয়েছে।
Template {0} not found,টেমপ্লেট {0} পাওয়া যায়নি
Templates,টেমপ্লেটসমূহ
Tentative,অস্থায়ী
The comment has been deleted,মন্তব্যটি মুছে ফেলা হয়েছে
The project,প্রকল্পটি
The source document may have been deleted.,উৎস ডকুমেন্টটি মুছে ফেলা হয়ে থাকতে পারে।
The source document will not be affected.,উৎস ডকুমেন্ট প্রভাবিত হবে না।
The status of '{0}' was changed from {1} to {2}.,'{0}'-এর স্ট্যাটাস {1} থেকে {2}-এ পরিবর্তন হয়েছে।
Theme,থিম
Theme preference,থিম পছন্দ
This action,এই অ্যাকশন
This action cannot be undone.,এই অ্যাকশন পূর্বাবস্থায় ফেরানো যাবে না।
This activity has been flagged for attention,এই কার্যকলাপ মনোযোগের জন্য ফ্ল্যাগ করা হয়েছে
This is a reminder for your upcoming appointment,এটি আপনার আসন্ন অ্যাপয়েন্টমেন্টের রিমাইন্ডার
This method is only meant for developer mode,এই পদ্ধতি শুধুমাত্র ডেভেলপার মোডের জন্য
This page wandered off,This page wandered off
This Week,এই সপ্তাহ
This will delete all notes and preferences associated with this activity.,এটি এই কার্যকলাপের সাথে সম্পর্কিত সব নোট ও পছন্দ মুছে ফেলবে।
This will import all Frappe Projects into Orga. Continue?,এটি সব Frappe Projects Orga-তে ইমপোর্ট করবে। চালিয়ে যাবেন?
This will permanently delete,এটি স্থায়ীভাবে মুছে ফেলবে
This will permanently delete:,এটি স্থায়ীভাবে মুছে ফেলবে:
Thu,বৃহ
Time,সময়
Time & Billing,সময় ও বিলিং
Time & Revenue,সময় ও রাজস্ব
Time Entries,সময় এন্ট্রি
Time log name is required,টাইম লগের নাম প্রয়োজন
Time Log not found,টাইম লগ পাওয়া যায়নি
Time log {0} not found,টাইম লগ {0} পাওয়া যায়নি
Time Logs,টাইম লগসমূহ
Time Summary,সময়ের সারসংক্ষেপ
Time Tracking,সময় ট্র্যাকিং
Timeline,টাইমলাইন
Timer active on,টাইমার সক্রিয়
Timer is not running,টাইমার চলছে না
Timer Running,টাইমার চলছে
Timer running,টাইমার চলছে
Timesheet DocType not available,টাইমশিট DocType উপলব্ধ নয়
Timesheets,টাইমশিটসমূহ
Timezone,সময় অঞ্চল
Timezone is detected from your browser,আপনার ব্রাউজার থেকে সময় অঞ্চল সনাক্ত করা হয়েছে
Title,শিরোনাম
Title cannot exceed 255 characters,শিরোনাম ২৫৫ অক্ষরের বেশি হতে পারে না
Title is required,শিরোনাম প্রয়োজন
Title updated,শিরোনাম আপডেট হয়েছে
To,পর্যন্ত
to,পর্যন্ত
to cancel,বাতিল করতে
to close,বন্ধ করতে
to confirm:,নিশ্চিত করতে:
to edit,সম্পাদনা করতে
"to save,","সংরক্ষণ করতে,"
To Time cannot be before From Time,শেষ সময় শুরুর সময়ের আগে হতে পারে না
Today,আজ
today,আজ
Toggle billable,বিলযোগ্য টগল করুন
Toggle Details Panel,বিস্তারিত প্যানেল টগল করুন
Toggle Manager Panel,ম্যানেজার প্যানেল টগল করুন
Toggle Sidebar,সাইডবার টগল করুন
Tomorrow,আগামীকাল
tomorrow,আগামীকাল
Total,মোট
Total Budget,মোট বাজেট
Total Contacts,মোট পরিচিতি
Total Cost,মোট খরচ
Total Cost to Org,সংস্থার জন্য মোট খরচ
Total Defect Cost,মোট ত্রুটি খরচ
Total Hours,মোট ঘণ্টা
Total Hours Logged,মোট রেকর্ডকৃত ঘণ্টা
Total Projects,মোট প্রকল্প
Total Spent,মোট ব্যয়
Total Tasks,মোট টাস্ক
Total:,মোট:
Tracked,ট্র্যাককৃত
trails to today while Open at 0%,০%-এ খোলা থাকা অবস্থায় আজ পর্যন্ত ট্রেইল করে
Tried:,Tried:
Try adjusting your filter criteria,আপনার ফিল্টার মানদণ্ড সমন্বয় করে দেখুন
Try adjusting your filters.,আপনার ফিল্টার সমন্বয় করে দেখুন।
Try Again,আবার চেষ্টা করুন
Tue,মঙ্গল
Type,ধরন
Type updated,ধরন আপডেট হয়েছে
Type:,ধরন:
Typical response time: 1-2 business days,সাধারণ প্রতিক্রিয়া সময়: ১-২ কার্যদিবস
Unarchive,আর্কাইভ থেকে ফেরান
Unarchive Activity,কার্যকলাপ আর্কাইভ থেকে ফেরান
Unassign,অ্যাসাইন বাতিল করুন
Unassigned,অ্যাসাইন করা হয়নি
Under Budget,বাজেটের মধ্যে
Ungrouped,গ্রুপবিহীন
Unknown,অজানা
Unknown error,অজানা ত্রুটি
Unlink failed,বিচ্ছিন্ন করতে ব্যর্থ
Unlink task from milestone,মাইলস্টোন থেকে টাস্ক বিচ্ছিন্ন করুন
Unpin,আনপিন
Unpin Activity,কার্যকলাপ আনপিন করুন
Unread,অপঠিত
Unread only,শুধুমাত্র অপঠিত
Until,পর্যন্ত
Up to Date,Up to Date
Upcoming,আসন্ন
upcoming,আসন্ন
Update,Update
Update Available,Update Available
Update available,Update available
Update available: v{0},Update available: v{0}
Update check failed: {0},Update check failed: {0}
Update failed,আপডেট ব্যর্থ
Updated,আপডেট হয়েছে
Updated successfully,সফলভাবে আপডেট হয়েছে
Updates,Updates
Upload,আপলোড
Upload failed,আপলোড ব্যর্থ
Upload files below to attach them to this task.,এই টাস্কে সংযুক্ত করতে নিচে ফাইল আপলোড করুন।
Upload to project,প্রকল্পে আপলোড করুন
Uploading...,আপলোড করা হচ্ছে...
Urgent,জরুরি
User {0} is already linked to client {1},ব্যবহারকারী {0} ইতিমধ্যে ক্লায়েন্ট {1}-এর সাথে সংযুক্ত
User {0} is already linked to resource {1},ব্যবহারকারী {0} ইতিমধ্যে রিসোর্স {1}-এর সাথে সংযুক্ত
Utilization,ব্যবহার
Valid,বৈধ
Value:,মান:
Variance,বিচ্যুতি
Variance:,বিচ্যুতি:
Version {0} is available. You are running {1}.,Version {0} is available. You are running {1}.
View,দেখুন
View All,সব দেখুন
View all active projects,সব সক্রিয় প্রকল্প দেখুন
View all open tasks,সব খোলা টাস্ক দেখুন
View overdue tasks,মেয়াদোত্তীর্ণ টাস্ক দেখুন
View Release,View Release
Visibility,দৃশ্যমানতা
Waiting for this task,এই টাস্কের জন্য অপেক্ষা করছে
Waits for:,অপেক্ষা করছে:
Warning: Resource {0} status is {1},সতর্কতা: রিসোর্স {0}-এর স্ট্যাটাস {1}
Warning: Using HTTP instead of HTTPS. Webhook payloads may not be secure.,সতর্কতা: HTTPS-এর পরিবর্তে HTTP ব্যবহার করা হচ্ছে। Webhook পেলোড নিরাপদ নাও হতে পারে।
Watch budget closely,বাজেটে ঘনিষ্ঠ নজর রাখুন
We'll respond to:,আমরা উত্তর দেব:
Webhook deleted,Webhook মুছে ফেলা হয়েছে
Webhook name is required,Webhook-এর নাম প্রয়োজন
Webhook not found,Webhook পাওয়া যায়নি
Webhook URL is required,Webhook URL প্রয়োজন
Webhook URL must start with http:// or https://,Webhook URL http:// বা https:// দিয়ে শুরু হতে হবে
Wed,বুধ
Week,সপ্তাহ
Weekend,সপ্তাহান্ত
Weekly Capacity,সাপ্তাহিক ক্ষমতা
weekly capacity,সাপ্তাহিক ক্ষমতা
Weekly Capacity (h),সাপ্তাহিক ক্ষমতা (ঘ)
Welcome,স্বাগতম
Welcome back!,আবার স্বাগতম!
Welcome to Orga,Orga-তে স্বাগতম
What are you working on?,আপনি কী নিয়ে কাজ করছেন?
What did you work on?,আপনি কী নিয়ে কাজ করেছেন?
When,কখন
When work begins,কাজ কখন শুরু হবে
When work is due,কাজ কখন শেষ হবে
Where,কোথায়
Will capture:,ক্যাপচার করবে:
Will create:,তৈরি করবে:
with checklist items,চেকলিস্ট আইটেম সহ
Working,কাজ চলছে
Workload,কাজের চাপ
Workmanship,কারিগরি মান
Write a comment...,একটি মন্তব্য লিখুন...
Write a comment... Use @name to mention (Ctrl+Enter to send),একটি মন্তব্য লিখুন... উল্লেখ করতে @name ব্যবহার করুন (পাঠাতে Ctrl+Enter)
Year,বছর
Yes,হ্যাঁ
Yesterday,গতকাল
yesterday,গতকাল
You are not an attendee of this appointment,আপনি এই অ্যাপয়েন্টমেন্টের অংশগ্রহণকারী নন
You are not linked to any resource,আপনি কোনো রিসোর্সের সাথে সংযুক্ত নন
You are running the latest version of Orga.,You are running the latest version of Orga.
You can only delete your own comments,আপনি শুধুমাত্র নিজের মন্তব্য মুছতে পারেন
You can only delete your own reactions,আপনি শুধুমাত্র নিজের প্রতিক্রিয়া মুছতে পারেন
You do not have access to the client portal. Please contact support.,আপনার ক্লায়েন্ট পোর্টালে অ্যাক্সেস নেই। অনুগ্রহ করে সাপোর্টে যোগাযোগ করুন।
You have already reacted with '{0}',আপনি ইতিমধ্যে '{0}' দিয়ে প্রতিক্রিয়া দিয়েছেন
You have been assigned to task '{0}' in project '{1}'.,আপনাকে প্রকল্প '{1}'-এ টাস্ক '{0}'-এ অ্যাসাইন করা হয়েছে।
You have been assigned to: {0},আপনাকে অ্যাসাইন করা হয়েছে: {0}
You have been invited to the following appointment,আপনাকে নিম্নলিখিত অ্যাপয়েন্টমেন্টে আমন্ত্রণ জানানো হয়েছে
You have no tasks assigned to you right now.,এই মুহূর্তে আপনাকে কোনো টাস্ক অ্যাসাইন করা হয়নি।
You were mentioned in {0},আপনাকে {0}-এ উল্লেখ করা হয়েছে
Your attendance,আপনার উপস্থিতি
Your comment has been posted,আপনার মন্তব্য পোস্ট করা হয়েছে
Your Projects,আপনার প্রকল্প
Your projects will appear here once they're assigned to you.,আপনার প্রকল্পগুলি অ্যাসাইন হওয়ার পর এখানে দেখা যাবে।
Your Response,আপনার উত্তর
Your RSVP,আপনার RSVP
Your support request has been submitted successfully.,আপনার সাপোর্ট অনুরোধ সফলভাবে জমা দেওয়া হয়েছে।
Your support request has been submitted successfully. We'll get back to you shortly.,আপনার সাপোর্ট অনুরোধ সফলভাবে জমা দেওয়া হয়েছে। আমরা শীঘ্রই আপনার সাথে যোগাযোগ করব।
"Your task ""{0}"" is no longer blocked and can now be started.","আপনার টাস্ক ""{0}"" আর ব্লকড নয় এবং এখন শুরু করা যেতে পারে।"
{0} is required,{0} প্রয়োজন
{0} new activities,{0}টি নতুন কার্যকলাপ
{0} of {1} completed,{0} / {1} সম্পন্ন
{0} projects already migrated (will be skipped or updated),{0}টি প্রকল্প ইতিমধ্যে মাইগ্রেট হয়েছে (বাদ দেওয়া বা আপডেট করা হবে)
{0} status changed to {1},{0} স্ট্যাটাস {1}-এ পরিবর্তিত হয়েছে
{0} tasks remaining,{0}টি টাস্ক অবশিষ্ট
{0} tasks without projects will be skipped,প্রকল্পবিহীন {0}টি টাস্ক বাদ দেওয়া হবে
{0} {1} not found,{0} {1} পাওয়া যায়নি
