+ Add Milestone,+ Lisää välitavoite
+ Create Task,+ Luo tehtävä
+ Log Time,+ Kirjaa aika
-- Select a project --,-- Valitse projekti --
0m,0min
1 day,1 päivä
1 day ago,1 päivä sitten
1 dependency,1 riippuvuus
1 entry,1 merkintä
1 file,1 tiedosto
1 hour ago,1 tunti sitten
1 member,1 jäsen
1 milestone,1 välitavoite
1 month,1 kuukausi
1 task,1 tehtävä
< 1m,< 1min
"A clear, actionable title for the task","Selkeä, toteutettava otsikko tehtävälle"
A client with email {0} already exists: {1},Asiakas sähköpostilla {0} on jo olemassa: {1}
A key deliverable or checkpoint for the project,Projektin keskeinen tuotos tai tarkistuspiste
Accept,Hyväksy
Accepted,Hyväksytty
Acknowledge,Kuittaa
across,kaikissa
Action,Toiminto
Actions,Toiminnot
Active,Aktiivinen
Active Assignments,Aktiiviset toimeksiannot
Active Projects,Aktiiviset projektit
Activity,Toiminta
Activity data deleted successfully,Toimintatiedot poistettu onnistuneesti
Activity Info,Toimintatiedot
Activity Stats,Toimintatilastot
Activity will appear here as you work on tasks and projects.,Toiminta näkyy täällä sitä mukaa kun työskentelet tehtävien ja projektien parissa.
Actual,Toteutunut
Actual Cost,Toteutunut kustannus
Actual cost cannot be negative,Toteutunut kustannus ei voi olla negatiivinen
Actual end date cannot be before actual start date,Toteutunut päättymispäivä ei voi olla ennen toteutunutta aloituspäivää
Actual Hours,Toteutuneet tunnit
Add,Lisää
Add a checklist item...,Lisää tarkistuslistan kohta...
Add a comment...,Lisää kommentti...
Add a comment... (Ctrl+Enter to send),Lisää kommentti... (Ctrl+Enter lähettääksesi)
Add a description...,Lisää kuvaus...
Add a milestone description...,Lisää välitavoitteen kuvaus...
Add a note below to annotate this activity.,Lisää muistiinpano alle tämän toiminnan merkitsemiseksi.
Add a note...,Lisää muistiinpano...
Add a project description...,Lisää projektikuvaus...
Add a task description...,Lisää tehtävän kuvaus...
Add checklist item...,Lisää tarkistuslistan kohta...
Add Contact,Lisää yhteyshenkilö
Add contacts via the Desk interface or clear filters,Lisää yhteyshenkilöitä Desk-käyttöliittymän kautta tai tyhjennä suodattimet
Add Dependency,Lisää riippuvuus
Add details about this event...,Lisää tietoja tästä tapahtumasta...
Add details about this milestone...,Lisää tietoja tästä välitavoitteesta...
Add details about this task...,Lisää tietoja tästä tehtävästä...
Add details or acceptance criteria for this milestone,Lisää tietoja tai hyväksymiskriteerit tälle välitavoitteelle
"Add details, context, or acceptance criteria","Lisää tietoja, taustatietoja tai hyväksymiskriteerit"
Add first dependency,Lisää ensimmäinen riippuvuus
Add item,Lisää kohta
Add items below to track progress.,Lisää kohtia alle edistymisen seuraamiseksi.
Add items below to track subtasks,Lisää kohtia alle osatehtävien seuraamiseksi
Add Milestone,Lisää välitavoite
Add Milestone (Shift+M),Lisää välitavoite (Shift+M)
Add milestones to track key deliverables.,Lisää välitavoitteita keskeisten tuotosten seuraamiseksi.
Add New Contact,Lisää uusi yhteyshenkilö
Add Note,Lisää muistiinpano
Add note,Lisää muistiinpano
Add notes about this contact...,Lisää muistiinpanoja tästä yhteyshenkilöstä...
Add reaction,Lisää reaktio
Add Skill,Lisää taito
Add start and due dates to tasks to see them on the Gantt chart,Lisää aloitus- ja eräpäivät tehtäville nähdäksesi ne Gantt-kaaviossa
Add Task,Lisää tehtävä
Add Task (Shift+T),Lisää tehtävä (Shift+T)
Added Finish-to-Start dependency,Lopusta-alkuun-riippuvuus lisätty
Adding this dependency would create a circular reference: {0},Tämän riippuvuuden lisääminen loisi kehäviittauksen: {0}
Adding...,Lisätään...
Address,Osoite
Advanced,Edistynyt
All,Kaikki
All Active,Kaikki aktiiviset
All Assignees,Kaikki vastuuhenkilöt
All Categories,Kaikki luokat
All caught up!,Kaikki ajan tasalla!
All Contexts,Kaikki kontekstit
All day,Koko päivä
All day event,Koko päivän tapahtuma
All fields,Kaikki kentät
All Priorities,Kaikki prioriteetit
All Projects,Kaikki projektit
All Status,Kaikki tilat
All Statuses,Kaikki tilat
All task dependencies & relative dates,Kaikki tehtäväriippuvuudet ja suhteelliset päivämäärät
All Tasks,Kaikki tehtävät
All tasks across all projects.,Kaikki tehtävät kaikista projekteista.
All tasks are already linked,Kaikki tehtävät on jo linkitetty
All team members,Kaikki tiimin jäsenet
All Types,Kaikki tyypit
All Users,Kaikki käyttäjät
Allocated,Kohdennettu
allocated,kohdennettu
Allow users to log time against tasks,Salli käyttäjien kirjata aikaa tehtäville
Already exported to timesheet {0},Jo viety tuntilistaan {0}
Already Migrated,Jo siirretty
Anyone with access,Kaikki joilla on pääsy
anytime to show this help,milloin tahansa nähdäksesi tämän ohjeen
App Updates,App Updates
Appearance,Ulkoasu
Apply,Käytä
Apply cascade?,Käytetäänkö ketjutus?
Apply Changes,Ota muutokset käyttöön
Apply failed,Käyttöönotto epäonnistui
Apply Template,Käytä mallia
Applying...,Otetaan käyttöön...
Appointment,Tapaaminen
Appointment and resource are required,Tapaaminen ja resurssi ovat pakollisia
Appointment name is required,Tapaamisen nimi on pakollinen
Appointment not found,Tapaamista ei löytynyt
Appointment {0} not found,Tapaamista {0} ei löytynyt
Apps,Sovellukset
Archive,Arkistoi
Archive Activity,Arkistoi toiminta
Archived,Arkistoitu
Are you sure you want to delete this activity data? This cannot be undone.,Haluatko varmasti poistaa nämä toimintatiedot? Tätä ei voi kumota.
Are you sure you want to delete this comment?,Haluatko varmasti poistaa tämän kommentin?
Are you sure you want to delete this project?,Haluatko varmasti poistaa tämän projektin?
Are you sure?,Oletko varma?
Ascending -- click to reverse,Nouseva -- käännä napsauttamalla
Assign To,Vastuuta
Assign to Me,Vastuuta minulle
Assigned Contact,Vastuutettu yhteyshenkilö
Assigned To,Vastuutettu
Assigned to,Vastuutettu
Assigned to Me,Vastuutettu minulle
Assignee,Vastuuhenkilö
Assignment,Toimeksianto
Assignment History,Toimeksiantohistoria
Assignment name is required,Toimeksiannon nimi on pakollinen
Assignment {0} not found,Toimeksiantoa {0} ei löytynyt
Assignments,Toimeksiannot
At least one action is required,Vähintään yksi toiminto vaaditaan
At least one event is required,Vähintään yksi tapahtuma vaaditaan
At least one event must be selected,Vähintään yksi tapahtuma on valittava
Attachment,Liite
Attachments,Liitteet
Attendees,Osallistujat
"Audit trail, assignments, version history","Jäljitysketju, toimeksiannot, versiohistoria"
Auto,Automaattinen
Auto Calculate Progress,Laske edistyminen automaattisesti
Auto Set Missed Milestones,Merkitse ohitetut välitavoitteet automaattisesti
Auto-shift dependents when dates change,Siirrä riippuvaiset automaattisesti päivämäärien muuttuessa
Auto-Trail Start,Automaattinen liukuva alku
Auto-Trail updated,Automaattinen liukuva alku päivitetty
Automatically calculate project progress from task completion,Laske projektin edistyminen automaattisesti tehtävien valmistumisesta
Automatically mark milestones as missed when overdue,Merkitse välitavoitteet automaattisesti ohitetuiksi niiden myöhästyessä
Automation rule {0} not found,Automaatiosääntöä {0} ei löytynyt
Automation: {0},Automaatio: {0}
Availability,Saatavuus
Available,Saatavilla
Avatar updated successfully,Profiilikuva päivitetty onnistuneesti
Avg Progress,Keskimääräinen edistyminen
Back,Takaisin
Back to Portal,Takaisin portaaliin
Back to Projects,Takaisin projekteihin
Beginner,Aloittelija
Best regards,Ystävällisin terveisin
Billable,Laskutettava
Billable Amount,Laskutettava summa
Billable Hours,Laskutettavat tunnit
Billable Rate,Laskutushinta
Billing Rate,Laskutushinta
Blocked,Estetty
Both dates are needed to display task as a bar in Gantt chart,Molemmat päivämäärät tarvitaan tehtävän näyttämiseksi palkkina Gantt-kaaviossa
Both doctype and docname are required,Sekä doctype että docname vaaditaan
Both proposed start and end times are required,Sekä ehdotettu alkamis- että päättymisaika vaaditaan
Both task_name and depends_on are required,Sekä task_name että depends_on vaaditaan
Breadcrumb,Navigointipolku
Brief description of the defect or damage,Lyhyt kuvaus viasta tai vauriosta
Brief description of this template,Lyhyt kuvaus tästä mallista
Brief description of your request,Lyhyt kuvaus pyynnöstäsi
Brief project description,Lyhyt projektikuvaus
Budget,Budjetti
Budget at risk,Budjetti vaarassa
Budget Burn Rate,Budjetin kulutusvauhti
Budget Status,Budjetin tila
Budget updated,Budjetti päivitetty
Budget:,Budjetti:
Bug,Virhe
Burn Rate,Kulutusvauhti
Busy,Varattu
By,Tekijä
By Assignee,Vastuuhenkilön mukaan
By Group,Ryhmän mukaan
By Milestone,Välitavoitteen mukaan
By Priority,Prioriteetin mukaan
By Status,Tilan mukaan
Cancel,Peruuta
Cancelled,Peruutettu
cannot be undone,ei voi kumota
Cannot delete client with {0} linked projects. Unlink projects first.,Asiakasta ei voi poistaa {0} linkitetyn projektin kanssa. Poista linkitykset ensin.
Cannot delete project with {0} linked tasks. Delete tasks first.,Projektia ei voi poistaa {0} linkitetyn tehtävän kanssa. Poista tehtävät ensin.
Cannot delete resource with {0} active assignments. Complete or cancel them first.,Resurssia ei voi poistaa {0} aktiivisen toimeksiannon kanssa. Valmistele tai peruuta ne ensin.
Cannot delete task with {0} subtasks. Delete subtasks first.,Tehtävää ei voi poistaa {0} osatehtävän kanssa. Poista osatehtävät ensin.
Capacity,Kapasiteetti
capacity,kapasiteetti
Capacity & Rates,Kapasiteetti ja hinnat
Capture project structure for reuse,Tallenna projektirakenne uudelleenkäyttöä varten
Cascade,Ketjutus
Cascade Preview,Ketjutuksen esikatselu
Category,Luokka
Celebrate,Juhli
Change,Muuta
Change History,Muutoshistoria
Change Priority,Vaihda prioriteetti
Change Status,Vaihda tila
Changes,Muutokset
Changes appear when fields are modified.,Muutokset näkyvät kun kenttiä muokataan.
Check for new versions of Orga,Check for new versions of Orga
Check for Updates,Check for Updates
Checking...,Checking...
Checklist,Tarkistuslista
Checklist item name is required,Tarkistuslistan kohdan nimi on pakollinen
Checklist item not found,Tarkistuslistan kohtaa ei löytynyt
Checklist item title is required,Tarkistuslistan kohdan otsikko on pakollinen
Checklist item {0} not found,Tarkistuslistan kohtaa {0} ei löytynyt
Checklist item {0} not found in task,Tarkistuslistan kohtaa {0} ei löytynyt tehtävästä
Child,Alitehtävä
Choose file to upload,Valitse ladattava tiedosto
Circular dependency detected: {0},Kehäriippuvuus havaittu: {0}
Circular parent-child relationship detected,Kehämäinen ylä-alasuhde havaittu
Clear,Tyhjennä
Clear all read,Tyhjennä kaikki luetut
Clear date,Tyhjennä päivämäärä
Click on an activity from the list to view and manage its details.,Napsauta toimintaa listasta nähdäksesi ja hallitaksesi sen tietoja.
Click the avatar to upload a new photo,Napsauta profiilikuvaa ladataksesi uuden kuvan
Click to add description...,Napsauta lisätäksesi kuvaus...
Click to add notes...,Napsauta lisätäksesi muistiinpanoja...
Click to assign contact,Napsauta vastuuttaaksesi yhteyshenkilön
Click to change status,Napsauta vaihtaaksesi tilan
Click to change type,Napsauta vaihtaaksesi tyypin
Click to edit,Napsauta muokataksesi
Click to edit budget,Napsauta muokataksesi budjettia
Click to edit description,Napsauta muokataksesi kuvausta
Click to edit end date,Napsauta muokataksesi päättymispäivää
Click to edit milestone name,Napsauta muokataksesi välitavoitteen nimeä
Click to edit rate,Napsauta muokataksesi hintaa
Click to edit start date,Napsauta muokataksesi aloituspäivää
Click to edit title,Napsauta muokataksesi otsikkoa
Click to load,Napsauta ladataksesi
Click to set group dependency...,Napsauta asettaaksesi ryhmäriippuvuuden...
Click to set group...,Napsauta asettaaksesi ryhmän...
Click to view,Napsauta nähdäksesi
Click to view at-risk projects,Napsauta nähdäksesi vaarassa olevat projektit
Click to view critical projects,Napsauta nähdäksesi kriittiset projektit
Click to view healthy projects,Napsauta nähdäksesi terveet projektit
Client,Asiakas
Client already has a portal user: {0},Asiakkaalla on jo portaalikäyttäjä: {0}
Client already has portal access,Asiakkaalla on jo portaalipääsy
Client has no portal user to revoke,Asiakkaalla ei ole portaalikäyttäjää peruttavaksi
Client link removed from project {0},Asiakaslinkki poistettu projektista {0}
Client Portal,Asiakasportaali
Client {0} deleted successfully,Asiakas {0} poistettu onnistuneesti
Close,Sulje
Close (Esc),Sulje (Esc)
Comment,Kommentti
comment,kommentti
Comment added,Kommentti lisätty
Comment content is required,Kommentin sisältö on pakollinen
Comment name is required,Kommentin nimi on pakollinen
Comment not found,Kommenttia ei löytynyt
Comment removed,Kommentti poistettu
Comment {0} not found in task,Kommenttia {0} ei löytynyt tehtävästä
Comments,Kommentit
comments,kommenttia
Community Edition,Community Edition
Company,Yritys
Company name...,Yrityksen nimi...
Complete,Valmistele
Completed,Valmis
completed,valmis
Completed Tasks,Valmiit tehtävät
Compliance,Säädöstenmukaisuus
Configure default values for new projects and tasks,Määritä oletusarvot uusille projekteille ja tehtäville
Configure email notification settings,Määritä sähköposti-ilmoitusten asetukset
Confirm,Vahvista
Contact deleted,Yhteyshenkilö poistettu
Contact Details,Yhteyshenkilön tiedot
Contact Information,Yhteystiedot
Contact name is required,Yhteyshenkilön nimi on pakollinen
Contact Support,Ota yhteyttä tukeen
Contact your project manager for more information.,Ota yhteyttä projektipäällikköön saadaksesi lisätietoja.
Contact:,Yhteyshenkilö:
Contacts,Yhteyshenkilöt
Context,Konteksti
Contractor,Alihankkija
Cost estimate cannot be negative,Kustannusarvio ei voi olla negatiivinen
Cost Impact,Kustannusvaikutus
Cost Summary,Kustannusyhteenveto
Could not apply the template. Please try again.,Mallin käyttöönotto epäonnistui. Yritä uudelleen.
Could not attach file to project,Tiedoston liittäminen projektiin epäonnistui
Could not change task priority,Tehtävän prioriteetin muuttaminen epäonnistui
Could not change task status,Tehtävän tilan muuttaminen epäonnistui
Could not delete the project. Please try again.,Projektin poistaminen epäonnistui. Yritä uudelleen.
Could not delete the task. Please try again.,Tehtävän poistaminen epäonnistui. Yritä uudelleen.
Could not delete the template.,Mallin poistaminen epäonnistui.
Could not duplicate the task. Please try again.,Tehtävän kahdentaminen epäonnistui. Yritä uudelleen.
Could not export the template.,Mallin vienti epäonnistui.
Could not import the template. Please check the file format.,Mallin tuonti epäonnistui. Tarkista tiedostomuoto.
Could not link task to milestone,Tehtävän linkittäminen välitavoitteeseen epäonnistui
Could not load document details.,Dokumentin tietojen lataaminen epäonnistui.
Could not load task details,Tehtävän tietojen lataaminen epäonnistui
Could not promote checklist item to task.,Tarkistuslistan kohdan ylentäminen tehtäväksi epäonnistui.
Could not remove task from milestone,Tehtävän poistaminen välitavoitteesta epäonnistui
Could not save budget.,Budjetin tallentaminen epäonnistui.
Could not save changes to the milestone,Välitavoitteen muutosten tallentaminen epäonnistui
Could not save changes to the task,Tehtävän muutosten tallentaminen epäonnistui
Could not save description.,Kuvauksen tallentaminen epäonnistui.
Could not save end date.,Päättymispäivän tallentaminen epäonnistui.
Could not save milestone name.,Välitavoitteen nimen tallentaminen epäonnistui.
Could not save start date.,Aloituspäivän tallentaminen epäonnistui.
Could not save the template. Please try again.,Mallin tallentaminen epäonnistui. Yritä uudelleen.
Could not save title.,Otsikon tallentaminen epäonnistui.
Could not update dependency mode.,Riippuvuustilan päivittäminen epäonnistui.
Could not update milestone date,Välitavoitteen päivämäärän päivittäminen epäonnistui
Could not update project status.,Projektin tilan päivittäminen epäonnistui.
Could not update project type.,Projektin tyypin päivittäminen epäonnistui.
Could not update setting.,Asetuksen päivittäminen epäonnistui.
Could not update task dates,Tehtävän päivämäärien päivittäminen epäonnistui
Could not update task status,Tehtävän tilan päivittäminen epäonnistui
Could not update the template.,Mallin päivittäminen epäonnistui.
Create a copy of this task,Luo kopio tästä tehtävästä
Create Contact,Luo yhteyshenkilö
Create Event,Luo tapahtuma
Create Milestone,Luo välitavoite
Create New Milestone,Luo uusi välitavoite
Create New Task,Luo uusi tehtävä
Create Project,Luo projekti
Create Task,Luo tehtävä
Create tasks and milestones from a template,Luo tehtäviä ja välitavoitteita mallista
Create your first project to get started.,Luo ensimmäinen projekti aloittaaksesi.
Create your first task to start tracking work on this project.,Luo ensimmäinen tehtävä aloittaaksesi työn seurannan tässä projektissa.
Created,Luotu
Creating...,Luodaan...
Critical,Kriittinen
Critical Path,Kriittinen polku
"Currency used for budgets, costs, and billing rates","Valuutta budjetteihin, kustannuksiin ja laskutushintoihin"
Current,Nykyinen
Current Assignments,Nykyiset toimeksiannot
Current scheduled time:,Nykyinen aikataulutettu aika:
Currently running version,Currently running version
d lag,pv viive
Daily Availability,Päivittäinen saatavuus
Daily Hours,Päivittäiset tunnit
Danger Zone,Vaaravyöhyke
Dark,Tumma
Dashboard,Koontinäyttö
Date,Päivämäärä
Date changes on this task will show cascade impact here,Tämän tehtävän päivämäärämuutokset näyttävät ketjuvaikutuksen täällä
Date cleared,Päivämäärä tyhjennetty
Date of Joining,Liittymispäivä
Date updated,Päivämäärä päivitetty
Dates,Päivämäärät
Dates cascaded,Päivämäärät ketjutettu
Dates will be relative to the project's start date.,Päivämäärät ovat suhteessa projektin aloituspäivään.
Day,Päivä
day,päivä
days,päivää
Days before due date to send reminder,Päiviä ennen eräpäivää muistutuksen lähettämiseksi
Days Overdue,Myöhässä päiviä
Days Remaining,Päiviä jäljellä
Deadline,Määräaika
Deadlines,Määräajat
Decision,Päätös
Decline,Hylkää
Declined,Hylätty
Default Currency,Oletusvaluutta
Default hours per week for contact capacity planning,Oletustunnit viikossa yhteyshenkilön kapasiteettisuunnitteluun
Default Priority,Oletusprioriteetti
Default Project Status,Projektin oletustila
Default Task Status,Tehtävän oletustila
Default task view,Oletustehtävänäkymä
Default Values,Oletusarvot
Default Weekly Capacity,Oletusviikkokapasiteetti
Defaults,Oletusarvot
Defect Cost Impact,Vian kustannusvaikutus
Defect name is required,Vian nimi on pakollinen
Defect Type,Vian tyyppi
Defect {0} not found,Vikaa {0} ei löytynyt
Defects,Viat
Defects & Issues,Viat ja ongelmat
Defects Resolved,Korjatut viat
Delayed,Viivästynyt
Delete,Poista
Delete Activity Data,Poista toimintatiedot
Delete all read notifications?,Poistetaanko kaikki luetut ilmoitukset?
Delete comment,Poista kommentti
Delete Contact,Poista yhteyshenkilö
Delete Event,Poista tapahtuma
Delete Event?,Poistetaanko tapahtuma?
Delete failed,Poistaminen epäonnistui
Delete file,Poista tiedosto
Delete item,Poista kohta
Delete note,Poista muistiinpano
Delete Project,Poista projekti
Delete Task,Poista tehtävä
Delete this project,Poista tämä projekti
Deleted,Poistettu
"Deleted project ""{0}"" ({1} tasks, {2} milestones)","Projekti ""{0}"" poistettu ({1} tehtävää, {2} välitavoitetta)"
Deletes notes and preferences. Source document is not affected.,Poistaa muistiinpanot ja asetukset. Lähdedokumenttiin ei kosketa.
Deleting...,Poistetaan...
Department,Osasto
Dependencies,Riippuvuudet
dependencies,riippuvuudet
Dependencies are informational only,Riippuvuudet ovat vain tiedoksi
dependency,riippuvuus
Dependency already exists,Riippuvuus on jo olemassa
Dependency Chain,Riippuvuusketju
Dependency created,Riippuvuus luotu
Dependency mode updated,Riippuvuustila päivitetty
Dependency name is required,Riippuvuuden nimi on pakollinen
Dependency task {0} not found,Riippuvuustehtävää {0} ei löytynyt
Dependency {0} not found,Riippuvuutta {0} ei löytynyt
depends,riippuu
Depends on Group,Riippuu ryhmästä
Depends on task is required,Riippuvuustehtävä on pakollinen
depends on...,riippuu...
Descending -- click to reverse,Laskeva -- käännä napsauttamalla
Describe the defect in detail...,Kuvaile vika yksityiskohtaisesti...
Description,Kuvaus
Description updated,Kuvaus päivitetty
Designation,Nimike
"Detailed description of the defect, location, and impact","Yksityiskohtainen kuvaus viasta, sijainnista ja vaikutuksesta"
Details,Tiedot
Discard timer,Hylkää ajastin
Discussion,Keskustelu
Dismiss,Dismiss
Display,Näyttö
Document,Dokumentti
Document attached to project,Dokumentti liitetty projektiin
Document final decision and rationale,Dokumentoi lopullinen päätös ja perustelut
Documentation Review,Dokumentaation katselmus
Documents,Dokumentit
Done,Valmis
Download,Lataa
Drag to create dependency,Vedä luodaksesi riippuvuuden
Dry Run,Koeajo
Dry Run Complete,Koeajo valmis
Due Date,Eräpäivä
Due date,Eräpäivä
Due Date (Earliest),Eräpäivä (aikaisin)
Due date cannot be before start date,Eräpäivä ei voi olla ennen aloituspäivää
Due date is in the past,Eräpäivä on menneisyydessä
Due Date Reminders,Eräpäivämuistutukset
Due Diligence,Ennakkoselvitys
Due Diligence Checklist,Ennakkoselvityksen tarkistuslista
Due This Week,Erääntyy tällä viikolla
Due:,Eräpäivä:
Duplicate events are not allowed,Päällekkäiset tapahtumat eivät ole sallittuja
Duplicate failed,Kahdentaminen epäonnistui
Duplicate Task,Kahdenna tehtävä
Duration,Kesto
Duration Summary,Keston yhteenveto
Duration:,Kesto:
e.g. Cracked wall finish in bathroom...,esim. Haljennut seinäpinta kylpyhuoneessa...
"e.g. Electrical, Plumbing...","esim. Sähkö, Putkityöt..."
Edit,Muokkaa
Edit (E),Muokkaa (E)
Edit dependency,Muokkaa riippuvuutta
Edit Event,Muokkaa tapahtumaa
Efficiency,Tehokkuus
Either dependency_name or depends_on is required,Joko dependency_name tai depends_on vaaditaan
Email,Sähköposti
Email invitations to all attendees,Sähköpostikutsut kaikille osallistujille
Email is required to create portal user,Sähköposti vaaditaan portaalikäyttäjän luomiseksi
Email notifications,Sähköposti-ilmoitukset
Employee,Työntekijä
