+ Add Milestone,+ Bæta við áfanga
"Prefix for auto-generated project codes (e.g., ORG-2026-0001)",Forskeyti fyrir sjálfvirkt búin verkefniskóða (t.d. ORG-2026-0001)
Prepare and document offer terms,Undirbúa og skrá tilboðsskilmála
Press,Ýttu á
Preview,Forskoðun
Preview cascade before applying,Forskoða keðjubreytingu áður en hún er notuð
Previous,Fyrri
Priority,Forgangur
Priority assigned to new tasks,Forgangur úthlutaður nýjum verkum
Priority updated,Forgangur uppfærður
Proficiency,Hæfni
Profile,Prófíll
Progress,Framvinda
Progress (High-Low),Framvinda (há-lág)
Progress (Low-High),Framvinda (lág-há)
Progress Overview,Yfirlit framvindu
Progress updated,Framvinda uppfærð
Project,Verkefni
Project budget has been saved.,Fjárhagsáætlun verkefnis hefur verið vistuð.
Project code (e.g. ORG-2026-0001),Verkefniskóði (t.d. ORG-2026-0001)
Project Code Prefix,Forskeyti verkefniskóða
Project created,Verkefni búið til
Project deleted,Verkefni eytt
Project description has been saved.,Verkefnislýsing hefur verið vistuð.
Project Details,Verkefnisupplýsingar
Project end date has been saved.,Lokadagsetning verkefnis hefur verið vistuð.
Project Files,Verkefnisskrár
Project has no linked client,Verkefni á engan tengdan viðskiptavin
Project Health,Heilsa verkefnis
Project Info,Verkefnisupplýsingar
Project is required,Verkefni er krafist
Project is required for project context,Verkefni er krafist fyrir verkefnissamhengi
Project is required when tracking context is 'project',"Verkefni er krafist þegar rakningarsamhengi er „verkefni""
Project name and template name are required,Nafn verkefnis og nafn sniðmáts eru krafist
Project name is required,Nafn verkefnis er krafist
Project not found,Verkefni fannst ekki
Project not found or you do not have access,Verkefni fannst ekki eða þú hefur ekki aðgang
Project settings,Verkefnisstillingar
Project start date has been saved.,Upphafsdagsetning verkefnis hefur verið vistuð.
Project title has been saved.,Titill verkefnis hefur verið vistaður.
Project updated,Verkefni uppfært
Project {0} linked to client {1},Verkefni {0} tengt viðskiptavini {1}
Project {0} not found,Verkefni {0} fannst ekki
Project {0} to Frappe Projects,Verkefni {0} yfir í Frappe Projects
Project:,Verkefni:
Projects,Verkefni
Projects Overview,Yfirlit verkefna
Projects created:,Verkefni búin til:
Projects skipped:,Verkefni sleppt:
Projects updated:,Verkefni uppfærð:
Promote failed,Uppfærsla mistókst
Promote to task,Umbreyta í verk
Promoted to task,Umbreytt í verk
Propose,Leggja til
Propose New Time,Leggja til nýjan tíma
Propose Time,Leggja til tíma
Proposed End,Tillaga um lok
Proposed Start,Tillaga um upphaf
Public,Opinbert
Quick Action,Flýtiaðgerð
Quick Actions,Flýtiaðgerðir
Quick Stats,Stuttar tölur
RSVP,RSVP
Rates,Gjöld
Receive notifications via email,Fá tilkynningar í tölvupósti
Receive notifications within the application,Fá tilkynningar innan forritsins
Recipient {0} is not a valid user,Viðtakandi {0} er ekki gildur notandi
Recent Activity,Nýleg virkni
Reference,Tilvísun
Refresh,Endurhlaða
Related,Tengt
Related Company (optional),Tengt fyrirtæki (valfrjálst)
Related Documents,Tengd skjöl
Related Project,Tengt verkefni
Remaining,Eftirstöðvar
Reminder,Áminning
Reminder Lead Time"""
Project Manager,Verkefnastjóri
Project Name,Nafn verkefnis
Project name and template name are required,Verkefnanafn og sniðmátsnafn eru nauðsynleg
Project name is required,Verkefnanafn er nauðsynlegt
Project not found,Verkefni fannst ekki
Project not found or you do not have access,Verkefni fannst ekki eða þú hefur ekki aðgang
Project settings,Verkefnisstillingar
Project start date has been saved.,Upphafsdagur verkefnis hefur verið vistaður.
Project title has been saved.,Titill verkefnis hefur verið vistaður.
Project Type,Tegund verkefnis
Project updated,Verkefni uppfært
Project {0} linked to client {1},Verkefni {0} tengt viðskiptavini {1}
Project {0} not found,Verkefni {0} fannst ekki
Project {0} to Frappe Projects,Verkefni {0} í Frappe Projects
Project:,Verkefni:
projects,verkefni
Projects,Verkefni
Projects created:,Verkefni búin til:
Projects Overview,Yfirlit verkefna
Projects skipped:,Verkefni sleppt:
Projects updated:,Verkefni uppfærð:
Promote failed,Hækkun mistókst
Promote to task,Hækka í verkefni
Promoted to task,Hækkað í verkefni
Propose,Leggja til
Propose New Time,Leggja til nýjan tíma
Propose Time,Leggja til tíma
Proposed End,Fyrirhugaðar lokar
Proposed Start,Fyrirhugað upphaf
Public,Opinbert
Quick Action,Flýtiaðgerð
Quick Actions,Flýtiaðgerðir
Quick Stats,Flýtitölfræði
Rates,Gjaldskrá
Receive notifications via email,Fá tilkynningar í tölvupósti
Receive notifications within the application,Fá tilkynningar í forritinu
Recent Activity,Nýleg virkni
Recipient {0} is not a valid user,Viðtakandi {0} er ekki gildur notandi
Reference,Tilvísun
Refresh,Endurhlaða
Related,Tengt
Related Company (optional),Tengt fyrirtæki (valfrjálst)
Related Documents,Tengd skjöl
Related Project,Tengt verkefni
Remaining,Eftir
Reminder,Áminning
Reminder Lead Time,Fyrirvarartími áminninga
Reminder: {0} - {1} at {2},Áminning: {0} - {1} kl. {2}
Remove,Fjarlægja
Remove dependency,Fjarlægja tengsl
Remove dependency on,Fjarlægja tengsl við
Remove from group,Fjarlægja úr hóp
Remove group dependency,Fjarlægja hóptengsl
Remove skill,Fjarlægja færni
Reopen,Opna aftur
Reopen thread,Opna umræðu aftur
reopened,opnað aftur
replies,svör
Reply,Svara
reply,svar
Replying to,Svara
Replying to comment,Svara athugasemd
Report Defect,Tilkynna galla
Reported Date,Dagsetning tilkynningar
Reports,Skýrslur
Reports To,Heyrir undir
Request Submitted!,Beiðni send!
Required,Krafist
required,krafist
Research,Rannsókn
Reset to Defaults,Endurstilla í sjálfgildi
Resolve,Leysa
Resolve thread,Leysa umræðu
Resolved,Leyst
Resolved date cannot be before reported date,Dagsetning lausnar getur ekki verið á undan tilkynningardagsetningu
Resource,Úrræði
Resource and skill name are required,Úrræði og nafn færni eru krafist
Resource is already an attendee,Úrræði er þegar þátttakandi
Resource name is required,Nafn úrræðis er krafist
Resource not found,Úrræði fannst ekki
Resource synced from employee {0},Úrræði samstillt frá starfsmanni {0}
Resource {0} is already assigned to this task ({1}),Úrræði {0} er þegar úthlutað þessu verki ({1})
Resource {0} not found,Úrræði {0} fannst ekki
Resources,Tengiliðir
Retry,Reyna aftur
Review,Yfirferð
Review all relevant documents and contracts,Yfirfara öll viðeigandi skjöl og samninga
Reviews,Yfirferðir
Risk Assessment,Áhættumat
Rollback,Afturkalla
Rolled back,Afturkallað
Room or address,Herbergi eða heimilisfang
RSVP,RSVP
Safety,Öryggi
Sat,Lau
Save,Vista
"Save a project as a template, or import one from a JSON file.","Vistaðu verkefni sem sniðmát, eða flyttu eitt inn úr JSON-skrá."
Save as Template,Vista sem sniðmát
Save Changes,Vista breytingar
Save failed,Vistun mistókst
Save Preferences,Vista stillingar
Save Template,Vista sniðmát
Saving...,Vista...
Schedule,Dagskrá
Schedule type is required for scheduled triggers,Tegund dagskrár er krafist fyrir tímasetta ræsa
Scheduled,Tímasett
Search,Leita
"Search by name, email, or skill...","Leita eftir nafni, netfangi eða færni..."
Search for a project...,Leita að verkefni...
Search for a task...,Leita að verki...
Search for an event...,Leita að viðburði...
Search for people to invite...,Leita að fólki til að bjóða...
Search tasks to link...,Leita að verkum til að tengja...
Search tasks...,Leita að verkum...
Search...,Leita...
Searching...,Leita...
Seen,Séð
Select a project if your request is related to a specific project.,Veldu verkefni ef beiðni þín tengist tilteknu verkefni.
Select a project...,Veldu verkefni...
Select a task from the Gantt chart to view and manage its details.,Veldu verk af Gantt-línuritinu til að skoða og stjórna upplýsingum þess.
Select a task from the list or Kanban board to view and manage its details.,Veldu verk af listanum eða Kanban-borðinu til að skoða og stjórna upplýsingum þess.
Select a template...,Veldu sniðmát...
Select priority...,Veldu forgang...
Select status...,Veldu stöðu...
Select task...,Veldu verk...
Select type...,Veldu tegund...
Selection,Val
Send,Senda
Send comment,Senda athugasemd
Send email invitations to attendees,Senda tölvupóstboð til þátttakenda
Send Invitations,Senda boð
Send notification when a task is assigned to a user,Senda tilkynningu þegar verki er úthlutað á notanda
Send notification when task status changes,Senda tilkynningu þegar staða verks breytist
Send reminder before task due date,Senda áminningu fyrir skiladag verks
sent,sent
Set rate,Stilla gjald
Settings,Stillingar
Settings saved successfully,Stillingar vistaðar
Severity,Alvarleiki
SF (Start-Finish),SF (Upphaf-Lok)
SF - Start-to-Finish,SF - Upphaf-til-Loka
Show,Sýna
Show all,Sýna allt
Show all changes,Sýna allar breytingar
Show Archived,Sýna safnað
Show full diff,Sýna allan mun
Show less,Sýna minna
Show more,Sýna meira
Skill added,Færni bætt við
Skill is required,Færni er krafist
Skill Name,Nafn færni
Skill removed,Færni fjarlægð
Skill {0} already exists for this resource,Færni {0} er þegar til fyrir þetta úrræði
Skills,Færni
Skills & Competencies,Færni og hæfni
Skip already migrated projects,Sleppa þegar fluttum verkefnum
Sort by,Raða eftir
Sort: Due Date,Raða: Skiladagur
Sort: Priority,Raða: Forgangur
Sort: Project,Raða: Verkefni
Sort: Status,Raða: Staða
Sort: Task,Raða: Verk
Source Code,Frumkóði
Spent,Eytt
Spent:,Eytt:
SS (Start-Start),SS (Upphaf-Upphaf)
SS - Start-to-Start,SS - Upphaf-til-Upphafs
Standalone,Sjálfstætt
Start,Upphaf
Start a discussion below,Byrjaðu umræðu hér að neðan
Start Date,Upphafsdagsetning
Start date,Upphafsdagsetning
Start Date (Earliest),Upphafsdagsetning (fyrsta)
Start date updated,Upphafsdagsetning uppfærð
Start date/time is required,Upphafsdagsetning/tími er krafist
Start Migration,Hefja flutning
Start the conversation below.,Byrjaðu samtalið hér að neðan.
Start Timer,Ræsa tímamæli
Start typing to search...,Byrjaðu að slá inn til að leita...
Start-to-Finish,Upphaf-til-Loka
Start-to-Start,Upphaf-til-Upphafs
Start:,Upphaf:
Statistics reset,Tölfræði endurstillt
Status,Staða
Status assigned to new projects,Staða úthlutuð nýjum verkefnum
Status assigned to new tasks,Staða úthlutuð nýjum verkum
Status Changes,Stöðubreytingar
Status updated,Staða uppfærð
Status:,Staða:
Stop,Stöðva
Stop & Save,Stöðva og vista
Stop Timer,Stöðva tímamæli
Stops current timer and starts for this event,Stöðvar núverandi tímamæli og ræsir fyrir þennan viðburð
Stops current timer and starts for this task,Stöðvar núverandi tímamæli og ræsir fyrir þetta verk
Subject,Efni
Subject cannot exceed 255 characters,Efni má ekki vera lengra en 255 stafir
Subject is required,Efni er krafist
Submit,Senda inn
Submit Another Request,Senda aðra beiðni
Submit Request,Senda beiðni
Submitting...,Sendi...
Successfully saved,Vistun tókst
Successors (Blocking),Eftirmenn (lokar á)
Sun,Sun
Supplier,Birgir
Support,Aðstoð
Switch to this event,Skipta yfir í þennan viðburð
Switch to this task,Skipta yfir í þetta verk
Sync direction is set to Frappe to Orga only,Samstillingarstefna stillt á Frappe til Orga eingöngu
Sync direction is set to Orga to Frappe only,Samstillingarstefna stillt á Orga til Frappe eingöngu
Sync not enabled for this project,Samstilling ekki virk fyrir þetta verkefni
System,Kerfi
Table,Tafla
Take ownership of this task,Taka þetta verk að þér
Target Date,Markdagsetning
Target End,Marklok
Target Project,Markverkefni
Target user is required for '{0}' action,"Marknotandi er krafist fyrir aðgerðina „{0}""
Task,Verk
Task '{0}' is due on {1}."""
task,verk
Task,Verkefni
Task '{0}' is due on {1}.,Verkefni '{0}' á að vera tilbúið {1}.
Task and resource are required,Verk og úrræði eru krafist
Task Assignment,Verkúthlutun
Task cannot be its own parent,Verk getur ekki verið sitt eigið yfirliður
Task cannot depend on itself,Verk getur ekki verið háð sjálfu sér
Task cannot depend on the group it belongs to,Verk getur ekki verið háð hópnum sem það tilheyrir
Task created,Verk búið til
Task deleted,Verki eytt
Task description has been saved.,Verklýsing hefur verið vistuð.
Task Details,Verkupplýsingar
Task due in {0} days: {1},Verk á dagskrá eftir {0} daga: {1}
Task due today: {0},Verk á dagskrá í dag: {0}
Task due tomorrow: {0},Verk á dagskrá á morgun: {0}
Task duplicated,Verk afritað
Task Group,Verkhópur
Task ID is required,Auðkenni verks er krafist
Task is blocked by incomplete dependencies,Verk er lokað á vegna ólokinna tengsla
Task is cancelled,Verki hefur verið hætt við
Task is completed,Verki er lokið
Task is no longer blocked by a group,Verk er ekki lengur lokað á af hóp
Task is required for task context,Verk er krafist fyrir verksamhengi
Task is required when tracking context is 'task',"Verk er krafist þegar rakningarsamhengi er „verk""
Task linked,Verk tengt
Task moved,Verk fært
Task name,Nafn verks
Task name is required,Nafn verks er krafist
Task removed from group,Verk fjarlægt úr hóp
Task subject is required,Efni verks er krafist
Task unblocked: {0},Verki opnað: {0}
Task unlinked,Verk aftengt
Task updated,Verk uppfært
Task {0} not found,Verk {0} fannst ekki
Task {0} not in project {1},Verk {0} er ekki í verkefni {1}
Task {0} to Frappe,Verk {0} yfir í Frappe
Tasks and milestones will be created with dates relative to the project start date."""
Task linked,Verkefni tengt
Task moved,Verkefni fært
Task name,Heiti verkefnis
Task name is required,Heiti verkefnis er nauðsynlegt
Task removed from group,Verkefni fjarlægt úr hópi
Task Subject,Efni verks
Task subject is required,Efni verkefnis er nauðsynlegt
Task Type,Tegund verks
Task unblocked: {0},Verkefni opnað: {0}
Task unlinked,Verkefni aftengt
Task updated,Verkefni uppfært
Task {0} not found,Verkefni {0} fannst ekki
Task {0} not in project {1},Verkefni {0} er ekki í verkefni {1}
Task {0} to Frappe,Verkefni {0} í Frappe
Tasks,Verk
tasks,verk
Tasks and milestones will be created with dates relative to the project start date.,Verkefni og áfangar verða búnir til með dagsetningum miðað við upphafsdag verkefnis.
Tasks assigned to you across all projects.,Verk úthlutað þér í öllum verkefnum.
Tasks created:,Verk búin til:
Tasks from projects you manage.,Verk úr verkefnum sem þú stýrir.
Tasks updated:,Verk uppfærð:
"Tasks, milestones, and dependencies have been created.","Verk, áfangar og tengsl hafa verið búin til."
Tasks:,Verk:
TBD,Óráðið
Team,Lið
Team Members,Liðsmenn
Template,Sniðmát
Template applied,Sniðmát notað
Template data is required in import data,Sniðmátsgögn eru krafist í innflutningsgögnum
Template has no data,Sniðmát inniheldur engin gögn
Template Name,Nafn sniðmáts
Template name,Nafn sniðmáts
Template name is required,Nafn sniðmáts er krafist
Template name is required in import data,Nafn sniðmáts er krafist í innflutningsgögnum
Template saved,Sniðmát vistað
Template updated successfully.,Sniðmát uppfært.
Template {0} not found,Sniðmát {0} fannst ekki
Templates,Sniðmát
Tentative,Óstaðfest
The comment has been deleted,Athugasemdinni hefur verið eytt
The project,Verkefnið
The source document may have been deleted.,Upprunaskjalið gæti hafa verið eytt.
The source document will not be affected.,Upprunaskjalið verður ekki fyrir áhrifum.
The status of '{0}' was changed from {1} to {2}.,"Staða „{0} var breytt úr {1} í {2}."""
Theme,Þema
Theme preference,Þemaval
This action,Þessi aðgerð
This action cannot be undone.,Þessa aðgerð er ekki hægt að afturkalla.
This activity has been flagged for attention,Þessi virkni hefur verið flagguð til athygli
This is a reminder for your upcoming appointment,Þetta er áminning um komandi tímabókun þína
This method is only meant for developer mode,Þessi aðferð er eingöngu fyrir þróunarham
This page wandered off,This page wandered off
This Week,Þessa viku
This will delete all notes and preferences associated with this activity.,Þetta mun eyða öllum athugasemdum og stillingum sem tengjast þessari virkni.
This will import all Frappe Projects into Orga. Continue?,Þetta mun flytja öll Frappe verkefni inn í Orga. Halda áfram?
This will permanently delete,Þetta mun eyða varanlega
This will permanently delete:,Þetta mun eyða varanlega:
Thu,Fim
Time,Tími
Time & Billing,Tími og reikningar
Time & Revenue,Tími og tekjur
Time Entries,Tímafærslur
Time log name is required,Nafn tímafærslu er krafist
Time Log not found,Tímafærsla fannst ekki
Time log {0} not found,Tímafærsla {0} fannst ekki
Time Logs,Tímafærslur
Time Summary,Tímayfirlit
Time Tracking,Tímaskráning
Timeline,Tímalína
Timer active on,Tímamælir virkur á
Timer is not running,Tímamælir er ekki í gangi
Timer Running,Tímamælir í gangi
Timer running,Tímamælir í gangi
Timesheet DocType not available,DocType tímaskýrslu er ekki tiltækt
Timesheets,Tímaskýrslur
Timezone,Tímabelti
Timezone is detected from your browser,Tímabelti er greint frá vafranum þínum
Title,Titill
Title cannot exceed 255 characters,Titill má ekki vera lengri en 255 stafir
Title is required,Titill er krafist
Title updated,Titill uppfærður
To,Til
to,til
to cancel,til að hætta við
to close,til að loka
to confirm:,til að staðfesta:
to edit,til að breyta
"to save,","til að vista,"
To Time cannot be before From Time,Lokatími getur ekki verið á undan upphafstíma
Today,Í dag
today,í dag
Toggle billable,Skipta um reikningshæfni
Toggle Details Panel,Sýna/fela upplýsingaglugga
Toggle Manager Panel,Sýna/fela stjórnendaglugga
Toggle Sidebar,Sýna/fela hliðarstiku
Tomorrow,Á morgun
tomorrow,á morgun
Total,Samtals
Total Budget,Heildarfjárhagsáætlun
Total Contacts,Tengiliðir alls
Total Cost,Heildarkostnaður
Total Cost to Org,Heildarkostnaður fyrir stofnun
Total Defect Cost,Heildarkostnaður galla
Total Hours,Heildarstundir
Total Hours Logged,Heildarstundir skráðar
Total Projects,Verkefni alls
Total Spent,Heildarnotkun
Total Tasks,Verk alls
Total:,Samtals:
Tracked,Rakið
trails to today while Open at 0%,framlengist til dagsins í dag á meðan Opið á 0%
Tried:,Tried:
Try adjusting your filter criteria,Prófaðu að breyta síuskilyrðum þínum
Try adjusting your filters.,Prófaðu að breyta síunum þínum.
Try Again,Reyndu aftur
Tue,Þri
Type,Tegund
Type updated,Tegund uppfærð
Type:,Tegund:
Typical response time: 1-2 business days,Dæmigerður svartími: 1-2 virkir dagar
Unarchive,Taka úr safni
Unarchive Activity,Taka virkni úr safni
Unassign,Afturkalla úthlutun
Unassigned,Óúthlutað
Under Budget,Undir fjárhagsáætlun
Ungrouped,Óhópað
Unknown,Óþekkt
Unknown error,Óþekkt villa
Unlink failed,Aftenging mistókst
Unlink task from milestone,Aftengja verk frá áfanga
Unpin,Losa
Unpin Activity,Losa virkni
Unread,Ólesið
Unread only,Aðeins ólesið
Until,Til og með
Up to Date,Up to Date
Upcoming,Framundan
upcoming,framundan
Update,Update
Update Available,Update Available
Update available,Update available
Update available: v{0},Update available: v{0}
Update check failed: {0},Update check failed: {0}
Update failed,Uppfærsla mistókst
Updated,Uppfært
Updated successfully,Uppfærsla tókst
Updates,Updates
Upload,Hlaða upp
Upload failed,Upphleðsla mistókst
Upload files below to attach them to this task.,Hladdu upp skrám hér að neðan til að hengja þær við þetta verk.
Upload to project,Hlaða upp í verkefni
Uploading...,Hleð upp...
Urgent,Áríðandi
User {0} is already linked to client {1},Notandi {0} er þegar tengdur viðskiptavini {1}
User {0} is already linked to resource {1},Notandi {0} er þegar tengdur úrræði {1}
Utilization,Nýting
Valid,Gilt
Value:,Gildi:
Variance,Frávik
Variance:,Frávik:
Version {0} is available. You are running {1}.,Version {0} is available. You are running {1}.
View,Skoða
View All,Skoða allt
View all active projects,Skoða öll virk verkefni
View all open tasks,Skoða öll opin verk
View overdue tasks,Skoða verk komin fram yfir frest
View Release,View Release
Visibility,Sýnileiki
Waiting for this task,Bíður eftir þessu verki
Waits for:,Bíður eftir:
Warning: Resource {0} status is {1},Viðvörun: Staða úrræðis {0} er {1}
Warning: Using HTTP instead of HTTPS. Webhook payloads may not be secure.,Viðvörun: Notað er HTTP í stað HTTPS. Gögn webhook eru hugsanlega ekki örugg.
Watch budget closely,Fylgjast vel með fjárhagsáætlun
We'll respond to:,Við svörum á:
Webhook deleted,Webhook eytt
Webhook name is required,Nafn webhook er krafist
Webhook not found,Webhook fannst ekki
Webhook URL is required,Webhook-slóð er krafist
Webhook URL must start with http:// or https://,Webhook-slóð verður að byrja á http:// eða https://
Wed,Mið
Week,Vika
Weekend,Helgi
Weekly Capacity,Vikuleg afkastageta
weekly capacity,vikuleg afkastageta
Weekly Capacity (h),Vikuleg afkastageta (klst)
Welcome,Velkomin
Welcome back!,Velkomin aftur!
Welcome to Orga,Velkomin í Orga
What are you working on?,Hvað ertu að vinna?
What did you work on?,Hvað vannstu?
When,Hvenær
When work begins,Þegar vinna hefst
When work is due,Þegar vinna er á dagskrá
Where,Hvar
Will capture:,Mun fanga:
Will create:,Mun búa til:
with checklist items,með gátlistaatriðum
Working,Í vinnslu
Workload,Vinnuálag
Workmanship,Handverksgæði
Write a comment...,Skrifaðu athugasemd...
Write a comment... Use @name to mention (Ctrl+Enter to send),Skrifaðu athugasemd... Notaðu @nafn til að nefna (Ctrl+Enter til að senda)
Year,Ár
Yes,Já
Yesterday,Í gær
yesterday,í gær
You are not an attendee of this appointment,Þú ert ekki þátttakandi í þessari tímabókun
You are not linked to any resource,Þú ert ekki tengd/ur neinu úrræði
You are running the latest version of Orga.,You are running the latest version of Orga.
You can only delete your own comments,Þú getur aðeins eytt eigin athugasemdum
You can only delete your own reactions,Þú getur aðeins eytt eigin viðbrögðum
You do not have access to the client portal. Please contact support.,Þú hefur ekki aðgang að viðskiptavinagáttinni. Hafðu samband við aðstoð.
You have already reacted with '{0}',"Þú hefur þegar brugðist við með „{0}""
You have been assigned to task '{0}' in project '{1}'."""
You have been assigned to task '{0}' in project '{1}'.,Þér hefur verið úthlutað verkefni '{0}' í verkefni '{1}'.
You have been assigned to: {0},Þér hefur verið úthlutað á: {0}
You have been invited to the following appointment,Þér hefur verið boðið í eftirfarandi tímabókun
You have no tasks assigned to you right now.,Þú hefur engin verk úthlutað þér núna.
You were mentioned in {0},Þú varst nefnd/ur í {0}
Your attendance,Þátttaka þín
Your comment has been posted,Athugasemd þín hefur verið birt
Your Projects,Þín verkefni
Your projects will appear here once they're assigned to you.,Verkefnin þín birtast hér þegar þeim hefur verið úthlutað til þín.
Your Response,Svar þitt
Your RSVP,RSVP þitt
Your support request has been submitted successfully.,Stuðningsbeiðni þín hefur verið send.
Your support request has been submitted successfully. We'll get back to you shortly.,Stuðningsbeiðni þín hefur verið send. Við svörum þér fljótlega.
"Your task ""{0}"" is no longer blocked and can now be started.","Verkið þitt „{0} er ekki lengur lokað á og er hægt að hefja."""
{0} is required,{0} er krafist
{0} new activities,{0} ný virkni
{0} of {1} completed,{0} af {1} lokið
{0} projects already migrated (will be skipped or updated),{0} verkefni þegar flutt (verður sleppt eða uppfært)
{0} status changed to {1},Staða {0} breytt í {1}
{0} tasks remaining,{0} verk eftir
{0} tasks without projects will be skipped,{0} verk án verkefna verður sleppt
{0} {1} not found,{0} {1} fannst ekki
