+ Add Milestone,+ မှတ်တိုင်ထည့်ရန်
"Currency used for budgets, costs, and billing rates",ဘတ်ဂျက်များ၊ ကုန်ကျစရိတ်များနှင့် ငွေတောင်းခံနှုန်းများအတွက် သုံးသော ငွေကြေးအမျိုးအစား
Current,လက်ရှိ
Current Assignments,လက်ရှိ တာဝန်ပေးအပ်မှုများ
Current scheduled time:,လက်ရှိ အချိန်ဇယား:
Currently running version,Currently running version
d lag,ရက် နှောင့်နှေးမှု
Daily Availability,နေ့စဉ် ရရှိနိုင်မှု
Daily Hours,နေ့စဉ် နာရီများ
Danger Zone,အန္တရာယ်ဇုန်
Dark,အမှောင်
Dashboard,ဒက်ရှ်ဘုတ်
Date,ရက်စွဲ
Date changes on this task will show cascade impact here,ဤလုပ်ငန်းပေါ်ရှိ ရက်ပြောင်းလဲမှုများသည် ဆင့်ကဲသက်ရောက်မှုကို ဤနေရာတွင် ပြသပါမည်
Date cleared,ရက်စွဲ ရှင်းလင်းပြီး
Date of Joining,ဝင်ရောက်သည့်ရက်
Date updated,ရက်စွဲ အပ်ဒိတ်ပြီး
Dates,ရက်စွဲများ
Dates cascaded,ရက်စွဲများ ဆင့်ကဲပြောင်းလဲပြီး
Dates will be relative to the project's start date.,ရက်စွဲများသည် ပရောဂျက်၏ စတင်ရက်နှင့် ဆက်စပ်ပါမည်။
Day,နေ့
day,ရက်
days,ရက်
Days before due date to send reminder,သတိပေးချက်ပို့ရန် သတ်မှတ်ရက်မတိုင်မီ ရက်အရေအတွက်
Days Overdue,သတ်မှတ်ရက်ကျော် ရက်အရေအတွက်
Days Remaining,ကျန်ရက်များ
Deadline,နောက်ဆုံးရက်
Deadlines,နောက်ဆုံးရက်များ
Decision,ဆုံးဖြတ်ချက်
Decline,ငြင်းပယ်ရန်
Declined,ငြင်းပယ်ပြီး
Default Currency,မူရင်း ငွေကြေးအမျိုးအစား
Default hours per week for contact capacity planning,ဆက်သွယ်ရန်သူ စွမ်းရည်စီမံကိန်းအတွက် တစ်ပတ်လျှင် မူရင်းနာရီ
Default Priority,မူရင်း ဦးစားပေး
Default Project Status,မူရင်း ပရောဂျက် အခြေအနေ
Default Task Status,မူရင်း လုပ်ငန်း အခြေအနေ
Default task view,မူရင်း လုပ်ငန်း မြင်ကွင်း
Default Values,မူရင်းတန်ဖိုးများ
Default Weekly Capacity,မူရင်း အပတ်စဉ် စွမ်းရည်
Defaults,မူရင်းများ
Defect Cost Impact,ချို့ယွင်းမှု ကုန်ကျစရိတ် သက်ရောက်မှု
Defect name is required,ချို့ယွင်းမှုအမည် လိုအပ်ပါသည်
Defect Type,ချို့ယွင်းမှု အမျိုးအစား
Defect {0} not found,ချို့ယွင်းမှု {0} မတွေ့ပါ
Defects,ချို့ယွင်းမှုများ
Defects & Issues,ချို့ယွင်းမှုများ နှင့် ပြဿနာများ
Defects Resolved,ဖြေရှင်းပြီးသော ချို့ယွင်းမှုများ
Delayed,နှောင့်နှေးနေသော
Delete,ဖျက်ရန်
Delete Activity Data,လုပ်ဆောင်ချက်ဒေတာ ဖျက်ရန်
Delete all read notifications?,ဖတ်ပြီးသော အကြောင်းကြားချက်အားလုံး ဖျက်မလား?
Delete comment,မှတ်ချက် ဖျက်ရန်
Delete Contact,ဆက်သွယ်ရန်သူ ဖျက်ရန်
Delete Event,ပွဲ ဖျက်ရန်
Delete Event?,ပွဲ ဖျက်မလား?
Delete failed,ဖျက်မှု မအောင်မြင်ပါ
Delete file,ဖိုင် ဖျက်ရန်
Delete item,အကြောင်းအရာ ဖျက်ရန်
Delete note,မှတ်စု ဖျက်ရန်
Delete Project,ပရောဂျက် ဖျက်ရန်
Delete Task,လုပ်ငန်း ဖျက်ရန်
Delete this project,ဤပရောဂျက် ဖျက်ရန်
Deleted,ဖျက်ပြီး
"Deleted project ""{0}"" ({1} tasks, {2} milestones)","ပရောဂျက် ""{0}"" ဖျက်ပြီး (လုပ်ငန်း {1} ခု၊ မှတ်တိုင် {2} ခု)"
Deletes notes and preferences. Source document is not affected.,မှတ်စုများနှင့် ရွေးချယ်မှုများကို ဖျက်သည်။ ရင်းမြစ်စာရွက်စာတမ်းကို မထိခိုက်ပါ။
Deleting...,ဖျက်နေသည်...
Department,ဌာန
Dependencies,မှီခိုမှုများ
dependencies,မှီခိုမှုများ
Dependencies are informational only,မှီခိုမှုများသည် အချက်အလက်အဖြစ်သာ ဖြစ်သည်
dependency,မှီခိုမှု
Dependency already exists,မှီခိုမှု ရှိပြီးသားဖြစ်သည်
Dependency Chain,မှီခိုမှု ကွင်းဆက်
Dependency created,မှီခိုမှု ဖန်တီးပြီး
Dependency mode updated,မှီခိုမှုမုဒ် အပ်ဒိတ်ပြီး
Dependency name is required,မှီခိုမှုအမည် လိုအပ်ပါသည်
Dependency task {0} not found,မှီခိုမှုလုပ်ငန်း {0} မတွေ့ပါ
Dependency {0} not found,မှီခိုမှု {0} မတွေ့ပါ
depends,မှီခို
Depends on Group,အုပ်စုပေါ် မှီခို
Depends on task is required,မှီခိုလုပ်ငန်း လိုအပ်ပါသည်
depends on...,မှီခိုသည်...
Descending -- click to reverse,ကြီးစဉ်ငယ်လိုက် -- ပြောင်းပြန်လှန်ရန် နှိပ်ပါ
Describe the defect in detail...,ချို့ယွင်းမှုကို အသေးစိတ် ဖော်ပြပါ...
Description,ဖော်ပြချက်
Description updated,ဖော်ပြချက် အပ်ဒိတ်ပြီး
Designation,ရာထူး
"Detailed description of the defect, location, and impact",ချို့ယွင်းမှု၊ တည်နေရာနှင့် သက်ရောက်မှု၏ အသေးစိတ် ဖော်ပြချက်
Details,အသေးစိတ်
Discard timer,အချိန်တိုင်း ပယ်ဖျက်ရန်
Discussion,ဆွေးနွေးမှု
Dismiss,Dismiss
Display,ပြသမှု
Document,စာရွက်စာတမ်း
Document attached to project,ပရောဂျက်သို့ ပူးတွဲထားသော စာရွက်စာတမ်း
Document final decision and rationale,နောက်ဆုံး ဆုံးဖြတ်ချက်နှင့် အကြောင်းပြချက်ကို မှတ်တမ်းတင်ရန်
Documentation Review,စာရွက်စာတမ်း သုံးသပ်ခြင်း
Documents,စာရွက်စာတမ်းများ
Done,ပြီးပြီ
Download,ဒေါင်းလုဒ်
Drag to create dependency,မှီခိုမှုဖန်တီးရန် ဆွဲယူပါ
Dry Run,စမ်းသပ်လည်ပတ်မှု
Dry Run Complete,စမ်းသပ်လည်ပတ်မှု ပြီးဆုံးပြီ
Due Date,သတ်မှတ်ရက်
Due date,သတ်မှတ်ရက်
Due Date (Earliest),သတ်မှတ်ရက် (အစောဆုံး)
Due date cannot be before start date,သတ်မှတ်ရက်သည် စတင်ရက်ထက် မစောရပါ
Due date is in the past,သတ်မှတ်ရက်သည် ကျော်လွန်ပြီးဖြစ်သည်
Due Date Reminders,သတ်မှတ်ရက် သတိပေးချက်များ
Due Diligence,စေ့စပ်သေချာမှု စစ်ဆေးခြင်း
Due Diligence Checklist,စေ့စပ်သေချာမှု စစ်ဆေးရန်စာရင်း
Due This Week,ဤအပတ် သတ်မှတ်ရက်ရောက်မည့်
Due:,သတ်မှတ်ရက်:
Duplicate events are not allowed,ထပ်တူပွဲများ ခွင့်မပြုပါ
Duplicate failed,ပွားယူမှု မအောင်မြင်ပါ
Duplicate Task,လုပ်ငန်း ပွားယူရန်
Duration,ကြာချိန်
Duration Summary,ကြာချိန် အကျဉ်းချုပ်
Duration:,ကြာချိန်:
e.g. Cracked wall finish in bathroom...,ဥပမာ - ရေချိုးခန်းတွင် နံရံအပြီးအသတ် အက်ကွဲခြင်း...
"e.g. Electrical, Plumbing...",ဥပမာ - လျှပ်စစ်၊ ပိုက်ဆက်...
Edit,တည်းဖြတ်ရန်
Edit (E),တည်းဖြတ်ရန် (E)
Edit dependency,မှီခိုမှု တည်းဖြတ်ရန်
Edit Event,ပွဲ တည်းဖြတ်ရန်
Efficiency,ထိရောက်မှု
Either dependency_name or depends_on is required,dependency_name သို့မဟုတ် depends_on တစ်ခုခု လိုအပ်ပါသည်
Email,အီးမေးလ်
Email invitations to all attendees,တက်ရောက်သူအားလုံးထံ အီးမေးလ် ဖိတ်ကြားစာ ပို့ရန်
Email is required to create portal user,ပေါ်တယ်အသုံးပြုသူ ဖန်တီးရန် အီးမေးလ် လိုအပ်ပါသည်
Email notifications,အီးမေးလ် အကြောင်းကြားချက်များ
Employee,ဝန်ထမ်း
Employee DocType not available,ဝန်ထမ်း DocType မရရှိနိုင်ပါ
Employee not found,ဝန်ထမ်း မတွေ့ပါ
Enable or disable optional features,ရွေးချယ်ခွင့်ရှိသော အင်္ဂါရပ်များ ဖွင့်ရန် သို့မဟုတ် ပိတ်ရန်
Enable Time Tracking,အချိန်ခြေရာခံမှု ဖွင့်ရန်
End,ပြီးဆုံး
End Date,ပြီးဆုံးရက်
End date,ပြီးဆုံးရက်
End Date cannot be before Start Date,ပြီးဆုံးရက်သည် စတင်ရက်ထက် မစောရပါ
End date cannot be before start date,ပြီးဆုံးရက်သည် စတင်ရက်ထက် မစောရပါ
End date updated,ပြီးဆုံးရက် အပ်ဒိတ်ပြီး
End time was before start time. Adjusted to 1 hour after start.,ပြီးဆုံးချိန်သည် စတင်ချိန်ထက် စောနေပါသည်။ စတင်ချိန်ပြီးနောက် ၁ နာရီသို့ ညှိပြီးပါပြီ။
End:,ပြီးဆုံး:
Enter milestone name...,မှတ်တိုင်အမည် ရိုက်ထည့်ပါ...
Enter project name,ပရောဂျက်အမည် ရိုက်ထည့်ပါ
Enter task title...,လုပ်ငန်းခေါင်းစဉ် ရိုက်ထည့်ပါ...
Enter template name,ပုံစံခွက်အမည် ရိုက်ထည့်ပါ
Enter your note... Use @name to mention someone,သင့်မှတ်စုကို ရိုက်ထည့်ပါ... တစ်စုံတစ်ဦးကို ရည်ညွှန်းရန် @name သုံးပါ
Error,အမှား
Error loading activity,လုပ်ဆောင်ချက် ဖွင့်ရာတွင် အမှားဖြစ်ပြီ
Error loading contacts,ဆက်သွယ်ရန်သူများ ဖွင့်ရာတွင် အမှားဖြစ်ပြီ
Error loading dashboard,ဒက်ရှ်ဘုတ် ဖွင့်ရာတွင် အမှားဖြစ်ပြီ
Error loading project,ပရောဂျက် ဖွင့်ရာတွင် အမှားဖြစ်ပြီ
Error loading projects,ပရောဂျက်များ ဖွင့်ရာတွင် အမှားဖြစ်ပြီ
Error loading settings,ဆက်တင်များ ဖွင့်ရာတွင် အမှားဖြစ်ပြီ
Error loading tasks,လုပ်ငန်းများ ဖွင့်ရာတွင် အမှားဖြစ်ပြီ
Error loading templates,ပုံစံခွက်များ ဖွင့်ရာတွင် အမှားဖြစ်ပြီ
Est. Hours,ခန့်မှန်း နာရီ
Estimated,ခန့်မှန်း
Estimated Cost,ခန့်မှန်း ကုန်ကျစရိတ်
Estimated Cost (€),ခန့်မှန်း ကုန်ကျစရိတ် (€)
Estimated Hours,ခန့်မှန်း နာရီများ
Estimated:,ခန့်မှန်း:
Evaluate potential risks and concerns,ဖြစ်နိုင်ခြေရှိသော အန္တရာယ်များနှင့် စိုးရိမ်မှုများကို အကဲဖြတ်ရန်
Event,ပွဲ
Event is required for event context,ပွဲအကြောင်းအရာအတွက် ပွဲ လိုအပ်ပါသည်
Event is required when tracking context is 'event',ခြေရာခံအကြောင်းအရာသည် 'ပွဲ' ဖြစ်သည့်အခါ ပွဲ လိုအပ်ပါသည်
Event Type,ပွဲ အမျိုးအစား
Events,ပွဲများ
Events not available. Please run: bench --site orga.localhost migrate,ပွဲများ မရရှိနိုင်ပါ။ ကျေးဇူးပြု၍ bench --site orga.localhost migrate ကို လည်ပတ်ပါ
Events:,ပွဲများ:
Expert,ကျွမ်းကျင်သူ
Explain why you are proposing a different time...,အချိန်အခြားတစ်ခု အဆိုပြုသည့် အကြောင်းရင်းကို ရှင်းပြပါ...
Export,တင်ပို့ရန်
Export failed,တင်ပို့မှု မအောင်မြင်ပါ
Export JSON,JSON တင်ပို့ရန်
Exported,တင်ပို့ပြီး
Exported to timesheet {0},အချိန်စာရင်း {0} သို့ တင်ပို့ပြီး
External,ပြင်ပ
Failed to add item,အကြောင်းအရာ ထည့်မှု မအောင်မြင်ပါ
Failed to add note,မှတ်စု ထည့်မှု မအောင်မြင်ပါ
Failed to add skill,ကျွမ်းကျင်မှု ထည့်မှု မအောင်မြင်ပါ
Failed to apply cascade changes: {0},ဆင့်ကဲပြောင်းလဲမှုများ အသုံးပြုမှု မအောင်မြင်ပါ: {0}
Failed to create defect,ချို့ယွင်းမှု ဖန်တီးမှု မအောင်မြင်ပါ
Failed to create dependency,မှီခိုမှု ဖန်တီးမှု မအောင်မြင်ပါ
Failed to create event,ပွဲ ဖန်တီးမှု မအောင်မြင်ပါ
Failed to create milestone,မှတ်တိုင် ဖန်တီးမှု မအောင်မြင်ပါ
Failed to create project,ပရောဂျက် ဖန်တီးမှု မအောင်မြင်ပါ
Failed to create task,လုပ်ငန်း ဖန်တီးမှု မအောင်မြင်ပါ
Failed to create time log,အချိန်မှတ်တမ်း ဖန်တီးမှု မအောင်မြင်ပါ
Failed to delete,ဖျက်မှု မအောင်မြင်ပါ
Failed to delete comment,မှတ်ချက် ဖျက်မှု မအောင်မြင်ပါ
Failed to delete contact,ဆက်သွယ်ရန်သူ ဖျက်မှု မအောင်မြင်ပါ
Failed to load,ဖွင့်မှု မအောင်မြင်ပါ
Failed to load activity,လုပ်ဆောင်ချက် ဖွင့်မှု မအောင်မြင်ပါ
Failed to load assignments,တာဝန်ပေးအပ်မှုများ ဖွင့်မှု မအောင်မြင်ပါ
Failed to load contact,ဆက်သွယ်ရန်သူ ဖွင့်မှု မအောင်မြင်ပါ
Failed to load dashboard data,ဒက်ရှ်ဘုတ်ဒေတာ ဖွင့်မှု မအောင်မြင်ပါ
Failed to load defects,ချို့ယွင်းမှုများ ဖွင့်မှု မအောင်မြင်ပါ
Failed to load events,ပွဲများ ဖွင့်မှု မအောင်မြင်ပါ
Failed to load project,ပရောဂျက် ဖွင့်မှု မအောင်မြင်ပါ
Failed to load projects,ပရောဂျက်များ ဖွင့်မှု မအောင်မြင်ပါ
Failed to load report data,အစီရင်ခံစာဒေတာ ဖွင့်မှု မအောင်မြင်ပါ
Failed to load settings,ဆက်တင်များ ဖွင့်မှု မအောင်မြင်ပါ
Failed to load tasks,လုပ်ငန်းများ ဖွင့်မှု မအောင်မြင်ပါ
Failed to move task,လုပ်ငန်း ရွှေ့မှု မအောင်မြင်ပါ
Failed to post comment,မှတ်ချက် တင်မှု မအောင်မြင်ပါ
Failed to propose new time,အချိန်အသစ် အဆိုပြုမှု မအောင်မြင်ပါ
Failed to remove item,အကြောင်းအရာ ဖယ်ရှားမှု မအောင်မြင်ပါ
Failed to remove skill,ကျွမ်းကျင်မှု ဖယ်ရှားမှု မအောင်မြင်ပါ
Failed to reorder milestones: {0},မှတ်တိုင်များ ပြန်စီမှု မအောင်မြင်ပါ: {0}
Failed to reorder tasks: {0},လုပ်ငန်းများ ပြန်စီမှု မအောင်မြင်ပါ: {0}
Failed to reschedule dependent tasks: {0},မှီခိုလုပ်ငန်းများ ပြန်စီစဉ်မှု မအောင်မြင်ပါ: {0}
Failed to save,သိမ်းဆည်းမှု မအောင်မြင်ပါ
Failed to save preferences,ရွေးချယ်မှုများ သိမ်းဆည်းမှု မအောင်မြင်ပါ
Failed to save settings,ဆက်တင်များ သိမ်းဆည်းမှု မအောင်မြင်ပါ
Failed to submit request. Please try again.,တောင်းဆိုချက် တင်သွင်းမှု မအောင်မြင်ပါ။ ထပ်မံကြိုးစားပါ။
Failed to update item,အကြောင်းအရာ အပ်ဒိတ်မှု မအောင်မြင်ပါ
Failed to update priority,ဦးစားပေး အပ်ဒိတ်မှု မအောင်မြင်ပါ
Failed to update task,လုပ်ငန်း အပ်ဒိတ်မှု မအောင်မြင်ပါ
Failed to update tasks: {0},လုပ်ငန်းများ အပ်ဒိတ်မှု မအောင်မြင်ပါ: {0}
Failed to upload avatar,ကိုယ်စားပြုပုံ တင်ပို့မှု မအောင်မြင်ပါ
Feature,အင်္ဂါရပ်
Features,အင်္ဂါရပ်များ
FF (Finish-Finish),FF (ပြီးဆုံး-ပြီးဆုံး)
FF - Finish-to-Finish,FF - ပြီးဆုံး-မှ-ပြီးဆုံး
Field has been updated,အကွက် အပ်ဒိတ်ပြီး
Field name is required for 'Set Field Value' action,'အကွက်တန်ဖိုးသတ်မှတ်' လုပ်ဆောင်ချက်အတွက် အကွက်အမည် လိုအပ်ပါသည်
Field {0} is not a Link field,အကွက် {0} သည် Link အကွက်မဟုတ်ပါ
Field {0} not found in {1},အကွက် {0} ကို {1} တွင် မတွေ့ပါ
file,ဖိုင်
File,ဖိုင်
File does not belong to this task,ဖိုင်သည် ဤလုပ်ငန်းနှင့် မသက်ဆိုင်ပါ
File name is required,ဖိုင်အမည် လိုအပ်ပါသည်
File uploaded,ဖိုင် တင်ပို့ပြီး
File {0} not found,ဖိုင် {0} မတွေ့ပါ
files,ဖိုင်များ
Files,ဖိုင်များ
Filter,စစ်ထုတ်ရန်
Final Decision,နောက်ဆုံး ဆုံးဖြတ်ချက်
Finance,ဘဏ္ဍာရေး
Financial,ဘဏ္ဍာရေးဆိုင်ရာ
Finish-to-Finish,ပြီးဆုံး-မှ-ပြီးဆုံး
Finish-to-Start,ပြီးဆုံး-မှ-စတင်
Flag,အလံ
Flag for attention,အာရုံစိုက်ရန် အလံထူ
Flagged,အလံထူပြီး
Focus Panel,အာရုံစိုက် ပန်နယ်
Follows your system preference. Currently:,သင့်စနစ် ရွေးချယ်မှုကို လိုက်နာသည်။ လက်ရှိ:
Frappe Project {0} not found,Frappe ပရောဂျက် {0} မတွေ့ပါ
Frappe Projects Migration,Frappe ပရောဂျက်များ ပြောင်းရွှေ့ခြင်း
Frappe Projects module not available,Frappe ပရောဂျက်များ မော်ဂျူး မရရှိနိုင်ပါ
Frappe Projects module not installed,Frappe ပရောဂျက်များ မော်ဂျူး ထည့်သွင်းမထားပါ
Frappe Projects sync is not enabled,Frappe ပရောဂျက်များ တစ်ပြိုင်နက်ချိန်ညှိမှု ဖွင့်မထားပါ
Frappe Task DocType not found,Frappe လုပ်ငန်း DocType မတွေ့ပါ
Frappe Task has no project,Frappe လုပ်ငန်းတွင် ပရောဂျက်မရှိပါ
Frappe Task {0} not found,Frappe လုပ်ငန်း {0} မတွေ့ပါ
Fri,သောကြာ
From,မှ
From Template,ပုံစံခွက်မှ
FS (Finish-Start),FS (ပြီးဆုံး-စတင်)
FS - Finish-to-Start (default),FS - ပြီးဆုံး-မှ-စတင် (မူရင်း)
Full form view with audit trail,စစ်ဆေးမှတ်တမ်းပါ ပုံစံအပြည့် မြင်ကွင်း
Full name,အမည်အပြည့်အစုံ
Gantt,Gantt
Gantt Chart,Gantt ဇယား
Gantt View,Gantt မြင်ကွင်း
General Note,အထွေထွေ မှတ်စု
Get started,စတင်ရန်
Go back,နောက်ပြန်သွားရန်
Go Back,Go Back
Group by,အုပ်စုခွဲရန်
Group dependency removed,အုပ်စုမှီခိုမှု ဖယ်ရှားပြီး
Group dependency set,အုပ်စုမှီခိုမှု သတ်မှတ်ပြီး
Group removed,အုပ်စု ဖယ်ရှားပြီး
Group updated,အုပ်စု အပ်ဒိတ်ပြီး
Hammock task dates are auto-calculated and cannot be changed manually,Hammock လုပ်ငန်းရက်များကို အလိုအလျောက် တွက်ချက်ပြီး ကိုယ်တိုင် ပြောင်းလဲ၍မရပါ
Have a question or need assistance? Fill out the form below and our team will get back to you.,မေးခွန်းရှိပါသလား သို့မဟုတ် အကူအညီလိုအပ်ပါသလား? အောက်ပါဖောင်ကို ဖြည့်ပါ၊ ကျွန်ုပ်တို့အဖွဲ့မှ ပြန်လည်ဆက်သွယ်ပါမည်။
Health,ကျန်းမာရေး
Healthy,ကျန်းမာသော
Hello {0},မင်္ဂလာပါ {0}
Here's what's happening with your projects today.,ယနေ့ သင့်ပရောဂျက်များတွင် ဖြစ်ပျက်နေသည့်အရာများ ဤတွင်ဖြစ်ပါသည်။
Hide,ဝှက်ရန်
High,မြင့်
History,မှတ်တမ်း
Home,ပင်မ
Hourly Cost,နာရီစဉ် ကုန်ကျစရိတ်
Hours,နာရီ
hours,နာရီ
Hours Logged,မှတ်တမ်းတင်ထားသော နာရီ
ID,ID
Image must be smaller than 5 MB,ပုံသည် 5 MB ထက် ငယ်ရပါမည်
Import,တင်သွင်းရန်
Import existing projects and tasks from Frappe Projects module,Frappe ပရောဂျက်များ မော်ဂျူးမှ ရှိပြီးသား ပရောဂျက်များနှင့် လုပ်ငန်းများ တင်သွင်းရန်
Import failed,တင်သွင်းမှု မအောင်မြင်ပါ
Import Template,ပုံစံခွက် တင်သွင်းရန်
Imported,တင်သွင်းပြီး
in,တွင်
In Progress,ဆောင်ရွက်ဆဲ
In Review,သုံးသပ်ဆဲ
In-app notifications,အက်ပ်အတွင်း အကြောင်းကြားချက်များ
Inactive,မလှုပ်ရှားသော
Initial Review,ကနဦး သုံးသပ်ခြင်း
Installed Version,Installed Version
Insufficient permissions to view all tasks,လုပ်ငန်းအားလုံး ကြည့်ရှုရန် ခွင့်ပြုချက် မလုံလောက်ပါ
Intermediate,အလယ်အလတ်
Internal,အတွင်းပိုင်း
Invalid DocType,မမှန်ကန်သော DocType
Invalid DocType for import,တင်သွင်းရန် မမှန်ကန်သော DocType
Invalid item type: {0},မမှန်ကန်သော အကြောင်းအရာ အမျိုးအစား: {0}
Invalid JSON data,မမှန်ကန်သော JSON ဒေတာ
Invalid note type. Must be one of: {0},မမှန်ကန်သော မှတ်စု အမျိုးအစား။ {0} ထဲမှ တစ်ခု ဖြစ်ရပါမည်
Invalid project reference,မမှန်ကန်သော ပရောဂျက် ရည်ညွှန်းချက်
Invalid reaction type. Must be one of: {0},မမှန်ကန်သော တုံ့ပြန်မှု အမျိုးအစား။ {0} ထဲမှ တစ်ခု ဖြစ်ရပါမည်
Invalid RSVP status,မမှန်ကန်သော RSVP အခြေအနေ
Invalid status. Must be one of: {0},မမှန်ကန်သော အခြေအနေ။ {0} ထဲမှ တစ်ခု ဖြစ်ရပါမည်
Invalid status: {0},မမှန်ကန်သော အခြေအနေ: {0}
Invalid status: {0}. Must be one of: {1},မမှန်ကန်သော အခြေအနေ: {0}။ {1} ထဲမှ တစ်ခု ဖြစ်ရပါမည်
Invalid tracking context: {0},မမှန်ကန်သော ခြေရာခံ အကြောင်းအရာ: {0}
Invalid visibility. Must be one of: {0},မမှန်ကန်သော မြင်နိုင်မှု။ {0} ထဲမှ တစ်ခု ဖြစ်ရပါမည်
Invitation: {0} - {1} at {2},ဖိတ်ကြားစာ: {0} - {1} တွင် {2}
Invite People,လူများ ဖိတ်ကြားရန်
"It's not you, it's the link. The page you're looking for might have been moved, renamed, or is taking a well-deserved coffee break. Your projects and data are perfectly safe.","It's not you, it's the link. The page you're looking for might have been moved, renamed, or is taking a well-deserved coffee break. Your projects and data are perfectly safe."
Item added,အကြောင်းအရာ ထည့်ပြီး
Item ID is required,အကြောင်းအရာ ID လိုအပ်ပါသည်
Item removed,အကြောင်းအရာ ဖယ်ရှားပြီး
Item type is required,အကြောင်းအရာ အမျိုးအစား လိုအပ်ပါသည်
Item {0} not found,အကြောင်းအရာ {0} မတွေ့ပါ
Job title or role,ရာထူး သို့မဟုတ် အခန်းကဏ္ဍ
Join Meeting,အစည်းအဝေး ဝင်ရောက်ရန်
Just now,ယခုလေးတင်
just now,ယခုလေးတင်
Kanban,ကန်ဘန်
Kanban Board,ကန်ဘန် ဘုတ်
Kanban View,ကန်ဘန် မြင်ကွင်း
Keyboard Shortcuts,ကီးဘုတ် အတိုကောက်များ
Keyboard shortcuts (?),ကီးဘုတ် အတိုကောက်များ (?)
Last checked: {0},Last checked: {0}
Last Updated,နောက်ဆုံး အပ်ဒိတ်
Last updated:,နောက်ဆုံး အပ်ဒိတ်:
Last Week,ပြီးခဲ့သောအပတ်
Latest Version,Latest Version
Light,အလင်း
Link failed,ချိတ်ဆက်မှု မအောင်မြင်ပါ
Link Task,လုပ်ငန်း ချိတ်ဆက်ရန်
Linked,ချိတ်ဆက်ပြီး
Linked employee not found,ချိတ်ဆက်ထားသော ဝန်ထမ်း မတွေ့ပါ
Linked Tasks,ချိတ်ဆက်ထားသော လုပ်ငန်းများ
List,စာရင်း
List View,စာရင်း မြင်ကွင်း
Load failed,ဖွင့်မှု မအောင်မြင်ပါ
Load More,ပိုမိုဖွင့်ရန်
Load more comments,မှတ်ချက်များ ပိုမိုဖွင့်ရန်
Loading activity...,လုပ်ဆောင်ချက် ဖွင့်နေသည်...
Loading changes...,ပြောင်းလဲမှုများ ဖွင့်နေသည်...
Loading checklist...,စစ်ဆေးရန်စာရင်း ဖွင့်နေသည်...
Loading comments...,မှတ်ချက်များ ဖွင့်နေသည်...
Loading contact...,ဆက်သွယ်ရန်သူ ဖွင့်နေသည်...
Loading contacts...,ဆက်သွယ်ရန်သူများ ဖွင့်နေသည်...
Loading dependencies...,မှီခိုမှုများ ဖွင့်နေသည်...
Loading details...,အသေးစိတ် ဖွင့်နေသည်...
Loading discussion...,ဆွေးနွေးမှု ဖွင့်နေသည်...
Loading events...,ပွဲများ ဖွင့်နေသည်...
Loading files...,ဖိုင်များ ဖွင့်နေသည်...
Loading notes...,မှတ်စုများ ဖွင့်နေသည်...
Loading preferences...,ရွေးချယ်မှုများ ဖွင့်နေသည်...
Loading project...,ပရောဂျက် ဖွင့်နေသည်...
Loading projects...,ပရောဂျက်များ ဖွင့်နေသည်...
Loading replies...,ပြန်ကြားချက်များ ဖွင့်နေသည်...
Loading report data...,အစီရင်ခံစာဒေတာ ဖွင့်နေသည်...
Loading settings...,ဆက်တင်များ ဖွင့်နေသည်...
Loading task...,လုပ်ငန်း ဖွင့်နေသည်...
Loading templates...,ပုံစံခွက်များ ဖွင့်နေသည်...
Loading time logs...,အချိန်မှတ်တမ်းများ ဖွင့်နေသည်...
Loading your portal...,သင့်ပေါ်တယ် ဖွင့်နေသည်...
Loading...,ဖွင့်နေသည်...
