+ Add Milestone,+ မှတ်တိုင်ထည့်ရန်
Location,တည်နေရာ
Log Time,အချိန် မှတ်တမ်းတင်ရန်
Logout,ထွက်ရန်
Low,နိမ့်
Make Offer,ကမ်းလှမ်းမှုပြုရန်
Manager,မန်နေဂျာ
Manual Entry,ကိုယ်တိုင် ထည့်သွင်းမှု
Margin,အမြတ်အငွေ
Mark all as read,အားလုံး ဖတ်ပြီးအဖြစ် မှတ်ရန်
Mark all read,အားလုံး ဖတ်ပြီးအဖြစ် မှတ်ရန်
Mark as read,ဖတ်ပြီးအဖြစ် မှတ်ရန်
Mark as unread,မဖတ်ရသေးအဖြစ် မှတ်ရန်
Mark read,ဖတ်ပြီးအဖြစ် မှတ်ရန်
Marking...,မှတ်နေသည်...
Material,ပစ္စည်း
Maybe,ဖြစ်နိုင်သည်
Medium,အလယ်အလတ်
Meeting,အစည်းအဝေး
Meeting Link,အစည်းအဝေး လင့်ခ်
Meeting title,အစည်းအဝေး ခေါင်းစဉ်
Meeting URL,အစည်းအဝေး URL
Meetings,အစည်းအဝေးများ
Mention,ရည်ညွှန်းခြင်း
Message,မက်ဆေ့ခ်ျ
Message is required,မက်ဆေ့ခ်ျ လိုအပ်ပါသည်
Message is required for '{0}' action,'{0}' လုပ်ဆောင်ချက်အတွက် မက်ဆေ့ခ်ျ လိုအပ်ပါသည်
Migrate,ပြောင်းရွှေ့ရန်
Migration Complete,ပြောင်းရွှေ့မှု ပြီးဆုံးပြီ
Migration ID:,ပြောင်းရွှေ့မှု ID:
Migration log not found: {0},ပြောင်းရွှေ့မှု မှတ်တမ်း မတွေ့ပါ: {0}
milestone,မှတ်တိုင်
Milestone,မှတ်တိုင်
Milestone created,မှတ်တိုင် ဖန်တီးပြီး
Milestone description has been saved.,မှတ်တိုင် ဖော်ပြချက် သိမ်းဆည်းပြီးပါပြီ။
Milestone ID is required,မှတ်တိုင် ID လိုအပ်ပါသည်
Milestone marked as Missed (past due date),မှတ်တိုင်ကို လွတ်သွားသည်ဟု မှတ်သားပြီး (သတ်မှတ်ရက်ကျော်)
Milestone moved,မှတ်တိုင် ရွှေ့ပြီး
Milestone Name,မှတ်တိုင် အမည်
Milestone name has been saved.,မှတ်တိုင်အမည် သိမ်းဆည်းပြီးပါပြီ။
Milestone name is required,မှတ်တိုင်အမည် လိုအပ်ပါသည်
Milestone updated,မှတ်တိုင် အပ်ဒိတ်ပြီး
Milestone {0} not found,မှတ်တိုင် {0} မတွေ့ပါ
Milestone {0} not in project {1},မှတ်တိုင် {0} သည် ပရောဂျက် {1} တွင် မရှိပါ
milestones,မှတ်တိုင်များ
Milestones,မှတ်တိုင်များ
Milestones:,မှတ်တိုင်များ:
Minutes,မိနစ်
Missed,လွတ်သွားသော
Mixed,ရောနှောသော
Mobile,မိုဘိုင်း
Moderate,အတန်အသင့်
Modified,ပြင်ဆင်ပြီး
"Modify details, time, or attendees",အသေးစိတ်များ၊ အချိန် သို့မဟုတ် တက်ရောက်သူများ ပြင်ဆင်ရန်
Mon,တနင်္လာ
Month,လ
Move failed,ရွှေ့မှု မအောင်မြင်ပါ
Must be a positive number,အပေါင်းကိန်း ဖြစ်ရပါမည်
Must finish before this finishes,ဤအရာ မပြီးဆုံးမီ ပြီးဆုံးရပါမည်
Must finish before this starts,ဤအရာ မစတင်မီ ပြီးဆုံးရပါမည်
Must start before this finishes,ဤအရာ မပြီးဆုံးမီ စတင်ရပါမည်
Must start before this starts,ဤအရာ မစတင်မီ စတင်ရပါမည်
My Assignments,ကျွန်ုပ်၏ တာဝန်ပေးအပ်မှုများ
My Projects,ကျွန်ုပ်၏ ပရောဂျက်များ
My Schedule,ကျွန်ုပ်၏ အချိန်ဇယား
My Tasks,ကျွန်ုပ်၏ လုပ်ငန်းများ
N/A,သက်ဆိုင်ခြင်းမရှိ
Name,အမည်
Name (A-Z),အမည် (A-Z)
Name (Z-A),အမည် (Z-A)
Name cannot exceed 255 characters,အမည်သည် စာလုံး ၂၅၅ လုံးထက် မကျော်ရပါ
Need help?,အကူအညီ လိုအပ်ပါသလား?
Needs Attention,အာရုံစိုက်ရန် လိုအပ်သော
Never,Never
new activities,လုပ်ဆောင်ချက်အသစ်များ
New Activity,လုပ်ဆောင်ချက်အသစ်
New activity,လုပ်ဆောင်ချက်အသစ်
New Event,ပွဲအသစ်
New index is required,အညွှန်းအသစ် လိုအပ်ပါသည်
New Project,ပရောဂျက်အသစ်
New tasks will auto-trail by default.,လုပ်ငန်းအသစ်များသည် မူရင်းအားဖြင့် အလိုအလျောက် လမ်းကြောင်းခံပါမည်။
Newest First,အသစ်ဆုံးအရင်
Next,နောက်
Next 14 days,နောက် ၁၄ ရက်
Next 30 days,နောက် ၃၀ ရက်
Next 60 days,နောက် ၆၀ ရက်
Next 7 days,နောက် ၇ ရက်
Next 90 days,နောက် ၉၀ ရက်
Next Week,လာမည့်အပတ်
Next:,နောက်:
No,မဟုတ်ပါ
No active assignments,လက်ရှိ တာဝန်ပေးအပ်မှု မရှိပါ
No active projects,လက်ရှိ ပရောဂျက် မရှိပါ
No active timer found,လက်ရှိ အချိန်တိုင်း မတွေ့ပါ
No activity selected,လုပ်ဆောင်ချက် ရွေးချယ်မထားပါ
No assignments found,တာဝန်ပေးအပ်မှု မတွေ့ပါ
No attendees,တက်ရောက်သူ မရှိပါ
no change,ပြောင်းလဲမှု မရှိ
No changes for this field.,ဤအကွက်အတွက် ပြောင်းလဲမှု မရှိပါ။
No changes recorded for this activity.,ဤလုပ်ဆောင်ချက်အတွက် ပြောင်းလဲမှု မှတ်တမ်းမရှိပါ။
No checklist items yet,စစ်ဆေးရန်စာရင်း အကြောင်းအရာ မရှိသေးပါ
No checklist items yet.,စစ်ဆေးရန်စာရင်း အကြောင်းအရာ မရှိသေးပါ။
No comments yet,မှတ်ချက် မရှိသေးပါ
No comments yet.,မှတ်ချက် မရှိသေးပါ။
No contacts available,ဆက်သွယ်ရန်သူ မရှိပါ
No content for this tab,ဤတက်ဘ်အတွက် အကြောင်းအရာ မရှိပါ
No data available,ဒေတာ မရရှိနိုင်ပါ
No data available for the selected filters,ရွေးချယ်ထားသော စစ်ထုတ်မှုများအတွက် ဒေတာ မရရှိနိုင်ပါ
No data to export,တင်ပို့ရန် ဒေတာ မရှိပါ
No dates set,ရက်စွဲ သတ်မှတ်မထားပါ
No defects reported,ချို့ယွင်းမှု သတင်းပို့ထားခြင်း မရှိပါ
No dependencies defined,မှီခိုမှု သတ်မှတ်ထားခြင်း မရှိပါ
No description,ဖော်ပြချက် မရှိပါ
No discussion yet.,ဆွေးနွေးမှု မရှိသေးပါ။
No documents attached,ပူးတွဲစာရွက်စာတမ်း မရှိပါ
No due date,သတ်မှတ်ရက် မရှိပါ
No employee linked to this resource,ဤအရင်းအမြစ်နှင့် ချိတ်ဆက်ထားသော ဝန်ထမ်း မရှိပါ
No ERPNext employee linked to resource,အရင်းအမြစ်နှင့် ချိတ်ဆက်ထားသော ERPNext ဝန်ထမ်း မရှိပါ
No events found,ပွဲ မတွေ့ပါ
No files attached yet.,ပူးတွဲဖိုင် မရှိသေးပါ။
No Frappe Project linked,ချိတ်ဆက်ထားသော Frappe ပရောဂျက် မရှိပါ
No Grouping,အုပ်စုခွဲခြင်း မရှိ
No items,အကြောင်းအရာ မရှိပါ
No matching tasks,ကိုက်ညီသော လုပ်ငန်း မရှိပါ
No matching tasks found,ကိုက်ညီသော လုပ်ငန်း မတွေ့ပါ
No migration history,ပြောင်းရွှေ့မှု မှတ်တမ်း မရှိပါ
No Milestone,မှတ်တိုင် မရှိပါ
No milestones,မှတ်တိုင် မရှိပါ
No milestones defined for this project.,ဤပရောဂျက်အတွက် မှတ်တိုင် သတ်မှတ်ထားခြင်း မရှိပါ။
No notes yet.,မှတ်စု မရှိသေးပါ။
No notes yet. Add a due diligence note to track progress.,မှတ်စု မရှိသေးပါ။ တိုးတက်မှုခြေရာခံရန် စေ့စပ်သေချာမှု မှတ်စုတစ်ခု ထည့်ပါ။
No notifications,အကြောင်းကြားချက် မရှိပါ
No Orga Project linked to Frappe Project {0},Frappe ပရောဂျက် {0} နှင့် ချိတ်ဆက်ထားသော Orga ပရောဂျက် မရှိပါ
No overdue tasks,သတ်မှတ်ရက်ကျော် လုပ်ငန်း မရှိပါ
No pending cascade changes,ဆင့်ကဲပြောင်းလဲမှု ဆိုင်းငံ့ထားခြင်း မရှိပါ
No predecessors - this task can start independently,ရှေ့လုပ်ငန်း မရှိ - ဤလုပ်ငန်းသည် သီးခြားစတင်နိုင်ပါသည်
No project,ပရောဂျက် မရှိပါ
No projects found,ပရောဂျက် မတွေ့ပါ
No Projects Yet,ပရောဂျက် မရှိသေးပါ
No recent activity,မကြာသေးမီ လုပ်ဆောင်ချက် မရှိပါ
No related documents,ဆက်စပ်စာရွက်စာတမ်း မရှိပါ
No resolved threads.,ဖြေရှင်းပြီးသော ဆွေးနွေးမှုချည် မရှိပါ။
No resources found,အရင်းအမြစ် မတွေ့ပါ
No results found,ရလဒ် မတွေ့ပါ
No skills listed,ကျွမ်းကျင်မှု စာရင်းမရှိပါ
No skills recorded yet,ကျွမ်းကျင်မှု မှတ်တမ်းတင်ထားခြင်း မရှိသေးပါ
No successors - no tasks are waiting for this one,နောက်ဆက်လုပ်ငန်း မရှိ - မည်သည့်လုပ်ငန်းမှ ဤလုပ်ငန်းကို မစောင့်ပါ
No task selected,လုပ်ငန်း ရွေးချယ်မထားပါ
No tasks assigned to you,သင့်ထံ တာဝန်ပေးထားသော လုပ်ငန်း မရှိပါ
No tasks available to add,ထည့်ရန် လုပ်ငန်း မရှိပါ
No tasks found,လုပ်ငန်း မတွေ့ပါ
No tasks linked to this milestone,ဤမှတ်တိုင်နှင့် ချိတ်ဆက်ထားသော လုပ်ငန်း မရှိပါ
No tasks with dates to display,ပြသရန် ရက်စွဲပါသော လုပ်ငန်း မရှိပါ
No tasks yet,လုပ်ငန်း မရှိသေးပါ
No team members,အဖွဲ့ဝင် မရှိပါ
No template,ပုံစံခွက် မရှိပါ
No templates yet,ပုံစံခွက် မရှိသေးပါ
No time data found,အချိန်ဒေတာ မတွေ့ပါ
No time logged today,ယနေ့ အချိန်မှတ်တမ်း မရှိပါ
No time logged yet,အချိန်မှတ်တမ်း မရှိသေးပါ
No time logs for this period,ဤကာလအတွက် အချိန်မှတ်တမ်း မရှိပါ
No time logs found,အချိန်မှတ်တမ်း မတွေ့ပါ
No unread notifications,မဖတ်ရသေးသော အကြောင်းကြားချက် မရှိပါ
No update information available yet.,No update information available yet.
None,မရှိ
Not found,မတွေ့ပါ
Not permitted,ခွင့်မပြုပါ
Not permitted to access this project,ဤပရောဂျက် ဝင်ရောက်ခွင့် မရှိပါ
Not permitted to access this task,ဤလုပ်ငန်း ဝင်ရောက်ခွင့် မရှိပါ
Not permitted to check for updates,Not permitted to check for updates
Not permitted to comment on this document,ဤစာရွက်စာတမ်းတွင် မှတ်ချက်ပေးခွင့် မရှိပါ
Not permitted to create clients,ဖောက်သည်များ ဖန်တီးခွင့် မရှိပါ
Not permitted to delete this client,ဤဖောက်သည်ကို ဖျက်ခွင့် မရှိပါ
Not permitted to delete this defect,ဤချို့ယွင်းမှုကို ဖျက်ခွင့် မရှိပါ
Not permitted to delete this note,ဤမှတ်စုကို ဖျက်ခွင့် မရှိပါ
Not permitted to delete this project,ဤပရောဂျက်ကို ဖျက်ခွင့် မရှိပါ
Not permitted to delete this task,ဤလုပ်ငန်းကို ဖျက်ခွင့် မရှိပါ
Not permitted to delete this time log,ဤအချိန်မှတ်တမ်းကို ဖျက်ခွင့် မရှိပါ
Not permitted to invite clients,ဖောက်သည်များ ဖိတ်ကြားခွင့် မရှိပါ
Not permitted to modify client access,ဖောက်သည် ဝင်ရောက်ခွင့် ပြင်ဆင်ခွင့် မရှိပါ
Not permitted to modify this project,ဤပရောဂျက် ပြင်ဆင်ခွင့် မရှိပါ
Not permitted to update settings,ဆက်တင်များ အပ်ဒိတ်ခွင့် မရှိပါ
Not permitted to update this client,ဤဖောက်သည်ကို အပ်ဒိတ်ခွင့် မရှိပါ
Not permitted to view this client,ဤဖောက်သည်ကို ကြည့်ရှုခွင့် မရှိပါ
not sent,မပို့ရသေး
Not set,သတ်မှတ်မထားပါ
Not specified,သတ်မှတ်မထားပါ
Note,မှတ်စု
Note (optional),မှတ်စု (ရွေးချယ်ခွင့်)
Note Content,မှတ်စု အကြောင်းအရာ
Note content is required,မှတ်စု အကြောင်းအရာ လိုအပ်ပါသည်
Note name is required,မှတ်စုအမည် လိုအပ်ပါသည်
Note not found,မှတ်စု မတွေ့ပါ
Note Type,မှတ်စု အမျိုးအစား
Notes,မှတ်စုများ
Notification,အကြောင်းကြားချက်
Notification not found,အကြောင်းကြားချက် မတွေ့ပါ
Notifications,အကြောင်းကြားချက်များ
Off Track,လမ်းကြောင်းလွဲနေသော
Offer,ကမ်းလှမ်းမှု
Offer Prepared,ကမ်းလှမ်းမှု ပြင်ဆင်ပြီး
Oldest First,အဟောင်းဆုံးအရင်
On Hold,ဆိုင်းငံ့
On Leave,ခွင့်ယူထား
On Track,လမ်းကြောင်းမှန်
On-Time Rate,အချိန်မှန်နှုန်း
Only administrators can delete activities,စီမံခန့်ခွဲသူများသာ လုပ်ဆောင်ချက်များ ဖျက်နိုင်ပါသည်
Only the comment author or administrators can delete comments,မှတ်ချက်ရေးသားသူ သို့မဟုတ် စီမံခန့်ခွဲသူများသာ မှတ်ချက်များ ဖျက်နိုင်ပါသည်
Only you and admins,သင်နှင့် စီမံခန့်ခွဲသူများသာ
Open,ဖွင့်ထား
Open in Desk,Desk တွင် ဖွင့်ရန်
Open Task Log,လုပ်ငန်း မှတ်တမ်း ဖွင့်ရန်
Open Tasks,ဖွင့်ထားသော လုပ်ငန်းများ
Optional,ရွေးချယ်ခွင့်
optional,ရွေးချယ်ခွင့်
Or email us directly at,သို့မဟုတ် ကျွန်ုပ်တို့ထံ တိုက်ရိုက် အီးမေးလ်ပို့ပါ
Orga Project {0} from Frappe Projects,Frappe ပရောဂျက်များမှ Orga ပရောဂျက် {0}
Orga Task {0} from Frappe,Frappe မှ Orga လုပ်ငန်း {0}
Organizer,စီစဉ်သူ
Other,အခြား
Over Budget,ဘတ်ဂျက်ကျော်
Overall Progress,အလုံးစုံ တိုးတက်မှု
Overall Utilization,အလုံးစုံ အသုံးချမှု
Overallocated,အလွန်အကျွံ ခွဲဝေထား
Overdue,သတ်မှတ်ရက်ကျော်
overdue,သတ်မှတ်ရက်ကျော်
Overdue Tasks,သတ်မှတ်ရက်ကျော် လုပ်ငန်းများ
Overview,ခြုံငုံသုံးသပ်ချက်
Owner,ပိုင်ရှင်
Page Not Found,စာမျက်နှာ မတွေ့ပါ
Parent,မိဘ
Parent comment must belong to the same document,မိဘမှတ်ချက်သည် တူညီသော စာရွက်စာတမ်းတွင် ပါဝင်ရပါမည်
Parent comment not found,မိဘမှတ်ချက် မတွေ့ပါ
Parent project not synced to Frappe yet,မိဘပရောဂျက်ကို Frappe သို့ ချိန်ညှိမထားသေးပါ
Parent project sync not enabled,မိဘပရောဂျက် ချိန်ညှိမှု ဖွင့်မထားပါ
Partner,လုပ်ဖော်ကိုင်ဖက်
Pending,ဆိုင်းငံ့ဆဲ
per page,စာမျက်နှာတစ်ခုလျှင်
Perform initial assessment and background check,ကနဦး အကဲဖြတ်မှုနှင့် နောက်ခံစစ်ဆေးမှု ပြုလုပ်ရန်
Permanently remove this event,ဤပွဲကို အပြီးအပိုင် ဖယ်ရှားရန်
Permanently remove this task,ဤလုပ်ငန်းကို အပြီးအပိုင် ဖယ်ရှားရန်
Phone,ဖုန်း
Pin,ပင်ထိုးရန်
Pin Activity,လုပ်ဆောင်ချက် ပင်ထိုးရန်
Pin to top,ထိပ်တွင် ပင်ထိုးရန်
Pinned,ပင်ထိုးပြီး
Planned budget for this task,ဤလုပ်ငန်းအတွက် စီစဉ်ထားသော ဘတ်ဂျက်
Planning,စီမံကိန်းရေးဆွဲခြင်း
Please describe your question or issue in detail...,သင့်မေးခွန်း သို့မဟုတ် ပြဿနာကို အသေးစိတ် ဖော်ပြပါ...
Please login to access Orga,Orga ဝင်ရောက်ရန် ကျေးဇူးပြု၍ ဝင်ရောက်ပါ
Please login to access the client portal,ဖောက်သည် ပေါ်တယ် ဝင်ရောက်ရန် ကျေးဇူးပြု၍ ဝင်ရောက်ပါ
Please respond to this invitation in Orga,ဤဖိတ်ကြားစာကို Orga တွင် ကျေးဇူးပြု၍ တုံ့ပြန်ပါ
Please select an image file,ကျေးဇူးပြု၍ ပုံဖိုင်တစ်ခု ရွေးချယ်ပါ
Please try again,ကျေးဇူးပြု၍ ထပ်မံကြိုးစားပါ
Please type,ကျေးဇူးပြု၍ ရိုက်ထည့်ပါ
Portal,ပေါ်တယ်
Portal access revoked for {0},{0} အတွက် ပေါ်တယ်ဝင်ရောက်ခွင့် ရုပ်သိမ်းပြီး
Portal user created successfully. Welcome email {0},ပေါ်တယ်အသုံးပြုသူ အောင်မြင်စွာ ဖန်တီးပြီးပါပြီ။ ကြိုဆိုရေး အီးမေးလ် {0}
Post,တင်ရန်
Powered by,ပံ့ပိုးသည်
Powered by Tonic,Tonic မှ ပံ့ပိုးသည်
Predecessors (Blocked By),ရှေ့လုပ်ငန်းများ (ပိတ်ဆို့ထားသည်)
Preferences,ရွေးချယ်မှုများ
Preferences saved successfully,ရွေးချယ်မှုများ အောင်မြင်စွာ သိမ်းဆည်းပြီးပါပြီ
"Prefix for auto-generated project codes (e.g., ORG-2026-0001)",အလိုအလျောက် ထုတ်ပေးသော ပရောဂျက်ကုဒ်များအတွက် ရှေ့ဆက် (ဥပမာ ORG-2026-0001)
Prepare and document offer terms,ကမ်းလှမ်းမှုစည်းကမ်းများ ပြင်ဆင်ပြီး မှတ်တမ်းတင်ရန်
Press,နှိပ်ပါ
Preview,အကြိုကြည့်ရှုမှု
Preview cascade before applying,အသုံးမပြုမီ ဆင့်ကဲပြောင်းလဲမှု အကြိုကြည့်ရှုရန်
Previous,ယခင်
Priority,ဦးစားပေး
Priority assigned to new tasks,လုပ်ငန်းအသစ်များသို့ ပေးအပ်ထားသော ဦးစားပေး
Priority updated,ဦးစားပေး အပ်ဒိတ်ပြီး
Proficiency,ကျွမ်းကျင်မှုအဆင့်
Profile,ပရိုဖိုင်
Progress,တိုးတက်မှု
Progress (High-Low),တိုးတက်မှု (မြင့်-နိမ့်)
Progress (Low-High),တိုးတက်မှု (နိမ့်-မြင့်)
Progress Overview,တိုးတက်မှု ခြုံငုံသုံးသပ်ချက်
Progress updated,တိုးတက်မှု အပ်ဒိတ်ပြီး
Project,ပရောဂျက်
Project budget has been saved.,ပရောဂျက်ဘတ်ဂျက် သိမ်းဆည်းပြီးပါပြီ။
Project code (e.g. ORG-2026-0001),ပရောဂျက်ကုဒ် (ဥပမာ ORG-2026-0001)
Project Code Prefix,ပရောဂျက်ကုဒ် ရှေ့ဆက်
Project created,ပရောဂျက် ဖန်တီးပြီး
Project deleted,ပရောဂျက် ဖျက်ပြီး
Project description has been saved.,ပရောဂျက် ဖော်ပြချက် သိမ်းဆည်းပြီးပါပြီ။
Project Details,ပရောဂျက် အသေးစိတ်
Project end date has been saved.,ပရောဂျက် ပြီးဆုံးရက် သိမ်းဆည်းပြီးပါပြီ။
Project Files,ပရောဂျက် ဖိုင်များ
Project has no linked client,ပရောဂျက်တွင် ချိတ်ဆက်ထားသော ဖောက်သည် မရှိပါ
Project Health,ပရောဂျက် ကျန်းမာရေး
Project Info,ပရောဂျက် အချက်အလက်
Project is required,ပရောဂျက် လိုအပ်ပါသည်
Project is required for project context,ပရောဂျက်အကြောင်းအရာအတွက် ပရောဂျက် လိုအပ်ပါသည်
Project is required when tracking context is 'project',ခြေရာခံအကြောင်းအရာသည် 'ပရောဂျက်' ဖြစ်သည့်အခါ ပရောဂျက် လိုအပ်ပါသည်
Project Manager,ပရောဂျက် မန်နေဂျာ
Project Name,ပရောဂျက် အမည်
Project name and template name are required,ပရောဂျက်အမည်နှင့် ပုံစံခွက်အမည် လိုအပ်ပါသည်
Project name is required,ပရောဂျက်အမည် လိုအပ်ပါသည်
Project not found,ပရောဂျက် မတွေ့ပါ
Project not found or you do not have access,ပရောဂျက် မတွေ့ပါ သို့မဟုတ် ဝင်ရောက်ခွင့် မရှိပါ
Project settings,ပရောဂျက် ဆက်တင်များ
Project start date has been saved.,ပရောဂျက် စတင်ရက် သိမ်းဆည်းပြီးပါပြီ။
Project title has been saved.,ပရောဂျက် ခေါင်းစဉ် သိမ်းဆည်းပြီးပါပြီ။
Project Type,ပရောဂျက် အမျိုးအစား
Project updated,ပရောဂျက် အပ်ဒိတ်ပြီး
Project {0} linked to client {1},ပရောဂျက် {0} ကို ဖောက်သည် {1} နှင့် ချိတ်ဆက်ပြီး
Project {0} not found,ပရောဂျက် {0} မတွေ့ပါ
Project {0} to Frappe Projects,ပရောဂျက် {0} ကို Frappe ပရောဂျက်များသို့
Project:,ပရောဂျက်:
projects,ပရောဂျက်များ
Projects,ပရောဂျက်များ
Projects created:,ဖန်တီးထားသော ပရောဂျက်များ:
Projects Overview,ပရောဂျက်များ ခြုံငုံသုံးသပ်ချက်
Projects skipped:,ကျော်လွှားထားသော ပရောဂျက်များ:
Projects updated:,အပ်ဒိတ်ထားသော ပရောဂျက်များ:
Promote failed,တိုးမြှင့်မှု မအောင်မြင်ပါ
Promote to task,လုပ်ငန်းအဖြစ် တိုးမြှင့်ရန်
Promoted to task,လုပ်ငန်းအဖြစ် တိုးမြှင့်ပြီး
Propose,အဆိုပြုရန်
Propose New Time,အချိန်အသစ် အဆိုပြုရန်
Propose Time,အချိန် အဆိုပြုရန်
Proposed End,အဆိုပြုထားသော ပြီးဆုံးချိန်
Proposed Start,အဆိုပြုထားသော စတင်ချိန်
Public,အများပြည်သူ
Quick Action,အမြန် လုပ်ဆောင်ချက်
Quick Actions,အမြန် လုပ်ဆောင်ချက်များ
Quick Stats,အမြန် စာရင်းအင်း
Rates,နှုန်းထားများ
Receive notifications via email,အီးမေးလ်မှတစ်ဆင့် အကြောင်းကြားချက်များ လက်ခံရန်
Receive notifications within the application,အက်ပ်အတွင်း အကြောင်းကြားချက်များ လက်ခံရန်
Recent Activity,မကြာသေးမီ လုပ်ဆောင်ချက်
Recipient {0} is not a valid user,လက်ခံသူ {0} သည် မှန်ကန်သော အသုံးပြုသူ မဟုတ်ပါ
Reference,ရည်ညွှန်းချက်
Refresh,ပြန်လည်ဖွင့်ရန်
Related,ဆက်စပ်
Related Company (optional),ဆက်စပ် ကုမ္ပဏီ (ရွေးချယ်ခွင့်)
Related Documents,ဆက်စပ် စာရွက်စာတမ်းများ
Related Project,ဆက်စပ် ပရောဂျက်
Remaining,ကျန်ရှိ
Reminder,သတိပေးချက်
Reminder Lead Time,သတိပေးချက် ကြိုတင်အချိန်
Reminder: {0} - {1} at {2},သတိပေးချက်: {0} - {1} တွင် {2}
Remove,ဖယ်ရှားရန်
Remove dependency,မှီခိုမှု ဖယ်ရှားရန်
Remove dependency on,မှီခိုမှု ဖယ်ရှားရန်
Remove from group,အုပ်စုမှ ဖယ်ရှားရန်
Remove group dependency,အုပ်စုမှီခိုမှု ဖယ်ရှားရန်
Remove skill,ကျွမ်းကျင်မှု ဖယ်ရှားရန်
Reopen,ပြန်ဖွင့်ရန်
Reopen thread,ဆွေးနွေးမှုချည် ပြန်ဖွင့်ရန်
reopened,ပြန်ဖွင့်ပြီး
replies,ပြန်ကြားချက်များ
Reply,ပြန်ကြားရန်
reply,ပြန်ကြားချက်
Replying to,ပြန်ကြားနေသည်
Replying to comment,မှတ်ချက်ကို ပြန်ကြားနေသည်
Report Defect,ချို့ယွင်းမှု သတင်းပို့ရန်
Reported Date,သတင်းပို့ရက်
Reports,အစီရင်ခံစာများ
Reports To,အစီရင်ခံရမည့်သူ
Request Submitted!,တောင်းဆိုချက် တင်သွင်းပြီး!
Required,လိုအပ်သော
required,လိုအပ်သော
Research,သုတေသန
Reset to Defaults,မူရင်းသို့ ပြန်လည်သတ်မှတ်ရန်
Resolve,ဖြေရှင်းရန်
Resolve thread,ဆွေးနွေးမှုချည် ဖြေရှင်းရန်
Resolved,ဖြေရှင်းပြီး
Resolved date cannot be before reported date,ဖြေရှင်းရက်သည် သတင်းပို့ရက်ထက် မစောရပါ
Resource,အရင်းအမြစ်
Resource and skill name are required,အရင်းအမြစ်နှင့် ကျွမ်းကျင်မှုအမည် လိုအပ်ပါသည်
Resource is already an attendee,အရင်းအမြစ်သည် တက်ရောက်သူ ဖြစ်ပြီးသားဖြစ်သည်
Resource name is required,အရင်းအမြစ်အမည် လိုအပ်ပါသည်
Resource not found,အရင်းအမြစ် မတွေ့ပါ
Resource synced from employee {0},ဝန်ထမ်း {0} မှ အရင်းအမြစ် ချိန်ညှိပြီး
Resource {0} is already assigned to this task ({1}),အရင်းအမြစ် {0} သည် ဤလုပ်ငန်းသို့ ({1}) တာဝန်ပေးပြီးသားဖြစ်သည်
Resource {0} not found,အရင်းအမြစ် {0} မတွေ့ပါ
Resources,အရင်းအမြစ်များ
Retry,ထပ်မံကြိုးစားရန်
Review,သုံးသပ်ခြင်း
Review all relevant documents and contracts,သက်ဆိုင်ရာ စာရွက်စာတမ်းများနှင့် စာချုပ်များအားလုံး သုံးသပ်ရန်
Reviews,သုံးသပ်ချက်များ
Risk Assessment,အန္တရာယ် အကဲဖြတ်ခြင်း
Rollback,ပြန်လှည့်ရန်
Rolled back,ပြန်လှည့်ပြီး
Room or address,အခန်း သို့မဟုတ် လိပ်စာ
RSVP,RSVP
Safety,ဘေးကင်းရေး
Sat,စနေ
Save,သိမ်းဆည်းရန်
"Save a project as a template, or import one from a JSON file.",ပရောဂျက်ကို ပုံစံခွက်အဖြစ် သိမ်းဆည်းပါ သို့မဟုတ် JSON ဖိုင်မှ တစ်ခု တင်သွင်းပါ။
Save as Template,ပုံစံခွက်အဖြစ် သိမ်းဆည်းရန်
Save Changes,ပြောင်းလဲမှုများ သိမ်းဆည်းရန်
Save failed,သိမ်းဆည်းမှု မအောင်မြင်ပါ
Save Preferences,ရွေးချယ်မှုများ သိမ်းဆည်းရန်
Save Template,ပုံစံခွက် သိမ်းဆည်းရန်
Saving...,သိမ်းဆည်းနေသည်...
Schedule,အချိန်ဇယား
