+ Add Milestone,+ မှတ်တိုင်ထည့်ရန်
Schedule type is required for scheduled triggers,အချိန်ဇယားအရ အစပျိုးမှုများအတွက် အချိန်ဇယားအမျိုးအစား လိုအပ်ပါသည်
Scheduled,အချိန်ဇယားသတ်မှတ်ပြီး
Search,ရှာဖွေရန်
"Search by name, email, or skill...",အမည်၊ အီးမေးလ် သို့မဟုတ် ကျွမ်းကျင်မှုဖြင့် ရှာဖွေပါ...
Search for a project...,ပရောဂျက် ရှာဖွေပါ...
Search for a task...,လုပ်ငန်း ရှာဖွေပါ...
Search for an event...,ပွဲ ရှာဖွေပါ...
Search for people to invite...,ဖိတ်ကြားရန် လူများ ရှာဖွေပါ...
Search tasks to link...,ချိတ်ဆက်ရန် လုပ်ငန်းများ ရှာဖွေပါ...
Search tasks...,လုပ်ငန်းများ ရှာဖွေပါ...
Search...,ရှာဖွေပါ...
Searching...,ရှာဖွေနေသည်...
Seen,မြင်ပြီး
Select a project if your request is related to a specific project.,သင့်တောင်းဆိုချက်သည် ပရောဂျက်တစ်ခုနှင့် သက်ဆိုင်ပါက ပရောဂျက်တစ်ခု ရွေးချယ်ပါ။
Select a project...,ပရောဂျက် ရွေးချယ်ပါ...
Select a task from the Gantt chart to view and manage its details.,အသေးစိတ်ကို ကြည့်ရှုပြီး စီမံခန့်ခွဲရန် Gantt ဇယားမှ လုပ်ငန်းတစ်ခု ရွေးချယ်ပါ။
Select a task from the list or Kanban board to view and manage its details.,အသေးစိတ်ကို ကြည့်ရှုပြီး စီမံခန့်ခွဲရန် စာရင်း သို့မဟုတ် ကန်ဘန်ဘုတ်မှ လုပ်ငန်းတစ်ခု ရွေးချယ်ပါ။
Select a template...,ပုံစံခွက် ရွေးချယ်ပါ...
Select priority...,ဦးစားပေး ရွေးချယ်ပါ...
Select status...,အခြေအနေ ရွေးချယ်ပါ...
Select task...,လုပ်ငန်း ရွေးချယ်ပါ...
Select type...,အမျိုးအစား ရွေးချယ်ပါ...
Selection,ရွေးချယ်မှု
Send,ပို့ရန်
Send comment,မှတ်ချက် ပို့ရန်
Send email invitations to attendees,တက်ရောက်သူများထံ အီးမေးလ် ဖိတ်ကြားစာ ပို့ရန်
Send Invitations,ဖိတ်ကြားစာများ ပို့ရန်
Send notification when a task is assigned to a user,အသုံးပြုသူတစ်ဦးထံ လုပ်ငန်း တာဝန်ပေးသည့်အခါ အကြောင်းကြားချက် ပို့ရန်
Send notification when task status changes,လုပ်ငန်း အခြေအနေ ပြောင်းလဲသည့်အခါ အကြောင်းကြားချက် ပို့ရန်
Send reminder before task due date,လုပ်ငန်း သတ်မှတ်ရက် မတိုင်မီ သတိပေးချက် ပို့ရန်
sent,ပို့ပြီး
Set rate,နှုန်း သတ်မှတ်ရန်
Settings,ဆက်တင်များ
Settings saved successfully,ဆက်တင်များ အောင်မြင်စွာ သိမ်းဆည်းပြီးပါပြီ
Severity,ပြင်းထန်မှု
SF (Start-Finish),SF (စတင်-ပြီးဆုံး)
SF - Start-to-Finish,SF - စတင်-မှ-ပြီးဆုံး
Show,ပြသရန်
Show all,အားလုံး ပြသရန်
Show all changes,ပြောင်းလဲမှုအားလုံး ပြသရန်
Show Archived,မှတ်တမ်းတင်ထားသည်များ ပြသရန်
Show full diff,ခြားနားချက်အပြည့် ပြသရန်
Show less,လျှော့ပြသရန်
Show more,ပိုပြသရန်
Skill added,ကျွမ်းကျင်မှု ထည့်ပြီး
Skill is required,ကျွမ်းကျင်မှု လိုအပ်ပါသည်
Skill Name,ကျွမ်းကျင်မှု အမည်
Skill removed,ကျွမ်းကျင်မှု ဖယ်ရှားပြီး
Skill {0} already exists for this resource,ကျွမ်းကျင်မှု {0} သည် ဤအရင်းအမြစ်အတွက် ရှိပြီးသားဖြစ်သည်
Skills,ကျွမ်းကျင်မှုများ
Skills & Competencies,ကျွမ်းကျင်မှုများ နှင့် အရည်အချင်းများ
Skip already migrated projects,ပြောင်းရွှေ့ပြီးသား ပရောဂျက်များ ကျော်လွှားရန်
Sort by,စီရန်
Sort: Due Date,စီရန်: သတ်မှတ်ရက်
Sort: Priority,စီရန်: ဦးစားပေး
Sort: Project,စီရန်: ပရောဂျက်
Sort: Status,စီရန်: အခြေအနေ
Sort: Task,စီရန်: လုပ်ငန်း
Source Code,ရင်းမြစ်ကုဒ်
Spent,သုံးစွဲပြီး
Spent:,သုံးစွဲပြီး:
SS (Start-Start),SS (စတင်-စတင်)
SS - Start-to-Start,SS - စတင်-မှ-စတင်
Standalone,သီးသန့်
Start,စတင်
Start a discussion below,အောက်တွင် ဆွေးနွေးမှု စတင်ပါ
Start Date,စတင်ရက်
Start date,စတင်ရက်
Start Date (Earliest),စတင်ရက် (အစောဆုံး)
Start date updated,စတင်ရက် အပ်ဒိတ်ပြီး
Start date/time is required,စတင်ရက်/အချိန် လိုအပ်ပါသည်
Start Migration,ပြောင်းရွှေ့မှု စတင်ရန်
Start the conversation below.,အောက်တွင် စကားဝိုင်း စတင်ပါ။
Start Timer,အချိန်တိုင်း စတင်ရန်
Start typing to search...,ရှာဖွေရန် စတင်ရိုက်ထည့်ပါ...
Start-to-Finish,စတင်-မှ-ပြီးဆုံး
Start-to-Start,စတင်-မှ-စတင်
Start:,စတင်:
Statistics reset,စာရင်းအင်း ပြန်လည်သတ်မှတ်ပြီး
Status,အခြေအနေ
Status assigned to new projects,ပရောဂျက်အသစ်များသို့ ပေးအပ်ထားသော အခြေအနေ
Status assigned to new tasks,လုပ်ငန်းအသစ်များသို့ ပေးအပ်ထားသော အခြေအနေ
Status Changes,အခြေအနေ ပြောင်းလဲမှုများ
Status updated,အခြေအနေ အပ်ဒိတ်ပြီး
Status:,အခြေအနေ:
Stop,ရပ်ရန်
Stop & Save,ရပ်ပြီး သိမ်းဆည်းရန်
Stop Timer,အချိန်တိုင်း ရပ်ရန်
Stops current timer and starts for this event,လက်ရှိ အချိန်တိုင်းကို ရပ်ပြီး ဤပွဲအတွက် စတင်သည်
Stops current timer and starts for this task,လက်ရှိ အချိန်တိုင်းကို ရပ်ပြီး ဤလုပ်ငန်းအတွက် စတင်သည်
Subject,အကြောင်းအရာ
Subject cannot exceed 255 characters,အကြောင်းအရာသည် စာလုံး ၂၅၅ လုံးထက် မကျော်ရပါ
Subject is required,အကြောင်းအရာ လိုအပ်ပါသည်
Submit,တင်သွင်းရန်
Submit Another Request,နောက်ထပ် တောင်းဆိုချက် တင်သွင်းရန်
Submit Request,တောင်းဆိုချက် တင်သွင်းရန်
Submitting...,တင်သွင်းနေသည်...
Successfully saved,အောင်မြင်စွာ သိမ်းဆည်းပြီး
Successors (Blocking),နောက်ဆက်လုပ်ငန်းများ (ပိတ်ဆို့နေသော)
Sun,တနင်္ဂနွေ
Supplier,ပေးသွင်းသူ
Support,ပံ့ပိုးမှု
Switch to this event,ဤပွဲသို့ ပြောင်းရန်
Switch to this task,ဤလုပ်ငန်းသို့ ပြောင်းရန်
Sync direction is set to Frappe to Orga only,ချိန်ညှိမှုလမ်းကြောင်းကို Frappe မှ Orga သို့သာ သတ်မှတ်ထားသည်
Sync direction is set to Orga to Frappe only,ချိန်ညှိမှုလမ်းကြောင်းကို Orga မှ Frappe သို့သာ သတ်မှတ်ထားသည်
Sync not enabled for this project,ဤပရောဂျက်အတွက် ချိန်ညှိမှု ဖွင့်မထားပါ
System,စနစ်
Table,ဇယား
Take ownership of this task,ဤလုပ်ငန်း၏ ပိုင်ဆိုင်မှုကို ယူရန်
Target Date,ရည်မှန်းရက်
Target End,ရည်မှန်း ပြီးဆုံးရက်
Target Project,ရည်မှန်း ပရောဂျက်
Target user is required for '{0}' action,'{0}' လုပ်ဆောင်ချက်အတွက် ရည်မှန်းအသုံးပြုသူ လိုအပ်ပါသည်
task,လုပ်ငန်း
Task,လုပ်ငန်း
Task '{0}' is due on {1}.,လုပ်ငန်း '{0}' ၏ သတ်မှတ်ရက်သည် {1} ဖြစ်ပါသည်။
Task and resource are required,လုပ်ငန်းနှင့် အရင်းအမြစ် လိုအပ်ပါသည်
Task Assignment,လုပ်ငန်း တာဝန်ပေးအပ်မှု
Task cannot be its own parent,လုပ်ငန်းသည် ၎င်း၏ကိုယ်ပိုင် မိဘ ဖြစ်၍မရပါ
Task cannot depend on itself,လုပ်ငန်းသည် ၎င်းကိုယ်တိုင်ကို မှီခို၍မရပါ
Task cannot depend on the group it belongs to,လုပ်ငန်းသည် ၎င်းပါဝင်သော အုပ်စုကို မှီခို၍မရပါ
Task created,လုပ်ငန်း ဖန်တီးပြီး
Task deleted,လုပ်ငန်း ဖျက်ပြီး
Task description has been saved.,လုပ်ငန်း ဖော်ပြချက် သိမ်းဆည်းပြီးပါပြီ။
Task Details,လုပ်ငန်း အသေးစိတ်
Task due in {0} days: {1},လုပ်ငန်း {0} ရက်အတွင်း သတ်မှတ်ရက်ရောက်မည်: {1}
Task due today: {0},ယနေ့ သတ်မှတ်ရက်ရောက်သော လုပ်ငန်း: {0}
Task due tomorrow: {0},မနက်ဖြန် သတ်မှတ်ရက်ရောက်သော လုပ်ငန်း: {0}
Task duplicated,လုပ်ငန်း ပွားယူပြီး
Task Group,လုပ်ငန်း အုပ်စု
Task ID is required,လုပ်ငန်း ID လိုအပ်ပါသည်
Task is blocked by incomplete dependencies,လုပ်ငန်းသည် မပြီးဆုံးသေးသော မှီခိုမှုများဖြင့် ပိတ်ဆို့ထားသည်
Task is cancelled,လုပ်ငန်း ပယ်ဖျက်ပြီး
Task is completed,လုပ်ငန်း ပြီးဆုံးပြီး
Task is no longer blocked by a group,လုပ်ငန်းသည် အုပ်စုဖြင့် ပိတ်ဆို့ထားခြင်း မရှိတော့ပါ
Task is required for task context,လုပ်ငန်းအကြောင်းအရာအတွက် လုပ်ငန်း လိုအပ်ပါသည်
Task is required when tracking context is 'task',ခြေရာခံအကြောင်းအရာသည် 'လုပ်ငန်း' ဖြစ်သည့်အခါ လုပ်ငန်း လိုအပ်ပါသည်
Task linked,လုပ်ငန်း ချိတ်ဆက်ပြီး
Task moved,လုပ်ငန်း ရွှေ့ပြီး
Task name,လုပ်ငန်းအမည်
Task name is required,လုပ်ငန်းအမည် လိုအပ်ပါသည်
Task removed from group,လုပ်ငန်းကို အုပ်စုမှ ဖယ်ရှားပြီး
Task Subject,လုပ်ငန်း အကြောင်းအရာ
Task subject is required,လုပ်ငန်း အကြောင်းအရာ လိုအပ်ပါသည်
Task Type,လုပ်ငန်း အမျိုးအစား
Task unblocked: {0},လုပ်ငန်း ပိတ်ဆို့မှုဖြေပြီး: {0}
Task unlinked,လုပ်ငန်း ချိတ်ဆက်ဖြုတ်ပြီး
Task updated,လုပ်ငန်း အပ်ဒိတ်ပြီး
Task {0} not found,လုပ်ငန်း {0} မတွေ့ပါ
Task {0} not in project {1},လုပ်ငန်း {0} သည် ပရောဂျက် {1} တွင် မရှိပါ
Task {0} to Frappe,လုပ်ငန်း {0} ကို Frappe သို့
Tasks,လုပ်ငန်းများ
tasks,လုပ်ငန်းများ
Tasks and milestones will be created with dates relative to the project start date.,လုပ်ငန်းများနှင့် မှတ်တိုင်များကို ပရောဂျက် စတင်ရက်နှင့် ဆက်စပ်သော ရက်စွဲများဖြင့် ဖန်တီးပါမည်။
Tasks assigned to you across all projects.,ပရောဂျက်အားလုံးတွင် သင့်ထံ တာဝန်ပေးထားသော လုပ်ငန်းများ။
Tasks created:,ဖန်တီးထားသော လုပ်ငန်းများ:
Tasks from projects you manage.,သင် စီမံခန့်ခွဲသော ပရောဂျက်များမှ လုပ်ငန်းများ။
Tasks updated:,အပ်ဒိတ်ထားသော လုပ်ငန်းများ:
"Tasks, milestones, and dependencies have been created.",လုပ်ငန်းများ၊ မှတ်တိုင်များနှင့် မှီခိုမှုများ ဖန်တီးပြီးပါပြီ။
Tasks:,လုပ်ငန်းများ:
TBD,နောင်တွင် ဆုံးဖြတ်ရန်
Team,အဖွဲ့
Team Members,အဖွဲ့ဝင်များ
Template,ပုံစံခွက်
Template applied,ပုံစံခွက် အသုံးပြုပြီး
Template data is required in import data,တင်သွင်းဒေတာတွင် ပုံစံခွက်ဒေတာ လိုအပ်ပါသည်
Template has no data,ပုံစံခွက်တွင် ဒေတာ မရှိပါ
Template Name,ပုံစံခွက် အမည်
Template name,ပုံစံခွက် အမည်
Template name is required,ပုံစံခွက်အမည် လိုအပ်ပါသည်
Template name is required in import data,တင်သွင်းဒေတာတွင် ပုံစံခွက်အမည် လိုအပ်ပါသည်
Template saved,ပုံစံခွက် သိမ်းဆည်းပြီး
Template updated successfully.,ပုံစံခွက် အောင်မြင်စွာ အပ်ဒိတ်ပြီးပါပြီ။
Template {0} not found,ပုံစံခွက် {0} မတွေ့ပါ
Templates,ပုံစံခွက်များ
Tentative,ယာယီ
The comment has been deleted,မှတ်ချက်ကို ဖျက်ပြီးပါပြီ
The project,ပရောဂျက်
The source document may have been deleted.,ရင်းမြစ်စာရွက်စာတမ်းကို ဖျက်ပြီးသားဖြစ်နိုင်ပါသည်။
The source document will not be affected.,ရင်းမြစ်စာရွက်စာတမ်းကို ထိခိုက်မှု မရှိပါ။
The status of '{0}' was changed from {1} to {2}.,'{0}' ၏ အခြေအနေကို {1} မှ {2} သို့ ပြောင်းလဲပြီး။
Theme,အပြင်အဆင်
Theme preference,အပြင်အဆင် ရွေးချယ်မှု
This action,ဤလုပ်ဆောင်ချက်
This action cannot be undone.,ဤလုပ်ဆောင်ချက်ကို ပြန်လည်ပြုလုပ်၍မရပါ။
This activity has been flagged for attention,ဤလုပ်ဆောင်ချက်ကို အာရုံစိုက်ရန် အလံထူထားပါသည်
This is a reminder for your upcoming appointment,ဤသည်မှာ သင့်လာမည့် ချိန်းဆိုမှုအတွက် သတိပေးချက်ဖြစ်ပါသည်
This method is only meant for developer mode,ဤနည်းလမ်းသည် ဆော့ဖ်ဝဲရေးသားသူ မုဒ်အတွက်သာ ဖြစ်ပါသည်
This page wandered off,This page wandered off
This Week,ဤအပတ်
This will delete all notes and preferences associated with this activity.,ဤလုပ်ဆောင်ချက်နှင့် ဆက်စပ်သော မှတ်စုများနှင့် ရွေးချယ်မှုများအားလုံးကို ဖျက်ပါမည်။
This will import all Frappe Projects into Orga. Continue?,Frappe ပရောဂျက်အားလုံးကို Orga သို့ တင်သွင်းပါမည်။ ဆက်လက်မလား?
This will permanently delete,ဤအရာကို အပြီးအပိုင် ဖျက်ပါမည်
This will permanently delete:,ဤအရာများကို အပြီးအပိုင် ဖျက်ပါမည်:
Thu,ကြာသပတေး
Time,အချိန်
Time & Billing,အချိန် နှင့် ငွေတောင်းခံမှု
Time & Revenue,အချိန် နှင့် ဝင်ငွေ
Time Entries,အချိန် ထည့်သွင်းမှုများ
Time log name is required,အချိန်မှတ်တမ်းအမည် လိုအပ်ပါသည်
Time Log not found,အချိန်မှတ်တမ်း မတွေ့ပါ
Time log {0} not found,အချိန်မှတ်တမ်း {0} မတွေ့ပါ
Time Logs,အချိန်မှတ်တမ်းများ
Time Summary,အချိန် အကျဉ်းချုပ်
Time Tracking,အချိန် ခြေရာခံမှု
Timeline,အချိန်မျဉ်း
Timer active on,အချိန်တိုင်း လည်ပတ်နေသည်
Timer is not running,အချိန်တိုင်း လည်ပတ်နေခြင်း မရှိပါ
Timer Running,အချိန်တိုင်း လည်ပတ်နေသည်
Timer running,အချိန်တိုင်း လည်ပတ်နေသည်
Timesheet DocType not available,အချိန်စာရင်း DocType မရရှိနိုင်ပါ
Timesheets,အချိန်စာရင်းများ
Timezone,အချိန်ဇုန်
Timezone is detected from your browser,အချိန်ဇုန်ကို သင့်ဘရောက်ဆာမှ သိရှိပါသည်
Title,ခေါင်းစဉ်
Title cannot exceed 255 characters,ခေါင်းစဉ်သည် စာလုံး ၂၅၅ လုံးထက် မကျော်ရပါ
Title is required,ခေါင်းစဉ် လိုအပ်ပါသည်
Title updated,ခေါင်းစဉ် အပ်ဒိတ်ပြီး
To,သို့
to,သို့
to cancel,ပယ်ဖျက်ရန်
to close,ပိတ်ရန်
to confirm:,အတည်ပြုရန်:
to edit,တည်းဖြတ်ရန်
"to save,",သိမ်းဆည်းရန်၊
To Time cannot be before From Time,ပြီးဆုံးချိန်သည် စတင်ချိန်ထက် မစောရပါ
Today,ယနေ့
today,ယနေ့
Toggle billable,ငွေတောင်းခံနိုင်မှု ပြောင်းရန်
Toggle Details Panel,အသေးစိတ် ပန်နယ် ပြောင်းရန်
Toggle Manager Panel,မန်နေဂျာ ပန်နယ် ပြောင်းရန်
Toggle Sidebar,ဘေးဘား ပြောင်းရန်
Tomorrow,မနက်ဖြန်
tomorrow,မနက်ဖြန်
Total,စုစုပေါင်း
Total Budget,စုစုပေါင်း ဘတ်ဂျက်
Total Contacts,စုစုပေါင်း ဆက်သွယ်ရန်သူများ
Total Cost,စုစုပေါင်း ကုန်ကျစရိတ်
Total Cost to Org,အဖွဲ့အစည်းအတွက် စုစုပေါင်း ကုန်ကျစရိတ်
Total Defect Cost,စုစုပေါင်း ချို့ယွင်းမှု ကုန်ကျစရိတ်
Total Hours,စုစုပေါင်း နာရီ
Total Hours Logged,စုစုပေါင်း မှတ်တမ်းတင်ထားသော နာရီ
Total Projects,စုစုပေါင်း ပရောဂျက်များ
Total Spent,စုစုပေါင်း သုံးစွဲပြီး
Total Tasks,စုစုပေါင်း လုပ်ငန်းများ
Total:,စုစုပေါင်း:
Tracked,ခြေရာခံပြီး
trails to today while Open at 0%,ဖွင့်ထားချိန် ၀% ဖြင့် ယနေ့အထိ လမ်းကြောင်းခံသည်
Tried:,Tried:
Try adjusting your filter criteria,သင့် စစ်ထုတ်မှုစံနှုန်းများကို ပြင်ဆင်ကြည့်ပါ
Try adjusting your filters.,သင့် စစ်ထုတ်မှုများကို ပြင်ဆင်ကြည့်ပါ။
Try Again,ထပ်မံကြိုးစားရန်
Tue,အင်္ဂါ
Type,အမျိုးအစား
Type updated,အမျိုးအစား အပ်ဒိတ်ပြီး
Type:,အမျိုးအစား:
Typical response time: 1-2 business days,ပုံမှန် တုံ့ပြန်ချိန်: ရုံးဖွင့်ရက် ၁-၂ ရက်
Unarchive,မှတ်တမ်းမှ ပြန်ထုတ်ရန်
Unarchive Activity,လုပ်ဆောင်ချက်ကို မှတ်တမ်းမှ ပြန်ထုတ်ရန်
Unassign,တာဝန်ဖြုတ်ရန်
Unassigned,တာဝန်မပေးရသေး
Under Budget,ဘတ်ဂျက်အောက်
Ungrouped,အုပ်စုမခွဲရသေး
Unknown,မသိ
Unknown error,မသိသော အမှား
Unlink failed,ချိတ်ဆက်ဖြုတ်မှု မအောင်မြင်ပါ
Unlink task from milestone,လုပ်ငန်းကို မှတ်တိုင်မှ ချိတ်ဆက်ဖြုတ်ရန်
Unpin,ပင်ဖြုတ်ရန်
Unpin Activity,လုပ်ဆောင်ချက် ပင်ဖြုတ်ရန်
Unread,မဖတ်ရသေး
Unread only,မဖတ်ရသေးသည်များသာ
Until,အထိ
Up to Date,Up to Date
Upcoming,လာမည့်
upcoming,လာမည့်
Update,Update
Update Available,Update Available
Update available,Update available
Update available: v{0},Update available: v{0}
Update check failed: {0},Update check failed: {0}
Update failed,အပ်ဒိတ်မှု မအောင်မြင်ပါ
Updated,အပ်ဒိတ်ပြီး
Updated successfully,အောင်မြင်စွာ အပ်ဒိတ်ပြီး
Updates,Updates
Upload,တင်ပို့ရန်
Upload failed,တင်ပို့မှု မအောင်မြင်ပါ
Upload files below to attach them to this task.,ဤလုပ်ငန်းသို့ ပူးတွဲရန် အောက်တွင် ဖိုင်များ တင်ပို့ပါ။
Upload to project,ပရောဂျက်သို့ တင်ပို့ရန်
Uploading...,တင်ပို့နေသည်...
Urgent,အရေးတကြီး
User {0} is already linked to client {1},အသုံးပြုသူ {0} သည် ဖောက်သည် {1} နှင့် ချိတ်ဆက်ပြီးသားဖြစ်သည်
User {0} is already linked to resource {1},အသုံးပြုသူ {0} သည် အရင်းအမြစ် {1} နှင့် ချိတ်ဆက်ပြီးသားဖြစ်သည်
Utilization,အသုံးချမှု
Valid,မှန်ကန်သော
Value:,တန်ဖိုး:
Variance,ကွဲလွဲမှု
Variance:,ကွဲလွဲမှု:
Version {0} is available. You are running {1}.,Version {0} is available. You are running {1}.
View,ကြည့်ရှုရန်
View All,အားလုံး ကြည့်ရှုရန်
View all active projects,လက်ရှိ ပရောဂျက်အားလုံး ကြည့်ရှုရန်
View all open tasks,ဖွင့်ထားသော လုပ်ငန်းအားလုံး ကြည့်ရှုရန်
View overdue tasks,သတ်မှတ်ရက်ကျော် လုပ်ငန်းများ ကြည့်ရှုရန်
View Release,View Release
Visibility,မြင်နိုင်မှု
Waiting for this task,ဤလုပ်ငန်းကို စောင့်နေသည်
Waits for:,စောင့်နေသည်:
Warning: Resource {0} status is {1},သတိပေးချက်: အရင်းအမြစ် {0} ၏ အခြေအနေမှာ {1} ဖြစ်သည်
Warning: Using HTTP instead of HTTPS. Webhook payloads may not be secure.,သတိပေးချက်: HTTPS အစား HTTP အသုံးပြုနေသည်။ Webhook ဒေတာများ လုံခြုံမှုမရှိနိုင်ပါ။
Watch budget closely,ဘတ်ဂျက်ကို အနီးကပ် စောင့်ကြည့်ရန်
We'll respond to:,ကျွန်ုပ်တို့ ပြန်ကြားပါမည်:
Webhook deleted,Webhook ဖျက်ပြီး
Webhook name is required,Webhook အမည် လိုအပ်ပါသည်
Webhook not found,Webhook မတွေ့ပါ
Webhook URL is required,Webhook URL လိုအပ်ပါသည်
Webhook URL must start with http:// or https://,Webhook URL သည် http:// သို့မဟုတ် https:// ဖြင့် စတင်ရပါမည်
Wed,ဗုဒ္ဓဟူး
Week,အပတ်
Weekend,အပတ်ကုန်
Weekly Capacity,အပတ်စဉ် စွမ်းရည်
weekly capacity,အပတ်စဉ် စွမ်းရည်
Weekly Capacity (h),အပတ်စဉ် စွမ်းရည် (နာ)
Welcome,ကြိုဆိုပါသည်
Welcome back!,ပြန်လည်ကြိုဆိုပါသည်!
Welcome to Orga,Orga မှ ကြိုဆိုပါသည်
What are you working on?,ဘာလုပ်နေပါသလဲ?
What did you work on?,ဘာလုပ်ခဲ့ပါသလဲ?
When,အချိန်
When work begins,အလုပ်စတင်သည့်အခါ
When work is due,အလုပ်သတ်မှတ်ရက်ရောက်သည့်အခါ
Where,နေရာ
Will capture:,သိမ်းဆည်းမည်:
Will create:,ဖန်တီးမည်:
with checklist items,စစ်ဆေးရန်စာရင်း အကြောင်းအရာများနှင့်
Working,အလုပ်လုပ်နေ
Workload,အလုပ်ဝန်
Workmanship,လက်ရာ
Write a comment...,မှတ်ချက် ရေးပါ...
Write a comment... Use @name to mention (Ctrl+Enter to send),မှတ်ချက် ရေးပါ... ရည်ညွှန်းရန် @name သုံးပါ (ပို့ရန် Ctrl+Enter)
Year,နှစ်
Yes,ဟုတ်ကဲ့
Yesterday,မနေ့က
yesterday,မနေ့က
You are not an attendee of this appointment,သင်သည် ဤချိန်းဆိုမှု၏ တက်ရောက်သူ မဟုတ်ပါ
You are not linked to any resource,သင်သည် မည်သည့်အရင်းအမြစ်နှင့်မှ ချိတ်ဆက်မထားပါ
You are running the latest version of Orga.,You are running the latest version of Orga.
You can only delete your own comments,သင့်ကိုယ်ပိုင်မှတ်ချက်များကိုသာ ဖျက်နိုင်ပါသည်
You can only delete your own reactions,သင့်ကိုယ်ပိုင်တုံ့ပြန်မှုများကိုသာ ဖျက်နိုင်ပါသည်
You do not have access to the client portal. Please contact support.,သင့်တွင် ဖောက်သည် ပေါ်တယ် ဝင်ရောက်ခွင့် မရှိပါ။ ပံ့ပိုးကူညီရေးကို ဆက်သွယ်ပါ။
You have already reacted with '{0}',သင် '{0}' ဖြင့် တုံ့ပြန်ပြီးသားဖြစ်သည်
You have been assigned to task '{0}' in project '{1}'.,ပရောဂျက် '{1}' ရှိ လုပ်ငန်း '{0}' ကို သင့်ထံ တာဝန်ပေးပြီးပါပြီ။
You have been assigned to: {0},သင့်ထံ တာဝန်ပေးပြီးပါပြီ: {0}
You have been invited to the following appointment,အောက်ပါ ချိန်းဆိုမှုသို့ သင့်ကို ဖိတ်ကြားထားပါသည်
You have no tasks assigned to you right now.,သင့်ထံ ယခုအချိန်တွင် တာဝန်ပေးထားသော လုပ်ငန်း မရှိပါ။
You were mentioned in {0},သင့်ကို {0} တွင် ရည်ညွှန်းခဲ့ပါသည်
Your attendance,သင့် တက်ရောက်မှု
Your comment has been posted,သင့်မှတ်ချက် တင်ပြီးပါပြီ
Your Projects,သင့် ပရောဂျက်များ
Your projects will appear here once they're assigned to you.,သင့်ထံ တာဝန်ပေးပြီးသည်နှင့် သင့်ပရောဂျက်များ ဤနေရာတွင် ပေါ်လာပါမည်။
Your Response,သင့် တုံ့ပြန်ချက်
Your RSVP,သင့် RSVP
Your support request has been submitted successfully.,သင့် ပံ့ပိုးကူညီရေး တောင်းဆိုချက် အောင်မြင်စွာ တင်သွင်းပြီးပါပြီ။
Your support request has been submitted successfully. We'll get back to you shortly.,သင့် ပံ့ပိုးကူညီရေး တောင်းဆိုချက် အောင်မြင်စွာ တင်သွင်းပြီးပါပြီ။ မကြာမီ ပြန်လည်ဆက်သွယ်ပါမည်။
"Your task ""{0}"" is no longer blocked and can now be started.","သင့်လုပ်ငန်း ""{0}"" သည် ပိတ်ဆို့ထားခြင်း မရှိတော့ပါ၊ ယခု စတင်နိုင်ပါပြီ။"
{0} is required,{0} လိုအပ်ပါသည်
{0} new activities,လုပ်ဆောင်ချက်အသစ် {0} ခု
{0} of {1} completed,{1} အနက် {0} ပြီးဆုံးပြီ
{0} projects already migrated (will be skipped or updated),ပရောဂျက် {0} ခု ပြောင်းရွှေ့ပြီးသား (ကျော်လွှားမည် သို့မဟုတ် အပ်ဒိတ်မည်)
{0} status changed to {1},{0} အခြေအနေကို {1} သို့ ပြောင်းလဲပြီး
{0} tasks remaining,လုပ်ငန်း {0} ခု ကျန်ရှိ
{0} tasks without projects will be skipped,ပရောဂျက်မရှိသော လုပ်ငန်း {0} ခု ကျော်လွှားပါမည်
{0} {1} not found,{0} {1} မတွေ့ပါ
