+ Add Milestone,+ Adicionar marco
Portal user created successfully. Welcome email {0},Usuário do portal criado com sucesso. E-mail de boas-vindas {0}
Post,Publicar
Powered by,Powered by
Powered by Tonic,Powered by Tonic
Predecessors (Blocked By),Predecessores (bloqueado por)
Preferences,Preferências
Preferences saved successfully,Preferências salvas com sucesso
"Prefix for auto-generated project codes (e.g., ORG-2026-0001)",Prefixo para códigos de projeto gerados automaticamente (ex.: ORG-2026-0001)
Prepare and document offer terms,Preparar e documentar os termos da oferta
Press,Pressione
Preview,Prévia
Preview cascade before applying,Prévias da cascata antes de aplicar
Previous,Anterior
Priority,Prioridade
Priority assigned to new tasks,Prioridade atribuída a novas tarefas
Priority updated,Prioridade atualizada
Proficiency,Proficiência
Profile,Perfil
Progress,Progresso
Progress (High-Low),Progresso (decrescente)
Progress (Low-High),Progresso (crescente)
Progress Overview,Visão geral do progresso
Progress updated,Progresso atualizado
Project,Projeto
Project budget has been saved.,O orçamento do projeto foi salvo.
Project code (e.g. ORG-2026-0001),Código do projeto (ex.: ORG-2026-0001)
Project Code Prefix,Prefixo do código do projeto
Project created,Projeto criado
Project deleted,Projeto excluído
Project description has been saved.,A descrição do projeto foi salva.
Project Details,Detalhes do projeto
Project end date has been saved.,A data de término do projeto foi salva.
Project Files,Arquivos do projeto
Project has no linked client,O projeto não tem cliente vinculado
Project Health,Saúde do projeto
Project Info,Informações do projeto
Project is required,O projeto é obrigatório
Project is required for project context,O projeto é obrigatório para o contexto de projeto
Project is required when tracking context is 'project',O projeto é obrigatório quando o contexto de registro é «projeto»
Project Manager,Gerente de projeto
Project Name,Nome do projeto
Project name and template name are required,O nome do projeto e o nome do modelo são obrigatórios
Project name is required,O nome do projeto é obrigatório
Project not found,Projeto não encontrado
Project not found or you do not have access,Projeto não encontrado ou acesso negado
Project settings,Configurações do projeto
Project start date has been saved.,A data de início do projeto foi salva.
Project title has been saved.,O título do projeto foi salvo.
Project Type,Tipo de projeto
Project updated,Projeto atualizado
Project {0} linked to client {1},Projeto {0} vinculado ao cliente {1}
Project {0} not found,Projeto {0} não encontrado
Project {0} to Frappe Projects,Projeto {0} para Frappe Projects
Project:,Projeto:
Projects,Projetos
projects,projetos
Projects created:,Projetos criados:
Projects Overview,Visão geral dos projetos
Projects skipped:,Projetos ignorados:
Projects updated:,Projetos atualizados:
Promote failed,Falha ao promover
Promote to task,Promover a tarefa
Promoted to task,Promovido a tarefa
Propose,Propor
Propose New Time,Propor novo horário
Propose Time,Propor horário
Proposed End,Término proposto
Proposed Start,Início proposto
Public,Público
Quick Action,Ação rápida
Quick Actions,Ações rápidas
Quick Stats,Estatísticas rápidas
Rates,Tarifas
Receive notifications via email,Receber notificações por e-mail
Receive notifications within the application,Receber notificações no aplicativo
Recent Activity,Atividade recente
Recipient {0} is not a valid user,O destinatário {0} não é um usuário válido
Reference,Referência
Refresh,Atualizar
Related,Relacionado
Related Company (optional),Empresa relacionada (opcional)
Related Documents,Documentos relacionados
Related Project,Projeto relacionado
Remaining,Restante
Reminder,Lembrete
Reminder Lead Time,Antecedência do lembrete
Reminder: {0} - {1} at {2},Lembrete: {0} - {1} às {2}
Remove,Remover
Remove dependency,Remover dependência
Remove dependency on,Remover dependência de
Remove from group,Remover do grupo
Remove group dependency,Remover dependência de grupo
Remove skill,Remover competência
Reopen,Reabrir
Reopen thread,Reabrir tópico
reopened,reaberto
replies,respostas
Reply,Responder
reply,resposta
Replying to,Respondendo a
Replying to comment,Respondendo ao comentário
Report Defect,Reportar defeito
Reported Date,Data do reporte
Reports,Relatórios
Reports To,Se reporta a
Request Submitted!,Solicitação enviada!
Required,Obrigatório
required,obrigatório
Research,Pesquisa
Reset to Defaults,Restaurar padrões
Resolve,Resolver
Resolve thread,Resolver tópico
Resolved,Resolvido
Resolved date cannot be before reported date,A data de resolução não pode ser anterior à data do reporte
Resource,Recurso
Resource and skill name are required,O recurso e o nome da competência são obrigatórios
Resource is already an attendee,O recurso já é participante
Resource name is required,O nome do recurso é obrigatório
Resource not found,Recurso não encontrado
Resource synced from employee {0},Recurso sincronizado do funcionário {0}
Resource {0} is already assigned to this task ({1}),O recurso {0} já está atribuído a esta tarefa ({1})
Resource {0} not found,Recurso {0} não encontrado
Resources,Contatos
Retry,Tentar novamente
Review,Revisão
Review all relevant documents and contracts,Revisar todos os documentos e contratos relevantes
Reviews,Revisões
Risk Assessment,Avaliação de riscos
Rollback,Reverter
Rolled back,Revertido
Room or address,Sala ou endereço
RSVP,RSVP
Safety,Segurança
Sat,Sáb
Save,Salvar
"Save a project as a template, or import one from a JSON file.","Salve um projeto como modelo, ou importe um a partir de um arquivo JSON."
Save as Template,Salvar como modelo
Save Changes,Salvar alterações
Save failed,Falha ao salvar
Save Preferences,Salvar preferências
Save Template,Salvar modelo
Saving...,Salvando...
Schedule,Agenda
Schedule type is required for scheduled triggers,O tipo de agendamento é obrigatório para gatilhos agendados
Scheduled,Agendado
Search,Pesquisar
"Search by name, email, or skill...","Pesquisar por nome, e-mail ou competência..."
Search for a project...,Pesquisar um projeto...
Search for a task...,Pesquisar uma tarefa...
Search for an event...,Pesquisar um evento...
Search for people to invite...,Pesquisar pessoas para convidar...
Search tasks to link...,Pesquisar tarefas para vincular...
Search tasks...,Pesquisar tarefas...
Search...,Pesquisar...
Searching...,Pesquisando...
Seen,Visto
Select a project if your request is related to a specific project.,Selecione um projeto se sua solicitação estiver relacionada a um projeto específico.
Select a project...,Selecionar um projeto...
Select a task from the Gantt chart to view and manage its details.,Selecione uma tarefa no diagrama de Gantt para visualizar e gerenciar seus detalhes.
Select a task from the list or Kanban board to view and manage its details.,Selecione uma tarefa da lista ou do quadro Kanban para visualizar e gerenciar seus detalhes.
Select a template...,Selecionar um modelo...
Select priority...,Selecionar prioridade...
Select status...,Selecionar status...
Select task...,Selecionar tarefa...
Select type...,Selecionar tipo...
Selection,Seleção
Send,Enviar
Send comment,Enviar comentário
Send email invitations to attendees,Enviar convites por e-mail aos participantes
Send Invitations,Enviar convites
Send notification when a task is assigned to a user,Enviar notificação quando uma tarefa é atribuída a um usuário
Send notification when task status changes,Enviar notificação quando o status da tarefa mudar
Send reminder before task due date,Enviar lembrete antes da data de vencimento da tarefa
sent,enviado
Set rate,Definir tarifa
Settings,Configurações
Settings saved successfully,Configurações salvas com sucesso
Severity,Gravidade
SF (Start-Finish),SF (Início-Fim)
SF - Start-to-Finish,SF - Início-a-Fim
Show,Mostrar
Show all,Mostrar tudo
Show all changes,Mostrar todas as alterações
Show Archived,Mostrar arquivados
Show full diff,Mostrar comparação completa
Show less,Mostrar menos
Show more,Mostrar mais
Skill added,Competência adicionada
Skill is required,A competência é obrigatória
Skill Name,Nome da competência
Skill removed,Competência removida
Skill {0} already exists for this resource,A competência {0} já existe para este recurso
Skills,Competências
Skills & Competencies,Competências e habilidades
Skip already migrated projects,Ignorar projetos já migrados
Sort by,Ordenar por
Sort: Due Date,Ordenar: Data de vencimento
Sort: Priority,Ordenar: Prioridade
Sort: Project,Ordenar: Projeto
Sort: Status,Ordenar: Status
Sort: Task,Ordenar: Tarefa
Source Code,Código-fonte
Spent,Gasto
Spent:,Gasto:
SS (Start-Start),SS (Início-Início)
SS - Start-to-Start,SS - Início-a-Início
Standalone,Independente
Start,Início
Start a discussion below,Inicie uma discussão abaixo
Start Date,Data de início
Start date,Data de início
Start Date (Earliest),Data de início (mais próxima)
Start date updated,Data de início atualizada
Start date/time is required,A data/hora de início é obrigatória
Start Migration,Iniciar migração
Start the conversation below.,Inicie a conversa abaixo.
Start Timer,Iniciar cronômetro
Start typing to search...,Comece a digitar para pesquisar...
Start-to-Finish,Início-a-Fim
Start-to-Start,Início-a-Início
Start:,Início:
Statistics reset,Estatísticas restauradas
Status,Status
Status assigned to new projects,Status atribuído a novos projetos
Status assigned to new tasks,Status atribuído a novas tarefas
Status Changes,Alterações de status
Status updated,Status atualizado
Status:,Status:
Stop,Parar
Stop & Save,Parar e salvar
Stop Timer,Parar cronômetro
Stops current timer and starts for this event,Para o cronômetro atual e inicia para este evento
Stops current timer and starts for this task,Para o cronômetro atual e inicia para esta tarefa
Subject,Assunto
Subject cannot exceed 255 characters,O assunto não pode exceder 255 caracteres
Subject is required,O assunto é obrigatório
Submit,Enviar
Submit Another Request,Enviar outra solicitação
Submit Request,Enviar solicitação
Submitting...,Enviando...
Successfully saved,Salvo com sucesso
Successors (Blocking),Sucessores (bloqueando)
Sun,Dom
Supplier,Fornecedor
Support,Suporte
Switch to this event,Mudar para este evento
Switch to this task,Mudar para esta tarefa
Sync direction is set to Frappe to Orga only,A direção de sincronização está definida apenas de Frappe para Orga
Sync direction is set to Orga to Frappe only,A direção de sincronização está definida apenas de Orga para Frappe
Sync not enabled for this project,A sincronização não está ativada para este projeto
System,Sistema
Table,Tabela
Take ownership of this task,Assumir a responsabilidade desta tarefa
Target Date,Data-alvo
Target End,Término-alvo
Target Project,Projeto-alvo
Target user is required for '{0}' action,O usuário-alvo é obrigatório para a ação «{0}»
Task,Tarefa
task,tarefa
Task '{0}' is due on {1}.,A tarefa «{0}» vence em {1}.
Task and resource are required,A tarefa e o recurso são obrigatórios
Task Assignment,Atribuição de tarefa
Task cannot be its own parent,Uma tarefa não pode ser seu próprio pai
Task cannot depend on itself,Uma tarefa não pode depender de si mesma
Task cannot depend on the group it belongs to,Uma tarefa não pode depender do grupo ao qual pertence
Task created,Tarefa criada
Task deleted,Tarefa excluída
Task description has been saved.,A descrição da tarefa foi salva.
Task Details,Detalhes da tarefa
Task due in {0} days: {1},Tarefa vence em {0} dias: {1}
Task due today: {0},Tarefa vence hoje: {0}
Task due tomorrow: {0},Tarefa vence amanhã: {0}
Task duplicated,Tarefa duplicada
Task Group,Grupo de tarefas
Task ID is required,O identificador da tarefa é obrigatório
Task is blocked by incomplete dependencies,A tarefa está bloqueada por dependências incompletas
Task is cancelled,A tarefa está cancelada
Task is completed,A tarefa está concluída
Task is no longer blocked by a group,A tarefa não está mais bloqueada por um grupo
Task is required for task context,A tarefa é obrigatória para o contexto de tarefa
Task is required when tracking context is 'task',A tarefa é obrigatória quando o contexto de registro é «tarefa»
Task linked,Tarefa vinculada
Task moved,Tarefa movida
Task name,Nome da tarefa
Task name is required,O nome da tarefa é obrigatório
Task removed from group,Tarefa removida do grupo
Task Subject,Assunto da tarefa
Task subject is required,O assunto da tarefa é obrigatório
Task Type,Tipo de tarefa
Task unblocked: {0},Tarefa desbloqueada: {0}
Task unlinked,Tarefa desvinculada
Task updated,Tarefa atualizada
Task {0} not found,Tarefa {0} não encontrada
Task {0} not in project {1},Tarefa {0} não encontrada no projeto {1}
Task {0} to Frappe,Tarefa {0} para Frappe
Tasks,Tarefas
tasks,tarefas
Tasks and milestones will be created with dates relative to the project start date.,As tarefas e marcos serão criados com datas relativas à data de início do projeto.
Tasks assigned to you across all projects.,Tarefas atribuídas a você em todos os projetos.
Tasks created:,Tarefas criadas:
Tasks from projects you manage.,Tarefas dos projetos que você gerencia.
Tasks updated:,Tarefas atualizadas:
"Tasks, milestones, and dependencies have been created.","As tarefas, marcos e dependências foram criados."
Tasks:,Tarefas:
TBD,A definir
Team,Equipe
Team Members,Membros da equipe
Template,Modelo
Template applied,Modelo aplicado
Template data is required in import data,Os dados do modelo são obrigatórios nos dados de importação
Template has no data,O modelo não contém dados
Template Name,Nome do modelo
Template name,Nome do modelo
Template name is required,O nome do modelo é obrigatório
Template name is required in import data,O nome do modelo é obrigatório nos dados de importação
Template saved,Modelo salvo
Template updated successfully.,Modelo atualizado com sucesso.
Template {0} not found,Modelo {0} não encontrado
Templates,Modelos
Tentative,Provisório
The comment has been deleted,O comentário foi excluído
The project,O projeto
The source document may have been deleted.,O documento de origem pode ter sido excluído.
The source document will not be affected.,O documento de origem não será afetado.
The status of '{0}' was changed from {1} to {2}.,O status de «{0}» foi alterado de {1} para {2}.
Theme,Tema
Theme preference,Preferência de tema
This action,Esta ação
This action cannot be undone.,Esta ação é irreversível.
This activity has been flagged for attention,Esta atividade foi sinalizada para atenção
This is a reminder for your upcoming appointment,Este é um lembrete para o seu próximo compromisso
This method is only meant for developer mode,Este método é exclusivo do modo de desenvolvimento
This page wandered off,Esta página se perdeu
This Week,Esta semana
This will delete all notes and preferences associated with this activity.,Isto excluirá todas as notas e preferências associadas a esta atividade.
This will import all Frappe Projects into Orga. Continue?,Isto importará todos os projetos Frappe para o Orga. Continuar?
This will permanently delete,Isto excluirá permanentemente
This will permanently delete:,Isto excluirá permanentemente:
Thu,Qui
Time,Hora
Time & Billing,Tempo e faturamento
Time & Revenue,Tempo e receitas
Time Entries,Registros de tempo
Time log name is required,O nome do registro de tempo é obrigatório
Time Log not found,Registro de tempo não encontrado
Time log {0} not found,Registro de tempo {0} não encontrado
Time Logs,Registros de tempo
Time Summary,Resumo de tempo
Time Tracking,Registro de tempo
Timeline,Linha do tempo
Timer active on,Cronômetro ativo em
Timer is not running,O cronômetro não está em andamento
Timer Running,Cronômetro em andamento
Timer running,Cronômetro em andamento
Timesheet DocType not available,DocType Planilha de horas não disponível
Timesheets,Planilhas de horas
Timezone,Fuso horário
Timezone is detected from your browser,O fuso horário é detectado a partir do seu navegador
Title,Título
Title cannot exceed 255 characters,O título não pode exceder 255 caracteres
Title is required,O título é obrigatório
Title updated,Título atualizado
To,Para
to,para
to cancel,para cancelar
to close,para fechar
to confirm:,para confirmar:
to edit,para editar
"to save,","para salvar,"
To Time cannot be before From Time,O horário de término não pode ser anterior ao horário de início
Today,Hoje
today,hoje
Toggle billable,Alternar faturável
Toggle Details Panel,Mostrar/ocultar painel de detalhes
Toggle Manager Panel,Mostrar/ocultar painel de gerenciamento
Toggle Sidebar,Mostrar/ocultar barra lateral
Tomorrow,Amanhã
tomorrow,amanhã
Total,Total
Total Budget,Orçamento total
Total Contacts,Total de contatos
Total Cost,Custo total
Total Cost to Org,Custo total para a organização
Total Defect Cost,Custo total de defeitos
Total Hours,Total de horas
Total Hours Logged,Total de horas registradas
Total Projects,Total de projetos
Total Spent,Total gasto
Total Tasks,Total de tarefas
Total:,Total:
Tracked,Registrado
trails to today while Open at 0%,desliza até hoje enquanto aberto a 0%
Tried:,Tentou:
Try adjusting your filter criteria,Tente ajustar seus critérios de filtro
Try adjusting your filters.,Tente ajustar seus filtros.
Try Again,Tentar novamente
Tue,Ter
Type,Tipo
Type updated,Tipo atualizado
Type:,Tipo:
Typical response time: 1-2 business days,Tempo de resposta típico: 1-2 dias úteis
Unarchive,Desarquivar
Unarchive Activity,Desarquivar atividade
Unassign,Desatribuir
Unassigned,Não atribuído
Under Budget,Abaixo do orçamento
Ungrouped,Não agrupado
Unknown,Desconhecido
Unknown error,Erro desconhecido
Unlink failed,Falha ao desvincular
Unlink task from milestone,Desvincular tarefa do marco
Unpin,Desafixar
Unpin Activity,Desafixar atividade
Unread,Não lido
Unread only,Apenas não lidos
Until,Até
Up to Date,Up to Date
Upcoming,Próximo
upcoming,próximo
Update,Update
Update Available,Update Available
Update available,Update available
Update available: v{0},Update available: v{0}
Update check failed: {0},Update check failed: {0}
Update failed,Falha ao atualizar
Updated,Atualizado
Updated successfully,Atualizado com sucesso
Updates,Updates
Upload,Enviar
Upload failed,Falha ao enviar
Upload files below to attach them to this task.,Envie arquivos abaixo para anexá-los a esta tarefa.
Upload to project,Enviar para o projeto
Uploading...,Enviando...
Urgent,Urgente
User {0} is already linked to client {1},O usuário {0} já está vinculado ao cliente {1}
User {0} is already linked to resource {1},O usuário {0} já está vinculado ao recurso {1}
Utilization,Utilização
Valid,Válido
Value:,Valor:
Variance,Variação
Variance:,Variação:
Version {0} is available. You are running {1}.,Version {0} is available. You are running {1}.
View,Visualizar
View All,Visualizar tudo
View all active projects,Visualizar todos os projetos ativos
View all open tasks,Visualizar todas as tarefas abertas
View overdue tasks,Visualizar tarefas atrasadas
View Release,View Release
Visibility,Visibilidade
Waiting for this task,Aguardando esta tarefa
Waits for:,Aguarda:
Warning: Resource {0} status is {1},Aviso: o status do recurso {0} é {1}
Warning: Using HTTP instead of HTTPS. Webhook payloads may not be secure.,Aviso: usando HTTP em vez de HTTPS. Os dados do webhook podem não estar seguros.
Watch budget closely,Monitorar o orçamento de perto
We'll respond to:,Responderemos para:
Webhook deleted,Webhook excluído
Webhook name is required,O nome do webhook é obrigatório
Webhook not found,Webhook não encontrado
Webhook URL is required,A URL do webhook é obrigatória
Webhook URL must start with http:// or https://,A URL do webhook deve começar com http:// ou https://
Wed,Qua
Week,Semana
Weekend,Fim de semana
Weekly Capacity,Capacidade semanal
weekly capacity,capacidade semanal
Weekly Capacity (h),Capacidade semanal (h)
Welcome,Bem-vindo
Welcome back!,Bem-vindo de volta!
Welcome to Orga,Bem-vindo ao Orga
What are you working on?,No que você está trabalhando?
What did you work on?,No que você trabalhou?
When,Quando
When work begins,Quando o trabalho começa
When work is due,Quando o trabalho vence
Where,Onde
Will capture:,Vai capturar:
Will create:,Vai criar:
with checklist items,com itens da lista de verificação
Working,Em andamento
Workload,Carga de trabalho
Workmanship,Qualidade da execução
Write a comment...,Escreva um comentário...
Write a comment... Use @name to mention (Ctrl+Enter to send),Escreva um comentário... Use @nome para mencionar (Ctrl+Enter para enviar)
Year,Ano
Yes,Sim
Yesterday,Ontem
yesterday,ontem
You are not an attendee of this appointment,Você não é participante deste compromisso
You are not linked to any resource,Você não está vinculado a nenhum recurso
You are running the latest version of Orga.,You are running the latest version of Orga.
You can only delete your own comments,Você só pode excluir seus próprios comentários
You can only delete your own reactions,Você só pode excluir suas próprias reações
You do not have access to the client portal. Please contact support.,Você não tem acesso ao portal do cliente. Entre em contato com o suporte.
You have already reacted with '{0}',Você já reagiu com «{0}»
You have been assigned to task '{0}' in project '{1}'.,Você foi atribuído à tarefa «{0}» no projeto «{1}».
You have been assigned to: {0},Você foi atribuído a: {0}
You have been invited to the following appointment,Você foi convidado para o seguinte compromisso
You have no tasks assigned to you right now.,Você não tem tarefas atribuídas no momento.
You were mentioned in {0},Você foi mencionado em {0}
Your attendance,Sua participação
Your comment has been posted,Seu comentário foi publicado
Your Projects,Seus projetos
Your projects will appear here once they're assigned to you.,Seus projetos aparecerão aqui assim que forem atribuídos a você.
Your Response,Sua resposta
Your RSVP,Seu RSVP
Your support request has been submitted successfully.,Sua solicitação de suporte foi enviada com sucesso.
Your support request has been submitted successfully. We'll get back to you shortly.,Sua solicitação de suporte foi enviada com sucesso. Entraremos em contato com você em breve.
"Your task ""{0}"" is no longer blocked and can now be started.",Sua tarefa «{0}» não está mais bloqueada e pode ser iniciada.
{0} is required,{0} é obrigatório
{0} new activities,{0} novas atividades
{0} of {1} completed,{0} de {1} concluído(s)
{0} projects already migrated (will be skipped or updated),{0} projetos já migrados (serão ignorados ou atualizados)
{0} status changed to {1},O status de {0} foi alterado para {1}
{0} tasks remaining,{0} tarefas restantes
{0} tasks without projects will be skipped,{0} tarefas sem projeto serão ignoradas
{0} {1} not found,{0} {1} não encontrado
