+ Add Milestone,+ மைல்கல் சேர்
+ Create Task,+ பணி உருவாக்கு
+ Log Time,+ நேரம் பதிவு செய்
-- Select a project --,-- ஒரு திட்டத்தைத் தேர்ந்தெடுக்கவும் --
0m,0நி
1 day,1 நாள்
1 day ago,1 நாளுக்கு முன்
1 dependency,1 சார்பு
1 entry,1 பதிவு
1 file,1 கோப்பு
1 hour ago,1 மணி நேரத்திற்கு முன்
1 member,1 உறுப்பினர்
1 milestone,1 மைல்கல்
1 month,1 மாதம்
1 task,1 பணி
< 1m,< 1நி
"A clear, actionable title for the task","பணிக்கான தெளிவான, செயல்படுத்தக்கூடிய தலைப்பு"
A client with email {0} already exists: {1},மின்னஞ்சல் {0} கொண்ட வாடிக்கையாளர் ஏற்கனவே உள்ளார்: {1}
A key deliverable or checkpoint for the project,திட்டத்திற்கான முக்கிய வழங்கல் அல்லது சோதனைப்புள்ளி
Accept,ஏற்றுக்கொள்
Accepted,ஏற்றுக்கொள்ளப்பட்டது
Acknowledge,ஒப்புக்கொள்
across,முழுவதும்
Action,செயல்
Actions,செயல்கள்
Active,செயலில்
Active Assignments,செயலில் உள்ள ஒதுக்கீடுகள்
Active Projects,செயலில் உள்ள திட்டங்கள்
Activity,நடவடிக்கை
Activity data deleted successfully,செயல்பாட்டுத் தரவு வெற்றிகரமாக நீக்கப்பட்டது
Activity Info,செயல்பாட்டுத் தகவல்
Activity Stats,செயல்பாட்டு புள்ளிவிவரங்கள்
Activity will appear here as you work on tasks and projects.,நீங்கள் பணிகள் மற்றும் திட்டங்களில் பணிபுரியும்போது செயல்பாடுகள் இங்கே தோன்றும்.
Actual,உண்மையான
Actual Cost,உண்மையான செலவு
Actual cost cannot be negative,உண்மையான செலவு எதிர்மறையாக இருக்க முடியாது
Actual end date cannot be before actual start date,உண்மையான முடிவு தேதி உண்மையான தொடக்க தேதிக்கு முன்னதாக இருக்க முடியாது
Actual Hours,உண்மையான மணி நேரம்
Add,சேர்
Add a checklist item...,சரிபார்ப்புப் பட்டியல் உருப்படியைச் சேர்க்கவும்...
Add a comment...,கருத்தைச் சேர்க்கவும்...
Add a comment... (Ctrl+Enter to send),கருத்தைச் சேர்க்கவும்... (அனுப்ப Ctrl+Enter)
Add a description...,விளக்கத்தைச் சேர்க்கவும்...
Add a milestone description...,மைல்கல் விளக்கத்தைச் சேர்க்கவும்...
Add a note below to annotate this activity.,இந்தச் செயல்பாட்டிற்கு குறிப்பிட கீழே ஒரு குறிப்பைச் சேர்க்கவும்.
Add a note...,குறிப்பைச் சேர்க்கவும்...
Add a project description...,திட்ட விளக்கத்தைச் சேர்க்கவும்...
Add a task description...,பணி விளக்கத்தைச் சேர்க்கவும்...
Add checklist item...,சரிபார்ப்புப் பட்டியல் உருப்படியைச் சேர்...
Add Contact,தொடர்பு சேர்
Add contacts via the Desk interface or clear filters,Desk இடைமுகம் வழியாக தொடர்புகளைச் சேர்க்கவும் அல்லது வடிகட்டிகளை அழிக்கவும்
Add Dependency,சார்பு சேர்
Add details about this event...,இந்த நிகழ்வு பற்றிய விவரங்களைச் சேர்க்கவும்...
Add details about this milestone...,இந்த மைல்கல் பற்றிய விவரங்களைச் சேர்க்கவும்...
Add details about this task...,இந்தப் பணி பற்றிய விவரங்களைச் சேர்க்கவும்...
Add details or acceptance criteria for this milestone,இந்த மைல்கல்லுக்கான விவரங்கள் அல்லது ஏற்பு அளவுகோல்களைச் சேர்க்கவும்
"Add details, context, or acceptance criteria","விவரங்கள், சூழல் அல்லது ஏற்பு அளவுகோல்களைச் சேர்க்கவும்"
Add first dependency,முதல் சார்பைச் சேர்
Add item,உருப்படியைச் சேர்
Add items below to track progress.,முன்னேற்றத்தைக் கண்காணிக்க கீழே உருப்படிகளைச் சேர்க்கவும்.
Add items below to track subtasks,துணைப் பணிகளைக் கண்காணிக்க கீழே உருப்படிகளைச் சேர்க்கவும்
Add Milestone,மைல்கல் சேர்
Add Milestone (Shift+M),மைல்கல் சேர் (Shift+M)
Add milestones to track key deliverables.,முக்கிய வழங்கல்களைக் கண்காணிக்க மைல்கல்களைச் சேர்க்கவும்.
Add New Contact,புதிய தொடர்பைச் சேர்
Add Note,குறிப்பு சேர்
Add note,குறிப்பு சேர்
Add notes about this contact...,இந்தத் தொடர்பு பற்றிய குறிப்புகளைச் சேர்க்கவும்...
Add reaction,எதிர்வினை சேர்
Add Skill,திறன் சேர்
Add start and due dates to tasks to see them on the Gantt chart,Gantt விளக்கப்படத்தில் பார்க்க பணிகளுக்கு தொடக்க மற்றும் நிலுவைத் தேதிகளைச் சேர்க்கவும்
Add Task,பணி சேர்
Add Task (Shift+T),பணி சேர் (Shift+T)
Added Finish-to-Start dependency,முடிவு-தொடக்க சார்பு சேர்க்கப்பட்டது
Adding this dependency would create a circular reference: {0},இந்தச் சார்பைச் சேர்ப்பது ஒரு வட்ட குறிப்பை உருவாக்கும்: {0}
Adding...,சேர்க்கிறது...
Address,முகவரி
Advanced,மேம்பட்ட
All,எல்லாம்
All Active,அனைத்தும் செயலில்
All Assignees,அனைத்து ஒதுக்கீட்டாளர்கள்
All Categories,அனைத்து வகைகள்
All caught up!,அனைத்தும் படிக்கப்பட்டன!
All Contexts,அனைத்து சூழல்கள்
All day,முழு நாள்
All day event,முழு நாள் நிகழ்வு
All fields,அனைத்து புலங்கள்
All Priorities,அனைத்து முன்னுரிமைகள்
All Projects,அனைத்து திட்டங்கள்
All Status,அனைத்து நிலைகள்
All Statuses,அனைத்து நிலைகள்
All task dependencies & relative dates,அனைத்து பணி சார்புகள் & தொடர்புடைய தேதிகள்
All Tasks,அனைத்து பணிகள்
All tasks across all projects.,அனைத்து திட்டங்களிலும் உள்ள அனைத்து பணிகள்.
All tasks are already linked,அனைத்து பணிகளும் ஏற்கனவே இணைக்கப்பட்டுள்ளன
All team members,அனைத்து குழு உறுப்பினர்கள்
All Types,அனைத்து வகைகள்
All Users,அனைத்து பயனர்கள்
Allocated,ஒதுக்கப்பட்டது
allocated,ஒதுக்கப்பட்டது
Allow users to log time against tasks,பணிகளுக்கான நேரத்தைப் பதிவு செய்ய பயனர்களை அனுமதி
Already exported to timesheet {0},ஏற்கனவே நேரத்தாள் {0} க்கு ஏற்றுமதி செய்யப்பட்டது
Already Migrated,ஏற்கனவே இடம்பெயர்க்கப்பட்டது
Anyone with access,அணுகல் உள்ள அனைவரும்
anytime to show this help,இந்த உதவியைக் காட்ட எப்போதும்
App Updates,App Updates
Appearance,தோற்றம்
Apply,விண்ணப்பிக்கவும்
Apply cascade?,அடுக்கு மாற்றங்களைப் பயன்படுத்தவா?
Apply Changes,மாற்றங்களைப் பயன்படுத்து
Apply failed,பயன்படுத்துதல் தோல்வியடைந்தது
Apply Template,வார்ப்புருவைப் பயன்படுத்து
Applying...,பயன்படுத்துகிறது...
Appointment,சந்திப்பு
Appointment and resource are required,சந்திப்பு மற்றும் வளம் தேவை
Appointment name is required,சந்திப்பு பெயர் தேவை
Appointment not found,சந்திப்பு கிடைக்கவில்லை
Appointment {0} not found,சந்திப்பு {0} கிடைக்கவில்லை
Apps,பயன்பாடுகள்
Archive,காப்பகம்
Archive Activity,செயல்பாட்டை காப்பகப்படுத்து
Archived,காப்பகப்படுத்தியவை
Are you sure you want to delete this activity data? This cannot be undone.,இந்தச் செயல்பாட்டுத் தரவை நீக்க விரும்புகிறீர்களா? இதை மீட்டெடுக்க இயலாது.
Are you sure you want to delete this comment?,இந்தக் கருத்தை நீக்க விரும்புகிறீர்களா?
Are you sure you want to delete this project?,இந்தத் திட்டத்தை நீக்க விரும்புகிறீர்களா?
Are you sure?,நீ சொல்வது உறுதியா?
Ascending -- click to reverse,ஏறுவரிசை -- தலைகீழாக்க கிளிக் செய்யவும்
Assign To,என்று ஒதுக்க
Assign to Me,எனக்கு ஒதுக்கு
Assigned Contact,ஒதுக்கப்பட்ட தொடர்பு
Assigned To,ஒதுக்கப்படும்
Assigned to,ஒதுக்கப்பட்டவர்
Assigned to Me,எனக்கு ஒதுக்கப்பட்டது
Assignee,ஒதுக்கீட்டாளர்
Assignment,மதிப்பளித்தல்
Assignment History,ஒதுக்கீட்டு வரலாறு
Assignment name is required,ஒதுக்கீட்டு பெயர் தேவை
Assignment {0} not found,ஒதுக்கீடு {0} கிடைக்கவில்லை
Assignments,பணிகள்
At least one action is required,குறைந்தது ஒரு செயல் தேவை
At least one event is required,குறைந்தது ஒரு நிகழ்வு தேவை
At least one event must be selected,குறைந்தது ஒரு நிகழ்வு தேர்ந்தெடுக்கப்பட வேண்டும்
Attachment,இணைப்பு
Attachments,இணைப்புகள்
Attendees,பங்கேற்பாளர்கள்
"Audit trail, assignments, version history","தணிக்கை வரிசை, ஒதுக்கீடுகள், பதிப்பு வரலாறு"
Auto,வாகன
Auto Calculate Progress,தானியங்கி முன்னேற்றக் கணக்கீடு
Auto Set Missed Milestones,தவறிய மைல்கல்களை தானியங்கி அமை
Auto-shift dependents when dates change,தேதிகள் மாறும்போது சார்புகளை தானியங்கி மாற்று
Auto-Trail Start,தானியங்கி-தடம் தொடக்கம்
Auto-Trail updated,தானியங்கி-தடம் புதுப்பிக்கப்பட்டது
Automatically calculate project progress from task completion,பணி நிறைவிலிருந்து திட்ட முன்னேற்றத்தை தானியங்கியாகக் கணக்கிடு
Automatically mark milestones as missed when overdue,தாமதமாகும்போது மைல்கல்களை தவறியது என தானியங்கியாகக் குறி
Automation rule {0} not found,தானியங்கி விதி {0} கிடைக்கவில்லை
Automation: {0},தானியங்கி: {0}
Availability,கிடைக்கும் தன்மை
Available,கிடைக்கும்
Avatar updated successfully,அவதார் வெற்றிகரமாக புதுப்பிக்கப்பட்டது
Avg Progress,சராசரி முன்னேற்றம்
Back,பின்
Back to Portal,போர்ட்டலுக்குத் திரும்பு
Back to Projects,திட்டங்களுக்குத் திரும்பு
Beginner,தொடக்கநிலை
Best regards,அன்புடன்
Billable,கட்டணத்திற்குரிய
Billable Amount,கட்டணத் தொகை
Billable Hours,கட்டணத்திற்குரிய மணி நேரம்
Billable Rate,கட்டணத் தொகை விகிதம்
Billing Rate,கட்டண விகிதம்
Blocked,தடுக்கப்பட்டது
Both dates are needed to display task as a bar in Gantt chart,Gantt விளக்கப்படத்தில் பணியை பட்டையாகக் காட்ட இரண்டு தேதிகளும் தேவை
Both doctype and docname are required,DocType மற்றும் docname இரண்டும் தேவை
Both proposed start and end times are required,முன்மொழியப்பட்ட தொடக்க மற்றும் முடிவு நேரங்கள் இரண்டும் தேவை
Both task_name and depends_on are required,task_name மற்றும் depends_on இரண்டும் தேவை
Breadcrumb,வழிகாட்டி
Brief description of the defect or damage,குறைபாடு அல்லது சேதம் பற்றிய சுருக்கமான விளக்கம்
Brief description of this template,இந்த வார்ப்புருவின் சுருக்கமான விளக்கம்
Brief description of your request,உங்கள் கோரிக்கையின் சுருக்கமான விளக்கம்
Brief project description,சுருக்கமான திட்ட விளக்கம்
Budget,வரவு செலவுத் திட்டம்
Budget at risk,ஆபத்தில் உள்ள வரவு செலவுத் திட்டம்
Budget Burn Rate,வரவு செலவு எரிப்பு வீதம்
Budget Status,வரவு செலவு நிலை
Budget updated,வரவு செலவுத் திட்டம் புதுப்பிக்கப்பட்டது
Budget:,வரவு செலவுத் திட்டம்:
Bug,பிழை
Burn Rate,எரிப்பு வீதம்
Busy,பிஸியாக
By,மூலம்
By Assignee,ஒதுக்கீட்டாளர் படி
By Group,குழு படி
By Milestone,மைல்கல் படி
By Priority,முன்னுரிமை படி
By Status,நிலை படி
Cancel,ரத்து
Cancelled,ரத்து செய்யப்பட்டது
cannot be undone,மீட்டெடுக்க இயலாது
Cannot delete client with {0} linked projects. Unlink projects first.,{0} இணைக்கப்பட்ட திட்டங்கள் கொண்ட வாடிக்கையாளரை நீக்க முடியாது. முதலில் திட்டங்களை இணைப்பு நீக்கவும்.
Cannot delete project with {0} linked tasks. Delete tasks first.,{0} இணைக்கப்பட்ட பணிகள் கொண்ட திட்டத்தை நீக்க முடியாது. முதலில் பணிகளை நீக்கவும்.
Cannot delete resource with {0} active assignments. Complete or cancel them first.,{0} செயலில் உள்ள ஒதுக்கீடுகள் கொண்ட வளத்தை நீக்க முடியாது. முதலில் அவற்றை நிறைவு செய்யவும் அல்லது ரத்து செய்யவும்.
Cannot delete task with {0} subtasks. Delete subtasks first.,{0} துணைப் பணிகள் கொண்ட பணியை நீக்க முடியாது. முதலில் துணைப் பணிகளை நீக்கவும்.
Capacity,கொள்திறன்
capacity,கொள்திறன்
Capacity & Rates,கொள்திறன் & விகிதங்கள்
Capture project structure for reuse,மறுபயன்பாட்டிற்காக திட்ட கட்டமைப்பைப் பிடி
Cascade,அடுக்கு
Cascade Preview,அடுக்கு முன்னோட்டம்
Category,பகுப்பு
Celebrate,கொண்டாடு
Change,மாற்றம்
Change History,மாற்ற வரலாறு
Change Priority,முன்னுரிமையை மாற்று
Change Status,நிலையை மாற்று
Changes,மாற்றங்கள்
Changes appear when fields are modified.,புலங்கள் மாற்றப்படும்போது மாற்றங்கள் தோன்றும்.
Check for new versions of Orga,Check for new versions of Orga
Check for Updates,Check for Updates
Checking...,Checking...
Checklist,சரிபார்ப்புப் பட்டியல்
Checklist item name is required,சரிபார்ப்புப் பட்டியல் உருப்படி பெயர் தேவை
Checklist item not found,சரிபார்ப்புப் பட்டியல் உருப்படி கிடைக்கவில்லை
Checklist item title is required,சரிபார்ப்புப் பட்டியல் உருப்படி தலைப்பு தேவை
Checklist item {0} not found,சரிபார்ப்புப் பட்டியல் உருப்படி {0} கிடைக்கவில்லை
Checklist item {0} not found in task,பணியில் சரிபார்ப்புப் பட்டியல் உருப்படி {0} கிடைக்கவில்லை
Child,குழந்தை
Choose file to upload,பதிவேற்ற கோப்பைத் தேர்ந்தெடுக்கவும்
Circular dependency detected: {0},வட்ட சார்பு கண்டறியப்பட்டது: {0}
Circular parent-child relationship detected,வட்ட பெற்றோர்-குழந்தை உறவு கண்டறியப்பட்டது
Clear,அழி
Clear all read,படிக்கப்பட்ட அனைத்தையும் அழி
Clear date,தேதியை அழி
Click on an activity from the list to view and manage its details.,விவரங்களைப் பார்க்கவும் நிர்வகிக்கவும் பட்டியலிலிருந்து ஒரு செயல்பாட்டைக் கிளிக் செய்யவும்.
Click the avatar to upload a new photo,புதிய புகைப்படத்தைப் பதிவேற்ற அவதாரை கிளிக் செய்யவும்
Click to add description...,விளக்கம் சேர்க்க கிளிக் செய்யவும்...
Click to add notes...,குறிப்புகள் சேர்க்க கிளிக் செய்யவும்...
Click to assign contact,தொடர்பை ஒதுக்க கிளிக் செய்யவும்
Click to change status,நிலையை மாற்ற கிளிக் செய்யவும்
Click to change type,வகையை மாற்ற கிளிக் செய்யவும்
Click to edit,திருத்த கிளிக் செய்யவும்
Click to edit budget,வரவு செலவுத் திட்டத்தைத் திருத்த கிளிக் செய்யவும்
Click to edit description,விளக்கத்தைத் திருத்த கிளிக் செய்யவும்
Click to edit end date,முடிவு தேதியைத் திருத்த கிளிக் செய்யவும்
Click to edit milestone name,மைல்கல் பெயரைத் திருத்த கிளிக் செய்யவும்
Click to edit rate,விகிதத்தைத் திருத்த கிளிக் செய்யவும்
Click to edit start date,தொடக்க தேதியைத் திருத்த கிளிக் செய்யவும்
Click to edit title,தலைப்பைத் திருத்த கிளிக் செய்யவும்
Click to load,ஏற்ற கிளிக் செய்யவும்
Click to set group dependency...,குழு சார்பை அமைக்க கிளிக் செய்யவும்...
Click to set group...,குழுவை அமைக்க கிளிக் செய்யவும்...
Click to view,பார்க்க கிளிக் செய்யவும்
Click to view at-risk projects,ஆபத்தில் உள்ள திட்டங்களைப் பார்க்க கிளிக் செய்யவும்
Click to view critical projects,முக்கியமான திட்டங்களைப் பார்க்க கிளிக் செய்யவும்
Click to view healthy projects,ஆரோக்கியமான திட்டங்களைப் பார்க்க கிளிக் செய்யவும்
Client,வாடிக்கையாளர்
Client already has a portal user: {0},வாடிக்கையாளருக்கு ஏற்கனவே போர்ட்டல் பயனர் உள்ளார்: {0}
Client already has portal access,வாடிக்கையாளருக்கு ஏற்கனவே போர்ட்டல் அணுகல் உள்ளது
Client has no portal user to revoke,வாடிக்கையாளருக்கு திரும்பப்பெற போர்ட்டல் பயனர் இல்லை
Client link removed from project {0},திட்டம் {0} இலிருந்து வாடிக்கையாளர் இணைப்பு நீக்கப்பட்டது
Client Portal,வாடிக்கையாளர் போர்ட்டல்
Client {0} deleted successfully,வாடிக்கையாளர் {0} வெற்றிகரமாக நீக்கப்பட்டார்
Close,மூடவும்
Close (Esc),மூடு (Esc)
Comment,கருத்து
comment,கருத்து
Comment added,கருத்து சேர்க்கப்பட்டது
Comment content is required,கருத்து உள்ளடக்கம் தேவை
Comment name is required,கருத்து பெயர் தேவை
Comment not found,கருத்து கிடைக்கவில்லை
Comment removed,கருத்து நீக்கப்பட்டது
Comment {0} not found in task,பணியில் கருத்து {0} கிடைக்கவில்லை
Comments,கருத்துகள்
comments,கருத்துரைகள்
Community Edition,Community Edition
Company,நிறுவனம்
Company name...,நிறுவனப் பெயர்...
Complete,முழுமையான
Completed,நிறைவு
completed,நிறைவடைந்தது
Completed Tasks,நிறைவடைந்த பணிகள்
Compliance,இணக்கம்
Configure default values for new projects and tasks,புதிய திட்டங்கள் மற்றும் பணிகளுக்கான இயல்புநிலை மதிப்புகளை அமை
Configure email notification settings,மின்னஞ்சல் அறிவிப்பு அமைப்புகளை அமை
Confirm,உறுதிப்படுத்தவும்
Contact deleted,தொடர்பு நீக்கப்பட்டது
Contact Details,விபரங்கள்
Contact Information,தொடர்புத் தகவல்
Contact name is required,தொடர்பு பெயர் தேவை
Contact Support,ஆதரவை தொடர்பு கொள்ளுங்கள்
Contact your project manager for more information.,மேலும் தகவலுக்கு உங்கள் திட்ட மேலாளரைத் தொடர்பு கொள்ளுங்கள்.
Contact:,தொடர்பு:
Contacts,தொடர்புகள்
Context,சூழல்
Contractor,ஒப்பந்தக்காரர்
Cost estimate cannot be negative,செலவு மதிப்பீடு எதிர்மறையாக இருக்க முடியாது
Cost Impact,செலவு தாக்கம்
Cost Summary,செலவு சுருக்கம்
Could not apply the template. Please try again.,வார்ப்புருவைப் பயன்படுத்த இயலவில்லை. மீண்டும் முயற்சிக்கவும்.
Could not attach file to project,திட்டத்தில் கோப்பை இணைக்க இயலவில்லை
Could not change task priority,பணி முன்னுரிமையை மாற்ற இயலவில்லை
Could not change task status,பணி நிலையை மாற்ற இயலவில்லை
Could not delete the project. Please try again.,திட்டத்தை நீக்க இயலவில்லை. மீண்டும் முயற்சிக்கவும்.
Could not delete the task. Please try again.,பணியை நீக்க இயலவில்லை. மீண்டும் முயற்சிக்கவும்.
Could not delete the template.,வார்ப்புருவை நீக்க இயலவில்லை.
Could not duplicate the task. Please try again.,பணியை நகலெடுக்க இயலவில்லை. மீண்டும் முயற்சிக்கவும்.
Could not export the template.,வார்ப்புருவை ஏற்றுமதி செய்ய இயலவில்லை.
Could not import the template. Please check the file format.,வார்ப்புருவை இறக்குமதி செய்ய இயலவில்லை. கோப்பு வடிவமைப்பைச் சரிபார்க்கவும்.
Could not link task to milestone,பணியை மைல்கல்லுடன் இணைக்க இயலவில்லை
Could not load document details.,ஆவண விவரங்களை ஏற்ற இயலவில்லை.
Could not load task details,பணி விவரங்களை ஏற்ற இயலவில்லை
Could not promote checklist item to task.,சரிபார்ப்புப் பட்டியல் உருப்படியைப் பணியாக உயர்த்த இயலவில்லை.
Could not remove task from milestone,மைல்கல்லிலிருந்து பணியை நீக்க இயலவில்லை
Could not save budget.,வரவு செலவுத் திட்டத்தைச் சேமிக்க இயலவில்லை.
Could not save changes to the milestone,மைல்கல் மாற்றங்களைச் சேமிக்க இயலவில்லை
Could not save changes to the task,பணி மாற்றங்களைச் சேமிக்க இயலவில்லை
Could not save description.,விளக்கத்தைச் சேமிக்க இயலவில்லை.
Could not save end date.,முடிவு தேதியைச் சேமிக்க இயலவில்லை.
Could not save milestone name.,மைல்கல் பெயரைச் சேமிக்க இயலவில்லை.
Could not save start date.,தொடக்க தேதியைச் சேமிக்க இயலவில்லை.
Could not save the template. Please try again.,வார்ப்புருவைச் சேமிக்க இயலவில்லை. மீண்டும் முயற்சிக்கவும்.
Could not save title.,தலைப்பைச் சேமிக்க இயலவில்லை.
Could not update dependency mode.,சார்பு முறையைப் புதுப்பிக்க இயலவில்லை.
Could not update milestone date,மைல்கல் தேதியைப் புதுப்பிக்க இயலவில்லை
Could not update project status.,திட்ட நிலையைப் புதுப்பிக்க இயலவில்லை.
Could not update project type.,திட்ட வகையைப் புதுப்பிக்க இயலவில்லை.
Could not update setting.,அமைப்பைப் புதுப்பிக்க இயலவில்லை.
Could not update task dates,பணி தேதிகளைப் புதுப்பிக்க இயலவில்லை
Could not update task status,பணி நிலையைப் புதுப்பிக்க இயலவில்லை
Could not update the template.,வார்ப்புருவைப் புதுப்பிக்க இயலவில்லை.
Create a copy of this task,இந்தப் பணியின் நகலை உருவாக்கு
Create Contact,தொடர்பை உருவாக்கு
Create Event,நிகழ்வை உருவாக்கு
Create Milestone,மைல்கல் உருவாக்கு
Create New Milestone,புதிய மைல்கல் உருவாக்கு
Create New Task,புதிய பணி உருவாக்கு
Create Project,திட்டம் உருவாக்கு
Create Task,பணி உருவாக்கு
Create tasks and milestones from a template,வார்ப்புருவிலிருந்து பணிகள் மற்றும் மைல்கல்களை உருவாக்கு
