+ Add Milestone,+ மைல்கல் சேர்
Save Changes,மாற்றங்களைச் சேமி
Save failed,சேமிப்பு தோல்வியடைந்தது
Save Preferences,விருப்பங்களைச் சேமி
Save Template,வார்ப்புருவைச் சேமி
Saving...,சேமிக்கிறது ...
Schedule,அட்டவணை
Schedule type is required for scheduled triggers,திட்டமிடப்பட்ட தூண்டுதல்களுக்கு அட்டவணை வகை தேவை
Scheduled,திட்டமிடப்பட்ட
Search,தேடல்
"Search by name, email, or skill...","பெயர், மின்னஞ்சல் அல்லது திறன் மூலம் தேடு..."
Search for a project...,ஒரு திட்டத்தைத் தேடு...
Search for a task...,ஒரு பணியைத் தேடு...
Search for an event...,ஒரு நிகழ்வைத் தேடு...
Search for people to invite...,அழைக்க நபர்களைத் தேடு...
Search tasks to link...,இணைக்க பணிகளைத் தேடு...
Search tasks...,பணிகளைத் தேடு...
Search...,தேடல் ...
Searching...,தேடுகிறது...
Seen,பார்க்கப்பட்டது
Select a project if your request is related to a specific project.,உங்கள் கோரிக்கை ஒரு குறிப்பிட்ட திட்டத்துடன் தொடர்புடையதாக இருந்தால் ஒரு திட்டத்தைத் தேர்ந்தெடுக்கவும்.
Select a project...,ஒரு திட்டத்தைத் தேர்ந்தெடுக்கவும்...
Select a task from the Gantt chart to view and manage its details.,Gantt விளக்கப்படத்திலிருந்து ஒரு பணியைத் தேர்ந்தெடுத்து அதன் விவரங்களைப் பார்க்கவும் நிர்வகிக்கவும்.
Select a task from the list or Kanban board to view and manage its details.,பட்டியல் அல்லது கான்பன் பலகையிலிருந்து ஒரு பணியைத் தேர்ந்தெடுத்து அதன் விவரங்களைப் பார்க்கவும் நிர்வகிக்கவும்.
Select a template...,ஒரு வார்ப்புருவைத் தேர்ந்தெடுக்கவும்...
Select priority...,முன்னுரிமையைத் தேர்ந்தெடுக்கவும்...
Select status...,நிலையைத் தேர்ந்தெடுக்கவும்...
Select task...,பணியைத் தேர்ந்தெடுக்கவும்...
Select type...,வகையைத் தேர்ந்தெடுக்கவும்...
Selection,தேர்வு
Send,அனுப்பு
Send comment,கருத்தை அனுப்பு
Send email invitations to attendees,பங்கேற்பாளர்களுக்கு மின்னஞ்சல் அழைப்பிதழ்களை அனுப்பு
Send Invitations,அழைப்பிதழ்களை அனுப்பு
Send notification when a task is assigned to a user,ஒரு பணி பயனருக்கு ஒதுக்கப்படும்போது அறிவிப்பை அனுப்பு
Send notification when task status changes,பணி நிலை மாறும்போது அறிவிப்பை அனுப்பு
Send reminder before task due date,பணி நிலுவைத் தேதிக்கு முன் நினைவூட்டல் அனுப்பு
sent,அனுப்பப்பட்டது
Set rate,விகிதத்தை அமை
Settings,அமைப்புகள்
Settings saved successfully,அமைப்புகள் வெற்றிகரமாக சேமிக்கப்பட்டன
Severity,தீவிரம்
SF (Start-Finish),SF (தொடக்கம்-முடிவு)
SF - Start-to-Finish,SF - தொடக்கம்-முடிவு
Show,காட்டு
Show all,அனைத்தையும் காட்டு
Show all changes,அனைத்து மாற்றங்களையும் காட்டு
Show Archived,காப்பகப்படுத்தப்பட்டவற்றைக் காட்டு
Show full diff,முழு வேறுபாட்டைக் காட்டு
Show less,குறைவாகக் காட்டு
Show more,மேலும் காட்டு
Skill added,திறன் சேர்க்கப்பட்டது
Skill is required,திறன் தேவை
Skill Name,திறன் பெயர்
Skill removed,திறன் நீக்கப்பட்டது
Skill {0} already exists for this resource,திறன் {0} இந்த வளத்திற்கு ஏற்கனவே உள்ளது
Skills,திறன்கள்
Skills & Competencies,திறன்கள் & தகுதிகள்
Skip already migrated projects,ஏற்கனவே இடம்பெயர்க்கப்பட்ட திட்டங்களைத் தவிர்
Sort by,வரிசைப்படுத்து
Sort: Due Date,வரிசை: நிலுவைத் தேதி
Sort: Priority,வரிசை: முன்னுரிமை
Sort: Project,வரிசை: திட்டம்
Sort: Status,வரிசை: நிலை
Sort: Task,வரிசை: பணி
Source Code,மூலக் குறியீடு
Spent,செலவிட்டது
Spent:,செலவிட்டது:
SS (Start-Start),SS (தொடக்கம்-தொடக்கம்)
SS - Start-to-Start,SS - தொடக்கம்-தொடக்கம்
Standalone,தனித்தியங்கும்
Start,தொடக்கம்
Start a discussion below,கீழே கலந்துரையாடலைத் தொடங்கு
Start Date,தொடக்க தேதி
Start date,தொடக்க தேதி
Start Date (Earliest),தொடக்க தேதி (முந்தையது)
Start date updated,தொடக்க தேதி புதுப்பிக்கப்பட்டது
Start date/time is required,தொடக்க தேதி/நேரம் தேவை
Start Migration,இடம்பெயர்வைத் தொடங்கு
Start the conversation below.,கீழே உரையாடலைத் தொடங்கவும்.
Start Timer,நேர அளவியைத் தொடங்கு
Start typing to search...,தேட தட்டச்சு செய்யத் தொடங்கவும்...
Start-to-Finish,தொடக்கம்-முடிவு
Start-to-Start,தொடக்கம்-தொடக்கம்
Start:,தொடக்கம்:
Statistics reset,புள்ளிவிவரங்கள் மீட்டமைக்கப்பட்டன
Status,அந்தஸ்து
Status assigned to new projects,புதிய திட்டங்களுக்கு ஒதுக்கப்பட்ட நிலை
Status assigned to new tasks,புதிய பணிகளுக்கு ஒதுக்கப்பட்ட நிலை
Status Changes,நிலை மாற்றங்கள்
Status updated,நிலை புதுப்பிக்கப்பட்டது
Status:,நிலை:
Stop,நிறுத்து
Stop & Save,நிறுத்து & சேமி
Stop Timer,நேர அளவியை நிறுத்து
Stops current timer and starts for this event,தற்போதைய நேர அளவியை நிறுத்தி இந்த நிகழ்வுக்குத் தொடங்கும்
Stops current timer and starts for this task,தற்போதைய நேர அளவியை நிறுத்தி இந்தப் பணிக்குத் தொடங்கும்
Subject,பொருள்
Subject cannot exceed 255 characters,பொருள் 255 எழுத்துகளுக்கு மேல் இருக்க முடியாது
Subject is required,பொருள் தேவை
Submit,Submit &#39;
Submit Another Request,மற்றொரு கோரிக்கையைச் சமர்ப்பி
Submit Request,கோரிக்கையைச் சமர்ப்பி
Submitting...,சமர்ப்பித்தல் ...
Successfully saved,வெற்றிகரமாக சேமிக்கப்பட்டது
Successors (Blocking),வாரிசுகள் (தடுக்கும்)
Sun,ஞாயி
Supplier,சப்ளையர்
Support,ஆதரவு
Switch to this event,இந்த நிகழ்வுக்கு மாறு
Switch to this task,இந்தப் பணிக்கு மாறு
Sync direction is set to Frappe to Orga only,ஒத்திசைவு திசை Frappe இலிருந்து Orga க்கு மட்டும் அமைக்கப்பட்டுள்ளது
Sync direction is set to Orga to Frappe only,ஒத்திசைவு திசை Orga இலிருந்து Frappe க்கு மட்டும் அமைக்கப்பட்டுள்ளது
Sync not enabled for this project,இந்தத் திட்டத்திற்கு ஒத்திசைவு இயக்கப்படவில்லை
System,முறை
Table,மேசை
Take ownership of this task,இந்தப் பணியின் உரிமையை ஏற்றுக்கொள்
Target Date,இலக்கு தேதி
Target End,இலக்கு முடிவு
Target Project,இலக்கு திட்டம்
Target user is required for '{0}' action,'{0}' செயலுக்கு இலக்கு பயனர் தேவை
task,பணி
Task,பணி
Task '{0}' is due on {1}.,பணி '{0}' {1} அன்று நிலுவையில் உள்ளது.
Task and resource are required,பணி மற்றும் வளம் தேவை
Task Assignment,பணி ஒதுக்கீடு
Task cannot be its own parent,பணி தனக்கே பெற்றோராக இருக்க முடியாது
Task cannot depend on itself,பணி தன்னையே சார்ந்திருக்க முடியாது
Task cannot depend on the group it belongs to,பணி தான் சேர்ந்த குழுவை சார்ந்திருக்க முடியாது
Task created,பணி உருவாக்கப்பட்டது
Task deleted,பணி நீக்கப்பட்டது
Task description has been saved.,பணி விளக்கம் சேமிக்கப்பட்டது.
Task Details,பணி விவரங்கள்
Task due in {0} days: {1},{0} நாட்களில் நிலுவையில் உள்ள பணி: {1}
Task due today: {0},இன்று நிலுவையில் உள்ள பணி: {0}
Task due tomorrow: {0},நாளை நிலுவையில் உள்ள பணி: {0}
Task duplicated,பணி நகலெடுக்கப்பட்டது
Task Group,பணிக் குழு
Task ID is required,பணி ID தேவை
Task is blocked by incomplete dependencies,முடிக்கப்படாத சார்புகளால் பணி தடுக்கப்பட்டுள்ளது
Task is cancelled,பணி ரத்து செய்யப்பட்டது
Task is completed,பணி நிறைவடைந்தது
Task is no longer blocked by a group,பணி இனி ஒரு குழுவால் தடுக்கப்படவில்லை
Task is required for task context,பணி சூழலுக்கு பணி தேவை
Task is required when tracking context is 'task',கண்காணிப்பு சூழல் 'பணி' ஆக இருக்கும்போது பணி தேவை
Task linked,பணி இணைக்கப்பட்டது
Task moved,பணி நகர்த்தப்பட்டது
Task name,பணி பெயர்
Task name is required,பணி பெயர் தேவை
Task removed from group,குழுவிலிருந்து பணி நீக்கப்பட்டது
Task Subject,பணி பொருள்
Task subject is required,பணி பொருள் தேவை
Task Type,பணி வகை
Task unblocked: {0},பணி தடையற்றது: {0}
Task unlinked,பணி இணைப்பு நீக்கப்பட்டது
Task updated,பணி புதுப்பிக்கப்பட்டது
Task {0} not found,பணி {0} கிடைக்கவில்லை
Task {0} not in project {1},பணி {0} திட்டம் {1} இல் இல்லை
Task {0} to Frappe,பணி {0} Frappe க்கு
Tasks,பணிகள்
tasks,பணிகள்
Tasks and milestones will be created with dates relative to the project start date.,திட்ட தொடக்க தேதியை சார்ந்த தேதிகளுடன் பணிகள் மற்றும் மைல்கல்கள் உருவாக்கப்படும்.
Tasks assigned to you across all projects.,அனைத்து திட்டங்களிலும் உங்களுக்கு ஒதுக்கப்பட்ட பணிகள்.
Tasks created:,உருவாக்கப்பட்ட பணிகள்:
Tasks from projects you manage.,நீங்கள் நிர்வகிக்கும் திட்டங்களின் பணிகள்.
Tasks updated:,புதுப்பிக்கப்பட்ட பணிகள்:
"Tasks, milestones, and dependencies have been created.","பணிகள், மைல்கல்கள் மற்றும் சார்புகள் உருவாக்கப்பட்டன."
Tasks:,பணிகள்:
TBD,தீர்மானிக்கப்படவில்லை
Team,குழு
Team Members,குழு உறுப்பினர்கள்
Template,டெம்ப்ளேட்
Template applied,வார்ப்புரு பயன்படுத்தப்பட்டது
Template data is required in import data,இறக்குமதி தரவில் வார்ப்புரு தரவு தேவை
Template has no data,வார்ப்புருவில் தரவு இல்லை
Template Name,வார்ப்புரு பெயர்
Template name,வார்ப்புரு பெயர்
Template name is required,வார்ப்புரு பெயர் தேவை
Template name is required in import data,இறக்குமதி தரவில் வார்ப்புரு பெயர் தேவை
Template saved,வார்ப்புரு சேமிக்கப்பட்டது
Template updated successfully.,வார்ப்புரு வெற்றிகரமாக புதுப்பிக்கப்பட்டது.
Template {0} not found,வார்ப்புரு {0} கிடைக்கவில்லை
Templates,வார்ப்புருக்கள்
Tentative,தற்காலிகமான
The comment has been deleted,கருத்து நீக்கப்பட்டது
The project,திட்டம்
The source document may have been deleted.,மூல ஆவணம் நீக்கப்பட்டிருக்கலாம்.
The source document will not be affected.,மூல ஆவணம் பாதிக்கப்படாது.
The status of '{0}' was changed from {1} to {2}.,'{0}' இன் நிலை {1} இலிருந்து {2} ஆக மாற்றப்பட்டது.
Theme,தீம்
Theme preference,தீம் விருப்பம்
This action,இந்தச் செயல்
This action cannot be undone.,இந்தச் செயலை மீட்டெடுக்க இயலாது.
This activity has been flagged for attention,இந்தச் செயல்பாடு கவனத்திற்காக கொடியிடப்பட்டுள்ளது
This is a reminder for your upcoming appointment,இது உங்கள் வரவிருக்கும் சந்திப்பிற்கான நினைவூட்டல்
This method is only meant for developer mode,இந்த முறை டெவலப்பர் பயன்முறைக்கு மட்டுமே
This page wandered off,This page wandered off
This Week,இந்த வாரம்
This will delete all notes and preferences associated with this activity.,இது இந்தச் செயல்பாட்டுடன் தொடர்புடைய அனைத்து குறிப்புகள் மற்றும் விருப்பங்களையும் நீக்கும்.
This will import all Frappe Projects into Orga. Continue?,இது அனைத்து Frappe திட்டங்களையும் Orga இல் இறக்குமதி செய்யும். தொடரவா?
This will permanently delete,இது நிரந்தரமாக நீக்கும்
This will permanently delete:,இது நிரந்தரமாக நீக்கும்:
Thu,வியா
Time,நேரம்
Time & Billing,நேரம் & கட்டணம்
Time & Revenue,நேரம் & வருவாய்
Time Entries,நேரப் பதிவுகள்
Time log name is required,நேரப் பதிவு பெயர் தேவை
Time Log not found,நேரப் பதிவு கிடைக்கவில்லை
Time log {0} not found,நேரப் பதிவு {0} கிடைக்கவில்லை
Time Logs,நேரப் பதிவுகள்
Time Summary,நேர சுருக்கம்
Time Tracking,நேரக் கண்காணிப்பு
Timeline,காலக்கோடு
Timer active on,நேர அளவி செயலில் உள்ளது
Timer is not running,நேர அளவி இயங்கவில்லை
Timer Running,நேர அளவி இயங்குகிறது
Timer running,நேர அளவி இயங்குகிறது
Timesheet DocType not available,நேரத்தாள் DocType கிடைக்கவில்லை
Timesheets,நேரத்தாள்கள்
Timezone,நேர மண்டலம்
Timezone is detected from your browser,நேர மண்டலம் உங்கள் உலாவியிலிருந்து கண்டறியப்படுகிறது
Title,தலைப்பு
Title cannot exceed 255 characters,தலைப்பு 255 எழுத்துகளுக்கு மேல் இருக்க முடியாது
Title is required,தலைப்பு தேவை
Title updated,தலைப்பு புதுப்பிக்கப்பட்டது
To,செய்ய
to,க்கு
to cancel,ரத்து செய்ய
to close,மூட
to confirm:,உறுதிப்படுத்த:
to edit,திருத்த
"to save,","சேமிக்க,"
To Time cannot be before From Time,முடிவு நேரம் தொடக்க நேரத்திற்கு முன்னதாக இருக்க முடியாது
Today,இன்று
today,இன்று
Toggle billable,கட்டணத்திற்குரியதை மாற்று
Toggle Details Panel,விவரக் குழுவை மாற்று
Toggle Manager Panel,மேலாளர் குழுவை மாற்று
Toggle Sidebar,பக்கப்பட்டி மாறு
Tomorrow,நாளை
tomorrow,நாளை
Total,மொத்தம்
Total Budget,மொத்த வரவு செலவுத் திட்டம்
Total Contacts,மொத்த தொடர்புகள்
Total Cost,மொத்த செலவு
Total Cost to Org,நிறுவனத்திற்கான மொத்த செலவு
Total Defect Cost,மொத்த குறைபாடு செலவு
Total Hours,மொத்த மணி நேரம்
Total Hours Logged,பதிவு செய்யப்பட்ட மொத்த மணி நேரம்
Total Projects,மொத்த திட்டங்கள்
Total Spent,மொத்த செலவு
Total Tasks,மொத்த பணிகள்
Total:,மொத்தம்:
Tracked,கண்காணிக்கப்பட்டது
trails to today while Open at 0%,0% இல் திறந்த நிலையில் இன்று வரை நீள்கிறது
Tried:,Tried:
Try adjusting your filter criteria,உங்கள் வடிகட்டி அளவுகோல்களை மாற்றி முயற்சிக்கவும்
Try adjusting your filters.,உங்கள் வடிகட்டிகளை மாற்றி முயற்சிக்கவும்.
Try Again,மீண்டும் முயற்சி
Tue,செவ்
Type,மாதிரி
Type updated,வகை புதுப்பிக்கப்பட்டது
Type:,வகை:
Typical response time: 1-2 business days,வழக்கமான பதில் நேரம்: 1-2 வணிக நாட்கள்
Unarchive,காப்பகத்திலிருந்து நீக்கு
Unarchive Activity,செயல்பாட்டை காப்பகத்திலிருந்து நீக்கு
Unassign,ஒதுக்கீட்டை நீக்கு
Unassigned,ஒதுக்கப்படாதது
Under Budget,வரவு செலவுத் திட்டத்திற்குள்
Ungrouped,குழுப்படுத்தப்படாதது
Unknown,தெரியாத
Unknown error,தெரியாத பிழை
Unlink failed,இணைப்பு நீக்கம் தோல்வியடைந்தது
Unlink task from milestone,மைல்கல்லிலிருந்து பணி இணைப்பை நீக்கு
Unpin,பொருத்தப்படாத
Unpin Activity,செயல்பாட்டைப் பொருத்தம் நீக்கு
Unread,படிக்காத
Unread only,படிக்கப்படாதவை மட்டும்
Until,வரை
Up to Date,Up to Date
Upcoming,வரவிருக்கும்
upcoming,வரவிருக்கும்
Update,Update
Update Available,Update Available
Update available,Update available
Update available: v{0},Update available: v{0}
Update check failed: {0},Update check failed: {0}
Update failed,புதுப்பிப்பு தோல்வியடைந்தது
Updated,புதுப்பிக்கப்பட்ட
Updated successfully,வெற்றிகரமாக புதுப்பிக்கப்பட்டது
Updates,Updates
Upload,பதிவேற்ற
Upload failed,பதிவேற்றம் தோல்வியுற்றது
Upload files below to attach them to this task.,இந்தப் பணியில் இணைக்க கீழே கோப்புகளைப் பதிவேற்றவும்.
Upload to project,திட்டத்தில் பதிவேற்று
Uploading...,பதிவேற்றுகிறது...
Urgent,அவசரமான
User {0} is already linked to client {1},பயனர் {0} ஏற்கனவே வாடிக்கையாளர் {1} உடன் இணைக்கப்பட்டுள்ளார்
User {0} is already linked to resource {1},பயனர் {0} ஏற்கனவே வளம் {1} உடன் இணைக்கப்பட்டுள்ளார்
Utilization,பயன்பாடு
Valid,செல்லுபடியாகும்
Value:,மதிப்பு:
Variance,மாறுபாடு
Variance:,மாறுபாடு:
Version {0} is available. You are running {1}.,Version {0} is available. You are running {1}.
View,காட்சி
View All,அனைத்தையும் காட்டு
View all active projects,அனைத்து செயலில் உள்ள திட்டங்களைப் பார்
View all open tasks,அனைத்து திறந்த பணிகளைப் பார்
View overdue tasks,தாமதமான பணிகளைப் பார்
View Release,View Release
Visibility,தெரிவுநிலை
Waiting for this task,இந்தப் பணிக்காக காத்திருக்கிறது
Waits for:,காத்திருப்பது:
Warning: Resource {0} status is {1},எச்சரிக்கை: வளம் {0} நிலை {1}
Warning: Using HTTP instead of HTTPS. Webhook payloads may not be secure.,எச்சரிக்கை: HTTPS க்கு பதிலாக HTTP பயன்படுத்தப்படுகிறது. Webhook பேலோடுகள் பாதுகாப்பானதாக இருக்காது.
Watch budget closely,வரவு செலவுத் திட்டத்தை நெருக்கமாகக் கவனி
We'll respond to:,நாங்கள் பதிலளிப்போம்:
Webhook deleted,Webhook நீக்கப்பட்டது
Webhook name is required,Webhook பெயர் தேவை
Webhook not found,Webhook கிடைக்கவில்லை
Webhook URL is required,Webhook URL தேவை
Webhook URL must start with http:// or https://,Webhook URL http:// அல்லது https:// உடன் தொடங்க வேண்டும்
Wed,புதன்
Week,வீக்
Weekend,வார இறுதி
Weekly Capacity,வாராந்திர கொள்திறன்
weekly capacity,வாராந்திர கொள்திறன்
Weekly Capacity (h),வாராந்திர கொள்திறன் (ம)
Welcome,வரவேற்பு
Welcome back!,மீண்டும் வருக!
Welcome to Orga,Orga க்கு வரவேற்கிறோம்
What are you working on?,நீங்கள் என்ன பணி செய்கிறீர்கள்?
What did you work on?,நீங்கள் என்ன பணி செய்தீர்கள்?
When,எப்போது
When work begins,பணி தொடங்கும்போது
When work is due,பணி நிலுவையில் இருக்கும்போது
Where,எங்கே
Will capture:,கைப்பற்றும்:
Will create:,உருவாக்கும்:
with checklist items,சரிபார்ப்புப் பட்டியல் உருப்படிகளுடன்
Working,செயல்படுகிறது
Workload,பணிச்சுமை
Workmanship,கைவேலைப்பாடு
Write a comment...,கருத்தை எழுதுங்கள்...
Write a comment... Use @name to mention (Ctrl+Enter to send),கருத்தை எழுதுங்கள்... குறிப்பிட @பெயர் பயன்படுத்தவும் (அனுப்ப Ctrl+Enter)
Year,ஆண்டு
Yes,ஆம்
Yesterday,நேற்று
yesterday,நேற்று
You are not an attendee of this appointment,நீங்கள் இந்த சந்திப்பின் பங்கேற்பாளர் அல்ல
You are not linked to any resource,நீங்கள் எந்த வளத்துடனும் இணைக்கப்படவில்லை
You are running the latest version of Orga.,You are running the latest version of Orga.
You can only delete your own comments,உங்கள் சொந்த கருத்துகளை மட்டுமே நீக்க முடியும்
You can only delete your own reactions,உங்கள் சொந்த எதிர்வினைகளை மட்டுமே நீக்க முடியும்
You do not have access to the client portal. Please contact support.,வாடிக்கையாளர் போர்ட்டலுக்கு உங்களுக்கு அணுகல் இல்லை. ஆதரவைத் தொடர்பு கொள்ளுங்கள்.
You have already reacted with '{0}',நீங்கள் ஏற்கனவே '{0}' என எதிர்வினையாற்றியுள்ளீர்கள்
You have been assigned to task '{0}' in project '{1}'.,திட்டம் '{1}' இல் பணி '{0}' க்கு நீங்கள் ஒதுக்கப்பட்டுள்ளீர்கள்.
You have been assigned to: {0},நீங்கள் ஒதுக்கப்பட்டுள்ளீர்கள்: {0}
You have been invited to the following appointment,பின்வரும் சந்திப்புக்கு நீங்கள் அழைக்கப்பட்டுள்ளீர்கள்
You have no tasks assigned to you right now.,தற்போது உங்களுக்கு ஒதுக்கப்பட்ட பணிகள் இல்லை.
You were mentioned in {0},நீங்கள் {0} இல் குறிப்பிடப்பட்டீர்கள்
Your attendance,உங்கள் வருகை
Your comment has been posted,உங்கள் கருத்து பதிவிடப்பட்டது
Your Projects,உங்கள் திட்டங்கள்
Your projects will appear here once they're assigned to you.,உங்களுக்கு ஒதுக்கப்பட்டவுடன் உங்கள் திட்டங்கள் இங்கே தோன்றும்.
Your Response,உங்கள் பதில்
Your RSVP,உங்கள் RSVP
Your support request has been submitted successfully.,உங்கள் ஆதரவு கோரிக்கை வெற்றிகரமாக சமர்ப்பிக்கப்பட்டது.
Your support request has been submitted successfully. We'll get back to you shortly.,உங்கள் ஆதரவு கோரிக்கை வெற்றிகரமாக சமர்ப்பிக்கப்பட்டது. விரைவில் நாங்கள் உங்களைத் தொடர்பு கொள்வோம்.
"Your task ""{0}"" is no longer blocked and can now be started.","உங்கள் பணி ""{0}"" இனி தடுக்கப்படவில்லை, இப்போது தொடங்கலாம்."
{0} is required,{0} தேவை
{0} new activities,{0} புதிய செயல்பாடுகள்
{0} of {1} completed,{1} இல் {0} நிறைவடைந்தது
{0} projects already migrated (will be skipped or updated),{0} திட்டங்கள் ஏற்கனவே இடம்பெயர்க்கப்பட்டன (தவிர்க்கப்படும் அல்லது புதுப்பிக்கப்படும்)
{0} status changed to {1},{0} நிலை {1} ஆக மாற்றப்பட்டது
{0} tasks remaining,{0} பணிகள் மீதமுள்ளன
{0} tasks without projects will be skipped,திட்டங்கள் இல்லாத {0} பணிகள் தவிர்க்கப்படும்
{0} {1} not found,{0} {1} கிடைக்கவில்லை
