+ Add Milestone,+ เพิ่มเป้าหมาย
+ Create Task,+ สร้างงาน
+ Log Time,+ บันทึกเวลา
-- Select a project --,-- เลือกโปรเจกต์ --
0m,0น.
1 day,1 วัน
1 day ago,1 วันที่แล้ว
1 dependency,1 การพึ่งพา
1 entry,1 รายการ
1 file,1 ไฟล์
1 hour ago,1 ชั่วโมงที่แล้ว
1 member,1 สมาชิก
1 milestone,1 เป้าหมาย
1 month,1 เดือน
1 task,1 งาน
< 1m,< 1น.
"A clear, actionable title for the task",หัวข้องานที่ชัดเจนและปฏิบัติได้
A client with email {0} already exists: {1},มีลูกค้าที่ใช้อีเมล {0} อยู่แล้ว: {1}
A key deliverable or checkpoint for the project,ผลลัพธ์สำคัญหรือจุดตรวจสอบของโปรเจกต์
Accept,ยอมรับ
Accepted,ยอมรับแล้ว
Acknowledge,รับทราบ
across,ทั้งหมด
Action,การดำเนินการ
Actions,การดำเนินการ
Active,ใช้งาน
Active Assignments,การมอบหมายที่ใช้งาน
Active Projects,โปรเจกต์ที่ใช้งาน
Activity,กิจกรรม
Activity data deleted successfully,ลบข้อมูลกิจกรรมสำเร็จ
Activity Info,ข้อมูลกิจกรรม
Activity Stats,สถิติกิจกรรม
Activity will appear here as you work on tasks and projects.,กิจกรรมจะปรากฏที่นี่เมื่อคุณทำงานในงานและโปรเจกต์
Actual,จริง
Actual Cost,ต้นทุนจริง
Actual cost cannot be negative,ต้นทุนจริงต้องไม่เป็นค่าลบ
Actual end date cannot be before actual start date,วันที่สิ้นสุดจริงต้องไม่อยู่ก่อนวันที่เริ่มต้นจริง
Actual Hours,ชั่วโมงจริง
Add,เพิ่ม
Add a checklist item...,เพิ่มรายการตรวจสอบ...
Add a comment...,เพิ่มความคิดเห็น...
Add a comment... (Ctrl+Enter to send),เพิ่มความคิดเห็น... (Ctrl+Enter เพื่อส่ง)
Add a description...,เพิ่มคำอธิบาย...
Add a milestone description...,เพิ่มคำอธิบายเป้าหมาย...
Add a note below to annotate this activity.,เพิ่มบันทึกด้านล่างเพื่ออธิบายกิจกรรมนี้
Add a note...,เพิ่มบันทึก...
Add a project description...,เพิ่มคำอธิบายโปรเจกต์...
Add a task description...,เพิ่มคำอธิบายงาน...
Add checklist item...,เพิ่มรายการตรวจสอบ...
Add Contact,เพิ่มผู้ติดต่อ
Add contacts via the Desk interface or clear filters,เพิ่มผู้ติดต่อผ่านหน้า Desk หรือล้างตัวกรอง
Add Dependency,เพิ่มการพึ่งพา
Add details about this event...,เพิ่มรายละเอียดเกี่ยวกับกิจกรรมนี้...
Add details about this milestone...,เพิ่มรายละเอียดเกี่ยวกับเป้าหมายนี้...
Add details about this task...,เพิ่มรายละเอียดเกี่ยวกับงานนี้...
Add details or acceptance criteria for this milestone,เพิ่มรายละเอียดหรือเกณฑ์การยอมรับสำหรับเป้าหมายนี้
"Add details, context, or acceptance criteria",เพิ่มรายละเอียด บริบท หรือเกณฑ์การยอมรับ
Add first dependency,เพิ่มการพึ่งพาแรก
Add item,เพิ่มรายการ
Add items below to track progress.,เพิ่มรายการด้านล่างเพื่อติดตามความคืบหน้า
Add items below to track subtasks,เพิ่มรายการด้านล่างเพื่อติดตามงานย่อย
Add Milestone,เพิ่มเป้าหมาย
Add Milestone (Shift+M),เพิ่มเป้าหมาย (Shift+M)
Add milestones to track key deliverables.,เพิ่มเป้าหมายเพื่อติดตามผลลัพธ์สำคัญ
Add New Contact,เพิ่มผู้ติดต่อใหม่
Add Note,เพิ่มบันทึก
Add note,เพิ่มบันทึก
Add notes about this contact...,เพิ่มบันทึกเกี่ยวกับผู้ติดต่อนี้...
Add reaction,เพิ่มปฏิกิริยา
Add Skill,เพิ่มทักษะ
Add start and due dates to tasks to see them on the Gantt chart,เพิ่มวันที่เริ่มต้นและวันครบกำหนดให้กับงานเพื่อแสดงบนแผนภูมิแกนต์
Add Task,เพิ่มงาน
Add Task (Shift+T),เพิ่มงาน (Shift+T)
Added Finish-to-Start dependency,เพิ่มการพึ่งพาแบบเสร็จ-ถึง-เริ่มแล้ว
Adding this dependency would create a circular reference: {0},การเพิ่มการพึ่งพานี้จะสร้างการอ้างอิงวนรอบ: {0}
Adding...,กำลังเพิ่ม...
Address,ที่อยู่
Advanced,ขั้นสูง
All,ทั้งหมด
All Active,ใช้งานทั้งหมด
All Assignees,ผู้รับมอบหมายทั้งหมด
All Categories,หมวดหมู่ทั้งหมด
All caught up!,ไม่มีรายการใหม่แล้ว!
All Contexts,บริบททั้งหมด
All day,ทั้งวัน
All day event,กิจกรรมทั้งวัน
All fields,ทุกฟิลด์
All Priorities,ลำดับความสำคัญทั้งหมด
All Projects,โปรเจกต์ทั้งหมด
All Status,สถานะทั้งหมด
All Statuses,สถานะทั้งหมด
All task dependencies & relative dates,การพึ่งพาของงานทั้งหมดและวันที่สัมพันธ์
All Tasks,งานทั้งหมด
All tasks across all projects.,งานทั้งหมดในทุกโปรเจกต์
All tasks are already linked,งานทั้งหมดเชื่อมโยงแล้ว
All team members,สมาชิกในทีมทั้งหมด
All Types,ประเภททั้งหมด
All Users,ผู้ใช้ทั้งหมด
Allocated,จัดสรรแล้ว
allocated,จัดสรรแล้ว
Allow users to log time against tasks,อนุญาตให้ผู้ใช้บันทึกเวลาสำหรับงาน
Already exported to timesheet {0},ส่งออกไปยังใบบันทึกเวลา {0} แล้ว
Already Migrated,ย้ายข้อมูลแล้ว
Anyone with access,ทุกคนที่มีสิทธิ์เข้าถึง
anytime to show this help,เมื่อใดก็ได้เพื่อแสดงความช่วยเหลือนี้
App Updates,App Updates
Appearance,รูปลักษณ์
Apply,นำไปใช้
Apply cascade?,นำไปใช้แบบต่อเนื่อง?
Apply Changes,นำการเปลี่ยนแปลงไปใช้
Apply failed,การนำไปใช้ล้มเหลว
Apply Template,นำเทมเพลตไปใช้
Applying...,กำลังนำไปใช้...
Appointment,การนัดหมาย
Appointment and resource are required,ต้องระบุการนัดหมายและทรัพยากร
Appointment name is required,ต้องระบุชื่อการนัดหมาย
Appointment not found,ไม่พบการนัดหมาย
Appointment {0} not found,ไม่พบการนัดหมาย {0}
Apps,แอปพลิเคชัน
Archive,จัดเก็บ
Archive Activity,จัดเก็บกิจกรรม
Archived,จัดเก็บแล้ว
Are you sure you want to delete this activity data? This cannot be undone.,คุณแน่ใจหรือไม่ว่าต้องการลบข้อมูลกิจกรรมนี้? การดำเนินการนี้ไม่สามารถเลิกทำได้
Are you sure you want to delete this comment?,คุณแน่ใจหรือไม่ว่าต้องการลบความคิดเห็นนี้?
Are you sure you want to delete this project?,คุณแน่ใจหรือไม่ว่าต้องการลบโปรเจกต์นี้?
Are you sure?,คุณแน่ใจหรือไม่?
Ascending -- click to reverse,เรียงจากน้อยไปมาก -- คลิกเพื่อกลับทาง
Assign To,มอบหมายให้
Assign to Me,มอบหมายให้ฉัน
Assigned Contact,ผู้ติดต่อที่มอบหมาย
Assigned To,มอบหมายให้
Assigned to,มอบหมายให้
Assigned to Me,มอบหมายให้ฉัน
Assignee,ผู้รับมอบหมาย
Assignment,การมอบหมาย
Assignment History,ประวัติการมอบหมาย
Assignment name is required,ต้องระบุชื่อการมอบหมาย
Assignment {0} not found,ไม่พบการมอบหมาย {0}
Assignments,การมอบหมาย
At least one action is required,ต้องมีอย่างน้อยหนึ่งการดำเนินการ
At least one event is required,ต้องมีอย่างน้อยหนึ่งเหตุการณ์
At least one event must be selected,ต้องเลือกอย่างน้อยหนึ่งเหตุการณ์
Attachment,ไฟล์แนบ
Attachments,ไฟล์แนบ
Attendees,ผู้เข้าร่วม
"Audit trail, assignments, version history",ประวัติการตรวจสอบ การมอบหมาย ประวัติเวอร์ชัน
Auto,อัตโนมัติ
Auto Calculate Progress,คำนวณความคืบหน้าอัตโนมัติ
Auto Set Missed Milestones,ตั้งเป้าหมายที่พลาดอัตโนมัติ
Auto-shift dependents when dates change,เลื่อนงานที่พึ่งพาอัตโนมัติเมื่อวันที่เปลี่ยน
Auto-Trail Start,เริ่มติดตามอัตโนมัติ
Auto-Trail updated,อัปเดตการติดตามอัตโนมัติแล้ว
Automatically calculate project progress from task completion,คำนวณความคืบหน้าโปรเจกต์จากการทำงานเสร็จสิ้นอัตโนมัติ
Automatically mark milestones as missed when overdue,ทำเครื่องหมายเป้าหมายว่าพลาดอัตโนมัติเมื่อเกินกำหนด
Automation rule {0} not found,ไม่พบกฎอัตโนมัติ {0}
Automation: {0},อัตโนมัติ: {0}
Availability,ความพร้อมใช้งาน
Available,พร้อมใช้งาน
Avatar updated successfully,อัปเดตรูปโปรไฟล์สำเร็จ
Avg Progress,ความคืบหน้าเฉลี่ย
Back,ย้อนกลับ
Back to Portal,กลับไปยังพอร์ทัล
Back to Projects,กลับไปยังโปรเจกต์
Beginner,เริ่มต้น
Best regards,ด้วยความนับถือ
Billable,เรียกเก็บเงินได้
Billable Amount,จำนวนเงินที่เรียกเก็บได้
Billable Hours,ชั่วโมงที่เรียกเก็บได้
Billable Rate,อัตราที่เรียกเก็บได้
Billing Rate,อัตราเรียกเก็บ
Blocked,ถูกบล็อก
Both dates are needed to display task as a bar in Gantt chart,ต้องระบุวันที่ทั้งสองเพื่อแสดงงานเป็นแถบในแผนภูมิแกนต์
Both doctype and docname are required,ต้องระบุทั้ง doctype และ docname
Both proposed start and end times are required,ต้องระบุทั้งเวลาเริ่มต้นและเวลาสิ้นสุดที่เสนอ
Both task_name and depends_on are required,ต้องระบุทั้ง task_name และ depends_on
Breadcrumb,เส้นทางนำทาง
Brief description of the defect or damage,คำอธิบายสั้น ๆ เกี่ยวกับข้อบกพร่องหรือความเสียหาย
Brief description of this template,คำอธิบายสั้น ๆ ของเทมเพลตนี้
Brief description of your request,คำอธิบายสั้น ๆ ของคำขอของคุณ
Brief project description,คำอธิบายโปรเจกต์สั้น ๆ
Budget,งบประมาณ
Budget at risk,งบประมาณที่เสี่ยง
Budget Burn Rate,อัตราการใช้งบประมาณ
Budget Status,สถานะงบประมาณ
Budget updated,อัปเดตงบประมาณแล้ว
Budget:,งบประมาณ:
Bug,บัก
Burn Rate,อัตราการใช้
Busy,ไม่ว่าง
By,โดย
By Assignee,ตามผู้รับมอบหมาย
By Group,ตามกลุ่ม
By Milestone,ตามเป้าหมาย
By Priority,ตามลำดับความสำคัญ
By Status,ตามสถานะ
Cancel,ยกเลิก
Cancelled,ยกเลิกแล้ว
cannot be undone,ไม่สามารถเลิกทำได้
Cannot delete client with {0} linked projects. Unlink projects first.,ไม่สามารถลบลูกค้าที่มี {0} โปรเจกต์ที่เชื่อมโยง ต้องยกเลิกการเชื่อมโยงโปรเจกต์ก่อน
Cannot delete project with {0} linked tasks. Delete tasks first.,ไม่สามารถลบโปรเจกต์ที่มี {0} งานที่เชื่อมโยง ต้องลบงานก่อน
Cannot delete resource with {0} active assignments. Complete or cancel them first.,ไม่สามารถลบทรัพยากรที่มี {0} การมอบหมายที่ใช้งาน ต้องทำให้เสร็จหรือยกเลิกก่อน
Cannot delete task with {0} subtasks. Delete subtasks first.,ไม่สามารถลบงานที่มี {0} งานย่อย ต้องลบงานย่อยก่อน
Capacity,ความจุ
capacity,ความจุ
Capacity & Rates,ความจุและอัตรา
Capture project structure for reuse,บันทึกโครงสร้างโปรเจกต์เพื่อนำกลับมาใช้
Cascade,ต่อเนื่อง
Cascade Preview,ตัวอย่างการเปลี่ยนแปลงต่อเนื่อง
Category,หมวดหมู่
Celebrate,แสดงความยินดี
Change,เปลี่ยน
Change History,ประวัติการเปลี่ยนแปลง
Change Priority,เปลี่ยนลำดับความสำคัญ
Change Status,เปลี่ยนสถานะ
Changes,การเปลี่ยนแปลง
Changes appear when fields are modified.,การเปลี่ยนแปลงจะปรากฏเมื่อมีการแก้ไขฟิลด์
Check for new versions of Orga,Check for new versions of Orga
Check for Updates,Check for Updates
Checking...,Checking...
Checklist,รายการตรวจสอบ
Checklist item name is required,ต้องระบุชื่อรายการตรวจสอบ
Checklist item not found,ไม่พบรายการตรวจสอบ
Checklist item title is required,ต้องระบุหัวข้อรายการตรวจสอบ
Checklist item {0} not found,ไม่พบรายการตรวจสอบ {0}
Checklist item {0} not found in task,ไม่พบรายการตรวจสอบ {0} ในงาน
Child,รายการย่อย
Choose file to upload,เลือกไฟล์เพื่ออัปโหลด
Circular dependency detected: {0},ตรวจพบการพึ่งพาวนรอบ: {0}
Circular parent-child relationship detected,ตรวจพบความสัมพันธ์แม่-ลูกวนรอบ
Clear,ล้าง
Clear all read,ล้างที่อ่านแล้วทั้งหมด
Clear date,ล้างวันที่
Click on an activity from the list to view and manage its details.,คลิกที่กิจกรรมจากรายการเพื่อดูและจัดการรายละเอียด
Click the avatar to upload a new photo,คลิกที่รูปโปรไฟล์เพื่ออัปโหลดรูปใหม่
Click to add description...,คลิกเพื่อเพิ่มคำอธิบาย...
Click to add notes...,คลิกเพื่อเพิ่มบันทึก...
Click to assign contact,คลิกเพื่อมอบหมายผู้ติดต่อ
Click to change status,คลิกเพื่อเปลี่ยนสถานะ
Click to change type,คลิกเพื่อเปลี่ยนประเภท
Click to edit,คลิกเพื่อแก้ไข
Click to edit budget,คลิกเพื่อแก้ไขงบประมาณ
Click to edit description,คลิกเพื่อแก้ไขคำอธิบาย
Click to edit end date,คลิกเพื่อแก้ไขวันที่สิ้นสุด
Click to edit milestone name,คลิกเพื่อแก้ไขชื่อเป้าหมาย
Click to edit rate,คลิกเพื่อแก้ไขอัตรา
Click to edit start date,คลิกเพื่อแก้ไขวันที่เริ่มต้น
Click to edit title,คลิกเพื่อแก้ไขหัวข้อ
Click to load,คลิกเพื่อโหลด
Click to set group dependency...,คลิกเพื่อตั้งการพึ่งพากลุ่ม...
Click to set group...,คลิกเพื่อตั้งกลุ่ม...
Click to view,คลิกเพื่อดู
Click to view at-risk projects,คลิกเพื่อดูโปรเจกต์ที่มีความเสี่ยง
Click to view critical projects,คลิกเพื่อดูโปรเจกต์วิกฤต
Click to view healthy projects,คลิกเพื่อดูโปรเจกต์ที่สมบูรณ์
Client,ลูกค้า
Client already has a portal user: {0},ลูกค้ามีผู้ใช้พอร์ทัลแล้ว: {0}
Client already has portal access,ลูกค้ามีสิทธิ์เข้าถึงพอร์ทัลแล้ว
Client has no portal user to revoke,ลูกค้าไม่มีผู้ใช้พอร์ทัลที่จะเพิกถอน
Client link removed from project {0},ลบการเชื่อมโยงลูกค้าจากโปรเจกต์ {0} แล้ว
Client Portal,พอร์ทัลลูกค้า
Client {0} deleted successfully,ลบลูกค้า {0} สำเร็จ
Close,ปิด
Close (Esc),ปิด (Esc)
Comment,ความคิดเห็น
comment,ความคิดเห็น
Comment added,เพิ่มความคิดเห็นแล้ว
Comment content is required,ต้องระบุเนื้อหาความคิดเห็น
Comment name is required,ต้องระบุชื่อความคิดเห็น
Comment not found,ไม่พบความคิดเห็น
Comment removed,ลบความคิดเห็นแล้ว
Comment {0} not found in task,ไม่พบความคิดเห็น {0} ในงาน
Comments,ความคิดเห็น
comments,ความคิดเห็น
Community Edition,Community Edition
Company,บริษัท
Company name...,ชื่อบริษัท...
Complete,เสร็จสมบูรณ์
Completed,เสร็จสมบูรณ์แล้ว
completed,เสร็จสมบูรณ์แล้ว
Completed Tasks,งานที่เสร็จสมบูรณ์
Compliance,การปฏิบัติตามกฎ
Configure default values for new projects and tasks,กำหนดค่าเริ่มต้นสำหรับโปรเจกต์และงานใหม่
Configure email notification settings,กำหนดการตั้งค่าการแจ้งเตือนทางอีเมล
Confirm,ยืนยัน
Contact deleted,ลบผู้ติดต่อแล้ว
Contact Details,รายละเอียดผู้ติดต่อ
Contact Information,ข้อมูลผู้ติดต่อ
Contact name is required,ต้องระบุชื่อผู้ติดต่อ
Contact Support,ติดต่อฝ่ายสนับสนุน
Contact your project manager for more information.,ติดต่อผู้จัดการโปรเจกต์ของคุณสำหรับข้อมูลเพิ่มเติม
Contact:,ผู้ติดต่อ:
Contacts,ผู้ติดต่อ
Context,บริบท
Contractor,ผู้รับเหมา
Cost estimate cannot be negative,ประมาณการต้นทุนต้องไม่เป็นค่าลบ
Cost Impact,ผลกระทบด้านต้นทุน
Cost Summary,สรุปต้นทุน
Could not apply the template. Please try again.,ไม่สามารถนำเทมเพลตไปใช้ กรุณาลองอีกครั้ง
Could not attach file to project,ไม่สามารถแนบไฟล์กับโปรเจกต์
Could not change task priority,ไม่สามารถเปลี่ยนลำดับความสำคัญของงาน
Could not change task status,ไม่สามารถเปลี่ยนสถานะงาน
Could not delete the project. Please try again.,ไม่สามารถลบโปรเจกต์ กรุณาลองอีกครั้ง
Could not delete the task. Please try again.,ไม่สามารถลบงาน กรุณาลองอีกครั้ง
Could not delete the template.,ไม่สามารถลบเทมเพลต
Could not duplicate the task. Please try again.,ไม่สามารถทำสำเนางาน กรุณาลองอีกครั้ง
Could not export the template.,ไม่สามารถส่งออกเทมเพลต
Could not import the template. Please check the file format.,ไม่สามารถนำเข้าเทมเพลต กรุณาตรวจสอบรูปแบบไฟล์
Could not link task to milestone,ไม่สามารถเชื่อมโยงงานกับเป้าหมาย
Could not load document details.,ไม่สามารถโหลดรายละเอียดเอกสาร
Could not load task details,ไม่สามารถโหลดรายละเอียดงาน
Could not promote checklist item to task.,ไม่สามารถเลื่อนรายการตรวจสอบเป็นงาน
Could not remove task from milestone,ไม่สามารถลบงานออกจากเป้าหมาย
Could not save budget.,ไม่สามารถบันทึกงบประมาณ
Could not save changes to the milestone,ไม่สามารถบันทึกการเปลี่ยนแปลงเป้าหมาย
Could not save changes to the task,ไม่สามารถบันทึกการเปลี่ยนแปลงงาน
Could not save description.,ไม่สามารถบันทึกคำอธิบาย
Could not save end date.,ไม่สามารถบันทึกวันที่สิ้นสุด
Could not save milestone name.,ไม่สามารถบันทึกชื่อเป้าหมาย
Could not save start date.,ไม่สามารถบันทึกวันที่เริ่มต้น
Could not save the template. Please try again.,ไม่สามารถบันทึกเทมเพลต กรุณาลองอีกครั้ง
Could not save title.,ไม่สามารถบันทึกหัวข้อ
Could not update dependency mode.,ไม่สามารถอัปเดตโหมดการพึ่งพา
Could not update milestone date,ไม่สามารถอัปเดตวันที่เป้าหมาย
Could not update project status.,ไม่สามารถอัปเดตสถานะโปรเจกต์
Could not update project type.,ไม่สามารถอัปเดตประเภทโปรเจกต์
Could not update setting.,ไม่สามารถอัปเดตการตั้งค่า
Could not update task dates,ไม่สามารถอัปเดตวันที่ของงาน
Could not update task status,ไม่สามารถอัปเดตสถานะงาน
Could not update the template.,ไม่สามารถอัปเดตเทมเพลต
Create a copy of this task,สร้างสำเนาของงานนี้
Create Contact,สร้างผู้ติดต่อ
Create Event,สร้างกิจกรรม
Create Milestone,สร้างเป้าหมาย
Create New Milestone,สร้างเป้าหมายใหม่
Create New Task,สร้างงานใหม่
Create Project,สร้างโปรเจกต์
Create Task,สร้างงาน
Create tasks and milestones from a template,สร้างงานและเป้าหมายจากเทมเพลต
Create your first project to get started.,สร้างโปรเจกต์แรกของคุณเพื่อเริ่มต้น
Create your first task to start tracking work on this project.,สร้างงานแรกของคุณเพื่อเริ่มติดตามงานในโปรเจกต์นี้
Created,สร้างแล้ว
Creating...,กำลังสร้าง...
Critical,วิกฤต
Critical Path,เส้นทางวิกฤต
"Currency used for budgets, costs, and billing rates",สกุลเงินที่ใช้สำหรับงบประมาณ ต้นทุน และอัตราเรียกเก็บ
Current,ปัจจุบัน
Current Assignments,การมอบหมายปัจจุบัน
Current scheduled time:,เวลาที่กำหนดปัจจุบัน:
Currently running version,Currently running version
d lag,วันล่าช้า
Daily Availability,ความพร้อมรายวัน
Daily Hours,ชั่วโมงรายวัน
Danger Zone,โซนอันตราย
Dark,มืด
Dashboard,แดชบอร์ด
Date,วันที่
Date changes on this task will show cascade impact here,การเปลี่ยนแปลงวันที่ของงานนี้จะแสดงผลกระทบต่อเนื่องที่นี่
Date cleared,ล้างวันที่แล้ว
Date of Joining,วันที่เข้าร่วม
Date updated,อัปเดตวันที่แล้ว
Dates,วันที่
Dates cascaded,เลื่อนวันที่ต่อเนื่องแล้ว
Dates will be relative to the project's start date.,วันที่จะสัมพันธ์กับวันที่เริ่มต้นของโปรเจกต์
Day,วัน
day,วัน
days,วัน
Days before due date to send reminder,จำนวนวันก่อนวันครบกำหนดที่จะส่งการแจ้งเตือน
Days Overdue,วันที่เกินกำหนด
Days Remaining,วันที่เหลือ
Deadline,กำหนดส่ง
Deadlines,กำหนดส่ง
Decision,การตัดสินใจ
Decline,ปฏิเสธ
Declined,ปฏิเสธแล้ว
Default Currency,สกุลเงินเริ่มต้น
Default hours per week for contact capacity planning,ชั่วโมงเริ่มต้นต่อสัปดาห์สำหรับการวางแผนความจุผู้ติดต่อ
Default Priority,ลำดับความสำคัญเริ่มต้น
Default Project Status,สถานะโปรเจกต์เริ่มต้น
Default Task Status,สถานะงานเริ่มต้น
Default task view,มุมมองงานเริ่มต้น
Default Values,ค่าเริ่มต้น
Default Weekly Capacity,ความจุรายสัปดาห์เริ่มต้น
Defaults,ค่าเริ่มต้น
Defect Cost Impact,ผลกระทบด้านต้นทุนจากข้อบกพร่อง
Defect name is required,ต้องระบุชื่อข้อบกพร่อง
Defect Type,ประเภทข้อบกพร่อง
Defect {0} not found,ไม่พบข้อบกพร่อง {0}
Defects,ข้อบกพร่อง
Defects & Issues,ข้อบกพร่องและปัญหา
Defects Resolved,ข้อบกพร่องที่แก้ไขแล้ว
Delayed,ล่าช้า
Delete,ลบ
Delete Activity Data,ลบข้อมูลกิจกรรม
Delete all read notifications?,ลบการแจ้งเตือนที่อ่านแล้วทั้งหมด?
Delete comment,ลบความคิดเห็น
Delete Contact,ลบผู้ติดต่อ
Delete Event,ลบกิจกรรม
Delete Event?,ลบกิจกรรม?
Delete failed,การลบล้มเหลว
Delete file,ลบไฟล์
Delete item,ลบรายการ
Delete note,ลบบันทึก
Delete Project,ลบโปรเจกต์
Delete Task,ลบงาน
Delete this project,ลบโปรเจกต์นี้
Deleted,ลบแล้ว
"Deleted project ""{0}"" ({1} tasks, {2} milestones)","ลบโปรเจกต์ ""{0}"" แล้ว ({1} งาน, {2} เป้าหมาย)"
Deletes notes and preferences. Source document is not affected.,ลบบันทึกและการตั้งค่า เอกสารต้นฉบับไม่ได้รับผลกระทบ
Deleting...,กำลังลบ...
Department,แผนก
Dependencies,การพึ่งพา
dependencies,การพึ่งพา
Dependencies are informational only,การพึ่งพาเป็นเพียงข้อมูลอ้างอิงเท่านั้น
dependency,การพึ่งพา
Dependency already exists,มีการพึ่งพาอยู่แล้ว
Dependency Chain,ห่วงโซ่การพึ่งพา
Dependency created,สร้างการพึ่งพาแล้ว
Dependency mode updated,อัปเดตโหมดการพึ่งพาแล้ว
Dependency name is required,ต้องระบุชื่อการพึ่งพา
Dependency task {0} not found,ไม่พบงานที่พึ่งพา {0}
Dependency {0} not found,ไม่พบการพึ่งพา {0}
depends,พึ่งพา
Depends on Group,พึ่งพากลุ่ม
Depends on task is required,ต้องระบุงานที่พึ่งพา
depends on...,พึ่งพา...
Descending -- click to reverse,เรียงจากมากไปน้อย -- คลิกเพื่อกลับทาง
Describe the defect in detail...,อธิบายข้อบกพร่องอย่างละเอียด...
Description,คำอธิบาย
Description updated,อัปเดตคำอธิบายแล้ว
Designation,ตำแหน่ง
"Detailed description of the defect, location, and impact",คำอธิบายโดยละเอียดของข้อบกพร่อง ตำแหน่ง และผลกระทบ
Details,รายละเอียด
Discard timer,ยกเลิกตัวจับเวลา
Discussion,การสนทนา
Dismiss,Dismiss
Display,การแสดงผล
Document,เอกสาร
Document attached to project,แนบเอกสารกับโปรเจกต์แล้ว
Document final decision and rationale,บันทึกการตัดสินใจสุดท้ายและเหตุผล
Documentation Review,การตรวจสอบเอกสาร
Documents,เอกสาร
Done,เสร็จ
Download,ดาวน์โหลด
Drag to create dependency,ลากเพื่อสร้างการพึ่งพา
Dry Run,ทดลองเรียกใช้
Dry Run Complete,ทดลองเรียกใช้เสร็จสิ้น
Due Date,วันครบกำหนด
Due date,วันครบกำหนด
Due Date (Earliest),วันครบกำหนด (เร็วที่สุด)
Due date cannot be before start date,วันครบกำหนดต้องไม่อยู่ก่อนวันที่เริ่มต้น
Due date is in the past,วันครบกำหนดอยู่ในอดีต
Due Date Reminders,การแจ้งเตือนวันครบกำหนด
Due Diligence,การตรวจสอบสถานะ
Due Diligence Checklist,รายการตรวจสอบสถานะ
Due This Week,ครบกำหนดสัปดาห์นี้
Due:,ครบกำหนด:
Duplicate events are not allowed,ไม่อนุญาตให้มีเหตุการณ์ซ้ำ
Duplicate failed,การทำสำเนาล้มเหลว
Duplicate Task,ทำสำเนางาน
Duration,ระยะเวลา
Duration Summary,สรุประยะเวลา
Duration:,ระยะเวลา:
e.g. Cracked wall finish in bathroom...,เช่น ผนังห้องน้ำแตกร้าว...
"e.g. Electrical, Plumbing...","เช่น ไฟฟ้า, ประปา..."
Edit,แก้ไข
Edit (E),แก้ไข (E)
Edit dependency,แก้ไขการพึ่งพา
Edit Event,แก้ไขกิจกรรม
Efficiency,ประสิทธิภาพ
Either dependency_name or depends_on is required,ต้องระบุ dependency_name หรือ depends_on อย่างใดอย่างหนึ่ง
Email,อีเมล
Email invitations to all attendees,ส่งคำเชิญทางอีเมลถึงผู้เข้าร่วมทั้งหมด
Email is required to create portal user,ต้องระบุอีเมลเพื่อสร้างผู้ใช้พอร์ทัล
Email notifications,การแจ้งเตือนทางอีเมล
Employee,พนักงาน
Employee DocType not available,DocType พนักงานไม่พร้อมใช้งาน
Employee not found,ไม่พบพนักงาน
Enable or disable optional features,เปิดหรือปิดคุณสมบัติเสริม
Enable Time Tracking,เปิดใช้งานการติดตามเวลา
End,สิ้นสุด
End Date,วันที่สิ้นสุด
