+ Add Milestone,+ เพิ่มเป้าหมาย
End date,วันที่สิ้นสุด
End Date cannot be before Start Date,วันที่สิ้นสุดต้องไม่อยู่ก่อนวันที่เริ่มต้น
End date cannot be before start date,วันที่สิ้นสุดต้องไม่อยู่ก่อนวันที่เริ่มต้น
End date updated,อัปเดตวันที่สิ้นสุดแล้ว
End time was before start time. Adjusted to 1 hour after start.,เวลาสิ้นสุดอยู่ก่อนเวลาเริ่มต้น ปรับเป็น 1 ชั่วโมงหลังเริ่มต้น
End:,สิ้นสุด:
Enter milestone name...,ป้อนชื่อเป้าหมาย...
Enter project name,ป้อนชื่อโปรเจกต์
Enter task title...,ป้อนหัวข้องาน...
Enter template name,ป้อนชื่อเทมเพลต
Enter your note... Use @name to mention someone,ป้อนบันทึกของคุณ... ใช้ @ชื่อ เพื่อกล่าวถึงผู้อื่น
Error,ข้อผิดพลาด
Error loading activity,เกิดข้อผิดพลาดในการโหลดกิจกรรม
Error loading contacts,เกิดข้อผิดพลาดในการโหลดผู้ติดต่อ
Error loading dashboard,เกิดข้อผิดพลาดในการโหลดแดชบอร์ด
Error loading project,เกิดข้อผิดพลาดในการโหลดโปรเจกต์
Error loading projects,เกิดข้อผิดพลาดในการโหลดโปรเจกต์
Error loading settings,เกิดข้อผิดพลาดในการโหลดการตั้งค่า
Error loading tasks,เกิดข้อผิดพลาดในการโหลดงาน
Error loading templates,เกิดข้อผิดพลาดในการโหลดเทมเพลต
Est. Hours,ชม. ประมาณ
Estimated,ประมาณการ
Estimated Cost,ต้นทุนประมาณการ
Estimated Cost (€),ต้นทุนประมาณการ (€)
Estimated Hours,ชั่วโมงประมาณการ
Estimated:,ประมาณการ:
Evaluate potential risks and concerns,ประเมินความเสี่ยงและข้อกังวลที่อาจเกิดขึ้น
Event,กิจกรรม
Event is required for event context,ต้องระบุกิจกรรมสำหรับบริบทกิจกรรม
Event is required when tracking context is 'event',ต้องระบุกิจกรรมเมื่อบริบทการติดตามเป็น 'event'
Event Type,ประเภทกิจกรรม
Events,กิจกรรม
Events not available. Please run: bench --site orga.localhost migrate,กิจกรรมไม่พร้อมใช้งาน กรุณาเรียกใช้: bench --site orga.localhost migrate
Events:,กิจกรรม:
Expert,ผู้เชี่ยวชาญ
Explain why you are proposing a different time...,อธิบายเหตุผลที่คุณเสนอเวลาที่แตกต่าง...
Export,ส่งออก
Export failed,การส่งออกล้มเหลว
Export JSON,ส่งออก JSON
Exported,ส่งออกแล้ว
Exported to timesheet {0},ส่งออกไปยังใบบันทึกเวลา {0} แล้ว
External,ภายนอก
Failed to add item,ไม่สามารถเพิ่มรายการ
Failed to add note,ไม่สามารถเพิ่มบันทึก
Failed to add skill,ไม่สามารถเพิ่มทักษะ
Failed to apply cascade changes: {0},ไม่สามารถนำการเปลี่ยนแปลงต่อเนื่องไปใช้: {0}
Failed to create defect,ไม่สามารถสร้างข้อบกพร่อง
Failed to create dependency,ไม่สามารถสร้างการพึ่งพา
Failed to create event,ไม่สามารถสร้างกิจกรรม
Failed to create milestone,ไม่สามารถสร้างเป้าหมาย
Failed to create project,ไม่สามารถสร้างโปรเจกต์
Failed to create task,ไม่สามารถสร้างงาน
Failed to create time log,ไม่สามารถสร้างบันทึกเวลา
Failed to delete,ไม่สามารถลบ
Failed to delete comment,ไม่สามารถลบความคิดเห็น
Failed to delete contact,ไม่สามารถลบผู้ติดต่อ
Failed to load,ไม่สามารถโหลด
Failed to load activity,ไม่สามารถโหลดกิจกรรม
Failed to load assignments,ไม่สามารถโหลดการมอบหมาย
Failed to load contact,ไม่สามารถโหลดผู้ติดต่อ
Failed to load dashboard data,ไม่สามารถโหลดข้อมูลแดชบอร์ด
Failed to load defects,ไม่สามารถโหลดข้อบกพร่อง
Failed to load events,ไม่สามารถโหลดกิจกรรม
Failed to load project,ไม่สามารถโหลดโปรเจกต์
Failed to load projects,ไม่สามารถโหลดโปรเจกต์
Failed to load report data,ไม่สามารถโหลดข้อมูลรายงาน
Failed to load settings,ไม่สามารถโหลดการตั้งค่า
Failed to load tasks,ไม่สามารถโหลดงาน
Failed to move task,ไม่สามารถย้ายงาน
Failed to post comment,ไม่สามารถโพสต์ความคิดเห็น
Failed to propose new time,ไม่สามารถเสนอเวลาใหม่
Failed to remove item,ไม่สามารถลบรายการ
Failed to remove skill,ไม่สามารถลบทักษะ
Failed to reorder milestones: {0},ไม่สามารถจัดลำดับเป้าหมายใหม่: {0}
Failed to reorder tasks: {0},ไม่สามารถจัดลำดับงานใหม่: {0}
Failed to reschedule dependent tasks: {0},ไม่สามารถกำหนดเวลางานที่พึ่งพาใหม่: {0}
Failed to save,ไม่สามารถบันทึก
Failed to save preferences,ไม่สามารถบันทึกการตั้งค่า
Failed to save settings,ไม่สามารถบันทึกการตั้งค่า
Failed to submit request. Please try again.,ไม่สามารถส่งคำขอ กรุณาลองอีกครั้ง
Failed to update item,ไม่สามารถอัปเดตรายการ
Failed to update priority,ไม่สามารถอัปเดตลำดับความสำคัญ
Failed to update task,ไม่สามารถอัปเดตงาน
Failed to update tasks: {0},ไม่สามารถอัปเดตงาน: {0}
Failed to upload avatar,ไม่สามารถอัปโหลดรูปโปรไฟล์
Feature,คุณสมบัติ
Features,คุณสมบัติ
FF (Finish-Finish),FF (เสร็จ-เสร็จ)
FF - Finish-to-Finish,FF - เสร็จ-ถึง-เสร็จ
Field has been updated,อัปเดตฟิลด์แล้ว
Field name is required for 'Set Field Value' action,ต้องระบุชื่อฟิลด์สำหรับการดำเนินการ 'ตั้งค่าฟิลด์'
Field {0} is not a Link field,ฟิลด์ {0} ไม่ใช่ฟิลด์ลิงก์
Field {0} not found in {1},ไม่พบฟิลด์ {0} ใน {1}
file,ไฟล์
File,ไฟล์
File does not belong to this task,ไฟล์ไม่ได้เป็นของงานนี้
File name is required,ต้องระบุชื่อไฟล์
File uploaded,อัปโหลดไฟล์แล้ว
File {0} not found,ไม่พบไฟล์ {0}
files,ไฟล์
Files,ไฟล์
Filter,ตัวกรอง
Final Decision,การตัดสินใจสุดท้าย
Finance,การเงิน
Financial,การเงิน
Finish-to-Finish,เสร็จ-ถึง-เสร็จ
Finish-to-Start,เสร็จ-ถึง-เริ่ม
Flag,ทำเครื่องหมาย
Flag for attention,ทำเครื่องหมายเพื่อให้ความสนใจ
Flagged,ทำเครื่องหมายแล้ว
Focus Panel,แผงโฟกัส
Follows your system preference. Currently:,ใช้ตามการตั้งค่าระบบของคุณ ปัจจุบัน:
Frappe Project {0} not found,ไม่พบโปรเจกต์ Frappe {0}
Frappe Projects Migration,การย้ายข้อมูลโปรเจกต์ Frappe
Frappe Projects module not available,โมดูลโปรเจกต์ Frappe ไม่พร้อมใช้งาน
Frappe Projects module not installed,ยังไม่ได้ติดตั้งโมดูลโปรเจกต์ Frappe
Frappe Projects sync is not enabled,ยังไม่ได้เปิดใช้งานการซิงค์โปรเจกต์ Frappe
Frappe Task DocType not found,ไม่พบ DocType งาน Frappe
Frappe Task has no project,งาน Frappe ไม่มีโปรเจกต์
Frappe Task {0} not found,ไม่พบงาน Frappe {0}
Fri,ศ.
From,จาก
From Template,จากเทมเพลต
FS (Finish-Start),FS (เสร็จ-เริ่ม)
FS - Finish-to-Start (default),FS - เสร็จ-ถึง-เริ่ม (ค่าเริ่มต้น)
Full form view with audit trail,มุมมองฟอร์มเต็มพร้อมประวัติการตรวจสอบ
Full name,ชื่อเต็ม
Gantt,แกนต์
Gantt Chart,แผนภูมิแกนต์
Gantt View,มุมมองแกนต์
General Note,บันทึกทั่วไป
Get started,เริ่มต้นใช้งาน
Go back,ย้อนกลับ
Go Back,Go Back
Group by,จัดกลุ่มตาม
Group dependency removed,ลบการพึ่งพากลุ่มแล้ว
Group dependency set,ตั้งการพึ่งพากลุ่มแล้ว
Group removed,ลบกลุ่มแล้ว
Group updated,อัปเดตกลุ่มแล้ว
Hammock task dates are auto-calculated and cannot be changed manually,วันที่ของงานแบบ Hammock คำนวณอัตโนมัติและไม่สามารถเปลี่ยนด้วยตนเอง
Have a question or need assistance? Fill out the form below and our team will get back to you.,มีคำถามหรือต้องการความช่วยเหลือ? กรอกแบบฟอร์มด้านล่างและทีมงานของเราจะติดต่อกลับ
Health,สุขภาพ
Healthy,สมบูรณ์
Hello {0},สวัสดี {0}
Here's what's happening with your projects today.,นี่คือสิ่งที่เกิดขึ้นกับโปรเจกต์ของคุณวันนี้
Hide,ซ่อน
High,สูง
History,ประวัติ
Home,หน้าหลัก
Hourly Cost,ต้นทุนรายชั่วโมง
Hours,ชั่วโมง
hours,ชั่วโมง
Hours Logged,ชั่วโมงที่บันทึก
ID,รหัส
Image must be smaller than 5 MB,รูปภาพต้องมีขนาดเล็กกว่า 5 MB
Import,นำเข้า
Import existing projects and tasks from Frappe Projects module,นำเข้าโปรเจกต์และงานที่มีอยู่จากโมดูลโปรเจกต์ Frappe
Import failed,การนำเข้าล้มเหลว
Import Template,นำเข้าเทมเพลต
Imported,นำเข้าแล้ว
in,ใน
In Progress,กำลังดำเนินการ
In Review,อยู่ระหว่างตรวจสอบ
In-app notifications,การแจ้งเตือนในแอป
Inactive,ไม่ใช้งาน
Initial Review,การตรวจสอบเบื้องต้น
Installed Version,Installed Version
Insufficient permissions to view all tasks,สิทธิ์ไม่เพียงพอที่จะดูงานทั้งหมด
Intermediate,ระดับกลาง
Internal,ภายใน
Invalid DocType,DocType ไม่ถูกต้อง
Invalid DocType for import,DocType สำหรับนำเข้าไม่ถูกต้อง
Invalid item type: {0},ประเภทรายการไม่ถูกต้อง: {0}
Invalid JSON data,ข้อมูล JSON ไม่ถูกต้อง
Invalid note type. Must be one of: {0},ประเภทบันทึกไม่ถูกต้อง ต้องเป็นหนึ่งใน: {0}
Invalid project reference,การอ้างอิงโปรเจกต์ไม่ถูกต้อง
Invalid reaction type. Must be one of: {0},ประเภทปฏิกิริยาไม่ถูกต้อง ต้องเป็นหนึ่งใน: {0}
Invalid RSVP status,สถานะ RSVP ไม่ถูกต้อง
Invalid status. Must be one of: {0},สถานะไม่ถูกต้อง ต้องเป็นหนึ่งใน: {0}
Invalid status: {0},สถานะไม่ถูกต้อง: {0}
Invalid status: {0}. Must be one of: {1},สถานะไม่ถูกต้อง: {0} ต้องเป็นหนึ่งใน: {1}
Invalid tracking context: {0},บริบทการติดตามไม่ถูกต้อง: {0}
Invalid visibility. Must be one of: {0},การมองเห็นไม่ถูกต้อง ต้องเป็นหนึ่งใน: {0}
Invitation: {0} - {1} at {2},คำเชิญ: {0} - {1} เวลา {2}
Invite People,เชิญผู้คน
"It's not you, it's the link. The page you're looking for might have been moved, renamed, or is taking a well-deserved coffee break. Your projects and data are perfectly safe.","It's not you, it's the link. The page you're looking for might have been moved, renamed, or is taking a well-deserved coffee break. Your projects and data are perfectly safe."
Item added,เพิ่มรายการแล้ว
Item ID is required,ต้องระบุรหัสรายการ
Item removed,ลบรายการแล้ว
Item type is required,ต้องระบุประเภทรายการ
Item {0} not found,ไม่พบรายการ {0}
Job title or role,ตำแหน่งหรือบทบาท
Join Meeting,เข้าร่วมการประชุม
Just now,เมื่อสักครู่
just now,เมื่อสักครู่
Kanban,คันบัง
Kanban Board,บอร์ดคันบัง
Kanban View,มุมมองคันบัง
Keyboard Shortcuts,ปุ่มลัด
Keyboard shortcuts (?),ปุ่มลัด (?)
Last checked: {0},Last checked: {0}
Last Updated,อัปเดตล่าสุด
Last updated:,อัปเดตล่าสุด:
Last Week,สัปดาห์ที่แล้ว
Latest Version,Latest Version
Light,สว่าง
Link failed,การเชื่อมโยงล้มเหลว
Link Task,เชื่อมโยงงาน
Linked,เชื่อมโยงแล้ว
Linked employee not found,ไม่พบพนักงานที่เชื่อมโยง
Linked Tasks,งานที่เชื่อมโยง
List,รายการ
List View,มุมมองรายการ
Load failed,การโหลดล้มเหลว
Load More,โหลดเพิ่มเติม
Load more comments,โหลดความคิดเห็นเพิ่มเติม
Loading activity...,กำลังโหลดกิจกรรม...
Loading changes...,กำลังโหลดการเปลี่ยนแปลง...
Loading checklist...,กำลังโหลดรายการตรวจสอบ...
Loading comments...,กำลังโหลดความคิดเห็น...
Loading contact...,กำลังโหลดผู้ติดต่อ...
Loading contacts...,กำลังโหลดผู้ติดต่อ...
Loading dependencies...,กำลังโหลดการพึ่งพา...
Loading details...,กำลังโหลดรายละเอียด...
Loading discussion...,กำลังโหลดการสนทนา...
Loading events...,กำลังโหลดกิจกรรม...
Loading files...,กำลังโหลดไฟล์...
Loading notes...,กำลังโหลดบันทึก...
Loading preferences...,กำลังโหลดการตั้งค่า...
Loading project...,กำลังโหลดโปรเจกต์...
Loading projects...,กำลังโหลดโปรเจกต์...
Loading replies...,กำลังโหลดการตอบกลับ...
Loading report data...,กำลังโหลดข้อมูลรายงาน...
Loading settings...,กำลังโหลดการตั้งค่า...
Loading task...,กำลังโหลดงาน...
Loading templates...,กำลังโหลดเทมเพลต...
Loading time logs...,กำลังโหลดบันทึกเวลา...
Loading your portal...,กำลังโหลดพอร์ทัลของคุณ...
Loading...,กำลังโหลด...
Location,สถานที่
Log Time,บันทึกเวลา
Logout,ออกจากระบบ
Low,ต่ำ
Make Offer,ทำข้อเสนอ
Manager,ผู้จัดการ
Manual Entry,ป้อนข้อมูลด้วยตนเอง
Margin,ส่วนต่าง
Mark all as read,ทำเครื่องหมายทั้งหมดว่าอ่านแล้ว
Mark all read,ทำเครื่องหมายอ่านแล้วทั้งหมด
Mark as read,ทำเครื่องหมายว่าอ่านแล้ว
Mark as unread,ทำเครื่องหมายว่ายังไม่อ่าน
Mark read,ทำเครื่องหมายว่าอ่านแล้ว
Marking...,กำลังทำเครื่องหมาย...
Material,วัสดุ
Maybe,อาจจะ
Medium,ปานกลาง
Meeting,การประชุม
Meeting Link,ลิงก์การประชุม
Meeting title,หัวข้อการประชุม
Meeting URL,URL การประชุม
Meetings,การประชุม
Mention,กล่าวถึง
Message,ข้อความ
Message is required,ต้องระบุข้อความ
Message is required for '{0}' action,ต้องระบุข้อความสำหรับการดำเนินการ '{0}'
Migrate,ย้ายข้อมูล
Migration Complete,ย้ายข้อมูลเสร็จสิ้น
Migration ID:,รหัสการย้ายข้อมูล:
Migration log not found: {0},ไม่พบบันทึกการย้ายข้อมูล: {0}
milestone,เป้าหมาย
Milestone,เป้าหมาย
Milestone created,สร้างเป้าหมายแล้ว
Milestone description has been saved.,บันทึกคำอธิบายเป้าหมายแล้ว
Milestone ID is required,ต้องระบุรหัสเป้าหมาย
Milestone marked as Missed (past due date),เป้าหมายถูกทำเครื่องหมายว่าพลาด (เลยวันครบกำหนด)
Milestone moved,ย้ายเป้าหมายแล้ว
Milestone Name,ชื่อเป้าหมาย
Milestone name has been saved.,บันทึกชื่อเป้าหมายแล้ว
Milestone name is required,ต้องระบุชื่อเป้าหมาย
Milestone updated,อัปเดตเป้าหมายแล้ว
Milestone {0} not found,ไม่พบเป้าหมาย {0}
Milestone {0} not in project {1},เป้าหมาย {0} ไม่อยู่ในโปรเจกต์ {1}
milestones,เป้าหมาย
Milestones,เป้าหมาย
Milestones:,เป้าหมาย:
Minutes,นาที
Missed,พลาด
Mixed,ผสม
Mobile,มือถือ
Moderate,ปานกลาง
Modified,แก้ไขแล้ว
"Modify details, time, or attendees",แก้ไขรายละเอียด เวลา หรือผู้เข้าร่วม
Mon,จ.
Month,เดือน
Move failed,การย้ายล้มเหลว
Must be a positive number,ต้องเป็นตัวเลขบวก
Must finish before this finishes,ต้องเสร็จก่อนงานนี้เสร็จ
Must finish before this starts,ต้องเสร็จก่อนงานนี้เริ่ม
Must start before this finishes,ต้องเริ่มก่อนงานนี้เสร็จ
Must start before this starts,ต้องเริ่มก่อนงานนี้เริ่ม
My Assignments,การมอบหมายของฉัน
My Projects,โปรเจกต์ของฉัน
My Schedule,ตารางของฉัน
My Tasks,งานของฉัน
N/A,ไม่ระบุ
Name,ชื่อ
Name (A-Z),ชื่อ (ก-ฮ)
Name (Z-A),ชื่อ (ฮ-ก)
Name cannot exceed 255 characters,ชื่อต้องไม่เกิน 255 ตัวอักษร
Need help?,ต้องการความช่วยเหลือ?
Needs Attention,ต้องการความสนใจ
Never,Never
new activities,กิจกรรมใหม่
New Activity,กิจกรรมใหม่
New activity,กิจกรรมใหม่
New Event,กิจกรรมใหม่
New index is required,ต้องระบุลำดับใหม่
New Project,โปรเจกต์ใหม่
New tasks will auto-trail by default.,งานใหม่จะเริ่มติดตามอัตโนมัติเป็นค่าเริ่มต้น
Newest First,ใหม่ที่สุดก่อน
Next,ถัดไป
Next 14 days,14 วันข้างหน้า
Next 30 days,30 วันข้างหน้า
Next 60 days,60 วันข้างหน้า
Next 7 days,7 วันข้างหน้า
Next 90 days,90 วันข้างหน้า
Next Week,สัปดาห์หน้า
Next:,ถัดไป:
No,ไม่
No active assignments,ไม่มีการมอบหมายที่ใช้งาน
No active projects,ไม่มีโปรเจกต์ที่ใช้งาน
No active timer found,ไม่พบตัวจับเวลาที่ใช้งาน
No activity selected,ไม่ได้เลือกกิจกรรม
No assignments found,ไม่พบการมอบหมาย
No attendees,ไม่มีผู้เข้าร่วม
no change,ไม่มีการเปลี่ยนแปลง
No changes for this field.,ไม่มีการเปลี่ยนแปลงสำหรับฟิลด์นี้
No changes recorded for this activity.,ไม่มีการเปลี่ยนแปลงที่บันทึกสำหรับกิจกรรมนี้
No checklist items yet,ยังไม่มีรายการตรวจสอบ
No checklist items yet.,ยังไม่มีรายการตรวจสอบ
No comments yet,ยังไม่มีความคิดเห็น
No comments yet.,ยังไม่มีความคิดเห็น
No contacts available,ไม่มีผู้ติดต่อ
No content for this tab,ไม่มีเนื้อหาสำหรับแท็บนี้
No data available,ไม่มีข้อมูล
No data available for the selected filters,ไม่มีข้อมูลสำหรับตัวกรองที่เลือก
No data to export,ไม่มีข้อมูลที่จะส่งออก
No dates set,ยังไม่ได้ตั้งวันที่
No defects reported,ไม่มีข้อบกพร่องที่รายงาน
No dependencies defined,ไม่มีการพึ่งพาที่กำหนด
No description,ไม่มีคำอธิบาย
No discussion yet.,ยังไม่มีการสนทนา
No documents attached,ไม่มีเอกสารแนบ
No due date,ไม่มีวันครบกำหนด
No employee linked to this resource,ไม่มีพนักงานที่เชื่อมโยงกับทรัพยากรนี้
No ERPNext employee linked to resource,ไม่มีพนักงาน ERPNext ที่เชื่อมโยงกับทรัพยากร
No events found,ไม่พบกิจกรรม
No files attached yet.,ยังไม่มีไฟล์แนบ
No Frappe Project linked,ไม่มีโปรเจกต์ Frappe ที่เชื่อมโยง
No Grouping,ไม่จัดกลุ่ม
No items,ไม่มีรายการ
No matching tasks,ไม่มีงานที่ตรงกัน
No matching tasks found,ไม่พบงานที่ตรงกัน
No migration history,ไม่มีประวัติการย้ายข้อมูล
No Milestone,ไม่มีเป้าหมาย
No milestones,ไม่มีเป้าหมาย
No milestones defined for this project.,ยังไม่มีเป้าหมายที่กำหนดสำหรับโปรเจกต์นี้
No notes yet.,ยังไม่มีบันทึก
No notes yet. Add a due diligence note to track progress.,ยังไม่มีบันทึก เพิ่มบันทึกตรวจสอบสถานะเพื่อติดตามความคืบหน้า
No notifications,ไม่มีการแจ้งเตือน
No Orga Project linked to Frappe Project {0},ไม่มีโปรเจกต์ Orga ที่เชื่อมโยงกับโปรเจกต์ Frappe {0}
No overdue tasks,ไม่มีงานที่เกินกำหนด
No pending cascade changes,ไม่มีการเปลี่ยนแปลงต่อเนื่องที่รอดำเนินการ
No predecessors - this task can start independently,ไม่มีงานก่อนหน้า - งานนี้สามารถเริ่มได้อย่างอิสระ
No project,ไม่มีโปรเจกต์
No projects found,ไม่พบโปรเจกต์
No Projects Yet,ยังไม่มีโปรเจกต์
No recent activity,ไม่มีกิจกรรมล่าสุด
No related documents,ไม่มีเอกสารที่เกี่ยวข้อง
No resolved threads.,ไม่มีเธรดที่แก้ไขแล้ว
No resources found,ไม่พบทรัพยากร
No results found,ไม่พบผลลัพธ์
No skills listed,ไม่มีทักษะที่ระบุ
No skills recorded yet,ยังไม่มีทักษะที่บันทึก
No successors - no tasks are waiting for this one,ไม่มีงานถัดไป - ไม่มีงานที่รอให้งานนี้เสร็จ
No task selected,ไม่ได้เลือกงาน
No tasks assigned to you,ไม่มีงานที่มอบหมายให้คุณ
No tasks available to add,ไม่มีงานที่พร้อมเพิ่ม
No tasks found,ไม่พบงาน
No tasks linked to this milestone,ไม่มีงานที่เชื่อมโยงกับเป้าหมายนี้
No tasks with dates to display,ไม่มีงานที่มีวันที่ที่จะแสดง
No tasks yet,ยังไม่มีงาน
No team members,ไม่มีสมาชิกในทีม
No template,ไม่มีเทมเพลต
No templates yet,ยังไม่มีเทมเพลต
No time data found,ไม่พบข้อมูลเวลา
No time logged today,ไม่มีเวลาที่บันทึกวันนี้
No time logged yet,ยังไม่มีเวลาที่บันทึก
No time logs for this period,ไม่มีบันทึกเวลาสำหรับช่วงนี้
No time logs found,ไม่พบบันทึกเวลา
No unread notifications,ไม่มีการแจ้งเตือนที่ยังไม่อ่าน
No update information available yet.,No update information available yet.
None,ไม่มี
Not found,ไม่พบ
Not permitted,ไม่ได้รับอนุญาต
Not permitted to access this project,ไม่ได้รับอนุญาตให้เข้าถึงโปรเจกต์นี้
Not permitted to access this task,ไม่ได้รับอนุญาตให้เข้าถึงงานนี้
Not permitted to check for updates,Not permitted to check for updates
Not permitted to comment on this document,ไม่ได้รับอนุญาตให้แสดงความคิดเห็นในเอกสารนี้
Not permitted to create clients,ไม่ได้รับอนุญาตให้สร้างลูกค้า
Not permitted to delete this client,ไม่ได้รับอนุญาตให้ลบลูกค้านี้
Not permitted to delete this defect,ไม่ได้รับอนุญาตให้ลบข้อบกพร่องนี้
Not permitted to delete this note,ไม่ได้รับอนุญาตให้ลบบันทึกนี้
Not permitted to delete this project,ไม่ได้รับอนุญาตให้ลบโปรเจกต์นี้
Not permitted to delete this task,ไม่ได้รับอนุญาตให้ลบงานนี้
Not permitted to delete this time log,ไม่ได้รับอนุญาตให้ลบบันทึกเวลานี้
Not permitted to invite clients,ไม่ได้รับอนุญาตให้เชิญลูกค้า
Not permitted to modify client access,ไม่ได้รับอนุญาตให้แก้ไขสิทธิ์เข้าถึงลูกค้า
Not permitted to modify this project,ไม่ได้รับอนุญาตให้แก้ไขโปรเจกต์นี้
Not permitted to update settings,ไม่ได้รับอนุญาตให้อัปเดตการตั้งค่า
Not permitted to update this client,ไม่ได้รับอนุญาตให้อัปเดตลูกค้านี้
Not permitted to view this client,ไม่ได้รับอนุญาตให้ดูลูกค้านี้
not sent,ไม่ได้ส่ง
Not set,ยังไม่ได้ตั้งค่า
Not specified,ไม่ได้ระบุ
Note,บันทึก
Note (optional),บันทึก (ไม่บังคับ)
Note Content,เนื้อหาบันทึก
Note content is required,ต้องระบุเนื้อหาบันทึก
Note name is required,ต้องระบุชื่อบันทึก
Note not found,ไม่พบบันทึก
Note Type,ประเภทบันทึก
Notes,บันทึก
Notification,การแจ้งเตือน
Notification not found,ไม่พบการแจ้งเตือน
Notifications,การแจ้งเตือน
Off Track,นอกเส้นทาง
Offer,ข้อเสนอ
Offer Prepared,เตรียมข้อเสนอแล้ว
Oldest First,เก่าที่สุดก่อน
On Hold,พักไว้
On Leave,ลาพักร้อน
On Track,ตามแผน
On-Time Rate,อัตราตรงเวลา
Only administrators can delete activities,เฉพาะผู้ดูแลระบบเท่านั้นที่สามารถลบกิจกรรม
Only the comment author or administrators can delete comments,เฉพาะผู้เขียนความคิดเห็นหรือผู้ดูแลระบบเท่านั้นที่สามารถลบความคิดเห็น
Only you and admins,เฉพาะคุณและผู้ดูแลระบบ
Open,เปิด
Open in Desk,เปิดใน Desk
Open Task Log,เปิดบันทึกงาน
Open Tasks,งานที่เปิดอยู่
Optional,ไม่บังคับ
optional,ไม่บังคับ
Or email us directly at,หรือส่งอีเมลถึงเราโดยตรงที่
Orga Project {0} from Frappe Projects,โปรเจกต์ Orga {0} จากโปรเจกต์ Frappe
Orga Task {0} from Frappe,งาน Orga {0} จาก Frappe
Organizer,ผู้จัดงาน
Other,อื่น ๆ
Over Budget,เกินงบประมาณ
Overall Progress,ความคืบหน้าโดยรวม
Overall Utilization,การใช้งานโดยรวม
Overallocated,จัดสรรเกิน
Overdue,เกินกำหนด
overdue,เกินกำหนด
Overdue Tasks,งานที่เกินกำหนด
Overview,ภาพรวม
Owner,เจ้าของ
Page Not Found,ไม่พบหน้า
Parent,หลัก
Parent comment must belong to the same document,ความคิดเห็นหลักต้องอยู่ในเอกสารเดียวกัน
Parent comment not found,ไม่พบความคิดเห็นหลัก
Parent project not synced to Frappe yet,โปรเจกต์หลักยังไม่ได้ซิงค์กับ Frappe
Parent project sync not enabled,ยังไม่ได้เปิดใช้งานการซิงค์โปรเจกต์หลัก
Partner,พาร์ทเนอร์
Pending,รอดำเนินการ
per page,ต่อหน้า
Perform initial assessment and background check,ดำเนินการประเมินเบื้องต้นและตรวจสอบประวัติ
Permanently remove this event,ลบกิจกรรมนี้อย่างถาวร
Permanently remove this task,ลบงานนี้อย่างถาวร
Phone,โทรศัพท์
Pin,ปักหมุด
Pin Activity,ปักหมุดกิจกรรม
Pin to top,ปักหมุดไว้ด้านบน
Pinned,ปักหมุดแล้ว
Planned budget for this task,งบประมาณที่วางแผนไว้สำหรับงานนี้
Planning,การวางแผน
Please describe your question or issue in detail...,กรุณาอธิบายคำถามหรือปัญหาของคุณโดยละเอียด...
Please login to access Orga,กรุณาเข้าสู่ระบบเพื่อเข้าถึง Orga
Please login to access the client portal,กรุณาเข้าสู่ระบบเพื่อเข้าถึงพอร์ทัลลูกค้า
Please respond to this invitation in Orga,กรุณาตอบรับคำเชิญนี้ใน Orga
Please select an image file,กรุณาเลือกไฟล์รูปภาพ
Please try again,กรุณาลองอีกครั้ง
Please type,กรุณาพิมพ์
Portal,พอร์ทัล
Portal access revoked for {0},เพิกถอนสิทธิ์เข้าถึงพอร์ทัลสำหรับ {0} แล้ว
