+ Add Milestone,+ เพิ่มเป้าหมาย
Portal user created successfully. Welcome email {0},สร้างผู้ใช้พอร์ทัลสำเร็จ อีเมลต้อนรับ {0}
Post,โพสต์
Powered by,ขับเคลื่อนโดย
Powered by Tonic,ขับเคลื่อนโดย Tonic
Predecessors (Blocked By),งานก่อนหน้า (ถูกบล็อกโดย)
Preferences,การตั้งค่า
Preferences saved successfully,บันทึกการตั้งค่าสำเร็จ
"Prefix for auto-generated project codes (e.g., ORG-2026-0001)",คำนำหน้าสำหรับรหัสโปรเจกต์ที่สร้างอัตโนมัติ (เช่น ORG-2026-0001)
Prepare and document offer terms,จัดทำและบันทึกเงื่อนไขข้อเสนอ
Press,กด
Preview,ตัวอย่าง
Preview cascade before applying,ดูตัวอย่างการเปลี่ยนแปลงต่อเนื่องก่อนนำไปใช้
Previous,ก่อนหน้า
Priority,ลำดับความสำคัญ
Priority assigned to new tasks,ลำดับความสำคัญที่กำหนดให้กับงานใหม่
Priority updated,อัปเดตลำดับความสำคัญแล้ว
Proficiency,ความชำนาญ
Profile,โปรไฟล์
Progress,ความคืบหน้า
Progress (High-Low),ความคืบหน้า (สูง-ต่ำ)
Progress (Low-High),ความคืบหน้า (ต่ำ-สูง)
Progress Overview,ภาพรวมความคืบหน้า
Progress updated,อัปเดตความคืบหน้าแล้ว
Project,โปรเจกต์
Project budget has been saved.,บันทึกงบประมาณโปรเจกต์แล้ว
Project code (e.g. ORG-2026-0001),รหัสโปรเจกต์ (เช่น ORG-2026-0001)
Project Code Prefix,คำนำหน้ารหัสโปรเจกต์
Project created,สร้างโปรเจกต์แล้ว
Project deleted,ลบโปรเจกต์แล้ว
Project description has been saved.,บันทึกคำอธิบายโปรเจกต์แล้ว
Project Details,รายละเอียดโปรเจกต์
Project end date has been saved.,บันทึกวันที่สิ้นสุดโปรเจกต์แล้ว
Project Files,ไฟล์โปรเจกต์
Project has no linked client,โปรเจกต์ไม่มีลูกค้าที่เชื่อมโยง
Project Health,สุขภาพโปรเจกต์
Project Info,ข้อมูลโปรเจกต์
Project is required,ต้องระบุโปรเจกต์
Project is required for project context,ต้องระบุโปรเจกต์สำหรับบริบทโปรเจกต์
Project is required when tracking context is 'project',ต้องระบุโปรเจกต์เมื่อบริบทการติดตามเป็น 'project'
Project Manager,ผู้จัดการโปรเจกต์
Project Name,ชื่อโปรเจกต์
Project name and template name are required,ต้องระบุชื่อโปรเจกต์และชื่อเทมเพลต
Project name is required,ต้องระบุชื่อโปรเจกต์
Project not found,ไม่พบโปรเจกต์
Project not found or you do not have access,ไม่พบโปรเจกต์หรือคุณไม่มีสิทธิ์เข้าถึง
Project settings,การตั้งค่าโปรเจกต์
Project start date has been saved.,บันทึกวันที่เริ่มต้นโปรเจกต์แล้ว
Project title has been saved.,บันทึกหัวข้อโปรเจกต์แล้ว
Project Type,ประเภทโปรเจกต์
Project updated,อัปเดตโปรเจกต์แล้ว
Project {0} linked to client {1},โปรเจกต์ {0} เชื่อมโยงกับลูกค้า {1}
Project {0} not found,ไม่พบโปรเจกต์ {0}
Project {0} to Frappe Projects,โปรเจกต์ {0} ไปยังโปรเจกต์ Frappe
Project:,โปรเจกต์:
projects,โปรเจกต์
Projects,โปรเจกต์
Projects created:,โปรเจกต์ที่สร้าง:
Projects Overview,ภาพรวมโปรเจกต์
Projects skipped:,โปรเจกต์ที่ข้าม:
Projects updated:,โปรเจกต์ที่อัปเดต:
Promote failed,การเลื่อนระดับล้มเหลว
Promote to task,เลื่อนเป็นงาน
Promoted to task,เลื่อนเป็นงานแล้ว
Propose,เสนอ
Propose New Time,เสนอเวลาใหม่
Propose Time,เสนอเวลา
Proposed End,สิ้นสุดที่เสนอ
Proposed Start,เริ่มต้นที่เสนอ
Public,สาธารณะ
Quick Action,การดำเนินการด่วน
Quick Actions,การดำเนินการด่วน
Quick Stats,สถิติด่วน
Rates,อัตรา
Receive notifications via email,รับการแจ้งเตือนทางอีเมล
Receive notifications within the application,รับการแจ้งเตือนภายในแอปพลิเคชัน
Recent Activity,กิจกรรมล่าสุด
Recipient {0} is not a valid user,ผู้รับ {0} ไม่ใช่ผู้ใช้ที่ถูกต้อง
Reference,อ้างอิง
Refresh,รีเฟรช
Related,ที่เกี่ยวข้อง
Related Company (optional),บริษัทที่เกี่ยวข้อง (ไม่บังคับ)
Related Documents,เอกสารที่เกี่ยวข้อง
Related Project,โปรเจกต์ที่เกี่ยวข้อง
Remaining,เหลือ
Reminder,การแจ้งเตือน
Reminder Lead Time,เวลานำการแจ้งเตือน
Reminder: {0} - {1} at {2},การแจ้งเตือน: {0} - {1} เวลา {2}
Remove,ลบออก
Remove dependency,ลบการพึ่งพา
Remove dependency on,ลบการพึ่งพากับ
Remove from group,ลบออกจากกลุ่ม
Remove group dependency,ลบการพึ่งพากลุ่ม
Remove skill,ลบทักษะ
Reopen,เปิดอีกครั้ง
Reopen thread,เปิดเธรดอีกครั้ง
reopened,เปิดอีกครั้งแล้ว
replies,การตอบกลับ
Reply,ตอบกลับ
reply,ตอบกลับ
Replying to,ตอบกลับถึง
Replying to comment,ตอบกลับความคิดเห็น
Report Defect,รายงานข้อบกพร่อง
Reported Date,วันที่รายงาน
Reports,รายงาน
Reports To,รายงานถึง
Request Submitted!,ส่งคำขอแล้ว!
Required,จำเป็น
required,จำเป็น
Research,การวิจัย
Reset to Defaults,รีเซ็ตเป็นค่าเริ่มต้น
Resolve,แก้ไข
Resolve thread,แก้ไขเธรด
Resolved,แก้ไขแล้ว
Resolved date cannot be before reported date,วันที่แก้ไขต้องไม่อยู่ก่อนวันที่รายงาน
Resource,ทรัพยากร
Resource and skill name are required,ต้องระบุทรัพยากรและชื่อทักษะ
Resource is already an attendee,ทรัพยากรเป็นผู้เข้าร่วมอยู่แล้ว
Resource name is required,ต้องระบุชื่อทรัพยากร
Resource not found,ไม่พบทรัพยากร
Resource synced from employee {0},ซิงค์ทรัพยากรจากพนักงาน {0} แล้ว
Resource {0} is already assigned to this task ({1}),ทรัพยากร {0} ได้รับมอบหมายให้กับงานนี้แล้ว ({1})
Resource {0} not found,ไม่พบทรัพยากร {0}
Resources,ทรัพยากร
Retry,ลองอีกครั้ง
Review,ตรวจสอบ
Review all relevant documents and contracts,ตรวจสอบเอกสารและสัญญาที่เกี่ยวข้องทั้งหมด
Reviews,การตรวจสอบ
Risk Assessment,การประเมินความเสี่ยง
Rollback,ย้อนกลับ
Rolled back,ย้อนกลับแล้ว
Room or address,ห้องหรือที่อยู่
RSVP,ตอบรับ
Safety,ความปลอดภัย
Sat,ส.
Save,บันทึก
"Save a project as a template, or import one from a JSON file.",บันทึกโปรเจกต์เป็นเทมเพลต หรือนำเข้าจากไฟล์ JSON
Save as Template,บันทึกเป็นเทมเพลต
Save Changes,บันทึกการเปลี่ยนแปลง
Save failed,การบันทึกล้มเหลว
Save Preferences,บันทึกการตั้งค่า
Save Template,บันทึกเทมเพลต
Saving...,กำลังบันทึก...
Schedule,ตารางเวลา
Schedule type is required for scheduled triggers,ต้องระบุประเภทตารางเวลาสำหรับทริกเกอร์ที่กำหนดเวลา
Scheduled,กำหนดเวลาแล้ว
Search,ค้นหา
"Search by name, email, or skill...",ค้นหาตามชื่อ อีเมล หรือทักษะ...
Search for a project...,ค้นหาโปรเจกต์...
Search for a task...,ค้นหางาน...
Search for an event...,ค้นหากิจกรรม...
Search for people to invite...,ค้นหาผู้คนเพื่อเชิญ...
Search tasks to link...,ค้นหางานเพื่อเชื่อมโยง...
Search tasks...,ค้นหางาน...
Search...,ค้นหา...
Searching...,กำลังค้นหา...
Seen,เห็นแล้ว
Select a project if your request is related to a specific project.,เลือกโปรเจกต์หากคำขอของคุณเกี่ยวข้องกับโปรเจกต์เฉพาะ
Select a project...,เลือกโปรเจกต์...
Select a task from the Gantt chart to view and manage its details.,เลือกงานจากแผนภูมิแกนต์เพื่อดูและจัดการรายละเอียด
Select a task from the list or Kanban board to view and manage its details.,เลือกงานจากรายการหรือบอร์ดคันบังเพื่อดูและจัดการรายละเอียด
Select a template...,เลือกเทมเพลต...
Select priority...,เลือกลำดับความสำคัญ...
Select status...,เลือกสถานะ...
Select task...,เลือกงาน...
Select type...,เลือกประเภท...
Selection,การเลือก
Send,ส่ง
Send comment,ส่งความคิดเห็น
Send email invitations to attendees,ส่งคำเชิญทางอีเมลถึงผู้เข้าร่วม
Send Invitations,ส่งคำเชิญ
Send notification when a task is assigned to a user,ส่งการแจ้งเตือนเมื่อมอบหมายงานให้ผู้ใช้
Send notification when task status changes,ส่งการแจ้งเตือนเมื่อสถานะงานเปลี่ยน
Send reminder before task due date,ส่งการแจ้งเตือนก่อนวันครบกำหนดของงาน
sent,ส่งแล้ว
Set rate,ตั้งอัตรา
Settings,การตั้งค่า
Settings saved successfully,บันทึกการตั้งค่าสำเร็จ
Severity,ความรุนแรง
SF (Start-Finish),SF (เริ่ม-เสร็จ)
SF - Start-to-Finish,SF - เริ่ม-ถึง-เสร็จ
Show,แสดง
Show all,แสดงทั้งหมด
Show all changes,แสดงการเปลี่ยนแปลงทั้งหมด
Show Archived,แสดงที่จัดเก็บ
Show full diff,แสดงความแตกต่างทั้งหมด
Show less,แสดงน้อยลง
Show more,แสดงเพิ่มเติม
Skill added,เพิ่มทักษะแล้ว
Skill is required,ต้องระบุทักษะ
Skill Name,ชื่อทักษะ
Skill removed,ลบทักษะแล้ว
Skill {0} already exists for this resource,ทักษะ {0} มีอยู่แล้วสำหรับทรัพยากรนี้
Skills,ทักษะ
Skills & Competencies,ทักษะและความสามารถ
Skip already migrated projects,ข้ามโปรเจกต์ที่ย้ายข้อมูลแล้ว
Sort by,จัดเรียงตาม
Sort: Due Date,เรียง: วันครบกำหนด
Sort: Priority,เรียง: ลำดับความสำคัญ
Sort: Project,เรียง: โปรเจกต์
Sort: Status,เรียง: สถานะ
Sort: Task,เรียง: งาน
Source Code,ซอร์สโค้ด
Spent,ใช้ไป
Spent:,ใช้ไป:
SS (Start-Start),SS (เริ่ม-เริ่ม)
SS - Start-to-Start,SS - เริ่ม-ถึง-เริ่ม
Standalone,แบบเดี่ยว
Start,เริ่มต้น
Start a discussion below,เริ่มการสนทนาด้านล่าง
Start Date,วันที่เริ่มต้น
Start date,วันที่เริ่มต้น
Start Date (Earliest),วันที่เริ่มต้น (เร็วที่สุด)
Start date updated,อัปเดตวันที่เริ่มต้นแล้ว
Start date/time is required,ต้องระบุวันที่/เวลาเริ่มต้น
Start Migration,เริ่มย้ายข้อมูล
Start the conversation below.,เริ่มการสนทนาด้านล่าง
Start Timer,เริ่มจับเวลา
Start typing to search...,เริ่มพิมพ์เพื่อค้นหา...
Start-to-Finish,เริ่ม-ถึง-เสร็จ
Start-to-Start,เริ่ม-ถึง-เริ่ม
Start:,เริ่มต้น:
Statistics reset,รีเซ็ตสถิติแล้ว
Status,สถานะ
Status assigned to new projects,สถานะที่กำหนดให้กับโปรเจกต์ใหม่
Status assigned to new tasks,สถานะที่กำหนดให้กับงานใหม่
Status Changes,การเปลี่ยนแปลงสถานะ
Status updated,อัปเดตสถานะแล้ว
Status:,สถานะ:
Stop,หยุด
Stop & Save,หยุดและบันทึก
Stop Timer,หยุดจับเวลา
Stops current timer and starts for this event,หยุดตัวจับเวลาปัจจุบันและเริ่มสำหรับกิจกรรมนี้
Stops current timer and starts for this task,หยุดตัวจับเวลาปัจจุบันและเริ่มสำหรับงานนี้
Subject,หัวข้อ
Subject cannot exceed 255 characters,หัวข้อต้องไม่เกิน 255 ตัวอักษร
Subject is required,ต้องระบุหัวข้อ
Submit,ส่ง
Submit Another Request,ส่งคำขออีกรายการ
Submit Request,ส่งคำขอ
Submitting...,กำลังส่ง...
Successfully saved,บันทึกสำเร็จ
Successors (Blocking),งานถัดไป (กำลังบล็อก)
Sun,อา.
Supplier,ซัพพลายเออร์
Support,การสนับสนุน
Switch to this event,สลับไปยังกิจกรรมนี้
Switch to this task,สลับไปยังงานนี้
Sync direction is set to Frappe to Orga only,ทิศทางการซิงค์ตั้งค่าเป็น Frappe ไปยัง Orga เท่านั้น
Sync direction is set to Orga to Frappe only,ทิศทางการซิงค์ตั้งค่าเป็น Orga ไปยัง Frappe เท่านั้น
Sync not enabled for this project,ยังไม่ได้เปิดใช้งานการซิงค์สำหรับโปรเจกต์นี้
System,ระบบ
Table,ตาราง
Take ownership of this task,รับผิดชอบงานนี้
Target Date,วันที่เป้าหมาย
Target End,สิ้นสุดเป้าหมาย
Target Project,โปรเจกต์เป้าหมาย
Target user is required for '{0}' action,ต้องระบุผู้ใช้เป้าหมายสำหรับการดำเนินการ '{0}'
task,งาน
Task,งาน
Task '{0}' is due on {1}.,งาน '{0}' ครบกำหนดวันที่ {1}
Task and resource are required,ต้องระบุงานและทรัพยากร
Task Assignment,การมอบหมายงาน
Task cannot be its own parent,งานไม่สามารถเป็นหลักของตัวเอง
Task cannot depend on itself,งานไม่สามารถพึ่งพาตัวเอง
Task cannot depend on the group it belongs to,งานไม่สามารถพึ่งพากลุ่มที่ตัวเองอยู่
Task created,สร้างงานแล้ว
Task deleted,ลบงานแล้ว
Task description has been saved.,บันทึกคำอธิบายงานแล้ว
Task Details,รายละเอียดงาน
Task due in {0} days: {1},งานครบกำหนดใน {0} วัน: {1}
Task due today: {0},งานครบกำหนดวันนี้: {0}
Task due tomorrow: {0},งานครบกำหนดพรุ่งนี้: {0}
Task duplicated,ทำสำเนางานแล้ว
Task Group,กลุ่มงาน
Task ID is required,ต้องระบุรหัสงาน
Task is blocked by incomplete dependencies,งานถูกบล็อกโดยการพึ่งพาที่ยังไม่เสร็จ
Task is cancelled,งานถูกยกเลิก
Task is completed,งานเสร็จสมบูรณ์
Task is no longer blocked by a group,งานไม่ถูกบล็อกโดยกลุ่มอีกต่อไป
Task is required for task context,ต้องระบุงานสำหรับบริบทงาน
Task is required when tracking context is 'task',ต้องระบุงานเมื่อบริบทการติดตามเป็น 'task'
Task linked,เชื่อมโยงงานแล้ว
Task moved,ย้ายงานแล้ว
Task name,ชื่องาน
Task name is required,ต้องระบุชื่องาน
Task removed from group,ลบงานออกจากกลุ่มแล้ว
Task Subject,หัวข้องาน
Task subject is required,ต้องระบุหัวข้องาน
Task Type,ประเภทงาน
Task unblocked: {0},ปลดบล็อกงาน: {0}
Task unlinked,ยกเลิกการเชื่อมโยงงานแล้ว
Task updated,อัปเดตงานแล้ว
Task {0} not found,ไม่พบงาน {0}
Task {0} not in project {1},งาน {0} ไม่อยู่ในโปรเจกต์ {1}
Task {0} to Frappe,งาน {0} ไปยัง Frappe
Tasks,งาน
tasks,งาน
Tasks and milestones will be created with dates relative to the project start date.,งานและเป้าหมายจะถูกสร้างด้วยวันที่สัมพันธ์กับวันที่เริ่มต้นโปรเจกต์
Tasks assigned to you across all projects.,งานที่มอบหมายให้คุณในทุกโปรเจกต์
Tasks created:,งานที่สร้าง:
Tasks from projects you manage.,งานจากโปรเจกต์ที่คุณจัดการ
Tasks updated:,งานที่อัปเดต:
"Tasks, milestones, and dependencies have been created.",สร้างงาน เป้าหมาย และการพึ่งพาแล้ว
Tasks:,งาน:
TBD,ยังไม่กำหนด
Team,ทีม
Team Members,สมาชิกในทีม
Template,เทมเพลต
Template applied,นำเทมเพลตไปใช้แล้ว
Template data is required in import data,ต้องระบุข้อมูลเทมเพลตในข้อมูลนำเข้า
Template has no data,เทมเพลตไม่มีข้อมูล
Template Name,ชื่อเทมเพลต
Template name,ชื่อเทมเพลต
Template name is required,ต้องระบุชื่อเทมเพลต
Template name is required in import data,ต้องระบุชื่อเทมเพลตในข้อมูลนำเข้า
Template saved,บันทึกเทมเพลตแล้ว
Template updated successfully.,อัปเดตเทมเพลตสำเร็จ
Template {0} not found,ไม่พบเทมเพลต {0}
Templates,เทมเพลต
Tentative,ยังไม่แน่นอน
The comment has been deleted,ลบความคิดเห็นแล้ว
The project,โปรเจกต์
The source document may have been deleted.,เอกสารต้นฉบับอาจถูกลบแล้ว
The source document will not be affected.,เอกสารต้นฉบับจะไม่ได้รับผลกระทบ
The status of '{0}' was changed from {1} to {2}.,สถานะของ '{0}' เปลี่ยนจาก {1} เป็น {2}
Theme,ธีม
Theme preference,การตั้งค่าธีม
This action,การดำเนินการนี้
This action cannot be undone.,การดำเนินการนี้ไม่สามารถเลิกทำได้
This activity has been flagged for attention,กิจกรรมนี้ถูกทำเครื่องหมายเพื่อให้ความสนใจ
This is a reminder for your upcoming appointment,นี่คือการแจ้งเตือนสำหรับการนัดหมายที่กำลังจะมาถึง
This method is only meant for developer mode,เมธอดนี้มีไว้สำหรับโหมดนักพัฒนาเท่านั้น
This page wandered off,This page wandered off
This Week,สัปดาห์นี้
This will delete all notes and preferences associated with this activity.,การดำเนินการนี้จะลบบันทึกและการตั้งค่าทั้งหมดที่เกี่ยวข้องกับกิจกรรมนี้
This will import all Frappe Projects into Orga. Continue?,การดำเนินการนี้จะนำเข้าโปรเจกต์ Frappe ทั้งหมดไปยัง Orga ดำเนินการต่อ?
This will permanently delete,การดำเนินการนี้จะลบอย่างถาวร
This will permanently delete:,การดำเนินการนี้จะลบอย่างถาวร:
Thu,พฤ.
Time,เวลา
Time & Billing,เวลาและการเรียกเก็บ
Time & Revenue,เวลาและรายได้
Time Entries,รายการบันทึกเวลา
Time log name is required,ต้องระบุชื่อบันทึกเวลา
Time Log not found,ไม่พบบันทึกเวลา
Time log {0} not found,ไม่พบบันทึกเวลา {0}
Time Logs,บันทึกเวลา
Time Summary,สรุปเวลา
Time Tracking,การติดตามเวลา
Timeline,ลำดับเวลา
Timer active on,ตัวจับเวลาทำงานอยู่ที่
Timer is not running,ตัวจับเวลาไม่ได้ทำงาน
Timer Running,ตัวจับเวลากำลังทำงาน
Timer running,ตัวจับเวลากำลังทำงาน
Timesheet DocType not available,DocType ใบบันทึกเวลาไม่พร้อมใช้งาน
Timesheets,ใบบันทึกเวลา
Timezone,เขตเวลา
Timezone is detected from your browser,เขตเวลาถูกตรวจจับจากเบราว์เซอร์ของคุณ
Title,หัวข้อ
Title cannot exceed 255 characters,หัวข้อต้องไม่เกิน 255 ตัวอักษร
Title is required,ต้องระบุหัวข้อ
Title updated,อัปเดตหัวข้อแล้ว
To,ถึง
to,ถึง
to cancel,เพื่อยกเลิก
to close,เพื่อปิด
to confirm:,เพื่อยืนยัน:
to edit,เพื่อแก้ไข
"to save,","เพื่อบันทึก,"
To Time cannot be before From Time,เวลาสิ้นสุดต้องไม่อยู่ก่อนเวลาเริ่มต้น
Today,วันนี้
today,วันนี้
Toggle billable,สลับเรียกเก็บเงินได้
Toggle Details Panel,สลับแผงรายละเอียด
Toggle Manager Panel,สลับแผงผู้จัดการ
Toggle Sidebar,สลับแถบข้าง
Tomorrow,พรุ่งนี้
tomorrow,พรุ่งนี้
Total,รวม
Total Budget,งบประมาณรวม
Total Contacts,ผู้ติดต่อทั้งหมด
Total Cost,ต้นทุนรวม
Total Cost to Org,ต้นทุนรวมขององค์กร
Total Defect Cost,ต้นทุนข้อบกพร่องรวม
Total Hours,ชั่วโมงรวม
Total Hours Logged,ชั่วโมงที่บันทึกทั้งหมด
Total Projects,โปรเจกต์ทั้งหมด
Total Spent,ใช้จ่ายรวม
Total Tasks,งานทั้งหมด
Total:,รวม:
Tracked,ติดตามแล้ว
trails to today while Open at 0%,ติดตามจนถึงวันนี้ขณะที่เปิดอยู่ที่ 0%
Tried:,Tried:
Try adjusting your filter criteria,ลองปรับเกณฑ์ตัวกรองของคุณ
Try adjusting your filters.,ลองปรับตัวกรองของคุณ
Try Again,ลองอีกครั้ง
Tue,อ.
Type,ประเภท
Type updated,อัปเดตประเภทแล้ว
Type:,ประเภท:
Typical response time: 1-2 business days,เวลาตอบกลับทั่วไป: 1-2 วันทำการ
Unarchive,ยกเลิกการจัดเก็บ
Unarchive Activity,ยกเลิกการจัดเก็บกิจกรรม
Unassign,ยกเลิกการมอบหมาย
Unassigned,ยังไม่มอบหมาย
Under Budget,ต่ำกว่างบประมาณ
Ungrouped,ไม่มีกลุ่ม
Unknown,ไม่ทราบ
Unknown error,ข้อผิดพลาดที่ไม่ทราบสาเหตุ
Unlink failed,การยกเลิกการเชื่อมโยงล้มเหลว
Unlink task from milestone,ยกเลิกการเชื่อมโยงงานจากเป้าหมาย
Unpin,เลิกปักหมุด
Unpin Activity,เลิกปักหมุดกิจกรรม
Unread,ยังไม่อ่าน
Unread only,ยังไม่อ่านเท่านั้น
Until,จนถึง
Up to Date,Up to Date
Upcoming,กำลังจะมาถึง
upcoming,กำลังจะมาถึง
Update,Update
Update Available,Update Available
Update available,Update available
Update available: v{0},Update available: v{0}
Update check failed: {0},Update check failed: {0}
Update failed,การอัปเดตล้มเหลว
Updated,อัปเดตแล้ว
Updated successfully,อัปเดตสำเร็จ
Updates,Updates
Upload,อัปโหลด
Upload failed,การอัปโหลดล้มเหลว
Upload files below to attach them to this task.,อัปโหลดไฟล์ด้านล่างเพื่อแนบกับงานนี้
Upload to project,อัปโหลดไปยังโปรเจกต์
Uploading...,กำลังอัปโหลด...
Urgent,เร่งด่วน
User {0} is already linked to client {1},ผู้ใช้ {0} เชื่อมโยงกับลูกค้า {1} อยู่แล้ว
User {0} is already linked to resource {1},ผู้ใช้ {0} เชื่อมโยงกับทรัพยากร {1} อยู่แล้ว
Utilization,การใช้งาน
Valid,ถูกต้อง
Value:,ค่า:
Variance,ผลต่าง
Variance:,ผลต่าง:
Version {0} is available. You are running {1}.,Version {0} is available. You are running {1}.
View,ดู
View All,ดูทั้งหมด
View all active projects,ดูโปรเจกต์ที่ใช้งานทั้งหมด
View all open tasks,ดูงานที่เปิดอยู่ทั้งหมด
View overdue tasks,ดูงานที่เกินกำหนด
View Release,View Release
Visibility,การมองเห็น
Waiting for this task,กำลังรองานนี้
Waits for:,รอ:
Warning: Resource {0} status is {1},คำเตือน: สถานะทรัพยากร {0} คือ {1}
Warning: Using HTTP instead of HTTPS. Webhook payloads may not be secure.,คำเตือน: ใช้ HTTP แทน HTTPS ข้อมูล Webhook อาจไม่ปลอดภัย
Watch budget closely,ติดตามงบประมาณอย่างใกล้ชิด
We'll respond to:,เราจะตอบกลับไปที่:
Webhook deleted,ลบ Webhook แล้ว
Webhook name is required,ต้องระบุชื่อ Webhook
Webhook not found,ไม่พบ Webhook
Webhook URL is required,ต้องระบุ URL ของ Webhook
Webhook URL must start with http:// or https://,URL ของ Webhook ต้องเริ่มต้นด้วย http:// หรือ https://
Wed,พ.
Week,สัปดาห์
Weekend,วันหยุดสุดสัปดาห์
Weekly Capacity,ความจุรายสัปดาห์
weekly capacity,ความจุรายสัปดาห์
Weekly Capacity (h),ความจุรายสัปดาห์ (ชม.)
Welcome,ยินดีต้อนรับ
Welcome back!,ยินดีต้อนรับกลับมา!
Welcome to Orga,ยินดีต้อนรับสู่ Orga
What are you working on?,คุณกำลังทำอะไรอยู่?
What did you work on?,คุณทำอะไรไปบ้าง?
When,เมื่อ
When work begins,เมื่อเริ่มงาน
When work is due,เมื่อถึงกำหนดส่งงาน
Where,ที่ไหน
Will capture:,จะบันทึก:
Will create:,จะสร้าง:
with checklist items,พร้อมรายการตรวจสอบ
Working,กำลังทำงาน
Workload,ปริมาณงาน
Workmanship,ฝีมือ
Write a comment...,เขียนความคิดเห็น...
Write a comment... Use @name to mention (Ctrl+Enter to send),เขียนความคิดเห็น... ใช้ @ชื่อ เพื่อกล่าวถึง (Ctrl+Enter เพื่อส่ง)
Year,ปี
Yes,ใช่
Yesterday,เมื่อวาน
yesterday,เมื่อวาน
You are not an attendee of this appointment,คุณไม่ใช่ผู้เข้าร่วมของการนัดหมายนี้
You are not linked to any resource,คุณไม่ได้เชื่อมโยงกับทรัพยากรใด
You are running the latest version of Orga.,You are running the latest version of Orga.
You can only delete your own comments,คุณสามารถลบเฉพาะความคิดเห็นของคุณเอง
You can only delete your own reactions,คุณสามารถลบเฉพาะปฏิกิริยาของคุณเอง
You do not have access to the client portal. Please contact support.,คุณไม่มีสิทธิ์เข้าถึงพอร์ทัลลูกค้า กรุณาติดต่อฝ่ายสนับสนุน
You have already reacted with '{0}',คุณได้แสดงปฏิกิริยา '{0}' แล้ว
You have been assigned to task '{0}' in project '{1}'.,คุณได้รับมอบหมายงาน '{0}' ในโปรเจกต์ '{1}'
You have been assigned to: {0},คุณได้รับมอบหมายให้: {0}
You have been invited to the following appointment,คุณได้รับเชิญเข้าร่วมการนัดหมายต่อไปนี้
You have no tasks assigned to you right now.,คุณไม่มีงานที่ได้รับมอบหมายในขณะนี้
You were mentioned in {0},คุณถูกกล่าวถึงใน {0}
Your attendance,การเข้าร่วมของคุณ
Your comment has been posted,โพสต์ความคิดเห็นของคุณแล้ว
Your Projects,โปรเจกต์ของคุณ
Your projects will appear here once they're assigned to you.,โปรเจกต์ของคุณจะปรากฏที่นี่เมื่อได้รับมอบหมายให้คุณ
Your Response,การตอบกลับของคุณ
Your RSVP,การตอบรับของคุณ
Your support request has been submitted successfully.,ส่งคำขอสนับสนุนของคุณสำเร็จ
Your support request has been submitted successfully. We'll get back to you shortly.,ส่งคำขอสนับสนุนของคุณสำเร็จ เราจะติดต่อกลับโดยเร็ว
"Your task ""{0}"" is no longer blocked and can now be started.","งาน ""{0}"" ของคุณไม่ถูกบล็อกอีกต่อไปและสามารถเริ่มได้แล้ว"
{0} is required,ต้องระบุ {0}
{0} new activities,{0} กิจกรรมใหม่
{0} of {1} completed,{0} จาก {1} เสร็จสมบูรณ์
{0} projects already migrated (will be skipped or updated),{0} โปรเจกต์ที่ย้ายข้อมูลแล้ว (จะถูกข้ามหรืออัปเดต)
{0} status changed to {1},สถานะ {0} เปลี่ยนเป็น {1}
{0} tasks remaining,{0} งานที่เหลือ
{0} tasks without projects will be skipped,{0} งานที่ไม่มีโปรเจกต์จะถูกข้าม
{0} {1} not found,ไม่พบ {0} {1}
