+ Add Milestone,+ Bosqich qo'shish
+ Create Task,+ Vazifa yaratish
+ Log Time,+ Vaqt yozish
-- Select a project --,-- Loyiha tanlang --
0m,0d
1 day,1 kun
1 day ago,1 kun oldin
1 dependency,1 bog'liqlik
1 entry,1 yozuv
1 file,1 fayl
1 hour ago,1 soat oldin
1 member,1 a'zo
1 milestone,1 bosqich
1 month,1 oy
1 task,1 vazifa
< 1m,< 1d
"A clear, actionable title for the task",Vazifa uchun aniq va tushunarli sarlavha
A client with email {0} already exists: {1},{0} elektron pochtali mijoz allaqachon mavjud: {1}
A key deliverable or checkpoint for the project,Loyihaning muhim natijasi yoki tekshiruv nuqtasi
Accept,Qabul qilish
Accepted,Qabul qilingan
Acknowledge,Tasdiqlash
across,bo'ylab
Action,Harakat
Actions,Harakatlar
Active,Faol
Active Assignments,Faol topshiriqlar
Active Projects,Faol loyihalar
Activity,Faoliyat
Activity data deleted successfully,Faoliyat ma'lumotlari muvaffaqiyatli o'chirildi
Activity Info,Faoliyat haqida
Activity Stats,Faoliyat ko'rsatkichlari
Activity will appear here as you work on tasks and projects.,Vazifalar va loyihalar ustida ishlagan sari faoliyat shu yerda ko'rinadi.
Actual,Haqiqiy
Actual Cost,Haqiqiy narx
Actual cost cannot be negative,Haqiqiy narx manfiy bo'lishi mumkin emas
Actual end date cannot be before actual start date,Haqiqiy tugash sanasi haqiqiy boshlanish sanasidan oldin bo'lishi mumkin emas
Actual Hours,Haqiqiy soatlar
Add,Qo'shish
Add a checklist item...,Tekshiruv ro'yxatiga qo'shish...
Add a comment...,Izoh qo'shish...
Add a comment... (Ctrl+Enter to send),Izoh qo'shish... (Ctrl+Enter yuborish uchun)
Add a description...,Tavsif qo'shish...
Add a milestone description...,Bosqich tavsifini qo'shish...
Add a note below to annotate this activity.,Ushbu faoliyatga izoh qo'shish uchun pastda eslatma yozing.
Add a note...,Eslatma qo'shish...
Add a project description...,Loyiha tavsifini qo'shish...
Add a task description...,Vazifa tavsifini qo'shish...
Add checklist item...,Tekshiruv ro'yxatiga qo'shish...
Add Contact,Kontakt qo'shish
Add contacts via the Desk interface or clear filters,Desk orqali kontaktlar qo'shing yoki filtrlarni tozalang
Add Dependency,Bog'liqlik qo'shish
Add details about this event...,Ushbu tadbir haqida batafsil yozing...
Add details about this milestone...,Ushbu bosqich haqida batafsil yozing...
Add details about this task...,Ushbu vazifa haqida batafsil yozing...
Add details or acceptance criteria for this milestone,Ushbu bosqich uchun batafsil yoki qabul mezonlarini qo'shing
"Add details, context, or acceptance criteria","Batafsil, kontekst yoki qabul mezonlarini qo'shing"
Add first dependency,Birinchi bog'liqlikni qo'shish
Add item,Element qo'shish
Add items below to track progress.,Jarayonni kuzatish uchun pastda elementlar qo'shing.
Add items below to track subtasks,Kichik vazifalarni kuzatish uchun pastda elementlar qo'shing
Add Milestone,Bosqich qo'shish
Add Milestone (Shift+M),Bosqich qo'shish (Shift+M)
Add milestones to track key deliverables.,Muhim natijalarni kuzatish uchun bosqichlar qo'shing.
Add New Contact,Yangi kontakt qo'shish
Add Note,Eslatma qo'shish
Add note,Eslatma qo'shish
Add notes about this contact...,Ushbu kontakt haqida eslatmalar qo'shish...
Add reaction,Munosabat bildirish
Add Skill,Ko'nikma qo'shish
Add start and due dates to tasks to see them on the Gantt chart,Vazifalarni Gantt jadvalida ko'rish uchun boshlanish va tugash sanalarini qo'shing
Add Task,Vazifa qo'shish
Add Task (Shift+T),Vazifa qo'shish (Shift+T)
Added Finish-to-Start dependency,Tugash-Boshlanish bog'liqligi qo'shildi
Adding this dependency would create a circular reference: {0},Ushbu bog'liqlikni qo'shish halqasimon havola hosil qiladi: {0}
Adding...,Qo'shilmoqda...
Address,Manzil
Advanced,Kengaytirilgan
All,Hammasi
All Active,Barcha faollar
All Assignees,Barcha mas'ullar
All Categories,Barcha turkumlar
All caught up!,Hammasi yangilangan!
All Contexts,Barcha kontekstlar
All day,Kun bo'yi
All day event,Kun bo'yi tadbir
All fields,Barcha maydonlar
All Priorities,Barcha muhimliklar
All Projects,Barcha loyihalar
All Status,Barcha holatlar
All Statuses,Barcha holatlar
All task dependencies & relative dates,Barcha vazifa bog'liqliklari va nisbiy sanalar
All Tasks,Barcha vazifalar
All tasks across all projects.,Barcha loyihalardagi barcha vazifalar.
All tasks are already linked,Barcha vazifalar allaqachon bog'langan
All team members,Barcha jamoa a'zolari
All Types,Barcha turlar
All Users,Barcha foydalanuvchilar
Allocated,Ajratilgan
allocated,ajratilgan
Allow users to log time against tasks,Foydalanuvchilarga vazifalar bo'yicha vaqt yozish imkonini berish
Already exported to timesheet {0},Allaqachon {0} vaqt jadvaliga chiqarilgan
Already Migrated,Allaqachon ko'chirilgan
Anyone with access,Kirishga ega har kim
anytime to show this help,ushbu yordamni ko'rsatish uchun istalgan vaqtda
App Updates,App Updates
Appearance,Tashqi ko'rinish
Apply,Qo'llash
Apply cascade?,Zanjirni qo'llash kerakmi?
Apply Changes,O'zgarishlarni qo'llash
Apply failed,Qo'llash muvaffaqiyatsiz
Apply Template,Shablon qo'llash
Applying...,Qo'llanilmoqda...
Appointment,Uchrashuv
Appointment and resource are required,Uchrashuv va resurs talab qilinadi
Appointment name is required,Uchrashuv nomi talab qilinadi
Appointment not found,Uchrashuv topilmadi
Appointment {0} not found,{0} uchrashuv topilmadi
Apps,Ilovalar
Archive,Arxiv
Archive Activity,Faoliyatni arxivlash
Archived,Arxivlangan
Are you sure you want to delete this activity data? This cannot be undone.,Ushbu faoliyat ma'lumotlarini o'chirishni xohlaysizmi? Bu qaytarib bo'lmaydi.
Are you sure you want to delete this comment?,Ushbu izohni o'chirishni xohlaysizmi?
Are you sure you want to delete this project?,Ushbu loyihani o'chirishni xohlaysizmi?
Are you sure?,Ishonchingiz komilmi?
Ascending -- click to reverse,O'sish tartibida -- teskari qilish uchun bosing
Assign To,Topshirish
Assign to Me,Menga topshirish
Assigned Contact,Tayinlangan kontakt
Assigned To,Topshirilgan
Assigned to,Topshirilgan
Assigned to Me,Menga topshirilgan
Assignee,Mas'ul
Assignment,Topshiriq
Assignment History,Topshiriqlar tarixi
Assignment name is required,Topshiriq nomi talab qilinadi
Assignment {0} not found,{0} topshiriq topilmadi
Assignments,Topshiriqlar
At least one action is required,Kamida bitta harakat talab qilinadi
At least one event is required,Kamida bitta tadbir talab qilinadi
At least one event must be selected,Kamida bitta tadbir tanlanishi kerak
Attachment,Biriktirma
Attachments,Biriktirmalar
Attendees,Ishtirokchilar
"Audit trail, assignments, version history","Tekshiruv izi, topshiriqlar, versiyalar tarixi"
Auto,Avtomatik
Auto Calculate Progress,Jarayonni avtomatik hisoblash
Auto Set Missed Milestones,O'tkazib yuborilgan bosqichlarni avtomatik belgilash
Auto-shift dependents when dates change,Sanalar o'zgarganda bog'liqlarni avtomatik siljitish
Auto-Trail Start,Avtomatik siljish boshlanishi
Auto-Trail updated,Avtomatik siljish yangilandi
Automatically calculate project progress from task completion,Vazifalar bajarilishi asosida loyiha jarayonini avtomatik hisoblash
Automatically mark milestones as missed when overdue,Muddati o'tgan bosqichlarni avtomatik o'tkazib yuborilgan deb belgilash
Automation rule {0} not found,{0} avtomatlashtirish qoidasi topilmadi
Automation: {0},Avtomatlashtirish: {0}
Availability,Mavjudlik
Available,Mavjud
Avatar updated successfully,Rasm muvaffaqiyatli yangilandi
Avg Progress,O'rtacha jarayon
Back,Orqaga
Back to Portal,Portalga qaytish
Back to Projects,Loyihalarga qaytish
Beginner,Boshlang'ich
Best regards,Hurmat bilan
Billable,Hisob-kitob qilinadigan
Billable Amount,Hisob-kitob summasi
Billable Hours,Hisob-kitob soatlari
Billable Rate,Hisob-kitob stavkasi
Billing Rate,Hisob-kitob stavkasi
Blocked,Bloklangan
Both dates are needed to display task as a bar in Gantt chart,Vazifani Gantt jadvalida chiziq sifatida ko'rsatish uchun ikkala sana ham kerak
Both doctype and docname are required,doctype va docname ikkalasi ham talab qilinadi
Both proposed start and end times are required,Taklif etilgan boshlanish va tugash vaqtlari talab qilinadi
Both task_name and depends_on are required,task_name va depends_on ikkalasi ham talab qilinadi
Breadcrumb,Yo'l ko'rsatkich
Brief description of the defect or damage,Nuqson yoki shikastlanishning qisqacha tavsifi
Brief description of this template,Ushbu shablonning qisqacha tavsifi
Brief description of your request,So'rovingizning qisqacha tavsifi
Brief project description,Loyihaning qisqacha tavsifi
Budget,Byudjet
Budget at risk,Byudjet xavf ostida
Budget Burn Rate,Byudjet sarflanish tezligi
Budget Status,Byudjet holati
Budget updated,Byudjet yangilandi
Budget:,Byudjet:
Bug,Xatolik
Burn Rate,Sarflanish tezligi
Busy,Band
By,Tomonidan
By Assignee,Mas'ul bo'yicha
By Group,Guruh bo'yicha
By Milestone,Bosqich bo'yicha
By Priority,Muhimlik bo'yicha
By Status,Holat bo'yicha
Cancel,Bekor qilish
Cancelled,Bekor qilingan
cannot be undone,qaytarib bo'lmaydi
Cannot delete client with {0} linked projects. Unlink projects first.,Bog'langan {0} loyihasi bor mijozni o'chirib bo'lmaydi. Avval loyihalarni ajrating.
Cannot delete project with {0} linked tasks. Delete tasks first.,Bog'langan {0} vazifasi bor loyihani o'chirib bo'lmaydi. Avval vazifalarni o'chiring.
Cannot delete resource with {0} active assignments. Complete or cancel them first.,Faol {0} topshirig'i bor resursni o'chirib bo'lmaydi. Avval ularni yakunlang yoki bekor qiling.
Cannot delete task with {0} subtasks. Delete subtasks first.,Kichik {0} vazifasi bor vazifani o'chirib bo'lmaydi. Avval kichik vazifalarni o'chiring.
Capacity,Sig'im
capacity,sig'im
Capacity & Rates,Sig'im va stavkalar
Capture project structure for reuse,Loyiha tuzilmasini qayta foydalanish uchun saqlash
Cascade,Zanjir
Cascade Preview,Zanjir ko'rinishi
Category,Turkum
Celebrate,Tabriklamoq
Change,O'zgartirish
Change History,O'zgarishlar tarixi
Change Priority,Muhimlikni o'zgartirish
Change Status,Holatni o'zgartirish
Changes,O'zgarishlar
Changes appear when fields are modified.,Maydonlar o'zgartirilganda o'zgarishlar ko'rinadi.
Check for new versions of Orga,Check for new versions of Orga
Check for Updates,Check for Updates
Checking...,Checking...
Checklist,Tekshiruv ro'yxati
Checklist item name is required,Tekshiruv ro'yxati elementi nomi talab qilinadi
Checklist item not found,Tekshiruv ro'yxati elementi topilmadi
Checklist item title is required,Tekshiruv ro'yxati elementi sarlavhasi talab qilinadi
Checklist item {0} not found,{0} tekshiruv ro'yxati elementi topilmadi
Checklist item {0} not found in task,Vazifada {0} tekshiruv ro'yxati elementi topilmadi
Child,Ichki
Choose file to upload,Yuklash uchun fayl tanlang
Circular dependency detected: {0},Halqasimon bog'liqlik aniqlandi: {0}
Circular parent-child relationship detected,Halqasimon ota-bola bog'liqligi aniqlandi
Clear,Tozalash
Clear all read,O'qilganlarni tozalash
Clear date,Sanani tozalash
Click on an activity from the list to view and manage its details.,Batafsil ko'rish va boshqarish uchun ro'yxatdagi faoliyatni bosing.
Click the avatar to upload a new photo,Yangi rasm yuklash uchun rasmni bosing
Click to add description...,Tavsif qo'shish uchun bosing...
Click to add notes...,Eslatma qo'shish uchun bosing...
Click to assign contact,Kontakt tayinlash uchun bosing
Click to change status,Holatni o'zgartirish uchun bosing
Click to change type,Turni o'zgartirish uchun bosing
Click to edit,Tahrirlash uchun bosing
Click to edit budget,Byudjetni tahrirlash uchun bosing
Click to edit description,Tavsifni tahrirlash uchun bosing
Click to edit end date,Tugash sanasini tahrirlash uchun bosing
Click to edit milestone name,Bosqich nomini tahrirlash uchun bosing
Click to edit rate,Stavkani tahrirlash uchun bosing
Click to edit start date,Boshlanish sanasini tahrirlash uchun bosing
Click to edit title,Sarlavhani tahrirlash uchun bosing
Click to load,Yuklash uchun bosing
Click to set group dependency...,Guruh bog'liqligini o'rnatish uchun bosing...
Click to set group...,Guruhni o'rnatish uchun bosing...
Click to view,Ko'rish uchun bosing
Click to view at-risk projects,Xavf ostidagi loyihalarni ko'rish uchun bosing
Click to view critical projects,Muhim loyihalarni ko'rish uchun bosing
Click to view healthy projects,Yaxshi holatdagi loyihalarni ko'rish uchun bosing
Client,Mijoz
Client already has a portal user: {0},Mijozning allaqachon portal foydalanuvchisi bor: {0}
Client already has portal access,Mijoz allaqachon portalga kirish huquqiga ega
Client has no portal user to revoke,Mijozning bekor qilinadigan portal foydalanuvchisi yo'q
Client link removed from project {0},{0} loyihasidan mijoz bog'lanishi olib tashlandi
Client Portal,Mijoz portali
Client {0} deleted successfully,{0} mijoz muvaffaqiyatli o'chirildi
Close,Yopish
Close (Esc),Yopish (Esc)
Comment,Izoh
comment,izoh
Comment added,Izoh qo'shildi
Comment content is required,Izoh matni talab qilinadi
Comment name is required,Izoh nomi talab qilinadi
Comment not found,Izoh topilmadi
Comment removed,Izoh olib tashlandi
Comment {0} not found in task,Vazifada {0} izoh topilmadi
Comments,Izohlar
comments,izohlar
Community Edition,Community Edition
Company,Kompaniya
Company name...,Kompaniya nomi...
Complete,Yakunlash
Completed,Yakunlangan
completed,yakunlangan
Completed Tasks,Yakunlangan vazifalar
Compliance,Muvofiqlik
Configure default values for new projects and tasks,Yangi loyihalar va vazifalar uchun boshlang'ich qiymatlarni sozlash
Configure email notification settings,Elektron pochta bildirishnomasi sozlamalarini sozlash
Confirm,Tasdiqlash
Contact deleted,Kontakt o'chirildi
Contact Details,Kontakt tafsilotlari
Contact Information,Aloqa ma'lumotlari
Contact name is required,Kontakt nomi talab qilinadi
Contact Support,Yordam bilan bog'lanish
Contact your project manager for more information.,Qo'shimcha ma'lumot uchun loyiha boshlig'ingiz bilan bog'laning.
Contact:,Kontakt:
Contacts,Kontaktlar
Context,Kontekst
Contractor,Pudratchi
Cost estimate cannot be negative,Narx bahosi manfiy bo'lishi mumkin emas
Cost Impact,Narxga ta'sir
Cost Summary,Narx xulosasi
Could not apply the template. Please try again.,Shablonni qo'llab bo'lmadi. Qaytadan urinib ko'ring.
Could not attach file to project,Faylni loyihaga biriktirib bo'lmadi
Could not change task priority,Vazifa muhimligini o'zgartirib bo'lmadi
Could not change task status,Vazifa holatini o'zgartirib bo'lmadi
Could not delete the project. Please try again.,Loyihani o'chirib bo'lmadi. Qaytadan urinib ko'ring.
Could not delete the task. Please try again.,Vazifani o'chirib bo'lmadi. Qaytadan urinib ko'ring.
Could not delete the template.,Shablonni o'chirib bo'lmadi.
Could not duplicate the task. Please try again.,Vazifani nusxalab bo'lmadi. Qaytadan urinib ko'ring.
Could not export the template.,Shablonni chiqarib bo'lmadi.
Could not import the template. Please check the file format.,Shablonni yuklab bo'lmadi. Fayl formatini tekshiring.
Could not link task to milestone,Vazifani bosqichga bog'lab bo'lmadi
Could not load document details.,Hujjat tafsilotlarini yuklab bo'lmadi.
Could not load task details,Vazifa tafsilotlarini yuklab bo'lmadi
Could not promote checklist item to task.,Tekshiruv ro'yxati elementini vazifaga aylantirib bo'lmadi.
Could not remove task from milestone,Vazifani bosqichdan olib tashlab bo'lmadi
Could not save budget.,Byudjetni saqlab bo'lmadi.
Could not save changes to the milestone,Bosqichga o'zgarishlarni saqlab bo'lmadi
Could not save changes to the task,Vazifaga o'zgarishlarni saqlab bo'lmadi
Could not save description.,Tavsifni saqlab bo'lmadi.
Could not save end date.,Tugash sanasini saqlab bo'lmadi.
Could not save milestone name.,Bosqich nomini saqlab bo'lmadi.
Could not save start date.,Boshlanish sanasini saqlab bo'lmadi.
Could not save the template. Please try again.,Shablonni saqlab bo'lmadi. Qaytadan urinib ko'ring.
Could not save title.,Sarlavhani saqlab bo'lmadi.
Could not update dependency mode.,Bog'liqlik rejimini yangilab bo'lmadi.
Could not update milestone date,Bosqich sanasini yangilab bo'lmadi
Could not update project status.,Loyiha holatini yangilab bo'lmadi.
Could not update project type.,Loyiha turini yangilab bo'lmadi.
Could not update setting.,Sozlamani yangilab bo'lmadi.
Could not update task dates,Vazifa sanalarini yangilab bo'lmadi
Could not update task status,Vazifa holatini yangilab bo'lmadi
Could not update the template.,Shablonni yangilab bo'lmadi.
Create a copy of this task,Ushbu vazifaning nusxasini yaratish
Create Contact,Kontakt yaratish
Create Event,Tadbir yaratish
Create Milestone,Bosqich yaratish
Create New Milestone,Yangi bosqich yaratish
Create New Task,Yangi vazifa yaratish
Create Project,Loyiha yaratish
Create Task,Vazifa yaratish
Create tasks and milestones from a template,Shablondan vazifalar va bosqichlar yaratish
Create your first project to get started.,Boshlash uchun birinchi loyihangizni yarating.
Create your first task to start tracking work on this project.,Ushbu loyihadagi ishni kuzatishni boshlash uchun birinchi vazifangizni yarating.
Created,Yaratildi
Creating...,Yaratilmoqda...
Critical,Jiddiy
Critical Path,Muhim yo'l
"Currency used for budgets, costs, and billing rates","Byudjetlar, narxlar va hisob-kitob stavkalari uchun ishlatiladigan valyuta"
Current,Joriy
Current Assignments,Joriy topshiriqlar
Current scheduled time:,Joriy rejalashtirilgan vaqt:
Currently running version,Currently running version
d lag,kun kechikish
Daily Availability,Kunlik mavjudlik
Daily Hours,Kunlik soatlar
Danger Zone,Xavfli hudud
Dark,Qorong'i
Dashboard,Boshqaruv paneli
Date,Sana
Date changes on this task will show cascade impact here,Ushbu vazifadagi sana o'zgarishlari zanjir ta'sirini shu yerda ko'rsatadi
Date cleared,Sana tozalandi
Date of Joining,Qo'shilgan sana
Date updated,Sana yangilandi
Dates,Sanalar
Dates cascaded,Sanalar zanjirlandi
Dates will be relative to the project's start date.,Sanalar loyihaning boshlanish sanasiga nisbatan bo'ladi.
Day,Kun
day,kun
days,kunlar
Days before due date to send reminder,Eslatma yuborish uchun muddatdan oldingi kunlar
Days Overdue,Kechikkan kunlar
Days Remaining,Qolgan kunlar
Deadline,Muddat
Deadlines,Muddatlar
Decision,Qaror
Decline,Rad etish
Declined,Rad etilgan
Default Currency,Boshlang'ich valyuta
Default hours per week for contact capacity planning,Kontakt sig'imini rejalashtirish uchun haftadagi boshlang'ich soatlar
Default Priority,Boshlang'ich muhimlik
Default Project Status,Boshlang'ich loyiha holati
Default Task Status,Boshlang'ich vazifa holati
Default task view,Boshlang'ich vazifa ko'rinishi
Default Values,Boshlang'ich qiymatlar
Default Weekly Capacity,Boshlang'ich haftalik sig'im
Defaults,Boshlang'ich qiymatlar
Defect Cost Impact,Nuqson narxiga ta'sir
Defect name is required,Nuqson nomi talab qilinadi
Defect Type,Nuqson turi
Defect {0} not found,{0} nuqson topilmadi
Defects,Nuqsonlar
Defects & Issues,Nuqsonlar va muammolar
Defects Resolved,Nuqsonlar bartaraf etildi
Delayed,Kechiktirilgan
Delete,O'chirish
Delete Activity Data,Faoliyat ma'lumotlarini o'chirish
Delete all read notifications?,Barcha o'qilgan bildirishnomalarni o'chirish kerakmi?
Delete comment,Izohni o'chirish
Delete Contact,Kontaktni o'chirish
Delete Event,Tadbirni o'chirish
Delete Event?,Tadbirni o'chirish kerakmi?
Delete failed,O'chirish muvaffaqiyatsiz
Delete file,Faylni o'chirish
Delete item,Elementni o'chirish
Delete note,Eslatmani o'chirish
Delete Project,Loyihani o'chirish
Delete Task,Vazifani o'chirish
Delete this project,Ushbu loyihani o'chirish
Deleted,O'chirildi
"Deleted project ""{0}"" ({1} tasks, {2} milestones)","Loyiha ""{0}"" o'chirildi ({1} vazifa, {2} bosqich)"
Deletes notes and preferences. Source document is not affected.,Eslatmalar va sozlamalarni o'chiradi. Asl hujjatga ta'sir qilmaydi.
Deleting...,O'chirilmoqda...
Department,Bo'lim
Dependencies,Bog'liqliklar
dependencies,bog'liqliklar
Dependencies are informational only,Bog'liqliklar faqat ma'lumot uchun
dependency,bog'liqlik
Dependency already exists,Bog'liqlik allaqachon mavjud
Dependency Chain,Bog'liqlik zanjiri
Dependency created,Bog'liqlik yaratildi
Dependency mode updated,Bog'liqlik rejimi yangilandi
Dependency name is required,Bog'liqlik nomi talab qilinadi
Dependency task {0} not found,{0} bog'liq vazifa topilmadi
Dependency {0} not found,{0} bog'liqlik topilmadi
depends,bog'liq
Depends on Group,Guruhga bog'liq
Depends on task is required,Bog'liq vazifa talab qilinadi
depends on...,bog'liq...
Descending -- click to reverse,Kamayish tartibida -- teskari qilish uchun bosing
Describe the defect in detail...,Nuqsonni batafsil tavsiflang...
Description,Tavsif
Description updated,Tavsif yangilandi
Designation,Lavozim
"Detailed description of the defect, location, and impact","Nuqsonning batafsil tavsifi, joylashuvi va ta'siri"
Details,Tafsilotlar
Discard timer,Taymerdan voz kechish
Discussion,Muhokama
Dismiss,Dismiss
Display,Ko'rsatish
Document,Hujjat
Document attached to project,Hujjat loyihaga biriktirildi
Document final decision and rationale,Yakuniy qaror va asosni hujjatlashtirish
Documentation Review,Hujjatlarni ko'rib chiqish
Documents,Hujjatlar
Done,Bajarildi
Download,Yuklab olish
Drag to create dependency,Bog'liqlik yaratish uchun torting
Dry Run,Sinov
Dry Run Complete,Sinov yakunlandi
Due Date,Muddat sanasi
Due date,Muddat sanasi
Due Date (Earliest),Muddat sanasi (eng yaqin)
Due date cannot be before start date,Muddat sanasi boshlanish sanasidan oldin bo'lishi mumkin emas
Due date is in the past,Muddat sanasi o'tib ketgan
Due Date Reminders,Muddat eslatmalari
Due Diligence,Tekshiruv
Due Diligence Checklist,Tekshiruv ro'yxati
Due This Week,Shu hafta muddati
Due:,Muddat:
Duplicate events are not allowed,Takroriy tadbirlar ruxsat etilmaydi
Duplicate failed,Nusxalash muvaffaqiyatsiz
Duplicate Task,Vazifani nusxalash
Duration,Davomiylik
Duration Summary,Davomiylik xulosasi
Duration:,Davomiylik:
e.g. Cracked wall finish in bathroom...,masalan: Hammomda devor qoplamasining yorilishi...
"e.g. Electrical, Plumbing...","masalan: Elektr, Suv ta'minoti..."
Edit,Tahrirlash
Edit (E),Tahrirlash (E)
Edit dependency,Bog'liqlikni tahrirlash
Edit Event,Tadbirni tahrirlash
Efficiency,Samaradorlik
Either dependency_name or depends_on is required,dependency_name yoki depends_on talab qilinadi
Email,Elektron pochta
Email invitations to all attendees,Barcha ishtirokchilarga elektron pochta taklifnomalari
Email is required to create portal user,Portal foydalanuvchisini yaratish uchun elektron pochta talab qilinadi
Email notifications,Elektron pochta bildirishnomalari
Employee,Xodim
Employee DocType not available,Xodim DocType mavjud emas
