+ Add Milestone,+ Bosqich qo'shish
Employee not found,Xodim topilmadi
Enable or disable optional features,Ixtiyoriy xususiyatlarni yoqish yoki o'chirish
Enable Time Tracking,Vaqt kuzatuvini yoqish
End,Tugash
End Date,Tugash sanasi
End date,Tugash sanasi
End Date cannot be before Start Date,Tugash sanasi boshlanish sanasidan oldin bo'lishi mumkin emas
End date cannot be before start date,Tugash sanasi boshlanish sanasidan oldin bo'lishi mumkin emas
End date updated,Tugash sanasi yangilandi
End time was before start time. Adjusted to 1 hour after start.,Tugash vaqti boshlanish vaqtidan oldin edi. Boshlanishdan 1 soat keyinga tuzatildi.
End:,Tugash:
Enter milestone name...,Bosqich nomini kiriting...
Enter project name,Loyiha nomini kiriting
Enter task title...,Vazifa sarlavhasini kiriting...
Enter template name,Shablon nomini kiriting
Enter your note... Use @name to mention someone,Eslatmangizni yozing... Birovni eslatish uchun @ism ishlating
Error,Xatolik
Error loading activity,Faoliyatni yuklashda xatolik
Error loading contacts,Kontaktlarni yuklashda xatolik
Error loading dashboard,Boshqaruv panelini yuklashda xatolik
Error loading project,Loyihani yuklashda xatolik
Error loading projects,Loyihalarni yuklashda xatolik
Error loading settings,Sozlamalarni yuklashda xatolik
Error loading tasks,Vazifalarni yuklashda xatolik
Error loading templates,Shablonlarni yuklashda xatolik
Est. Hours,Taxm. soatlar
Estimated,Taxminiy
Estimated Cost,Taxminiy narx
Estimated Cost (€),Taxminiy narx (€)
Estimated Hours,Taxminiy soatlar
Estimated:,Taxminiy:
Evaluate potential risks and concerns,Mumkin bo'lgan xavflar va tashvishlarni baholash
Event,Tadbir
Event is required for event context,Tadbir konteksti uchun tadbir talab qilinadi
Event is required when tracking context is 'event',Kuzatuv konteksti 'tadbir' bo'lganda tadbir talab qilinadi
Event Type,Tadbir turi
Events,Tadbirlar
Events not available. Please run: bench --site orga.localhost migrate,Tadbirlar mavjud emas. Iltimos ishga tushiring: bench --site orga.localhost migrate
Events:,Tadbirlar:
Expert,Mutaxassis
Explain why you are proposing a different time...,Nima uchun boshqa vaqt taklif qilayotganingizni tushuntiring...
Export,Chiqarish
Export failed,Chiqarish muvaffaqiyatsiz
Export JSON,JSON ga chiqarish
Exported,Chiqarildi
Exported to timesheet {0},{0} vaqt jadvaliga chiqarildi
External,Tashqi
Failed to add item,Element qo'shib bo'lmadi
Failed to add note,Eslatma qo'shib bo'lmadi
Failed to add skill,Ko'nikma qo'shib bo'lmadi
Failed to apply cascade changes: {0},Zanjir o'zgarishlarini qo'llab bo'lmadi: {0}
Failed to create defect,Nuqson yaratib bo'lmadi
Failed to create dependency,Bog'liqlik yaratib bo'lmadi
Failed to create event,Tadbir yaratib bo'lmadi
Failed to create milestone,Bosqich yaratib bo'lmadi
Failed to create project,Loyiha yaratib bo'lmadi
Failed to create task,Vazifa yaratib bo'lmadi
Failed to create time log,Vaqt yozuvi yaratib bo'lmadi
Failed to delete,O'chirib bo'lmadi
Failed to delete comment,Izohni o'chirib bo'lmadi
Failed to delete contact,Kontaktni o'chirib bo'lmadi
Failed to load,Yuklab bo'lmadi
Failed to load activity,Faoliyatni yuklab bo'lmadi
Failed to load assignments,Topshiriqlarni yuklab bo'lmadi
Failed to load contact,Kontaktni yuklab bo'lmadi
Failed to load dashboard data,Boshqaruv paneli ma'lumotlarini yuklab bo'lmadi
Failed to load defects,Nuqsonlarni yuklab bo'lmadi
Failed to load events,Tadbirlarni yuklab bo'lmadi
Failed to load project,Loyihani yuklab bo'lmadi
Failed to load projects,Loyihalarni yuklab bo'lmadi
Failed to load report data,Hisobot ma'lumotlarini yuklab bo'lmadi
Failed to load settings,Sozlamalarni yuklab bo'lmadi
Failed to load tasks,Vazifalarni yuklab bo'lmadi
Failed to move task,Vazifani ko'chirib bo'lmadi
Failed to post comment,Izohni joylab bo'lmadi
Failed to propose new time,Yangi vaqt taklif qilib bo'lmadi
Failed to remove item,Elementni olib tashlab bo'lmadi
Failed to remove skill,Ko'nikmani olib tashlab bo'lmadi
Failed to reorder milestones: {0},Bosqichlarni qayta tartiblash muvaffaqiyatsiz: {0}
Failed to reorder tasks: {0},Vazifalarni qayta tartiblash muvaffaqiyatsiz: {0}
Failed to reschedule dependent tasks: {0},Bog'liq vazifalarni qayta rejalashtirish muvaffaqiyatsiz: {0}
Failed to save,Saqlab bo'lmadi
Failed to save preferences,Sozlamalarni saqlab bo'lmadi
Failed to save settings,Sozlamalarni saqlab bo'lmadi
Failed to submit request. Please try again.,So'rovni yuborib bo'lmadi. Qaytadan urinib ko'ring.
Failed to update item,Elementni yangilab bo'lmadi
Failed to update priority,Muhimlikni yangilab bo'lmadi
Failed to update task,Vazifani yangilab bo'lmadi
Failed to update tasks: {0},Vazifalarni yangilab bo'lmadi: {0}
Failed to upload avatar,Rasmni yuklab bo'lmadi
Feature,Xususiyat
Features,Xususiyatlar
FF (Finish-Finish),FF (Tugash-Tugash)
FF - Finish-to-Finish,FF - Tugash-Tugashgacha
Field has been updated,Maydon yangilandi
Field name is required for 'Set Field Value' action,'Maydon qiymatini o'rnatish' harakati uchun maydon nomi talab qilinadi
Field {0} is not a Link field,{0} maydoni Havola maydoni emas
Field {0} not found in {1},{1} da {0} maydoni topilmadi
File,Fayl
file,fayl
File does not belong to this task,Fayl ushbu vazifaga tegishli emas
File name is required,Fayl nomi talab qilinadi
File uploaded,Fayl yuklandi
File {0} not found,{0} fayl topilmadi
Files,Fayllar
files,fayllar
Filter,Filtr
Final Decision,Yakuniy qaror
Finance,Moliya
Financial,Moliyaviy
Finish-to-Finish,Tugash-Tugashgacha
Finish-to-Start,Tugash-Boshlanishgacha
Flag,Belgilash
Flag for attention,E'tibor uchun belgilash
Flagged,Belgilangan
Focus Panel,Diqqat paneli
Follows your system preference. Currently:,Tizim sozlamangizga amal qiladi. Hozirda:
Frappe Project {0} not found,Frappe loyiha {0} topilmadi
Frappe Projects Migration,Frappe Projects ko'chirish
Frappe Projects module not available,Frappe Projects moduli mavjud emas
Frappe Projects module not installed,Frappe Projects moduli o'rnatilmagan
Frappe Projects sync is not enabled,Frappe Projects sinxronlash yoqilmagan
Frappe Task DocType not found,Frappe Vazifa DocType topilmadi
Frappe Task has no project,Frappe vazifasining loyihasi yo'q
Frappe Task {0} not found,Frappe vazifa {0} topilmadi
Fri,Juma
From,Dan
From Template,Shablondan
FS (Finish-Start),FS (Tugash-Boshlanish)
FS - Finish-to-Start (default),FS - Tugash-Boshlanishgacha (boshlang'ich)
Full form view with audit trail,Tekshiruv izi bilan to'liq shakl ko'rinishi
Full name,To'liq ism
Gantt,Gantt
Gantt Chart,Gantt jadvali
Gantt View,Gantt ko'rinishi
General Note,Umumiy eslatma
Get started,Boshlash
Go back,Orqaga qaytish
Go Back,Go Back
Group by,Guruhlash
Group dependency removed,Guruh bog'liqligi olib tashlandi
Group dependency set,Guruh bog'liqligi o'rnatildi
Group removed,Guruh olib tashlandi
Group updated,Guruh yangilandi
Hammock task dates are auto-calculated and cannot be changed manually,Gamak vazifa sanalari avtomatik hisoblanadi va qo'lda o'zgartirib bo'lmaydi
Have a question or need assistance? Fill out the form below and our team will get back to you.,Savolingiz bormi yoki yordam kerakmi? Pastdagi shaklni to'ldiring va jamoamiz sizga javob beradi.
Health,Salomatlik
Healthy,Yaxshi holatda
Hello {0},Salom {0}
Here's what's happening with your projects today.,Bugun loyihalaringizda nima bo'layotganini ko'ring.
Hide,Yashirish
High,Yuqori
History,Tarix
Home,Bosh sahifa
Hourly Cost,Soatlik narx
Hours,Soatlar
hours,soatlar
Hours Logged,Yozilgan soatlar
ID,ID
Image must be smaller than 5 MB,Rasm 5 MB dan kichik bo'lishi kerak
Import,Yuklash
Import existing projects and tasks from Frappe Projects module,Mavjud loyihalar va vazifalarni Frappe Projects modulidan yuklash
Import failed,Yuklash muvaffaqiyatsiz
Import Template,Shablon yuklash
Imported,Yuklandi
in,da
In Progress,Jarayonda
In Review,Ko'rib chiqilmoqda
In-app notifications,Ilova ichidagi bildirishnomalar
Inactive,Faol emas
Initial Review,Dastlabki ko'rib chiqish
Installed Version,Installed Version
Insufficient permissions to view all tasks,Barcha vazifalarni ko'rish uchun ruxsat yetarli emas
Intermediate,O'rta
Internal,Ichki
Invalid DocType,Noto'g'ri DocType
Invalid DocType for import,Yuklash uchun noto'g'ri DocType
Invalid item type: {0},Noto'g'ri element turi: {0}
Invalid JSON data,Noto'g'ri JSON ma'lumotlar
Invalid note type. Must be one of: {0},Noto'g'ri eslatma turi. Quyidagilardan biri bo'lishi kerak: {0}
Invalid project reference,Noto'g'ri loyiha havolasi
Invalid reaction type. Must be one of: {0},Noto'g'ri munosabat turi. Quyidagilardan biri bo'lishi kerak: {0}
Invalid RSVP status,Noto'g'ri RSVP holati
Invalid status. Must be one of: {0},Noto'g'ri holat. Quyidagilardan biri bo'lishi kerak: {0}
Invalid status: {0},Noto'g'ri holat: {0}
Invalid status: {0}. Must be one of: {1},Noto'g'ri holat: {0}. Quyidagilardan biri bo'lishi kerak: {1}
Invalid tracking context: {0},Noto'g'ri kuzatuv konteksti: {0}
Invalid visibility. Must be one of: {0},Noto'g'ri ko'rinish. Quyidagilardan biri bo'lishi kerak: {0}
Invitation: {0} - {1} at {2},Taklif: {0} - {1} da {2}
Invite People,Odamlarni taklif qilish
"It's not you, it's the link. The page you're looking for might have been moved, renamed, or is taking a well-deserved coffee break. Your projects and data are perfectly safe.","It's not you, it's the link. The page you're looking for might have been moved, renamed, or is taking a well-deserved coffee break. Your projects and data are perfectly safe."
Item added,Element qo'shildi
Item ID is required,Element IDsi talab qilinadi
Item removed,Element olib tashlandi
Item type is required,Element turi talab qilinadi
Item {0} not found,{0} element topilmadi
Job title or role,Lavozim nomi yoki rol
Join Meeting,Uchrashuvga qo'shilish
Just now,Hozir
just now,hozir
Kanban,Kanban
Kanban Board,Kanban taxtasi
Kanban View,Kanban ko'rinishi
Keyboard Shortcuts,Klaviatura tugmalari
Keyboard shortcuts (?),Klaviatura tugmalari (?)
Last checked: {0},Last checked: {0}
Last Updated,Oxirgi yangilanish
Last updated:,Oxirgi yangilanish:
Last Week,O'tgan hafta
Latest Version,Latest Version
Light,Yorug'
Link failed,Bog'lash muvaffaqiyatsiz
Link Task,Vazifani bog'lash
Linked,Bog'langan
Linked employee not found,Bog'langan xodim topilmadi
Linked Tasks,Bog'langan vazifalar
List,Ro'yxat
List View,Ro'yxat ko'rinishi
Load failed,Yuklash muvaffaqiyatsiz
Load More,Ko'proq yuklash
Load more comments,Ko'proq izohlarni yuklash
Loading activity...,Faoliyat yuklanmoqda...
Loading changes...,O'zgarishlar yuklanmoqda...
Loading checklist...,Tekshiruv ro'yxati yuklanmoqda...
Loading comments...,Izohlar yuklanmoqda...
Loading contact...,Kontakt yuklanmoqda...
Loading contacts...,Kontaktlar yuklanmoqda...
Loading dependencies...,Bog'liqliklar yuklanmoqda...
Loading details...,Tafsilotlar yuklanmoqda...
Loading discussion...,Muhokama yuklanmoqda...
Loading events...,Tadbirlar yuklanmoqda...
Loading files...,Fayllar yuklanmoqda...
Loading notes...,Eslatmalar yuklanmoqda...
Loading preferences...,Sozlamalar yuklanmoqda...
Loading project...,Loyiha yuklanmoqda...
Loading projects...,Loyihalar yuklanmoqda...
Loading replies...,Javoblar yuklanmoqda...
Loading report data...,Hisobot ma'lumotlari yuklanmoqda...
Loading settings...,Sozlamalar yuklanmoqda...
Loading task...,Vazifa yuklanmoqda...
Loading templates...,Shablonlar yuklanmoqda...
Loading time logs...,Vaqt yozuvlari yuklanmoqda...
Loading your portal...,Portalingiz yuklanmoqda...
Loading...,Yuklanmoqda...
Location,Joylashuv
Log Time,Vaqt yozish
Logout,Chiqish
Low,Past
Make Offer,Taklif berish
Manager,Boshqaruvchi
Manual Entry,Qo'lda kiritish
Margin,Ustama
Mark all as read,Hammasini o'qilgan deb belgilash
Mark all read,Hammasini o'qilgan belgilash
Mark as read,O'qilgan deb belgilash
Mark as unread,O'qilmagan deb belgilash
Mark read,O'qilgan belgilash
Marking...,Belgilanmoqda...
Material,Material
Maybe,Balki
Medium,O'rta
Meeting,Uchrashuv
Meeting Link,Uchrashuv havolasi
Meeting title,Uchrashuv sarlavhasi
Meeting URL,Uchrashuv URLi
Meetings,Uchrashuvlar
Mention,Eslatish
Message,Xabar
Message is required,Xabar talab qilinadi
Message is required for '{0}' action,'{0}' harakati uchun xabar talab qilinadi
Migrate,Ko'chirish
Migration Complete,Ko'chirish yakunlandi
Migration ID:,Ko'chirish IDsi:
Migration log not found: {0},Ko'chirish jurnali topilmadi: {0}
Milestone,Bosqich
milestone,bosqich
Milestone created,Bosqich yaratildi
Milestone description has been saved.,Bosqich tavsifi saqlandi.
Milestone ID is required,Bosqich IDsi talab qilinadi
Milestone marked as Missed (past due date),Bosqich o'tkazib yuborilgan deb belgilandi (muddati o'tgan)
Milestone moved,Bosqich ko'chirildi
Milestone Name,Bosqich nomi
Milestone name has been saved.,Bosqich nomi saqlandi.
Milestone name is required,Bosqich nomi talab qilinadi
Milestone updated,Bosqich yangilandi
Milestone {0} not found,{0} bosqich topilmadi
Milestone {0} not in project {1},{1} loyihasida {0} bosqich topilmadi
Milestones,Bosqichlar
milestones,bosqichlar
Milestones:,Bosqichlar:
Minutes,Daqiqalar
Missed,O'tkazib yuborilgan
Mixed,Aralash
Mobile,Mobil
Moderate,O'rtacha
Modified,O'zgartirilgan
"Modify details, time, or attendees","Tafsilotlar, vaqt yoki ishtirokchilarni o'zgartirish"
Mon,Dushanba
Month,Oy
Move failed,Ko'chirish muvaffaqiyatsiz
Must be a positive number,Musbat son bo'lishi kerak
Must finish before this finishes,Bu tugashidan oldin tugashi kerak
Must finish before this starts,Bu boshlanishidan oldin tugashi kerak
Must start before this finishes,Bu tugashidan oldin boshlanishi kerak
Must start before this starts,Bu boshlanishidan oldin boshlanishi kerak
My Assignments,Mening topshiriqlarim
My Projects,Mening loyihalarim
My Schedule,Mening jadvalim
My Tasks,Mening vazifalarim
N/A,Mavjud emas
Name,Ism
Name (A-Z),Ism (A-Z)
Name (Z-A),Ism (Z-A)
Name cannot exceed 255 characters,Ism 255 belgidan oshmasligi kerak
Need help?,Yordam kerakmi?
Needs Attention,E'tibor talab qiladi
Never,Never
new activities,yangi faoliyatlar
New Activity,Yangi faoliyat
New activity,Yangi faoliyat
New Event,Yangi tadbir
New index is required,Yangi tartib raqami talab qilinadi
New Project,Yangi loyiha
New tasks will auto-trail by default.,Yangi vazifalar boshlang'ich holatda avtomatik siljiydi.
Newest First,Eng yangilari birinchi
Next,Keyingi
Next 14 days,Keyingi 14 kun
Next 30 days,Keyingi 30 kun
Next 60 days,Keyingi 60 kun
Next 7 days,Keyingi 7 kun
Next 90 days,Keyingi 90 kun
Next Week,Keyingi hafta
Next:,Keyingi:
No,Yo'q
No active assignments,Faol topshiriqlar yo'q
No active projects,Faol loyihalar yo'q
No active timer found,Faol taymer topilmadi
No activity selected,Faoliyat tanlanmagan
No assignments found,Topshiriqlar topilmadi
No attendees,Ishtirokchilar yo'q
no change,o'zgarish yo'q
No changes for this field.,Ushbu maydon uchun o'zgarishlar yo'q.
No changes recorded for this activity.,Ushbu faoliyat uchun o'zgarishlar yozilmagan.
No checklist items yet,Tekshiruv ro'yxati elementlari hali yo'q
No checklist items yet.,Tekshiruv ro'yxati elementlari hali yo'q.
No comments yet,Izohlar hali yo'q
No comments yet.,Izohlar hali yo'q.
No contacts available,Mavjud kontaktlar yo'q
No content for this tab,Ushbu yorliq uchun tarkib yo'q
No data available,Ma'lumotlar mavjud emas
No data available for the selected filters,Tanlangan filtrlar uchun ma'lumotlar mavjud emas
No data to export,Chiqarish uchun ma'lumotlar yo'q
No dates set,Sanalar belgilanmagan
No defects reported,Nuqsonlar haqida xabar berilmagan
No dependencies defined,Bog'liqliklar aniqlanmagan
No description,Tavsif yo'q
No discussion yet.,Hali muhokama yo'q.
No documents attached,Biriktirilgan hujjatlar yo'q
No due date,Muddat sanasi yo'q
No employee linked to this resource,Ushbu resursga bog'langan xodim yo'q
No ERPNext employee linked to resource,Resursga bog'langan ERPNext xodimi yo'q
No events found,Tadbirlar topilmadi
No files attached yet.,Hali biriktirilgan fayllar yo'q.
No Frappe Project linked,Bog'langan Frappe loyihasi yo'q
No Grouping,Guruhlash yo'q
No items,Elementlar yo'q
No matching tasks,Mos vazifalar yo'q
No matching tasks found,Mos vazifalar topilmadi
No migration history,Ko'chirish tarixi yo'q
No Milestone,Bosqich yo'q
No milestones,Bosqichlar yo'q
No milestones defined for this project.,Ushbu loyiha uchun bosqichlar aniqlanmagan.
No notes yet.,Eslatmalar hali yo'q.
No notes yet. Add a due diligence note to track progress.,Eslatmalar hali yo'q. Jarayonni kuzatish uchun tekshiruv eslatmasini qo'shing.
No notifications,Bildirishnomalar yo'q
No Orga Project linked to Frappe Project {0},Frappe loyihasi {0} ga bog'langan Orga loyihasi yo'q
No overdue tasks,Muddati o'tgan vazifalar yo'q
No pending cascade changes,Kutilayotgan zanjir o'zgarishlari yo'q
No predecessors - this task can start independently,Oldingi vazifalar yo'q - bu vazifa mustaqil boshlanishi mumkin
No project,Loyiha yo'q
No projects found,Loyihalar topilmadi
No Projects Yet,Hali loyihalar yo'q
No recent activity,Yaqinda faoliyat yo'q
No related documents,Bog'liq hujjatlar yo'q
No resolved threads.,Hal qilingan muhokamalar yo'q.
No resources found,Resurslar topilmadi
No results found,Natijalar topilmadi
No skills listed,Ro'yxatdagi ko'nikmalar yo'q
No skills recorded yet,Hali ko'nikmalar yozilmagan
No successors - no tasks are waiting for this one,Keyingi vazifalar yo'q - hech qaysi vazifa buni kutmayapti
No task selected,Vazifa tanlanmagan
No tasks assigned to you,Sizga topshirilgan vazifalar yo'q
No tasks available to add,Qo'shish uchun vazifalar mavjud emas
No tasks found,Vazifalar topilmadi
No tasks linked to this milestone,Ushbu bosqichga bog'langan vazifalar yo'q
No tasks with dates to display,Ko'rsatish uchun sanali vazifalar yo'q
No tasks yet,Hali vazifalar yo'q
No team members,Jamoa a'zolari yo'q
No template,Shablon yo'q
No templates yet,Hali shablonlar yo'q
No time data found,Vaqt ma'lumotlari topilmadi
No time logged today,Bugun vaqt yozilmagan
No time logged yet,Hali vaqt yozilmagan
No time logs for this period,Ushbu davr uchun vaqt yozuvlari yo'q
No time logs found,Vaqt yozuvlari topilmadi
No unread notifications,O'qilmagan bildirishnomalar yo'q
No update information available yet.,No update information available yet.
None,Yo'q
Not found,Topilmadi
Not permitted,Ruxsat etilmagan
Not permitted to access this project,Ushbu loyihaga kirish ruxsat etilmagan
Not permitted to access this task,Ushbu vazifaga kirish ruxsat etilmagan
Not permitted to check for updates,Not permitted to check for updates
Not permitted to comment on this document,Ushbu hujjatga izoh yozish ruxsat etilmagan
Not permitted to create clients,Mijoz yaratish ruxsat etilmagan
Not permitted to delete this client,Ushbu mijozni o'chirish ruxsat etilmagan
Not permitted to delete this defect,Ushbu nuqsonni o'chirish ruxsat etilmagan
Not permitted to delete this note,Ushbu eslatmani o'chirish ruxsat etilmagan
Not permitted to delete this project,Ushbu loyihani o'chirish ruxsat etilmagan
Not permitted to delete this task,Ushbu vazifani o'chirish ruxsat etilmagan
Not permitted to delete this time log,Ushbu vaqt yozuvini o'chirish ruxsat etilmagan
Not permitted to invite clients,Mijozlarni taklif qilish ruxsat etilmagan
Not permitted to modify client access,Mijoz kirishini o'zgartirish ruxsat etilmagan
Not permitted to modify this project,Ushbu loyihani o'zgartirish ruxsat etilmagan
Not permitted to update settings,Sozlamalarni yangilash ruxsat etilmagan
Not permitted to update this client,Ushbu mijozni yangilash ruxsat etilmagan
Not permitted to view this client,Ushbu mijozni ko'rish ruxsat etilmagan
not sent,yuborilmagan
Not set,Belgilanmagan
Not specified,Ko'rsatilmagan
Note,Eslatma
Note (optional),Eslatma (ixtiyoriy)
Note Content,Eslatma matni
Note content is required,Eslatma matni talab qilinadi
Note name is required,Eslatma nomi talab qilinadi
Note not found,Eslatma topilmadi
Note Type,Eslatma turi
Notes,Eslatmalar
Notification,Bildirishnoma
Notification not found,Bildirishnoma topilmadi
Notifications,Bildirishnomalar
Off Track,Yo'ldan chiqdi
Offer,Taklif
Offer Prepared,Taklif tayyorlandi
Oldest First,Eng eskilari birinchi
On Hold,Kutilmoqda
On Leave,Ta'tilda
On Track,Yo'lda
On-Time Rate,O'z vaqtida bajarilish darajasi
Only administrators can delete activities,Faqat boshqaruvchilar faoliyatlarni o'chira oladi
Only the comment author or administrators can delete comments,Faqat izoh muallifi yoki boshqaruvchilar izohlarni o'chira oladi
Only you and admins,Faqat siz va boshqaruvchilar
Open,Ochiq
Open in Desk,Deskda ochish
Open Task Log,Vazifa jurnalini ochish
Open Tasks,Ochiq vazifalar
Optional,Ixtiyoriy
optional,ixtiyoriy
Or email us directly at,Yoki bizga to'g'ridan-to'g'ri elektron pochta yozing
Orga Project {0} from Frappe Projects,Frappe Projects dan Orga loyiha {0}
Orga Task {0} from Frappe,Frappe dan Orga vazifa {0}
Organizer,Tashkilotchi
Other,Boshqa
Over Budget,Byudjetdan oshdi
Overall Progress,Umumiy jarayon
Overall Utilization,Umumiy foydalanish
Overallocated,Ortiqcha ajratilgan
Overdue,Muddati o'tgan
overdue,muddati o'tgan
Overdue Tasks,Muddati o'tgan vazifalar
Overview,Umumiy ko'rinish
Owner,Egasi
Page Not Found,Sahifa topilmadi
Parent,Asosiy
Parent comment must belong to the same document,Asosiy izoh xuddi shu hujjatga tegishli bo'lishi kerak
Parent comment not found,Asosiy izoh topilmadi
Parent project not synced to Frappe yet,Asosiy loyiha hali Frappe bilan sinxronlanmagan
Parent project sync not enabled,Asosiy loyiha sinxronlash yoqilmagan
Partner,Hamkor
Pending,Kutilmoqda
per page,har sahifada
Perform initial assessment and background check,Dastlabki baholash va tekshiruv o'tkazish
Permanently remove this event,Ushbu tadbirni butunlay o'chirish
Permanently remove this task,Ushbu vazifani butunlay o'chirish
Phone,Telefon
Pin,Mahkamlash
Pin Activity,Faoliyatni mahkamlash
Pin to top,Tepaga mahkamlash
Pinned,Mahkamlangan
Planned budget for this task,Ushbu vazifa uchun rejalashtirilgan byudjet
Planning,Rejalashtirish
Please describe your question or issue in detail...,Savolingiz yoki muammoingizni batafsil tavsiflang...
Please login to access Orga,Orga ga kirish uchun tizimga kiring
Please login to access the client portal,Mijoz portaliga kirish uchun tizimga kiring
Please respond to this invitation in Orga,Ushbu taklifga Orga da javob bering
Please select an image file,Rasm faylini tanlang
Please try again,Qaytadan urinib ko'ring
Please type,Yozing
Portal,Portal
Portal access revoked for {0},{0} uchun portal kirishi bekor qilindi
Portal user created successfully. Welcome email {0},Portal foydalanuvchisi muvaffaqiyatli yaratildi. Xush kelibsiz elektron pochta {0}
Post,Joylash
Powered by,Tomonidan qo'llab-quvvatlanadi
