+ Add Milestone,+ 添加里程碑
+ Create Task,+ 创建任务
+ Log Time,+ 记录时间
-- Select a project --,-- 选择项目 --
0m,0分钟
1 day,1天
1 day ago,1天前
1 dependency,1个依赖
1 entry,1条记录
1 file,1个文件
1 hour ago,1小时前
1 member,1位成员
1 milestone,1个里程碑
1 month,1个月
1 task,1个任务
< 1m,< 1分钟
"A clear, actionable title for the task",清晰明确的任务标题
A client with email {0} already exists: {1},邮箱为 {0} 的客户已存在：{1}
A key deliverable or checkpoint for the project,项目的关键交付物或检查点
Accept,接受
Accepted,已接受
Acknowledge,确认
across,跨
Action,操作
Actions,操作
Active,活跃
Active Assignments,活跃分配
Active Projects,进行中的项目
Activity,动态
Activity data deleted successfully,动态数据已删除
Activity Info,动态信息
Activity Stats,动态统计
Activity will appear here as you work on tasks and projects.,当你处理任务和项目时，动态会显示在这里。
Actual,实际
Actual Cost,实际成本
Actual cost cannot be negative,实际成本不能为负数
Actual end date cannot be before actual start date,实际结束日期不能早于实际开始日期
Actual Hours,实际工时
Add,添加
Add a checklist item...,添加检查项...
Add a comment...,添加评论...
Add a comment... (Ctrl+Enter to send),添加评论... (Ctrl+Enter 发送)
Add a description...,添加描述...
Add a milestone description...,添加里程碑描述...
Add a note below to annotate this activity.,在下方添加备注来标注此动态。
Add a note...,添加备注...
Add a project description...,添加项目描述...
Add a task description...,添加任务描述...
Add checklist item...,添加检查项...
Add Contact,添加联系人
Add contacts via the Desk interface or clear filters,通过Desk界面添加联系人或清除筛选条件
Add Dependency,添加依赖
Add details about this event...,添加此事件的详细信息...
Add details about this milestone...,添加此里程碑的详细信息...
Add details about this task...,添加此任务的详细信息...
Add details or acceptance criteria for this milestone,为此里程碑添加详细信息或完成标准
"Add details, context, or acceptance criteria",添加详细信息、背景或完成标准
Add first dependency,添加第一个依赖
Add item,添加项目
Add items below to track progress.,在下方添加项目来跟踪进度。
Add items below to track subtasks,在下方添加项目来跟踪子任务
Add Milestone,添加里程碑
Add Milestone (Shift+M),添加里程碑 (Shift+M)
Add milestones to track key deliverables.,添加里程碑来跟踪关键交付物。
Add New Contact,添加新联系人
Add Note,添加备注
Add note,添加备注
Add notes about this contact...,添加关于此联系人的备注...
Add reaction,添加回应
Add Skill,添加技能
Add start and due dates to tasks to see them on the Gantt chart,为任务设置开始日期和截止日期即可在Gantt图表中查看
Add Task,添加任务
Add Task (Shift+T),添加任务 (Shift+T)
Added Finish-to-Start dependency,已添加完成-开始依赖
Adding this dependency would create a circular reference: {0},添加此依赖会产生循环引用：{0}
Adding...,正在添加...
Address,地址
Advanced,高级设置
All,全部
All Active,全部活跃
All Assignees,所有负责人
All Categories,所有分类
All caught up!,全部处理完毕！
All Contexts,所有上下文
All day,全天
All day event,全天事件
All fields,所有字段
All Priorities,所有优先级
All Projects,所有项目
All Status,所有状态
All Statuses,所有状态
All task dependencies & relative dates,所有任务依赖和相对日期
All Tasks,所有任务
All tasks across all projects.,所有项目的全部任务。
All tasks are already linked,所有任务已关联
All team members,所有团队成员
All Types,所有类型
All Users,所有用户
Allocated,已分配
allocated,已分配
Allow users to log time against tasks,允许用户对任务记录时间
Already exported to timesheet {0},已导出到工时表 {0}
Already Migrated,已迁移
Anyone with access,所有有权限的人
anytime to show this help,随时显示此帮助
App Updates,App Updates
Appearance,外观
Apply,应用
Apply cascade?,是否应用级联？
Apply Changes,应用更改
Apply failed,应用失败
Apply Template,应用模板
Applying...,正在应用...
Appointment,日程
Appointment and resource are required,日程和资源为必填项
Appointment name is required,日程名称为必填项
Appointment not found,未找到日程
Appointment {0} not found,未找到日程 {0}
Apps,应用
Archive,归档
Archive Activity,归档动态
Archived,已归档
Are you sure you want to delete this activity data? This cannot be undone.,确定要删除此动态数据吗？此操作无法撤销。
Are you sure you want to delete this comment?,确定要删除此评论吗？
Are you sure you want to delete this project?,确定要删除此项目吗？
Are you sure?,确定吗？
Ascending -- click to reverse,升序 -- 点击反转
Assign To,分配给
Assign to Me,分配给我
Assigned Contact,已分配联系人
Assigned To,负责人
Assigned to,负责人
Assigned to Me,已分配给我
Assignee,负责人
Assignment,分配
Assignment History,分配历史
Assignment name is required,分配名称为必填项
Assignment {0} not found,未找到分配 {0}
Assignments,分配
At least one action is required,至少需要一个操作
At least one event is required,至少需要一个事件
At least one event must be selected,至少需要选择一个事件
Attachment,附件
Attachments,附件
Attendees,参与者
"Audit trail, assignments, version history",变更记录、分配、版本历史
Auto,自动
Auto Calculate Progress,自动计算进度
Auto Set Missed Milestones,自动标记逾期里程碑
Auto-shift dependents when dates change,日期变更时自动调整依赖任务
Auto-Trail Start,自动顺延开始
Auto-Trail updated,自动顺延已更新
Automatically calculate project progress from task completion,根据任务完成情况自动计算项目进度
Automatically mark milestones as missed when overdue,逾期时自动将里程碑标记为未达成
Automation rule {0} not found,未找到自动化规则 {0}
Automation: {0},自动化：{0}
Availability,可用性
Available,空闲
Avatar updated successfully,头像已更新
Avg Progress,平均进度
Back,返回
Back to Portal,返回门户
Back to Projects,返回项目列表
Beginner,初级
Best regards,此致敬意
Billable,可计费
Billable Amount,计费金额
Billable Hours,可计费工时
Billable Rate,计费单价
Billing Rate,计费费率
Blocked,已阻塞
Both dates are needed to display task as a bar in Gantt chart,需要两个日期才能在Gantt图表中将任务显示为条形
Both doctype and docname are required,doctype和docname都是必填项
Both proposed start and end times are required,建议的开始时间和结束时间都是必填项
Both task_name and depends_on are required,task_name和depends_on都是必填项
Breadcrumb,面包屑导航
Brief description of the defect or damage,缺陷或损坏的简要描述
Brief description of this template,此模板的简要描述
Brief description of your request,您的请求的简要描述
Brief project description,项目简要描述
Budget,预算
Budget at risk,预算有风险
Budget Burn Rate,预算消耗率
Budget Status,预算状态
Budget updated,预算已更新
Budget:,预算：
Bug,缺陷
Burn Rate,消耗率
Busy,忙碌
By,由
By Assignee,按负责人
By Group,按分组
By Milestone,按里程碑
By Priority,按优先级
By Status,按状态
Cancel,取消
Cancelled,已取消
cannot be undone,无法撤销
Cannot delete client with {0} linked projects. Unlink projects first.,客户关联了 {0} 个项目，无法删除。请先取消关联。
Cannot delete project with {0} linked tasks. Delete tasks first.,项目关联了 {0} 个任务，无法删除。请先删除任务。
Cannot delete resource with {0} active assignments. Complete or cancel them first.,资源有 {0} 个活跃分配，无法删除。请先完成或取消。
Cannot delete task with {0} subtasks. Delete subtasks first.,任务有 {0} 个子任务，无法删除。请先删除子任务。
Capacity,容量
capacity,容量
Capacity & Rates,容量与费率
Capture project structure for reuse,保存项目结构以供复用
Cascade,级联
Cascade Preview,级联预览
Category,分类
Celebrate,庆祝
Change,更改
Change History,变更历史
Change Priority,更改优先级
Change Status,更改状态
Changes,变更
Changes appear when fields are modified.,字段修改后会在此显示变更。
Check for new versions of Orga,Check for new versions of Orga
Check for Updates,Check for Updates
Checking...,Checking...
Checklist,检查清单
Checklist item name is required,检查项名称为必填项
Checklist item not found,未找到检查项
Checklist item title is required,检查项标题为必填项
Checklist item {0} not found,未找到检查项 {0}
Checklist item {0} not found in task,任务中未找到检查项 {0}
Child,子级
Choose file to upload,选择要上传的文件
Circular dependency detected: {0},检测到循环依赖：{0}
Circular parent-child relationship detected,检测到循环父子关系
Clear,清除
Clear all read,清除所有已读
Clear date,清除日期
Click on an activity from the list to view and manage its details.,点击列表中的动态来查看和管理详情。
Click the avatar to upload a new photo,点击头像上传新照片
Click to add description...,点击添加描述...
Click to add notes...,点击添加备注...
Click to assign contact,点击分配联系人
Click to change status,点击更改状态
Click to change type,点击更改类型
Click to edit,点击编辑
Click to edit budget,点击编辑预算
Click to edit description,点击编辑描述
Click to edit end date,点击编辑结束日期
Click to edit milestone name,点击编辑里程碑名称
Click to edit rate,点击编辑费率
Click to edit start date,点击编辑开始日期
Click to edit title,点击编辑标题
Click to load,点击加载
Click to set group dependency...,点击设置分组依赖...
Click to set group...,点击设置分组...
Click to view,点击查看
Click to view at-risk projects,查看有风险的项目
Click to view critical projects,查看紧急项目
Click to view healthy projects,查看状态良好的项目
Client,客户
Client already has a portal user: {0},此客户已有门户用户：{0}
Client already has portal access,客户已拥有门户访问权限
Client has no portal user to revoke,没有可撤销的门户用户
Client link removed from project {0},已从项目 {0} 移除客户关联
Client Portal,客户门户
Client {0} deleted successfully,已删除客户 {0}
Close,关闭
Close (Esc),关闭 (Esc)
Comment,评论
comment,评论
Comment added,评论已添加
Comment content is required,评论内容为必填项
Comment name is required,评论名称为必填项
Comment not found,未找到评论
Comment removed,评论已删除
Comment {0} not found in task,任务中未找到评论 {0}
Comments,评论
comments,评论
Community Edition,Community Edition
Company,公司
Company name...,公司名称...
Complete,完成
Completed,已完成
completed,已完成
Completed Tasks,已完成任务
Compliance,合规
Configure default values for new projects and tasks,配置新项目和任务的默认值
Configure email notification settings,配置邮件通知设置
Confirm,确认
Contact deleted,联系人已删除
Contact Details,联系人详情
Contact Information,联系信息
Contact name is required,联系人名称为必填项
Contact Support,联系支持
Contact your project manager for more information.,如需更多信息，请联系项目负责人。
Contact:,联系人：
Contacts,联系人
Context,上下文
Contractor,承包商
Cost estimate cannot be negative,成本估算不能为负数
Cost Impact,成本影响
Cost Summary,成本概要
Could not apply the template. Please try again.,无法应用模板，请重试。
Could not attach file to project,无法将文件附加到项目
Could not change task priority,无法更改任务优先级
Could not change task status,无法更改任务状态
Could not delete the project. Please try again.,无法删除项目，请重试。
Could not delete the task. Please try again.,无法删除任务，请重试。
Could not delete the template.,无法删除模板。
Could not duplicate the task. Please try again.,无法复制任务，请重试。
Could not export the template.,无法导出模板。
Could not import the template. Please check the file format.,无法导入模板，请检查文件格式。
Could not link task to milestone,无法将任务关联到里程碑
Could not load document details.,无法加载文档详情。
Could not load task details,无法加载任务详情
Could not promote checklist item to task.,无法将检查项升级为任务。
Could not remove task from milestone,无法从里程碑移除任务
Could not save budget.,无法保存预算。
Could not save changes to the milestone,无法保存里程碑的更改
Could not save changes to the task,无法保存任务的更改
Could not save description.,无法保存描述。
Could not save end date.,无法保存结束日期。
Could not save milestone name.,无法保存里程碑名称。
Could not save start date.,无法保存开始日期。
Could not save the template. Please try again.,无法保存模板，请重试。
Could not save title.,无法保存标题。
Could not update dependency mode.,无法更新依赖模式。
Could not update milestone date,无法更新里程碑日期
Could not update project status.,无法更新项目状态。
Could not update project type.,无法更新项目类型。
Could not update setting.,无法更新设置。
Could not update task dates,无法更新任务日期
Could not update task status,无法更新任务状态
Could not update the template.,无法更新模板。
Create a copy of this task,创建此任务的副本
Create Contact,创建联系人
Create Event,创建事件
Create Milestone,创建里程碑
Create New Milestone,创建新里程碑
Create New Task,创建新任务
Create Project,创建项目
Create Task,创建任务
Create tasks and milestones from a template,从模板创建任务和里程碑
Create your first project to get started.,创建你的第一个项目来开始吧。
Create your first task to start tracking work on this project.,创建第一个任务来开始管理此项目的工作。
Created,已创建
Creating...,正在创建...
Critical,紧急
Critical Path,关键路径
"Currency used for budgets, costs, and billing rates",用于预算、成本和计费费率的货币
Current,当前
Current Assignments,当前分配
Current scheduled time:,当前排定时间：
Currently running version,Currently running version
d lag,天延迟
Daily Availability,每日可用时间
Daily Hours,每日工时
Danger Zone,危险操作
Dark,深色
Dashboard,仪表盘
Date,日期
Date changes on this task will show cascade impact here,此任务的日期变更的级联影响会在此显示
Date cleared,日期已清除
Date of Joining,入职日期
Date updated,日期已更新
Dates,日期
Dates cascaded,日期已级联
Dates will be relative to the project's start date.,日期将相对于项目开始日期计算。
Day,天
day,天
days,天
Days before due date to send reminder,到期前几天发送提醒
Days Overdue,逾期天数
Days Remaining,剩余天数
Deadline,截止日期
Deadlines,截止日期
Decision,决定
Decline,谢绝
Declined,已谢绝
Default Currency,默认货币
Default hours per week for contact capacity planning,联系人容量规划的每周默认工时
Default Priority,默认优先级
Default Project Status,默认项目状态
Default Task Status,默认任务状态
Default task view,默认任务视图
Default Values,默认值
Default Weekly Capacity,默认每周容量
Defaults,默认值
Defect Cost Impact,缺陷成本影响
Defect name is required,缺陷名称为必填项
Defect Type,缺陷类型
Defect {0} not found,未找到缺陷 {0}
Defects,缺陷
Defects & Issues,缺陷与问题
Defects Resolved,已解决缺陷
Delayed,延期
Delete,删除
Delete Activity Data,删除动态数据
Delete all read notifications?,确定删除所有已读通知？
Delete comment,删除评论
Delete Contact,删除联系人
Delete Event,删除事件
Delete Event?,确定删除事件？
Delete failed,删除失败
Delete file,删除文件
Delete item,删除项目
Delete note,删除备注
Delete Project,删除项目
Delete Task,删除任务
Delete this project,删除此项目
Deleted,已删除
"Deleted project ""{0}"" ({1} tasks, {2} milestones)","已删除项目{0}""（{1}个任务，{2}个里程碑）"""
Deletes notes and preferences. Source document is not affected.,删除备注和偏好设置。源文档不受影响。
Deleting...,正在删除...
Department,部门
Dependencies,依赖
dependencies,依赖
Dependencies are informational only,依赖关系仅供参考
dependency,依赖
Dependency already exists,依赖已存在
Dependency Chain,依赖链
Dependency created,依赖已创建
Dependency mode updated,依赖模式已更新
Dependency name is required,依赖名称为必填项
Dependency task {0} not found,未找到依赖任务 {0}
Dependency {0} not found,未找到依赖 {0}
depends,依赖
Depends on Group,依赖于分组
Depends on task is required,依赖任务为必填项
depends on...,依赖于...
Descending -- click to reverse,降序 -- 点击反转
Describe the defect in detail...,请详细描述缺陷...
Description,描述
Description updated,描述已更新
Designation,职务
"Detailed description of the defect, location, and impact",缺陷的详细描述、位置和影响
Details,详情
Discard timer,丢弃计时器
Discussion,讨论
Dismiss,Dismiss
Display,显示
Document,文档
Document attached to project,已将文档附加到项目
Document final decision and rationale,记录最终决定和理由
Documentation Review,文档审查
Documents,文档
Done,完成
Download,下载
Drag to create dependency,拖拽以创建依赖
Dry Run,模拟运行
Dry Run Complete,模拟运行完成
Due Date,截止日期
Due date,截止日期
Due Date (Earliest),截止日期（最早）
Due date cannot be before start date,截止日期不能早于开始日期
Due date is in the past,截止日期已过
Due Date Reminders,截止日期提醒
Due Diligence,尽职调查
Due Diligence Checklist,尽职调查检查清单
Due This Week,本周到期
Due:,截止：
Duplicate events are not allowed,不允许重复事件
Duplicate failed,复制失败
Duplicate Task,复制任务
Duration,时长
Duration Summary,时长概要
Duration:,时长：
e.g. Cracked wall finish in bathroom...,例如：浴室墙面开裂...
"e.g. Electrical, Plumbing...",例如：电气、管道...
Edit,编辑
Edit (E),编辑 (E)
Edit dependency,编辑依赖
Edit Event,编辑事件
Efficiency,效率
Either dependency_name or depends_on is required,需要dependency_name或depends_on
Email,邮件
Email invitations to all attendees,向所有参与者发送邮件邀请
Email is required to create portal user,创建门户用户需要邮箱地址
Email notifications,邮件通知
Employee,员工
Employee DocType not available,员工DocType不可用
Employee not found,未找到员工
Enable or disable optional features,启用或禁用可选功能
Enable Time Tracking,启用时间记录
End,结束
End Date,结束日期
End date,结束日期
End Date cannot be before Start Date,结束日期不能早于开始日期
End date cannot be before start date,结束日期不能早于开始日期
End date updated,结束日期已更新
End time was before start time. Adjusted to 1 hour after start.,结束时间早于开始时间，已调整为开始后1小时。
End:,结束：
Enter milestone name...,输入里程碑名称...
Enter project name,输入项目名称
Enter task title...,输入任务标题...
Enter template name,输入模板名称
Enter your note... Use @name to mention someone,输入备注... 用 @名字 提及某人
Error,错误
Error loading activity,加载动态时出错
Error loading contacts,加载联系人时出错
Error loading dashboard,加载仪表盘时出错
Error loading project,加载项目时出错
Error loading projects,加载项目列表时出错
Error loading settings,加载设置时出错
Error loading tasks,加载任务时出错
Error loading templates,加载模板时出错
Est. Hours,预估工时
Estimated,预估
Estimated Cost,预估成本
Estimated Cost (€),预估成本 (€)
Estimated Hours,预估工时
Estimated:,预估：
Evaluate potential risks and concerns,评估潜在风险和问题
Event,事件
Event is required for event context,事件上下文需要事件
Event is required when tracking context is 'event',"当跟踪上下文为事件""时，事件为必填项"""
Event Type,事件类型
Events,事件
Events not available. Please run: bench --site orga.localhost migrate,事件不可用，请运行：bench --site orga.localhost migrate
Events:,事件：
Expert,高级
Explain why you are proposing a different time...,请说明为什么建议不同的时间...
Export,导出
Export failed,导出失败
Export JSON,导出JSON
Exported,已导出
Exported to timesheet {0},已导出到工时表 {0}
External,外部
Failed to add item,添加项目失败
Failed to add note,添加备注失败
Failed to add skill,添加技能失败
Failed to apply cascade changes: {0},应用级联变更失败：{0}
Failed to create defect,创建缺陷失败
Failed to create dependency,创建依赖失败
Failed to create event,创建事件失败
Failed to create milestone,创建里程碑失败
Failed to create project,创建项目失败
Failed to create task,创建任务失败
Failed to create time log,创建时间记录失败
Failed to delete,删除失败
Failed to delete comment,删除评论失败
Failed to delete contact,删除联系人失败
Failed to load,加载失败
Failed to load activity,加载动态失败
Failed to load assignments,加载分配失败
Failed to load contact,加载联系人失败
Failed to load dashboard data,加载仪表盘数据失败
Failed to load defects,加载缺陷失败
Failed to load events,加载事件失败
Failed to load project,加载项目失败
Failed to load projects,加载项目列表失败
Failed to load report data,加载报表数据失败
Failed to load settings,加载设置失败
Failed to load tasks,加载任务失败
Failed to move task,移动任务失败
Failed to post comment,发布评论失败
Failed to propose new time,建议新时间失败
Failed to remove item,移除项目失败
Failed to remove skill,移除技能失败
Failed to reorder milestones: {0},重新排序里程碑失败：{0}
Failed to reorder tasks: {0},重新排序任务失败：{0}
Failed to reschedule dependent tasks: {0},重新安排依赖任务失败：{0}
Failed to save,保存失败
Failed to save preferences,保存偏好设置失败
Failed to save settings,保存设置失败
Failed to submit request. Please try again.,提交请求失败，请重试。
Failed to update item,更新项目失败
Failed to update priority,更新优先级失败
Failed to update task,更新任务失败
Failed to update tasks: {0},更新任务失败：{0}
Failed to upload avatar,上传头像失败
Feature,功能
Features,功能
FF (Finish-Finish),FF（完成-完成）
FF - Finish-to-Finish,FF - 完成-完成
Field has been updated,字段已更新
Field name is required for 'Set Field Value' action,"设置字段值""操作需要字段名称"""
Field {0} is not a Link field,字段 {0} 不是链接字段
Field {0} not found in {1},在 {1} 中未找到字段 {0}
File,文件
file,文件
File does not belong to this task,文件不属于此任务
File name is required,文件名为必填项
File uploaded,文件已上传
File {0} not found,未找到文件 {0}
Files,文件
files,文件
Filter,筛选
Final Decision,最终决定
Finance,财务
Financial,财务
Finish-to-Finish,完成-完成
Finish-to-Start,完成-开始
Flag,标记
Flag for attention,标记需关注
Flagged,已标记
Focus Panel,焦点面板
Follows your system preference. Currently:,跟随系统设置。当前：
Frappe Project {0} not found,未找到Frappe项目 {0}
Frappe Projects Migration,Frappe Projects迁移
Frappe Projects module not available,Frappe Projects模块不可用
Frappe Projects module not installed,Frappe Projects模块未安装
Frappe Projects sync is not enabled,Frappe Projects同步未启用
Frappe Task DocType not found,未找到Frappe任务DocType
Frappe Task has no project,Frappe任务没有关联项目
Frappe Task {0} not found,未找到Frappe任务 {0}
Fri,五
From,开始
From Template,从模板
FS (Finish-Start),FS（完成-开始）
FS - Finish-to-Start (default),FS - 完成-开始（默认）
Full form view with audit trail,包含变更记录的完整表单视图
Full name,全名
Gantt,Gantt
Gantt Chart,Gantt图表
Gantt View,Gantt视图
General Note,通用备注
Get started,开始使用
Go back,返回
Go Back,返回
Group by,分组
Group dependency removed,分组依赖已移除
Group dependency set,分组依赖已设置
Group removed,分组已移除
Group updated,分组已更新
Hammock task dates are auto-calculated and cannot be changed manually,吊床任务的日期为自动计算，无法手动更改
Have a question or need assistance? Fill out the form below and our team will get back to you.,有问题或需要帮助？请填写下方表单，我们的团队会尽快回复您。
Health,健康度
Healthy,良好
Hello {0},你好 {0}
Here's what's happening with your projects today.,以下是你今天的项目动态。
Hide,隐藏
High,高
History,历史
Home,首页
Hourly Cost,每小时成本
Hours,小时
hours,小时
Hours Logged,已记录工时
ID,ID
Image must be smaller than 5 MB,图片必须小于5MB
Import,导入
Import existing projects and tasks from Frappe Projects module,从Frappe Projects模块导入现有项目和任务
Import failed,导入失败
Import Template,导入模板
Imported,已导入
in,中
In Progress,进行中
In Review,审核中
In-app notifications,应用内通知
Inactive,未启用
Initial Review,初步审查
Installed Version,Installed Version
Insufficient permissions to view all tasks,权限不足，无法查看所有任务
Intermediate,中级
Internal,内部
Invalid DocType,无效的DocType
Invalid DocType for import,导入的DocType无效
Invalid item type: {0},无效的项目类型：{0}
Invalid JSON data,无效的JSON数据
Invalid note type. Must be one of: {0},无效的备注类型，必须是以下之一：{0}
Invalid project reference,无效的项目引用
Invalid reaction type. Must be one of: {0},无效的回应类型，必须是以下之一：{0}
Invalid RSVP status,无效的RSVP状态
Invalid status. Must be one of: {0},无效的状态，必须是以下之一：{0}
Invalid status: {0},无效的状态：{0}
Invalid status: {0}. Must be one of: {1},无效的状态：{0}，必须是以下之一：{1}
Invalid tracking context: {0},无效的跟踪上下文：{0}
Invalid visibility. Must be one of: {0},无效的可见范围，必须是以下之一：{0}
Invitation: {0} - {1} at {2},邀请：{0} - {1}（{2}）
Invite People,邀请人员
"It's not you, it's the link. The page you're looking for might have been moved, renamed, or is taking a well-deserved coffee break. Your projects and data are perfectly safe.",不是你的问题，是链接的问题。您要找的页面可能已被移动、重命名，或正在享受应得的咖啡休息时间。您的项目和数据完全安全。
Item added,项目已添加
Item ID is required,项目ID为必填项
Item removed,项目已移除
Item type is required,项目类型为必填项
Item {0} not found,未找到项目 {0}
Job title or role,职位或角色
Join Meeting,加入会议
Just now,刚刚
just now,刚刚
Kanban,Kanban
Kanban Board,Kanban看板
Kanban View,Kanban视图
Keyboard Shortcuts,键盘快捷键
Keyboard shortcuts (?),键盘快捷键 (?)
Last checked: {0},Last checked: {0}
Last Updated,最后更新
Last updated:,最后更新：
Last Week,上周
Latest Version,Latest Version
Light,浅色
Link failed,关联失败
Link Task,关联任务
Linked,已关联
Linked employee not found,未找到关联员工
Linked Tasks,已关联任务
List,列表
List View,列表视图
Load failed,加载失败
Load More,加载更多
Load more comments,加载更多评论
Loading activity...,正在加载动态...
Loading changes...,正在加载变更...
Loading checklist...,正在加载检查清单...
Loading comments...,正在加载评论...
Loading contact...,正在加载联系人...
Loading contacts...,正在加载联系人列表...
Loading dependencies...,正在加载依赖...
Loading details...,正在加载详情...
Loading discussion...,正在加载讨论...
Loading events...,正在加载事件...
Loading files...,正在加载文件...
Loading notes...,正在加载备注...
Loading preferences...,正在加载偏好设置...
Loading project...,正在加载项目...
Loading projects...,正在加载项目列表...
Loading replies...,正在加载回复...
Loading report data...,正在加载报表数据...
Loading settings...,正在加载设置...
Loading task...,正在加载任务...
Loading templates...,正在加载模板...
Loading time logs...,正在加载时间记录...
Loading your portal...,正在加载门户...
Loading...,正在加载...
Location,地点
Log Time,记录时间
